,별점,주문메뉴,리뷰,사진
0,4,"['두끼set 보통（고기or고기＋햄 中 택1＋계란말이 or 햄구이 or 치즈계란말이 中 택1＋햄사리 or 밥2 中 택1）', '메뉴 선택2(햄구이', '메뉴 선택3(햄사리', '추가선택(김가루 추', '청양고추 추가', '공기밥 추가선택(공기밥 2개 추가)']",햄 종류를 너무 많히 시켰지만 그래도 맛있네요,[]
1,5,"['나홀로set 1人（고기or고기＋햄 中 택1＋계란말이or햄구이or치즈계란말이 中 택1＋라면 or 밥1 or 음료수 中 택1）', '메뉴 선택2(치즈계란말이', '메뉴 선택3(음료수（랜덤제공）', '추가선택(김가루 추', '청양고추 추가)']",양은많은데...고기양이생각보다너무작아서깜짝놀랐어요..ㅎㅎ그치만맛있어요ㅎㅎㅎ,[]
2,5,"['나홀로set 1人（고기or고기＋햄 中 택1＋계란말이or햄구이or치즈계란말이 中 택1＋라면 or 밥1 or 음료수 中 택1）', '메뉴 선택2(계란말이', '메뉴 선택3(라면)']",맛있게 잘 먹었습니다. ㅎㅎ,[]
3,4,"['두끼set 보통（고기or고기＋햄 中 택1＋계란말이 or 햄구이 or 치즈계란말이 中 택1＋햄사리 or 밥2 中 택1）', '메뉴 선택2(계란말이', '메뉴 선택3(밥 2', '추가선택(김가루 추', '청양고추 추가)']",두 번째지만 너무 맛있네요...,[]
4,5,"['백채 고기 김치찌개', '메뉴 선택(백채 고기 김치찌개)']",그냥 너무 맛있게 잘 먹었습니다.!,[]
5,3,"['백채 고기 김치찌개', '메뉴 선택(백채 고기 김치찌개', '사리 추가선택(라면사리 추가', '대접밥（공기밥）추가선택(대접밥 1개 추가)']",국물이 넘많아서 마지막에 간이 맞을락말락 아쉽지만  나중엔 맛있었어여,[]
6,5,"['두끼set 보통（고기or고기＋햄 中 택1＋계란말이 or 햄구이 or 치즈계란말이 中 택1＋햄사리 or 밥2 中 택1）', '메뉴 선택2(계란말이', '메뉴 선택3(햄사리', '추가선택(김가루 추', '청양고추 추가)']",양도 넉넉하고 맛있어요~^^배달도 엄청 빨라서 좋아요~~~잘 먹었습니다.담 엔 사진 꼭 올릴게요.,[]
7,2,"['나홀로set 1人（고기or고기＋햄 中 택1＋계란말이or햄구이or치즈계란말이 中 택1＋라면 or 밥1 or 음료수 中 택1）', '메뉴 선택2(치즈계란말이', '메뉴 선택3(음료수（랜덤제공）', '추가선택(김가루 추', '청양고추 추가)']",김치찌개는 괜찮은데... 치즈계란말이 속에 치즈가 상했어요 쓴맛이 나길래 혹시 파슬리때문인가 하고 파슬리 겉고 먹었는데 이건 아니길래 재료하나하나 먹다보니까 치즈에서 우유상한맛이 나더군요 재료보관을 잘못하신건지 오래된걸 사용하시는 건지는 잘 모르겠지만 원인을 찾아서 고쳐주셨으면 합니다. 두어개 먹고 다 버렸어요....그래도 김치찌개는 맛 있었어요,[]
8,5,"['백채 고기 김치찌개', '메뉴 선택(백채 고기 김치찌개)']",맛있어요 양도많고 고기도 많아요!,[]
9,5,"['백채 고기 김치찌개', '메뉴 선택(백채 고기 김치찌개', '추가선택(김가루 추', '청양고추 추가)']","맛, 양, 배달 모두 만족",['https://rev-static.yogiyo.co.kr/b8c0ee93105177dc1c9c7cfdc93d5d84_tn.jpg']
