,별점,주문메뉴,리뷰,사진
0,4,"['순한떡볶이＋치즈토핑', '모듬튀김5개（고구마＋오징어＋김말이＋야끼만두＋잡채어묵）', '주먹밥', '환타오렌지 355mL', '환타파인애플 355mL']",맛있었습니다~ 주먹밥 짱커요~~!!,['https://rev-static.yogiyo.co.kr/6f16c67f4c549455c567ee059df1a52d_tn.jpg']
1,5,"['매운떡순이', '모듬튀김세트2 6ea（야채＋오징어＋잡채어묵＋야끼만두＋김말이＋고구마）', '김말이', '잡채어묵', '야끼만두', '주먹밥（참치마요＋볶음김치）']",..........,[]
2,5,"['매운떡볶이', '순살통새우', '오징어튀김', '고구마튀김', '김말이', '주먹밥（참치마요）']","저번에 시켜먹었을때 만족해서 이번에 두번정도 더 시켜먹고 잘 안쓰는 리뷰꺼지 써봄. 개인적으로 주먹밥크기도 마음에 들고 튀김이 바삭바삭한것도 다 마음에 듬. 솔직히 양도 별 5개 주고싶었지만 가식이라고 할까봐 4개로 해뒀음. 하지만 맛,양,배달 모두 5개급이었음.",['https://rev-static.yogiyo.co.kr/ca91e89962dba9836a236626ed86e3e4_tn.jpg']
3,5,"['매운떡＋치즈토핑（슬라이스）', '모듬튀김세트1 5ea（오징어＋잡채어묵＋야끼만두＋김말이＋고구마）', '순살통새우', '사이다 355mL']",배달도빠르고 포장도 깔끔하고 맛있어요^^,[]
4,5,"['순한떡볶이', '순대＋간＋내장', '주먹밥（참치마요）']",신랑이너무좋아해요 맛있어요,[]
5,5,"['순한떡볶이', '순대＋간＋내장', '고추튀김', '야채튀김', '매콤쫄면']",쫄면이 조금 아쉽네요~ 순대는 보들보들 맛있었어요~~,[]
6,4,"['반반（맵떡＋순떡）', '모듬튀김세트4 8ea（순살통새우＋야채＋군만두＋오징어＋잡채어묵＋야끼만두＋김말이＋고구마）', '주먹밥（참치마요＋볶음김치）']",반반떡볶이가 떡이 종류가 달라서 조금 당황했는데 그래도 용기도 분리되어있고해서 좋았네요!튀김이 맛있었어요!,['https://rev-static.yogiyo.co.kr/4242597d98bde2f3d1a3746a5ebe3387_tn.jpg']
7,5,"['순한떡볶이', '순대＋간＋내장', '모듬튀김세트1 5ea（오징어＋잡채어묵＋야끼만두＋김말이＋고구마）']",부모님도 맛있다고 하시네요!! 잘먹었습니다.!!,[]
8,5,"['순한떡＋치즈토핑（슬라이스）', '순대', '모듬튀김세트5 10ea（순살통새우＋야채＋고추＋군만두＋오징어＋잡채어묵＋야끼만두2개＋김말이＋고구마）']",떡볶이 순대 튀김 다 깔끔하고 맛있었어요!,['https://rev-static.yogiyo.co.kr/99dfbfe746c0e51149b0bbd531029834_tn.jpg']
9,5,"['순한떡＋치즈토핑（슬라이스）', '순대＋간＋내장', '오징어튀김', '김말이', '꼬지어묵 2개']",배달도 빠르고 맛있어요..포장도깔끔하고 담에또시킬께요,[]
