,별점,주문메뉴,리뷰,사진
0,4,"['N2 양지쌀국수', '조리 여부(조리)', 'N7 콤보쌀국수', '조리 여부(조리)']",맛있게 잘먹었습니다~,[]
1,4,"['A10 스프링롤 6pcs', 'N2 양지쌀국수', '조리 여부(조리)']",처음 시켜봤는데 넘 맛있었어요~양도 많고 포장도 꼼꼼하고...잘 먹었습니다^^,[]
2,5,"['A11 파인 스프링롤 6pcs', 'N1 안심쌀국수', '조리 여부(조리)']","정말 맛잇고 정말 깔끔하고 정말 또먹고싶은 쌀국수최강자입니다...하지만..배달료가 발목을 잡습니다..하....음료나 소스 또는 야채추가메뉴 생겻으면 좋겟어요..(본인 숙주귀신)여기 배달료때문에 배달고민 하시는분여럿될듯싶어요 ㅋㅋㅋㅋㅋ사장님 번창하세요 진짜맛잇엇어요 엄지척,",['https://rev-static.yogiyo.co.kr/2cb89c5485b263827fbcb6817e6997eb_tn.jpg']
3,4,"['SP3 베트남 깐풍새우', 'A11 파인 스프링롤 6pcs', 'N5 안심＋양지 쌀국수', '조리 여부(조리)']",배달도 적당히빨리왔고 포장도 꼼꼼했어요~!쌀국수 너무맛있게 먹었구요근데 찰리새우는 2만원 짜리 치고 양이 좀 작았어요맛은좋았습니다!,"['https://rev-static.yogiyo.co.kr/897fe662e35a780019ca593472a8ec29_tn.jpg', 'https://rev-static.yogiyo.co.kr/aa1bf1629e09a9137948c018de6d8748_tn.jpg']"
4,1,"['A10 스프링롤 6pcs', 'R3 레드커리', 'N5 안심＋양지 쌀국수', '조리 여부(조리', '추가 선택(고수 추가)', 'N10 한국식 매운똠양꿍', '조리 여부(조리)']",솔직히 맛도 위생도 별로인것 같아요;;일단 커리에서 머리카락이 나왔는데 그럴수 있겠거니 하고 넘겼는데 막판에 쌀국수에서 비닐 발견 -_- 좀 더 신경써주세요~ㅠ맛도 흠.. 예전에 매장에서 먹었을때도 맛있다 이런 느낌은 없었는데  몇년 지났으니 나아졌겠거니 했는데 여전히.. 변화가 없으신것 같아요.특히 똠양꿍... 한국식 똠양꿍이라지만 이건 왜 동태포가 들어있는거죠? '꿍' 이 새우잖아요 ㅠ 새우 안 넣으세요? 커리는 한번에 끓여놓고 퍼주는것처럼 내용물이 다 으스러져있고 엄청 부실해요! 무튼.. 전체적으로 개선이 필요해보여요,"['https://rev-static.yogiyo.co.kr/01de8f6b615435851778dc5a516e4a0c_tn.jpg', 'https://rev-static.yogiyo.co.kr/aff3c6c79ad0c27a136b6b88a5d3b4c8_tn.jpg', 'https://rev-static.yogiyo.co.kr/f8452910dc4dacf340bdbfe9d666c4f4_tn.jpg']"
5,4,"['R1 돼지고기 바베큐덮밥（직화구이）', 'N1 안심쌀국수', '조리 여부(조리)']",만족했어요~.,[]
6,5,"['A8 마늘소스 닭봉 3pcs', 'A11 파인 스프링롤 6pcs', 'A12 감자 새우롤 3pcs']",마늘닭봉 돌입니까ㅠ.ㅠ...롤이랑 쌀국수 맛잇게 먹엇던기억에 높은 배달료를 감수하고 주문햇는데...닭봉 진짜..돌이예요..돌..바삭한 튀김정도가 아니라 그냥 돌입니다..개선 필요해보이네요::잇몸피날정도예요..앞으론 그냥 롤만 시킬게요ㅠㅠ 후아..,[]
7,5,"['R1 돼지고기 바베큐덮밥（직화구이）', 'N5 안심＋양지 쌀국수', '조리 여부(조리)']",배달은 좀 걸려요. 이건 어디든 다 비슷한거같아요쌀국수 완전뜨근뜨끈하게 옵니다아주좋아용,[]
8,5,"['R1 돼지고기 바베큐덮밥（직화구이）', 'N5 안심＋양지 쌀국수', '조리 여부(조리)']",바베큐덮밥 맛있어요!! 불맛나서 맛있네요쌀국수는 항상먹던 그맛~ 깔끔하고 맛나요양을 항상 많이주셔서 넉넉하고 좋아요,"['https://rev-static.yogiyo.co.kr/5372faf6744fa1ff5f5fd34f9b4b4587_tn.jpg', 'https://rev-static.yogiyo.co.kr/87108ca3a4246e983b219dfc865523f6_tn.jpg']"
9,5,"['R1 돼지고기 바베큐덮밥（직화구이）', 'N5 안심＋양지 쌀국수', '조리 여부(조리)']",항상 잘먹고있어요 요청사항 적으면 잘 반영해주시는것도 맘에들어요 ㅎㅎ,[]
