,별점,주문메뉴,리뷰,사진
0,5,"['국물무뼈 치즈닭발', '날치알주먹밥']",처음 시켜먹었는데 맛있어요!물김치도 시원하고 콩나물도 많구요~계란찜을 시킬까말까 고민했는데 같이 오더라구요!무뼈로 시켜서 깔끔하게 잘먹었어요~:)적당히 매콤하면서 쫄깃해서 맛있었습니다!,['https://rev-static.yogiyo.co.kr/49c246aabae8e0036cc0e1b038f9e795_tn.jpg']
1,4,"['국물 닭발', '김가루 주먹밥']",우선 콩나물이 쉬어서 버렸구요 닭발 맛있긴하는데 병점이 원조이긴하나봐요 저는 병점이 입맛이 맞는것같아요,[]
2,5,['국물무뼈닭발'],이 가격에 이 양에 이 구성 어디에도 없는 거 같아요ㅠㅠ 아씨닭발만 시켜먹어요!!! 이벤트 스팸마요 주먹밥 잘 먹겠습니다 ~,['https://rev-static.yogiyo.co.kr/708abbfcc16b6a7b06ce037a4df64f10_tn.jpg']
3,5,"['국물무뼈닭발', '날치알주먹밥']",맛있어요 항상! 양도 많고 같이오는 동치미랑 계란찜도 좋아요,[]
4,3,['국물 닭발'],배달시간은딱그시간에맞춰서왓구요국물닭발이여서호로록생각햇는대ㅠㅠㅠㅠ생각보다 ....호로록이아니여서ㅎㅎ당황햇내요ㅎㅎ쬐금매워요ㅎㅎㅎ,[]
5,3,['국물 닭발'],동치미 다터져서 봉투가 물풍선 인줄 .. 콩나물 주길래 갈아탔는데 콩나물도 안주고 ㅋㅋㅋ,[]
6,5,['국물 닭발'],엄청 맛있었고 맵기도 적당했어요! 그리고 시켜먹어본 닭발중에 살이 제일 오동통했습니다! 완전 대만족><,[]
7,5,['국물무뼈닭발'],리뷰가 별로없어서 큰기대안하고 주문했는데 구성좋고 맛있고 양도많은데 리뷰가 별로없는게 이해가 안되네요 ㅎ 맛있었어요,['https://rev-static.yogiyo.co.kr/bd54cbfd062a0e36b566fa3ee2aaf12d_tn.jpg']
8,5,['국물무뼈닭발'],너무맛있어요!! 양도많고 주먹밥 서비스도 잘먹었습니다,['https://rev-static.yogiyo.co.kr/431a0f66f8ec38f968a12d9ca18fdfa4_tn.jpg']
9,5,"['국물 닭발', '오돌뼈']",전에 시켜먹은겅데 까먹고 지금 써요. 죄송해여ㅜㅜ양도 많고 오돌뼈 너무 맛있어요!! 서비스 주신 주먹밥도 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/528e9bfe0cf79007ca1e0536b27f6d4a_tn.jpg']
10,5,['국물 닭발'],이제야 올리네요 맛있어요 ♡,[]
11,5,"['국물 닭발', '국물무뼈닭발']",맛 양 배달 모두 별5개,['https://rev-static.yogiyo.co.kr/c763e0eb82936c9931a7d34b0324fa5e_tn.jpg']
12,5,['국물 닭발'],자꾸생각나는맛이예요!!^^,[]
