,별점,주문메뉴,리뷰,사진
0,5,['2인 보쌈 식사세트'],2인분 양도 적당한듯 많아서 좋네요~ 배부르게 잘 먹었습니다. 고기도 부드럽고 된장국도 은은하게 맛있네요. 콜라가 팹시인것 말고는 다 좋습니다.ㅎㅎ,[]
1,2,['1인 보쌈도시락'],제가 비계를 시킨걸까요.... 위에 살짝붙어있는 살고기 먼가요....... 전화해서 다시 가져가라고 하고싶었는데... 배고파서 그냥 먹었습니다3-4개 정도만 빼고 모두 사진과같이 비계만 있었습니다 고기맛은 느낄수가 없었네요.....,['https://rev-static.yogiyo.co.kr/9f2232719855e2d1cce26f5fa2ff10f0_tn.jpg']
2,4,"['1인 보쌈도시락', '마', ' 고추 슬라이스)']",맛있어용맛있어용맛있어용,[]
3,5,"['1인 보쌈＋1인직화제육', '마', ' 고추 슬라이', '새우젓)']",잘먹었어요 !!!!!,[]
4,4,"['1인 보쌈도시락', '마', ' 고추 슬라이스)']",호다로록호다로록호다로로록,[]
5,5,"['1인 보쌈도시락', '마', ' 고추 슬라이', '새우', '계란찜)']",고기 부드럽고 맛있어요. 양이 좀 작은가했는데 먹다보니 많네요ㅎㅎ 된장국은 솔직히 별로였어요.,['https://rev-static.yogiyo.co.kr/4c0b010fe4ebf83c2b0fe45af0704682_tn.jpg']
6,5,"['1인 보쌈도시락', '마', ' 고추 슬라이스)']",보쌈 양도 많고 짱맛있어요~~!!,['https://rev-static.yogiyo.co.kr/91e7b5b6dc9c9fce73be83e3e6a6769a_tn.jpg']
7,5,"['1인 직화제육도시락', '마', ' 고추 슬라이스)']",매운맛인지 모르고시켰는데 많이맵네요 ㅠㅠ 평소 즐겨먹던 음식점이라 별5점드려요!,['https://rev-static.yogiyo.co.kr/e2096bd1c358741be260160a0f5ffb2a_tn.jpg']
8,5,"['1인 직화제육도시락', '마', ' 고추 슬라이', '새우젓)']",구성이 알차고 좋아요,['https://rev-static.yogiyo.co.kr/525aec49ac47e0fef8131ab3e302ae1e_tn.jpg']
9,5,"['1인 갈비삼겹＋1인보쌈', '마', ' 고추 슬라이', '새우젓)']",넘뭄맛잇서요!!!!! 갈비 존맛 ㅠㅠ,[]
10,5,['보쌈한상'],생각보다 양도많고 맛있네요,[]
11,5,"['1인 직화제육도시락', '마', ' 고추 슬라이스)']",보이는군요.. 점차번성할 이집의 미래가 진짜 너무맛잇네요 이가격에 이런 식사를할수잇다니ㅎ제육 맵기 조절할수잇엇음좋겟습니다ㅎ,[]
12,1,"['보쌈한상', '추가 선택(쌈야채＋쌈장)']",포장은 깔끔하고 양도 괜찮아 보였는데..메인인 보쌈이 정말 냄새가 너무 많이 나서.. 반절도 못먹고 다 버렸네요..쫄면은 그나마 먹들만 했는데.. 고기가...ㅠ고기가 마치 그냥 정갈하게 잘려진 편의점에서 파는 고기같앗네요..,[]
13,5,"['1인 직화제육도시락', '마', ' 고추 슬라이', '새우젓)']",맛있게 잘 먹었습니다,[]
14,4,"['1인 보쌈도시락', '마', ' 고추 슬라이', '새우젓)']",나쁘지않아요~ 배달하시는분이 친절하세요,[]
15,4,"['2인 갈비삼겹 식사세트 ', '쌈야채＋쌈', '공기', '사골배추된장국)']",두 아이들과 맛있게 잘 먹었습니다~재료도 신선하구~은은한 숯불향~친절한 배달~다음에도 또 먹고 싶다고 하네요~^^,[]
16,5,"['1인 직화제육도시락', '마', ' 고추 슬라이', '새우젓)']",예상시간 안에 친절한 배달원님께서 건네주셨습니다. 구성도 좋고 맛있습니다. 그런데 고기양념이 좀 센편이고 꽤 매워요. 조금 덜맵고 달짜게 해주셔도 될것같습니다. 서비스도 감사합니다 번창하세요.,['https://rev-static.yogiyo.co.kr/eeedadbf160bbccc786d445f95ffa1dd_tn.jpg']
17,5,['1인 보쌈도시락'],서비스도 최고!맛도 최고!다만 보쌈이 그렇게 썩 많지는 않아서 쌈채소가 한가득 남았네요...한끼로는 충분합니다!,['https://rev-static.yogiyo.co.kr/3953d256e3c443795eed70d99934bace_tn.jpg']
18,5,['1인 갈비삼겹도시락'],정말 맛나요...!정말 ㅋㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/58d8cedb377c5e91c3dc0fab716ed8dc_tn.jpg']
19,5,"['1인 갈비삼겹도시락', '쌈야채＋쌈', '마', ' 고추 슬라이', '새우젓)']",맛있게먹었습니다달짝지근한게 갈비삼겹이 저한텐 취향인듯냉면두 맛있었어요 ㅋ,['https://rev-static.yogiyo.co.kr/8ecc782f033e7b77a210930d17a5dc24_tn.jpg']
20,4,"['2인 갈비삼겹＋냉면 식사세트', '추가 선택(제육고기)']",리뷰가 늦었네요. 어제먹고 남겨요배달 적당히 왔어요~맛은 갈비삼겹 약간 매콤해요~ 어른들은 괜찮지만 어린아이는 매워하네요^^;제육은 매워요~ 많이 맵네요 ㅜ 매운거 좋아하시는분 좋을듯요냉면도 쏘쏘반찬종류는 적어요~전반적으로 쏘쏘합니다!!,[]
21,5,['보쌈제복한상'],이주 연속 주문했어요제육맛에 훅 빠졌네요~~동네 맛집 찾아서 넘 좋아요반찬도 깔끔하고 맛도 좋고 만족합니다자주 올께요,['https://rev-static.yogiyo.co.kr/ff24f38b62836427e7f6a307b30b5c61_tn.jpg']
