,별점,주문메뉴,리뷰,사진
0,5,"['1인 갈비삼겹도시락', '마', ' 고추 슬라이스)']",반찬도 푸짐하고 깔끔하고 맛도있어요! 추천합니다,['https://rev-static.yogiyo.co.kr/312562615c33688de315b65928bdddff_tn.jpg']
1,5,"['1인 보쌈도시락', '마', ' 고추 슬라이스)']",마싯서영 ㅇㅇㅇㅇㅇ,[]
2,5,"['1인 보쌈도시락', '마', ' 고추 슬라이', '새우젓)']","새로 생긴 가게여서 호기심 반으로 주문해보았습니다. 보쌈 고기는 역시 수비드라 그런지 촉촉하고 다른 반찬들도 다 좋았는데 요구르트는 안 왔네요. 실수셨겠죠. ^^;고기가 얇은 게 좋을 수도 있는데 너무 얇아서 좀 간질나기도. 이거 한 젓가락에 두 개씩 집어먹을까 하는 고민,",['https://rev-static.yogiyo.co.kr/2ffc8279e0f9cad6a8825323ed10904a_tn.jpg']
3,5,"['1인 갈비삼겹도시락', '쌈야채＋쌈', '마', ' 고추 슬라이', '새우젓)']",배달 빨리 왔어요냉면 시원하니 맛있어요.,"['https://rev-static.yogiyo.co.kr/a171e366a32d2430d1fd870439c28065_tn.jpg', 'https://rev-static.yogiyo.co.kr/f01d28f83f751f8bc2a0a4fa3bc9eb75_tn.jpg']"
4,5,"['1인 갈비삼겹도시락', '마', ' 고추 슬라이스)']",맛은 와 맛있다는 아니고 평범하게 맛있네요,['https://rev-static.yogiyo.co.kr/89bfa6c09935a91fe99a3ee53d415ef5_tn.jpg']
5,5,['1인 직화제육도시락'],좀 지나고 먹어서 식었지만 맛있네요! 깔끔하게 포장 잘 되어있고 배달도 시간에 맞춰 잘 왔어요 제육이 너무 먹고싶었는데 이렇게 배달 되는곳이 있다니 감사합니다 잘먹었어요!,['https://rev-static.yogiyo.co.kr/b7cd8a67eded6c35ca4a5720b1a0403c_tn.jpg']
6,5,"['1인 갈비삼겹도시락', '마', ' 고추 슬라이', '계란찜)']",리뷰 잘 안남기는데 맛있어서 남겨요^^갈비도시락 간도 자극적이거나 쎄지않고 질리지않는맛이라 좋아요! 단골될거같아요:),[]
7,4,"['1인 갈비삼겹도시락', '마', ' 고추 슬라이스)']",구성이 괜찮았습니다,['https://rev-static.yogiyo.co.kr/c673094b141898522700029c586b6df5_tn.jpg']
8,5,['1인 직화제육도시락'],맛있습니다. 빠릅니다.,[]
9,5,"['1인 직화제육도시락', '마', ' 고추 슬라이스)']",제대로 된 도시락집 입니다,[]
10,5,"['1인 직화제육도시락', '마', ' 고추 슬라이스)']",맛있습니다.....,[]
11,5,['1인 갈비삼겹도시락'],후기가 없어 고민하다 시켰는데 자극적이지 않고 괜찮아요!집밥 먹는 느낌요!,['https://rev-static.yogiyo.co.kr/362343abf873c11196e9fdc0b46ba0e3_tn.jpg']
12,5,['1인 직화제육도시락'],제육은 살짝 매콤한데 괜찮네요전체적으로 깔끔하고 양도 적지 않은데쌈채소는 2인기준 너무 적어요1인기준이여도 조금인데 2인인데도 이정도의 양이라니조금 아쉽네요,['https://rev-static.yogiyo.co.kr/9f585f5589a3582c58d718a72053b609_tn.jpg']
13,5,"['1인 갈비삼겹도시락', '마', ' 고추 슬라이스)']",제육 먹다 갈비 먹었는데 갈비도 맛있네요,[]
14,5,"['1인 갈비삼겹＋1인직화제육', '쌈야채＋쌈', '마', ' 고추 슬라이', '새우젓)']",제육이 맛있어서 또 시켯는데 이번엔 불맛이 쪼끔 약햇어요ㅠㅠ 냉면은 곱빼기가 안되나보ㅓ영! 그래도 맛낫어요옹 냉면이 뿔어서 와서 너무 아쉬부ㅜㅜ,['https://rev-static.yogiyo.co.kr/74f757a73e1d7bdd8ca5e70c7fcce2c9_tn.jpg']
15,5,"['1인 보쌈도시락', ' 1인 직화제육도시락']",빠르게 배달된 음식이 맛이 좋습니다,[]
16,5,"['1인 직화제육도시락', '마', ' 고추 슬라이', '계란찜)']",저번에도 시켜먹고 좋은기억에 다시시켰어요♡♡혼자먹기 넘넘좋은양.맛.배달.감동감동♡♡번창하세요 자주애용할게요ㅎ,['https://rev-static.yogiyo.co.kr/a037c6f31d0da2c599fe0ffaa61d1e73_tn.jpg']
17,4,"['1인 갈비삼겹도시락', '쫄면)']",감사합니다감사합니다,[]
18,5,"['1인 직화제육도시락', '마', ' 고추 슬라이', '공기밥)']",오래만에 맛집 찾았네요~ 양은 1인분보다 많은거 같고 맛도 다른 집보다 불향이 있어서 맛나요~ 담에 또 시켜먹을거 같음  ㅎ ㅎ,['https://rev-static.yogiyo.co.kr/701a1ad5972abf4e5f9711d0ab608dc7_tn.jpg']
