,별점,주문메뉴,리뷰,사진
0,5,"['（세트） 속초오징어바싹불고기 도시락', '（세트） 주꾸미볶음 도시락 （쌈제외）']",맛있어요! 배달음식 자주 시키지만 본도시락운 굉장히 깔끔하게 오고 조리날짜도 표시되서 안심하고 먹을수 있어서 좋아요 쭈꾸미가 먹고싶어 시켯는데 불맛나고 맛나용!!! 밥도 양이 많더라구요! 이왕 도시락 시키는거 품격있게 먹는거 같아서 좋았어용 다음에도 시킬게요,['https://rev-static.yogiyo.co.kr/3d202c9d53c9891f3dc412b37d96fe1c_tn.jpg']
1,5,"['（세트） 우렁 강된장쌈밥 도시락', '닭강정']",맛있습니다!!!! ㅋㅋ,[]
2,5,"['일품불고기 도시락', '광양식바싹불고기（일품반찬）']",오....바싹 불고기 존맛...,[]
3,5,"['（세트） 우삼겹 부대 두루치기 도시락', '（세트） 제주모자반쇠고기미역국 도시락']",너무 맛있네요^^ 나중에또시켜먹을께요~ 번창하세요 ㅎ,[]
4,4,"['명품갈비구이 도시락', '델리팸게살볶음밥 도시락', '달래삼겹구이 반찬（일품반찬）', '한라봉소스수작돈까스（일품반찬）', '광양식바싹불고기（일품반찬）']",빠른 배송 감사해요~~ 맛도 좋았어요..,[]
5,5,"['（세트） 우삼겹 부대 두루치기 도시락', '（세트） 돼지고기 묵은지찌개 도시락']",고급 도시락 맛있어용 ㅋ,[]
6,5,"['（세트） 한라봉소스수작돈까스 도시락', '（세트） 부추제육볶음 도시락 （쌈제외）']",깔끔하고 간편하고 맛있어요. 또 이용할게요.,[]
7,4,"['（세트） 봄주꾸미달래삼겹구이 도시락', '（세트） 부추제육볶음 도시락 （쌈제외）']",배달되서 편하게 집에서 먹기 좋아요 맛도 괜찮고 한끼 식사로 괜찮네요~~,[]
8,5,"['（세트） 속초오징어바싹불고기 도시락', '닭강정']",맛있습니다앙 ㅋㅋ!!,[]
9,3,"['일품불고기 도시락', '부추제육볶음（일품반찬）']",평보고 기대했다 실망요.그냥 편의점 도시락에서 용기만 고급스럽게 한듯요.고급메뉴 시키지마시고 저렴한 메뉴들로 드시면 급할땐 괜찮을듯요.,[]
10,5,"['（세트） 얼큰소고기가마솥국밥 도시락', '（세트） 광양식바싹불고기도시락']",입덧중인데 국 너무 맛있어요 애기도 잘 먹고 양도 많고 비오는데 배달도 빠르네요!건강한 맛입니다 또 주문할게요 번창하세요^^,['https://rev-static.yogiyo.co.kr/a7d03d5da4e248d52a4d1ed3087fec0e_tn.jpg']
11,5,"['（국） 돼지고기 묵은지찌개 도시락', '속초오징어바싹불고기（일품반찬）', '광양식바싹불고기（일품반찬）']",맛도있고 배달도빠르고다만 아쉬운건 가격대비 양이 너무 적어요,[]
12,5,"['（세트） 꽃게애호박된장찌개 도시락', '（세트） 광양식바싹불고기도시락']",항상 맛있고 배달도 빠릅니다 ㅋㅋ,[]
