,별점,주문메뉴,리뷰,사진
0,3,[],매탄동점은 맛있어서 자주 시켜먹다가 요기요에 영통점 있길래 시캬먹었는데 기대 이하임게다가 배달료 천원도 추가로 받아서 맘상했음,[]
1,4,[],밥이 고슬고슬 맛있고 전반적으로 정갈해요.,[]
2,5,[],역시 본도시락!! 이제 영통에서도 시켜먹을수있어 좋네요~,[]
3,5,[],도시락은 그럭저럭이고 훈제 삼겹은 맛있어요☆.☆,[]
4,5,[],맛있어요^^국은건더기를좀더많이넣어주셧으면,[]
5,4,[],배달도 빠르고 맛좋아요,[]
6,5,[],주문하자마자 연락와서 확인하고 배달도 빨리와서 좋았습니다~!!!,[]
7,5,[],맛잇어요 짱짱,[]
8,5,[],배달도 빠르고 맛있어용~~~~,[]
9,3,[],도시락 반찬이 별루 였어요밥 양도 조금적고  너비아니도 별루고요닭강정은 먹을만했습니다,[]
10,3,[],요기요에서 결제 안되는것과트로피카나가 없었던것이 아쉬웠고맛자체는 먹을만한 정도였습니다,[]
11,4,[],제육 쌈밥은 맛있고 소불고기 별로.. 배달 오래걸림,[]
12,5,"['일품 불고기 도시락', '케이준치킨샐러드']",깔끔하게 와서 놀랐어요 맛있어요,[]
13,5,"['제육쌈밥 도시락', '수작돈까스 도시락', '치킨마요 도시락']",맛있어요깔끔하구,[]
14,5,[],자주시켜요.깔끔하고괜찮은도시락,[]
15,5,['제육쌈밥 도시락'],"정말 깔끔하고 맛있습니다! 보통 도시락 시켜먹으면야채도 시들하고 반찬도 오래된듯한 것들이 오는데,여긴 포장만큼이나 반찬들도 신선하고 깔끔하네요!!",[]
16,4,"['제육쌈밥 도시락', '불닭갈비 도시락', '찹쌀 탕수육']",깔끔해서 자주 먹을만 할 것 같아요.,[]
17,5,[],맛있네요,[]
18,5,[],맛 좋고 배송 빠르고 정말 즇아요!,[]
19,5,[],굿,[]
20,4,[],잘먹었어요,[]
21,5,"['제육쌈밥 도시락', '닭강정']",맛있어요!다음에 또시켜먹을게요,['https://rev-static.yogiyo.co.kr/fd0b996ad54f19daf0fb2564a1f37170_tn.jpg']
22,3,[],사이드메뉴에 공기밥 추가 가능한걸로 아는데어플 메뉴엔 등록이 안되어있어서 불편해요추가해주세요,[]
23,5,[],맛있게 잘먹었어요. 아이가 자연미인도시락 좋아해요,[]
24,5,"['특선 갈비구이 도시락', '차돌박이강된장쌈밥 도시락']",맛있어요,['https://rev-static.yogiyo.co.kr/93e550cd0c64306fbce7fca0d401f7dc_tn.jpg']
25,5,[],기대이상으로 맛있었어요~담에도 또 이용할께요~^^,[]
26,5,"['차돌박이강된장쌈밥 도시락', '제육쌈밥 도시락']",깔끔한도시락이에요맛도괜찮고~자주애용할듯요^^,[]
27,5,"['우렁강된장쌈밥 도시락', '광양식 바싹불고기 도시락', '케이준치킨샐러드']",맛있어요ㅎㅎ,['https://rev-static.yogiyo.co.kr/0bfc7f0c7217f96689deaf39eaaf2ef4_tn.jpg']
28,5,"['우렁강된장쌈밥 도시락', '제육쌈밥 도시락', '광양식 바싹불고기 도시락']",맛있어요,[]
29,5,['광양식 바싹불고기 도시락'],깔끔한 한끼 맛있게 먹었습니다.,[]
30,5,"['명이오리구이쌈 도시락', '우렁강된장쌈밥 도시락']",맛있어요 드셔보세요ㅎㅎ,['https://rev-static.yogiyo.co.kr/fef55975562f89defbc41520f9cd51d8_tn.jpg']
31,3,[],가격대비 그냥 그래요ㅜㅜ,[]
32,5,[],맛있어요,[]
33,5,"['다이어트닭가슴살 도시락', '건강미인 도시락', '치킨마요 도시락']",맛있다..,[]
34,5,"['건강미인 도시락', '김치볶음밥 도시락', '치킨마요 도시락']",맛있어요,[]
35,4,[],생각보다 양호,[]
36,4,"['（세트）버섯불고기도시락', '（국）쇠고기미역국 도시락', '칠리함박스테이크도시락']",도시락으로 먹기편했어요,[]
37,5,"['（단품）매운낙지볶음도시락', '김치볶음밥도시락', '속초식 새우닭강정']",ㅎㅎ,['https://rev-static.yogiyo.co.kr/54b118663eeba588b5b26f5cb461f94b_tn.jpg']
38,4,"['（단품）차돌박이강된장쌈밥도시락', '（단품）광양식바싹불고기도시락', '（국＋밥）쇠고기미역국 도시락', '치킨마요（곱빼기）', '속초식 새우닭강정', '공기밥']",깔끔하고 좋긴하나 가격 생각하면 아무래도 비싼감이없잖아있네요..글구 배달시간 1시간정도걸렸는데 넘 오래걸린것같아요..ㅠㅠ,[]
39,3,"['（단품）광양식바싹불고기도시락', '속초식 새우닭강정', '쌈야채', '식혜']",매번 시켜먹는데 아이들이 매워해서 양녕조금만 해달라고 메모남겼는데도 전과 똑같이 보내셨네요! 메모 체크는 하신건지..,['https://rev-static.yogiyo.co.kr/92fdd271d556c07d9771e1f07b538bf0_tn.jpg']
40,3,[],탕수육이랑 돈까스 등 주문했는데... 그냥 한끼 먹긴 괜찮은 것같아요,[]
41,5,[],맛있게 잘 먹었습니다^.^,[]
42,3,[],맛있었는데~살짝  양 이  적어요,[]
43,5,"['（단품）한라봉소스수작돈까스 도시락', '（단품）광양식바싹불고기 도시락', '핫윙']",괜찮아요,[]
44,5,"['（단품）한라봉소스수작돈까스 도시락', '（단품）광양식바싹불고기 도시락', '（단품）숯불제육구이쌈밥 도시락']",ㅎ,[]
45,4,[],주문한거랑 달리왔네요. 그래도 맛있어서 완전 맛있게 먹었어요.,[]
46,5,[],배달도 빠르고 맛도 좋아요..^^ 믿고 먹을수 있는 도시락..,[]
47,3,[],편리하게 먹자고 한건데 비가와서 그런지 배달도 늦고 양도 작았어요~ 8000원이란 가격대비 메인의 양이 적어 아쉬웠네요,[]
48,5,"['（국）제주모자반 쇠고기국', '고흥유자소스찹쌀탕수육', '치킨마요 도시락', '영양버섯불고기 일품반찬']",깔끔한 도시락양은 조금 작아요양보다 질인 도시락으로 강추,[]
49,5,[],배달 빠르고 음식 맛있네요!,[]
50,5,[],"최고지요, 가격이 조금 부담이긴하지만 정성과 맛이 최고에요.",[]
51,5,"['（국）제주모자반 쇠고기국', '（세트）자연미인 도시락', '오징어바싹불고기 일품반찬']",아이들이 미역국 엄청 맛있게 잘먹었습니다. 위킹맘에게 이리 좋은 도시락집이 있는건 감사한 일이죠..,[]
52,4,[],국이진짜 맛있어요!,[]
53,5,"['（국＋밥）꽃게애호박된장찌개 도시락', '（세트）우삼겹강된장쌈밥 도시락']",꽃게 애호박 된장국 강력 추천이요!,[]
54,5,[],짜지않은 반찬들이 일품이였습니다,[]
55,5,"['속초오징어바싹불고기（일품반찬）', '속초오징어볶음（일품반찬）', '삼채간장 고등어구이（일품반찬）']",맛있게 먹었어요^^고등어는 좀 바싹하게 익히면 좋겠어요~~,[]
56,5,"['（세트） 광양식바싹불고기도시락', '（세트／쌈제외） 쭈꾸미삼겹구이 도시락', '유자소스찹쌀탕수육']",그나마 배달음식 중 건강하게 집밥같이 먹고싶을 때 자주 시켜요! 매뉴도 다양하고 맛도있고 항상 빠른 배달이여서 만족해요~~~!,[]
57,3,"['（세트） 산채 불고기 정식 도시락', '（세트） 더덕고추장삼겹구이 도시락', '（세트） 광양식바싹불고기도시락']",고기에 양념이 덜 베어서 그냥 씹는 맛으로 먹었어요.충분히 예상가능한 도시락맛...,[]
58,5,"['제주가을별식 도시락', '（국） 묵은지찌개 도시락', '（단품／쌈제외） 부추제육볶음 도시락', '케이준치킨샐러드', '델리팸김치볶음밥도시락']",맛있습니다ㅜㅜ 도시락이 깔끔하고 반잔도 다양하고 맛도 좋습니다~,[]
59,5,"['（세트） 묵은지찌개 도시락', '（세트） 광양식바싹불고기도시락', '（세트） 쭈꾸미삼겹구이쌈밥 도시락']",쭈꾸미 매워요~~! 마요소스랑 찰떡궁합 묵은지 찌개는 너무 짰네요 ㅜㅜ 수저 젓가락 안가져다 주셨어요 바쁘신지..그래도 믿고 먹는 본도시락! 담엔 다른메뉴로~~~,[]
60,5,"['（세트） 광양식바싹불고기도시락', '삼채간장 고등어구이（일품반찬）', '산채나물반찬（일품반찬）']",가격대비 양이 좀 적은 것 같아요맛은있어요:),[]
61,5,['명품갈비구이 도시락'],처음으로 리뷰쓰는것 같네요.양과 배달은 정말 아쉬운데...맛과향이 정말 일품이라 안남길수가없네요...할머니집에서 진수성찬먹는 느낌 들었습니다..진짜 맛있게 잘먹었구요! 번창하세요♡,[]
62,5,"['（단품） 광양식바싹불고기도시락', '케이준치킨샐러드', '델리팸김치볶음밥도시락']",다좋습니다 맛잇기도하고,[]
63,5,"['제주가을별식 도시락', '장어더덕보양한정식 도시락', '궁중한정식 도시락', '명이오리구이쌈 도시락', '（세트） 묵은지찌개 도시락']",맛있게 잘먹었습니당,['https://rev-static.yogiyo.co.kr/613063bd31626e2129f089df88cd1e6f_tn.jpg']
64,5,['제주가을별식 도시락'],"본도시락,제주가을별식도시락.진짜 환상의 맛이다.♡♡♡♡♡별다섯개.#본도시락스타그램#제주의가을#제주가을별식도시락",['https://rev-static.yogiyo.co.kr/1ad6e3f56e478fc8e074d903cbdd4129_tn.jpg']
65,4,"['（국） 꽃게애호박된장찌개 도시락', '（세트／쌈제외） 부추제육볶음 도시락', '케이준치킨샐러드']",한끼 때우기 무난해요,[]
66,5,"['（단품） 꽃게애호박된장찌개 도시락', '（세트） 속초오징어바싹불고기 도시락', '치킨마요 도시락']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/ffd02560c0fae2d8a349a11f9d336c2d_tn.jpg']
67,4,[],"맛은 추천, 가격대비 양은 아쉽",[]
68,3,"['（세트） 꽃게애호박된장찌개 도시락', '（세트） 우삼겹 강된장쌈밥 도시락']",양너무 너무 적어요 기본반찬도 편의점만 못하구요 된장찌게는 맛잇지만 우삼겹강된장은 상추가 3장..그냥삼겹살이 된장에 갈아진거엿네요모르고 시켰지만 괜히 기본반찬기대하고 세트로 시켯네요 장아찌위주라 그냥 메인만 단품으로 시켜도될듯해요,[]
69,3,['명품갈비구이 도시락'],肉肥真的真的肥这次真的很肥之前的还好,[]
70,2,['명품갈비구이 도시락'],음식이 다 식어서 오고 밥은 너무 적었어요  가격에 비해 실망입니다.,[]
71,4,"['（세트） 꽃게애호박된장찌개 도시락', '（세트／쌈제외） 부추제육볶음 도시락']",한끼 든든하게 먹기 딱 좋음 굳굳,[]
72,4,"['（세트） 꽃게애호박된장찌개 도시락', '（세트） 속초오징어바싹불고기 도시락']",첨시켜봤는데 깔끔하니 맛도괜찮네요또 시켜먹을거 같아요,['https://rev-static.yogiyo.co.kr/ae2a7f3122a749d5e4a50e772d294be8_tn.jpg']
73,5,"['（단품） 우삼겹 강된장쌈밥 도시락', '고구마견과류샐러드', '케이준치킨샐러드']",정말 퀄리티 좋은 도시락입니다.,[]
74,5,"['（단품） 제주모자반쇠고기미역국  도시락', '（세트） 우삼겹 강된장쌈밥 도시락', '고구마견과류샐러드']",고구마 샐러드 첨인데 괜찮아요.. 양이 좀 아쉽네요.,[]
75,4,"['일품불고기 도시락', '닭강정']","good. timely, lots of food.",['https://rev-static.yogiyo.co.kr/6e0ee6509afc48e963db9d931a244e3f_tn.jpg']
76,4,"['（세트） 꽃게애호박된장찌개 도시락', '케이준치킨샐러드', '특선반찬（일품반찬）']",항상 간단한 한식이 끌릴때 시켜먹는데 무난합니다,[]
77,5,"['일품불고기 도시락', '케이준치킨샐러드']",가격값 하네욤~ 윙이 ㄹㅇ 굿,[]
78,4,"['（국） 꽃게애호박된장찌개 도시락', '（세트）울릉도한상도시락']",집에서 밥먹기 귀찮을때 딱 좋아요,[]
79,5,"['（세트／쌈제외） 쭈꾸미삼겹구이 도시락', '유자소스찹쌀탕수육']",굿굿굿 좋아요 맛있어요,[]
80,5,"['（세트） 속초오징어바싹불고기 도시락', '（단품） 춘천불닭갈비 도시락']",다시한번더 시켜먹는당,[]
81,5,"['（세트） 영양버섯불고기 도시락', '（세트） 묵은지찌개 도시락', '냉식혜']",양이 조금 적었지만 그래도 맛있어요,[]
82,5,"['케이준치킨샐러드', '영양버섯불고기（일품반찬）', '부추제육볶음（일품반찬）']",맛있어요 배달도 빠르고,[]
83,4,"['우삼겹구이젓갈쌈밥 도시락', '（세트） 우렁 강된장쌈밥 도시락', '델리팸 한조각', '냉식혜']",ㅠㅠ젓갈 너무 비림. 강된장 맛있음! 우삼겹도 맛있음.,"['https://rev-static.yogiyo.co.kr/cc5b75f5938916670e0f4a3cd9d09f44_tn.jpg', 'https://rev-static.yogiyo.co.kr/ccf7caf4c7dd11b6adb25d1d476e5086_tn.jpg', 'https://rev-static.yogiyo.co.kr/8048df6cdd079f808365bd152dd35dca_tn.jpg']"
84,4,"['（세트） 꽃게애호박된장찌개 도시락', '다이어트닭가슴살샐러드', '델리팸 한조각', '냉식혜']",항산 밥 차리기 귀찮을때 잘 먹고 있어요,[]
85,4,"['（세트） 꽃게애호박된장찌개 도시락', '속초오징어바싹불고기（일품반찬）', '특선반찬（일품반찬）']",언제나 귀찮을때 애용합니당,[]
86,5,"['（세트） 묵은지찌개 도시락', '（국） 제주모자반쇠고기미역국 도시락', '델리팸김치볶음밥도시락']","충분히 맛 있습니다. 나가서 왠간한 음식점 가서 먹는거보다 훨씬요.배달도 처음 주문할때 45분 가량 걸린다고 문자 왔었는데 훨씬 일찍 오신듯 합니다.유일한 단점은 양이 조금 적습니다. 성인 20, 30대 보통 체격의 보통 남자기준으로 적어도 제가 시킨 메뉴들은 컵라면이라도 추가로 드시면 알맞을 것 같아요어쨋든 양은 적었지만 맛있었고 배달도 빨리 와주셨고 전 추천합니다",[]
87,4,"['（세트） 꽃게애호박된장찌개 도시락', '케이준치킨샐러드', '광양식바싹불고기（일품반찬）']",굳굳 자주 시켜먹게 되네용,[]
88,4,"['（세트） 꽃게애호박된장찌개 도시락', '（세트） 부추제육볶음쌈밥 도시락', '케이준치킨샐러드']",꽃게된장찌게 맛있네요..^^,[]
89,4,"['（단품） 우렁 강된장쌈밥 도시락', '다이어트닭가슴살샐러드', '산채나물반찬（일품반찬）']",닭가슴살  눅눅해요,[]
90,5,"['（세트）얼큰소고기가마솥국밥 도시락', '（세트） 묵은지찌개 도시락']","존맛.,,,,,,,",[]
91,5,"['（세트） 묵은지찌개 도시락', '속초오징어바싹불고기（일품반찬）', '흑미밥 추가', '냉식혜']",너무너무너무맛잇어요,[]
92,5,"['（단품） 꽃게애호박된장찌개 도시락', '（세트）울릉도한상도시락']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/d2bdf8bc0c81bd2d92684dea4a838dee_tn.jpg']
93,3,"['（국） 꽃게애호박된장찌개 도시락', '（국） 묵은지찌개 도시락', '（세트） 광양식바싹불고기도시락', '젓갈반찬（일품반찬）']",일반메뉴들은 기본은 하는거같아요~~젓갈반찬 처음시켜봤는데 종류에 비해 맛은 좀......,[]
94,3,"['델리팸게살볶음밥 도시락', '한라봉소스수작돈까스（일품반찬）', '광양식바싹불고기（일품반찬）']",둘이 먹으려고 시킨건데 부족했어요담에는 세트로 시켜야겠어요실물은 조금 실망햇지만 나름 맛있게 먹었어요,"['https://rev-static.yogiyo.co.kr/a999d491556534a0f7bcac1cd0369eba_tn.jpg', 'https://rev-static.yogiyo.co.kr/b1acec1598b2d114172ea0965b3c10db_tn.jpg']"
95,5,"['（세트） 묵은지찌개 도시락', '（세트） 속초오징어볶음 도시락']",양은 좀부족ㅠ 근데 맛나요,[]
96,5,"['（세트）얼큰소고기가마솥국밥 도시락', '（세트） 산채 불고기 정식 도시락']",무난하게 맛있어요.,[]
97,3,"['（단품） 광양식바싹불고기도시락', '（단품／쌈제외） 부추제육볶음 도시락']",다른음식에비해비싼편이예요.,[]
98,5,"['일품불고기 도시락', '다이어트닭가슴살샐러드']",진짜 맛있어요 고구마ㅎㅎㅎ,[]
99,5,"['일품불고기 도시락', '곤드레닭가슴살도시락']",2개 메뉴를 시켰는데 수저는 하나뿐이 안주셨네요..?ㅎㅎ,['https://rev-static.yogiyo.co.kr/6b11dd6a9227f259fd2c06f325b573a2_tn.jpg']
100,4,"['（세트） 꽃게애호박된장찌개 도시락', '닭강정']",맛잇는데 양이좀적습다,[]
101,4,"['（세트） 묵은지찌개 도시락', '（세트） 부추제육볶음쌈밥 도시락']",고기랑 김치찌개가 매워서 눈물콧물 흘리며 먹었어요ㅜㅋ 그래도 맛있게 먹었어요아기 자고 있어서 문앞에 두고 문자요청 했는데 정말 조용히 갖다주셔서 감사했어요^^,"['https://rev-static.yogiyo.co.kr/4cc74186c3db42ba91f4a48dee05d458_tn.jpg', 'https://rev-static.yogiyo.co.kr/4ad4dd1ed8649fbb3e3f268d18d10d8e_tn.jpg']"
102,4,"['（세트） 꽃게애호박된장찌개 도시락', '케이준치킨샐러드', '한라봉소스수작돈까스（일품반찬）']",한끼 때우기 무난합니당,[]
103,5,"['（단품） 영양버섯불고기 도시락', '（국） 꽃게애호박된장찌개 도시락', '（단품） 제주모자반쇠고기미역국  도시락']",맛있어요 배달도빨라요,[]
104,1,"['（세트）얼큰소고기가마솥국밥 도시락', '델리팸게살볶음밥 도시락', '냉식혜']",주문했는데 냉식혜빼고 배달오고 전화를 해도 전화를 안받아요,[]
105,4,"['（세트）얼큰소고기가마솥국밥 도시락', '（세트） 묵은지찌개 도시락']",간단하게 잘 먹었어요,[]
106,5,"['（단품） 울릉도한상도시락', '부추제육볶음（일품반찬）']",맛남ㅇㅇㅇㅇㅇㅇㅇㅇ,[]
107,5,"['（세트） 산채 고등어구이 정식 도시락，', '（세트） 영양버섯불고기 도시락', '속초오징어볶음（일품반찬）']",양도 많고 배달이 엄청빠르네요다만 메뉴구성에 대해 자세히 설명이있음좋겠어요,[]
108,4,"['（세트）울릉도한상도시락', '산채나물반찬（일품반찬）']",좀 식어서요 ㅠㅠ 그래도 맛났어요 ㅋㅋ,[]
109,4,"['（세트） 산채 고등어구이 정식 도시락，', '（세트） 부추제육볶음쌈밥 도시락']",아직 도착 전이네요본 도시락이니 믿고 리뷰씁니다,[]
110,5,"['（세트） 속초오징어바싹불고기 도시락', '유자소스찹쌀탕수육']",좋아요 자주시킵니다,[]
111,5,"['（세트） 광양식바싹불고기도시락', '（세트） 우렁 강된장쌈밥 도시락', '고구마견과류샐러드']",맛있었지만 배달이 아쉬워요,[]
112,5,"['（세트） 부추제육볶음쌈밥 도시락', '속초오징어바싹불고기（일품반찬）', '핫윙']",밥 차려 먹기 싫을 때 너무 좋았어요~ 집밥 느낌~ 잘 먹었습니다!,[]
113,4,"['（세트） 쭈꾸미삼겹구이쌈밥 도시락', '（세트） 부추제육볶음쌈밥 도시락', '쌈야채']",뭐먹을지 생각안날때 항상 시켜먹습니다 좋아요,[]
114,2,"['명이오리구이쌈 도시락', '（세트） 꽃게애호박된장찌개 도시락']",밥이 떨어져서 곤드레밥을 가져다 주신다고 했는데 한그릇당 2000원씩 추가지불했는데요그럼 곤드레밥 한공기가 4000원인건가봅니다....,[]
115,5,"['일품불고기 도시락', '（세트） 묵은지찌개 도시락', '흑미밥 추가', '델리팸 한조각']","한식 먹고 싶을 때, 빠른 배달 음식 먹고 싶을 때 짱인듯",[]
116,3,"['（단품）얼큰소고기가마솥국밥 도시락', '（세트） 영양버섯불고기 도시락', '（단품） 꽃게애호박된장찌개 도시락', '광양식바싹불고기（일품반찬）']","배달은 빠른편인것 같은데, 반찬이나 음식의 양은 가격대비 생각보다 많이 부족한것 같네요",[]
117,4,"['（세트）얼큰소고기가마솥국밥 도시락', '（세트／쌈제외） 쭈꾸미삼겹구이 도시락']",영양도 만점 배달도 만점 맛도 굿 ㅎㅎ,[]
118,5,"['（단품） 영양버섯불고기 도시락', '델리팸김치볶음밥도시락', '치킨마요 도시락']",맛잇어여여여여여여ㅕㅇ,[]
119,5,"['궁중한정식 도시락', '핫윙', '냉식혜']",고기도 맛있고 국도 좋은데 밥까지 맛있음,[]
120,4,"['（세트）울릉도한상도시락', '우삼겹구이젓갈쌈밥 도시락']",그냥 밥해먹기 싫을때 먹을만함,[]
121,4,"['（세트） 꽃게애호박된장찌개 도시락', '（세트） 한라봉소스수작돈까스 도시락', '치킨마요 도시락']",맛있게 잘먹었습니다,[]
122,4,"['（단품） 얼큰소고기가마솥국밥 도시락', '（단품） 울릉도한상도시락', '냉식혜']",맛이랑 배달도 빠르고 좋은데 양이 별로 ㅠㅠ,[]
123,4,"['（세트） 우삼겹 부대 두루치기 도시락', '닭강정', '케이준치킨샐러드', '핫윙']",맛있어용 ! 양도 많고 닭강정 최고ㅠ,"['https://rev-static.yogiyo.co.kr/781d4e5b0df2d6c1f32ffb03c9b18889_tn.jpg', 'https://rev-static.yogiyo.co.kr/c0ee466c4a907812fa86b0d312ab78f4_tn.jpg']"
124,4,"['（단품） 영양버섯불고기 도시락', '치킨마요 도시락', '고구마견과류샐러드']",너무좋슺니다 맛나요 ㅎㅎㅎ,[]
125,4,"['（단품） 주꾸미볶음 쌈밥 도시락', '（단품） 우렁 강된장쌈밥 도시락', '속초오징어바싹불고기（일품반찬）', '냉식혜']",ㅂ . ㅂ . 맛있음,['https://rev-static.yogiyo.co.kr/c4cae58c86d44bf5f7a63ce38efdaf26_tn.jpg']
126,5,"['（단품） 우삼겹 부대 두루치기 도시락', '델리팸김치볶음밥도시락', '고구마견과류샐러드']",맛잇엇습니다 짱이에요,[]
127,4,"['닭강정', '치킨마요 도시락', '한라봉소스수작돈까스（일품반찬）', '광양식바싹불고기（일품반찬）']",가격대비 양 은 정말 좋았어요 ㅎㅎ 배달도 빠르구요,[]
128,5,"['찹쌀 탕수육', '속초오징어바싹불고기（일품반찬）', '젓갈반찬（일품반찬）']",양도적당하고 맛있습니다.,[]
129,5,"['（국） 제주모자반쇠고기미역국 도시락', '（단품） 광양식바싹불고기도시락', '찹쌀 탕수육', '델리팸 한조각']",맛있게 잘 먹었습니다,[]
130,5,"['（세트） 돼지고기 묵은지찌개 도시락', '찹쌀 탕수육', '치킨마요 도시락']",배달도 빠르고 맛있었어요~ 다음에 또 주문하려구요!,[]
131,4,"['（세트） 꽃게애호박된장찌개 도시락', '부추제육볶음（일품반찬）', '쌈야채']",굳 한끼 때우기 좋아요,[]
