,별점,주문메뉴,리뷰,사진
0,5,"['봉추 찜닭 小', '당면따로（조리필요）']",덜맵게로 몇차례 시켜먹다 이번엔 매콤한게 당기더라고요!그래서 매운맛으로 주문하다보니 당면을 따로하는 메뉴가 있길래 도전해봤어요. 배달왔는데 조리법을 프린트해서 넣어주셨더라고요. 적힌대로 해봤더니 당면이 쫄깃해서 매장에서 먹는것 같았어요 ㅎㅎㅎ 다음에도 당면따로로 하려고요!,"['https://rev-static.yogiyo.co.kr/44e4b837950e42d5bef49be1e916865c_tn.jpg', 'https://rev-static.yogiyo.co.kr/4b04dd3e348f943220c6694858e8bb96_tn.jpg']"
1,5,[],맛있어요~더매운맛 얼큰하니좋네요,[]
2,5,"['봉추 찜닭 小', '당면추가']",다른 찜닭집들보다 맛있고.. 항상 같은 맛을 유지해주는 것 같아서 좋아요~ 당면 추가해서 먹으니 양도 많아 좋더라고요~,[]
3,3,['봉추 찜닭 小'],간이 안맞아서 아쉬웠습니다...,[]
4,5,['봉추 찜닭 小'],배달기사분이 문앞에 놓고만 가셔서 면이 다 불어 어떻게 하나 하고 있었는데사장님께서 다시 전화주시고 음식 새로만들어 주셔서 너무 감사했어요양도 맛도 친절도 굿입니다,[]
5,4,['봉추 찜닭 小'],맛있는데 육수가 너무 면에 쫄아서 하나도없이와요ㅜ아쉽지만 그래도 찜닭은 봉추ㅋ,[]
6,3,['봉추 찜닭 小'],그냥 보통이에요~~~,[]
7,5,['봉추 찜닭 中'],매번 만족하는 봉추찜닭!!,[]
8,4,"['봉추 찜닭 中', '당면추가', '누룽지볶음밥', '당면따로（조리필요）']",배달은 좀 느리고 양은 적은거 같지만 맛은 딱이에여!!매번 당면 추가해서 먹는데 너무 좋아요~다만 당면 추가시에는 소스양을 늘여 주셨으면 좋겠어요,[]
9,5,"['봉추 찜닭 小', '공기밥', '캔콜라']",더 자주 애용하고 싶은데 약간 멀어서 미안해서 못 시키겠네요 ㅠㅠ그래도 시켜먹을만큼 양도 맛도 굿입니다~,[]
10,5,"['봉추 찜닭 小', '당면추가']",너무 괜찮습니다!!!!,[]
11,4,['봉추 찜닭 小'],국물 넉넉히 오고 좋았어요맛있게잘먹었습니다.,['https://rev-static.yogiyo.co.kr/20c4be3843e2443e4bd7b5a3c55e051b_tn.jpg']
12,5,['봉추 찜닭 大'],맛이가 있었습니다.,[]
13,3,"['봉추 찜닭 小', '공기밥', '당면추가']",왜 당면따로를 시키는지 알겠지만 귀찮아서 그냥 시켰습니당.,[]
14,4,['봉추 찜닭 小'],매운맛은 진쯔맵네요,[]
15,4,['봉추 찜닭 小'],둘이 먹기 딱 좋은 양에 맛도 괜찮아요다만 당면을 따로 시켜서 조리하긴 귀찮고 넣어서 배달하면 국물 쫄거 같아서 국물많이 요청했더니 나름 안쫄고 잘 먹었네요~,[]
16,3,['봉추 찜닭 小'],닭양이 생각보다는 적은느낌이예요,[]
17,4,['봉추 찜닭 小'],맛도 있었고 양도 좋았어요근데 배달이 오래걸리네요 문자오면 65분 걸린다고 오긴 왔지만 70분만에 왔네요 진짜 꽉 채울줄은 몰랐네요암튼 마니 파세요~~^^,[]
18,4,"['봉추 찜닭 小', '당면추가', '치즈알떡']",맛있어요 가끔 시켜먹으니 편하고 좋아요,[]
19,5,"['봉추 찜닭 中', '당면추가']",짱입니다앙 굿굿굿굿굿,[]
20,3,"['봉추 찜닭 中', '누룽지볶음밥']",맛은 있는데 순한맛으로 했는데 고추가 너무많아요 매워서 먹는둥마는둥하네요ㅡㅡ 잘못온거아닌가요,['https://rev-static.yogiyo.co.kr/27edcca5884d61a67a8952f7dbf27aa8_tn.jpg']
21,5,"['봉추 찜닭 小', '당면추가']",당면 추가했는데도 국물도 많이 있어서 만족했어요! 배달도 55분 걸린다고 했는데 40분?정도만에 왔네요 당면 진짜 원없이 먹고 싶다면 추가하는 거에 만족할 거 같아요 ㅋㅋㅋ(양이 엄청 많은..),[]
22,5,['봉추 찜닭 中'],양도 괜찮고 맛있어요 한달에 한번은 꼭 주문해서 먹는집임니다 배달이 쫌 걸려서 미리미리 주문해야해요,[]
23,1,[],"배달 시간, 배달 취소로 굉장히 불쾌한 경험을 했네요.배달 소요시간 65분으로 왔기에 업체에 진짜 65분걸리는지 문의했고, 배달이 밀려서 준비를 업체에서 최대한 한다고 해도 그 정도 걸릴 것이라는 답변을 들었습니다.그래서 요기요를 통해 주문취소를 정확히 대기시간 61분이 남았을 때 했구요. 그런데 정말 황당하게도 업체에서 조리가 시작되어 30분이내 배달이 가능하니 취소 처리가 안된다고 그냥 수령하라는 어이없는 답변을 받았네요.차라리 업체에서 보다 정확하게 배달 시간을 말해주었다면 기다려서 먹었을텐데, 이미 외식하러 나왔는데 참..",[]
24,3,"['봉추 찜닭 小', '캔콜라', '누룽지볶음밥']",제가 당면을 좋아해서 기본으로 주시는것도 많더라구요 맜있어여,[]
