,별점,주문메뉴,리뷰,사진
0,5,"['소세지 부리또', '부리또 매운맛 선택(2단계（조금매운맛）)', '음료세트（부리또1＋캔콜라1）', '부리또 고기 선택(섞어서', '부리또 매운맛 선택(1단계（안매운맛）)']",크고 양많고 맛있어요 배달료는 어플에서 바로 결제가능했으면 좋겠어요,['https://rev-static.yogiyo.co.kr/91a24f90d0a20ee219f720d9c0576804_tn.jpg']
1,5,"['베이직 부리또', '부리또 매운맛 선택(2단계（조금매운맛）)', '사이드 세트（부리또1＋캔콜라1＋사이드 택1）', '부리또 고기 선택(닭고기', '부리또 매운맛 선택(2단계（조금매운맛）', '사이드 선택(케이준감자)']",배달 엄청 빨랐어요! 감자튀김도 엄청 바삭하고 좋아요맛있게 먹었습니다~,['https://rev-static.yogiyo.co.kr/b8f3e93362df12c198a5955d68afff26_tn.jpg']
2,5,"['베이직 부리또', '부리또 매운맛 선택(1단계（안매운맛）)', '소세지 부리또', '부리또 매운맛 선택(1단계（안매운맛）)', '캔콜라']",부리또 너무맛잇어요~~,[]
3,5,"['케이준감자', '사이드 세트（부리또1＋캔콜라1＋사이드 택1）', '부리또 고기 선택(소고기', '부리또 매운맛 선택(1단계（안매운맛）', '부리또 토핑 추가선택(할라피뇨 추가', '사이드 선택(케이준감자)']",매운맛에는 뭐가들어가는지 모르겠지만 순한맛에도 할라피뇨추가하면 맛있습니다! 너무 당연한 얘기인가요💦 아무튼 생각보다 더 매콤한 느낌이라 모짜렐라+순한맛인데도 느끼하지않게 잘먹었네요! 할라피뇨 없었으면 끝까지 먹기는 약간 물릴거같기도했어요. 배달도 예정보다 빨리와서 케이준 감자도 따끈하게 잘왔습니다😊 같이먹으니 맛있어요!,"['https://rev-static.yogiyo.co.kr/70d718f59b7da3a8cec74bcbec90b07c_tn.jpg', 'https://rev-static.yogiyo.co.kr/42e94f5a8c52e7f90e49664211d7fabc_tn.jpg']"
4,1,"['할라피뇨 부리또', '부리또 매운맛 선택(1단계（안매운맛）', '부리또 토핑 추가선택(더블치즈 추', '점보 추', '소세지 추가)', '사이드 세트（부리또1＋캔콜라1＋사이드 택1）', '부리또 고기 선택(닭고기', '부리또 매운맛 선택(2단계（조금매운맛）', '사이드 선택(케이준감자)']",부리또가 아니다양배추 같음.,[]
5,5,"['새우튀김 3EA', '사이드 세트（부리또1＋캔콜라1＋사이드 택1）', '부리또 고기 선택(닭고기', '부리또 매운맛 선택(2단계（조금매운맛）', '부리또 토핑 추가선택(점보 추가', '사이드 선택(케이준감자)']",맛있어요 잘먹었습니다~~,['https://rev-static.yogiyo.co.kr/632ab3468f9c0f4a7174021485a36be2_tn.jpg']
6,5,"['케이준감자', '사이드 세트（부리또1＋캔콜라1＋사이드 택1）', '부리또 고기 선택(섞어서', '부리또 매운맛 선택(1단계（안매운맛）', '부리또 토핑 추가선택(해쉬브라운 추', '할라피뇨 추가', '사이드 선택(새우튀김 3EA)']",배송도 빠르고 무엇보다 맛있어요!! 간단히 먹으려고 시켰는데 양도 많고 맛도 너무 기대이상이라 사진 찍기도 전에 다 먹었네요!,[]
7,5,"['베이직 부리또', '부리또 매운맛 선택(1단계（안매운맛）)', '해쉬브라운 부리또', '부리또 매운맛 선택(1단계（안매운맛）)', '모짜렐라 부리또', '부리또 매운맛 선택(1단계（안매운맛）)']",모짜렐라 맛있어요,['https://rev-static.yogiyo.co.kr/28ef2868cb7657238579504fd2d06301_tn.jpg']
8,5,"['사이드 세트（부리또1＋캔콜라1＋사이드 택1）', '부리또 고기 선택(섞어서', '부리또 매운맛 선택(2단계（조금매운맛）', '부리또 토핑 추가선택(할라피뇨 추가', '사이드 선택(치즈스틱 3EA)', '캔콜라']",잘먹었습니당 ~~~~~,[]
9,3,"['새우 부리또', '부리또 매운맛 선택(2단계（조금매운맛）)', '모짜렐라 부리또', '부리또 매운맛 선택(2단계（조금매운맛）)']",맛있어요 정말 맛있고 자주 시켜먹고싶어요.근데 배달비 3500원인것도 비싼데 거리가 더 멀다고 2000원 더 내라고 하더라구요..배달 가능하니까 여기에 뜬거일텐데 추가비용받는건 조금 그랬습니다,[]
10,5,"['해쉬브라운 부리또', '부리또 매운맛 선택(2단계（조금매운맛）)', '음료세트（부리또1＋캔콜라1）', '부리또 고기 선택(섞어서', '부리또 매운맛 선택(2단계（조금매운맛）)']",오랜만의 부리또 맛잇엇습니다,[]
