,별점,주문메뉴,리뷰,사진
0,5,[],다른집은 깐풍기 시키면 튀김옷이 지나치게 느믈거리는데 여기는 그러지 않네요너무 맵지도 않고 적당한 매운맛에 고기도 오래되지 않은것으로 만들었네요,[]
1,4,[],5000원 배달 해주셔서 너무나무 감사해요!!! 근데 짬뽕이 약간 싱거운듯....;;ㅎㅎ,[]
2,1,[],음식 정말별로다,[]
3,4,['북경만원의 행복1（탕수육＋쟁반짜장1）'],시간 딱 맞춰서왔네요. 잘먹을게요,['https://rev-static.yogiyo.co.kr/7d26f7222664ef1af10a15e6a7eb63e2_tn.jpg']
4,4,['북경만원의 행복2（탕수육＋삼선짬뽕）'],나쁘지 않습니다~~~,[]
5,5,['북경알뜰 세트（양장피＋ 짜장2）'],누군가 집에 온다면 다시 먹고싶은 세트...,[]
6,1,['북경만원의 행복2（탕수육＋삼선짬뽕）'],배달도별로.맛도별로.양도딱히.짬뽕이아무맛이안남,[]
7,4,['북경만원의 행복3（탕수육＋볶짜면）'],괜찮네요  맛도 양도  일품 ~^^,[]
8,5,['북경만원의 행복1（탕수육＋쟁반짜장1）'],맛있네여ㅎㅎ.....^^;;,['https://rev-static.yogiyo.co.kr/d1f5cfb82efbdf085982c5ceb3ea7289_tn.jpg']
9,5,"['간짜장', '북경만원의 행복2（탕수육＋삼선짬뽕）']",요즘 시킨곳 중 가장 맛있네요^^,[]
10,3,['북경만원의 행복1（탕수육＋쟁반짜장1）'],괜찮네요~^^맛있어요,[]
11,4,['북경만원의 행복3（탕수육＋볶짜면）'],괜찮네요 ~^^맛있어요,[]
12,3,['북경만원의 행복1（탕수육＋쟁반짜장1）'],너무늦게왔어요....,['https://rev-static.yogiyo.co.kr/d5ef353fd370566d608663ba9f3ebe42_tn.jpg']
13,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],배달 빠르고 탕수육 바삭하고삼선짬뽕에 야채가 싱싱하네요^^만족합니다!,['https://rev-static.yogiyo.co.kr/ac2e48c4e57cfda0f0592a48d2e5dcea_tn.jpg']
14,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],진짜 가성바갑 배달도 빠르고 최고에요!,[]
15,5,['탕수육'],여기 탕수육은 최고!,[]
16,5,"['옛날짜장면', '북경만원의 행복1（탕수육＋쟁반짜장1）']",추천합니다맛있어요,['https://rev-static.yogiyo.co.kr/9f1ce5048232b640610895c1137ab083_tn.jpg']
17,1,"['옛날짜장면', '삼선볶음밥']",아놔..머 와야 리뷰를하죠?손가락빠는거라도 찍어서 등록할까요?35분이라고 하질말던가곧 1시간 됩니다.별한개도 주기아까움,[]
18,5,"['옛날짜장면', '북경만원의 행복1（탕수육＋쟁반짜장1）']",재주문했어요추천합니다,['https://rev-static.yogiyo.co.kr/6f3e0dc9d5eb16335385f4aea849dd14_tn.jpg']
19,5,"['옛날짜장면', '옛날짜장면', '짬뽕', '북경만원의 행복1（탕수육＋쟁반짜장1）']",배달이 굉장히 빠릅니ㄷ,[]
20,4,['북경만원의 행복2（탕수육＋삼선짬뽕）'],"배송빠르고,  배달분 친절하시네요. 짬뽕건더기도 실해요.ㅎ",['https://rev-static.yogiyo.co.kr/3a8fa960354ff699a01de41e0a30c8a4_tn.jpg']
21,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],삼선짬뽕이 국물도 진하고 진짜 얼큰하니 너무 맛있었어요! 해물도 실하게 들었고 탕수육도 찹쌀이라 맛있네요! 다음에 또 시켜먹을 것 같아요,['https://rev-static.yogiyo.co.kr/f45b9ec9cfc43faf797b2152101ab8b9_tn.jpg']
22,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],탕수육이 뭔가 맛이애매하긴했지만 괜찮네요!,[]
23,1,"['간짜장', '삼선볶음밥', '찹쌀탕수육']",한시간 되도록 안와서 전화했더니 주문 들어온지도 몰랐다네요업체가 문제인지 요기요가 문제인지 짜증나게 야식하게 생겼네요,[]
24,4,"['짬뽕', '북경만원의 행복1（탕수육＋쟁반짜장1）', '북경만원의 행복2（탕수육＋삼선짬뽕）']",가성비 갑입니다 굿굿굿,[]
25,4,['북경만원의 행복1（탕수육＋쟁반짜장1）'],양많고 배달빠릅니다 굿굿굿,[]
26,4,['삼선짬뽕'],고추짬뽕 국물 맛있어요,[]
27,5,['북경만원의 행복1（탕수육＋쟁반짜장1）'],맛있어요!! 양도 나름 괜찮고 배달 와주신 분도 고생하셨어요! 감사합니다,[]
28,5,['고추잡채'],짜장면 괜찮아서 시켜보니 맛은 좋은데 주문이 누락되어서 오래걸렸어요ㅠ,[]
29,4,['북경만원의 행복2（탕수육＋삼선짬뽕）'],맛있고 빠름빠름! 가격대비 괜찮은 듯,['https://rev-static.yogiyo.co.kr/b76993a14df99be630efb9c5f1f60687_tn.jpg']
30,4,['북경 스페셜 세트（탕수육＋쟁반짜장2人＋만두）'],잘 먹었습니다~~~~~~,[]
31,4,['북경만원의 행복2（탕수육＋삼선짬뽕）'],다 좋은데 탕수육 양이 좀 적었어요 그래도 혼자먹기 굳굳,[]
32,4,"['짬뽕', '북경만원의 행복2（탕수육＋삼선짬뽕）']",짬뽕 양도 많고 맛도 적당히 잘먹었습니다,['https://rev-static.yogiyo.co.kr/4d883c9374be8c8b290ee22d147eb78d_tn.jpg']
33,3,"['옛날짜장면', '짬뽕']",가격대비  괜찮아요...빠른 배송 감사!,[]
34,3,"['군만두', '왕고기만두', '북경만원의 행복2（탕수육＋삼선짬뽕）']",45분 예상배달시간으로 문자 받았는데 90분 걸렸습니다^^,[]
35,2,"['짬뽕', '북경만원의 행복1（탕수육＋쟁반짜장1）']",배달 1시간 10분째 안오는중 개빡 진심,[]
36,5,['북경만원의 행복1（탕수육＋쟁반짜장1）'],30분걸린다고 했는데 20분만에 온것같아요쟁반짜장 해물도 많이들어있고 맛있어요 그리고 탕수육 찹쌀인데 존맛입니다!또 시켜먹을께요~^^,[]
37,3,['북경만원의 행복1（탕수육＋쟁반짜장1）'],짬뽕국물 부탁했으나 안주셨고짜장 탕수육 다 식고 불어서 왔고전체적으로 별로 였습니다...,[]
38,5,['북경 스페셜 세트（탕수육＋짜장2）'],북경 탕수육 퀄리티 너무 좋아용!! 짜장면도 맛있었어요!!,[]
39,5,"['고추잡채밥', '북경만원의 행복1（탕수육＋쟁반짜장1）']",맛있어요. 짜장면도괜찮고,[]
40,4,['북경만원의 행복1（탕수육＋쟁반짜장1）'],배달도 30분 이내에 오고 좋았지만 양이 조금 아쉽네요,['https://rev-static.yogiyo.co.kr/6c262bf94da4818f85042127ee26eb09_tn.jpg']
41,4,['북경만원의 행복2（탕수육＋삼선짬뽕）'],배달도 빠르고 양도 많네요 ㅎㅎㅎ,[]
42,3,['북경만원의 행복3（탕수육＋볶짜면）'],탕수육이 조금 작지만혼자먹기 괜찮아요 맛은 보통입니다 볶음밥은 제 입맛엔 별루였어요양은 적당한편 같아요짬뽕국물 요청했더니 두개나 주셨네요 배달은 빠른편이였어요,['https://rev-static.yogiyo.co.kr/93e75982e7ad7be3e555e858f18299a9_tn.jpg']
43,4,"['김볶음밥', '짬짜면']",잘먹었습니다~~~~~,[]
44,5,['북경만원의 행복3（탕수육＋볶짜면）'],맛잇어요!10000세트 시켰는데양적다는 분도 계신대 개인차인듯...:)저는 딱 배부르게 먹고 밥좀남았어융 ㅎㅎ잘먹었습니다,[]
45,3,"['옛날짜장면', '짬뽕', '탕수육']",탕수육은 좋았어요 피가 쫄깃해서 맛나요 근데 짜장면이 좀 .  제입맛엔 안맞았던것 같네요,[]
46,5,['북경만원의 행복3（탕수육＋볶짜면）'],배달시간 짱빠르고 맛 짱맛있고 아주그낭 짱입니다! 최공!,[]
47,5,['북경만원의 행복1（탕수육＋쟁반짜장1）'],여태 배달음식 먹으면서 처음 쓰네요중국음식점중 최고내요이가격에 이런음식을 진짜 완전 사랑합니다가격올리셔도 될거같아요 맛도좋구 할말이없내요감사해요~ 자주먹을듯합니다,[]
48,1,['북경만원의 행복2（탕수육＋삼선짬뽕）'],기대보다는 그냥 그랬어요.,[]
49,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],삼선짬뽕 국물 진짜 맛있어요!,['https://rev-static.yogiyo.co.kr/8d080789aae456383d9dac5fb933fe25_tn.jpg']
50,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],만원세트짱짱 가성비짱이에요,['https://rev-static.yogiyo.co.kr/3c10c5d70015b17a7abc23a35489795b_tn.jpg']
51,4,['북경만원의 행복1（탕수육＋쟁반짜장1）'],맛은 보통!!!,[]
52,3,"['북경알뜰 세트（고추잡채＋짜장2）', '북경 스페셜 세트（탕수육＋짜장2）']",배달이빠른게좋네요 잘먹었습니다,[]
53,5,['북경만원의 행복4（탕수육＋삼선볶음밥）'],가성비가 좋네요 혼자시켜먹ㄱㅣ딱이에요적게먹는편이라 꽤 남았었네요,[]
54,3,['북경만원의 행복1（탕수육＋쟁반짜장1）'],위생만 쫌만 신경써쥬시면 좋을거같아여,[]
55,3,['북경만원의 행복1（탕수육＋쟁반짜장1）'],먹을만해요 가격대비괜찮은듯,['https://rev-static.yogiyo.co.kr/1768b5f46763862f64967971f8327a09_tn.jpg']
56,5,['탕짜면'],짜장면 정말 맜있고 탕수육도 정말 맜있습니다 ^^,[]
57,1,['북경만원의 행복2（탕수육＋삼선짬뽕）'],탕수육 6조각옴..,[]
58,5,['북경만원의 행복1（탕수육＋쟁반짜장1）'],몇번 시켜봤는데 이번에는 탕수육 양이 넘 적었어요 ㅜㅜ 그래도 맛있어용 ㅎㅎ,['https://rev-static.yogiyo.co.kr/941379df7ffea9c24be9066381f80f04_tn.jpg']
59,3,['북경 스페셜 세트（탕수육＋짜장1＋짬뽕1）'],그냥 그런 맛이네요,[]
60,3,['북경 스페셜 세트（탕수육＋짜장1＋짬뽕1）'],양파 넉넉히 달라구했는데 양파 넉넉히 주셨어요 맛은 보통 양도 보통입니다,[]
61,5,"['짬뽕', '삼선짬뽕']",가성비 갑이에요 그냥 짬뽕도 맛있네용,['https://rev-static.yogiyo.co.kr/884b55fbaada610213a3c17fb967f96f_tn.jpg']
62,4,"['간짜장', '고추짬뽕']",항상 배달해먹는곳인데 맛있어요^^,[]
63,5,['북경 만원의 행복1（탕수육＋쟁반짜장1）'],언제나 맛이 일정해서 좋습니다,[]
64,5,['북경스페셜（탕수육＋짜장1＋짬뽕1）'],배달도 빠르고 너무 맛있어요양도 많구요~,['https://rev-static.yogiyo.co.kr/c5918ad83c3dd6dc23ed85fb5dd0a8c7_tn.jpg']
65,5,['북경스페셜（탕수육＋짜장1＋짬뽕1）'],늘 맛있고 배달료도 안 받으시고 친절하시고 좋아요,['https://rev-static.yogiyo.co.kr/354f1fbfed4a7b26cd0b9048733128e4_tn.jpg']
66,5,['북경만원의 행복3（탕수육＋볶짬면 or 볶짜면 택1）'],진짜 맛있네요 담에 또 시켜먹읗께요,[]
67,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],맛있어요 짬뽕국물이 시원해요,['https://rev-static.yogiyo.co.kr/615208166376937ebd9bb04fafb75144_tn.jpg']
68,3,"['울면', '삼선짬뽕']",울면에 전분이 넘 많이 들어갔어요~~~죽같아서ㅜㅜ,[]
69,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],완전 맛나고 배달도 빠르네여~,[]
70,5,['북경스페셜（탕수육＋짜장2）'],맛있어요!다음에도 시킬겁니다,[]
71,4,"['골라먹는요리 2가지', '메뉴 선택2(고추잡채)']",맛 좋고 양 무난합니다.아버지께서 음식을 받으셨는데 배달 오신 분이 조금 불친절하다고 하시네요,[]
72,5,['북경스페셜（탕수육＋짜장2＋만두）'],맛있어요!!추천합니다!!😍😍,[]
73,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],언제시켜도맛있어서좋습니다,['https://rev-static.yogiyo.co.kr/c59a9321474848a95f4477f6ce5c2fda_tn.jpg']
74,5,['북경스페셜（탕수육＋짜장2＋만두）'],배달도 적당했고맛은 훌륭했고그릇도 일회용 아니고 그릇으로 배달해주셔서 감사합니다^^다른곳보다 북경은 언제나 최고입니다^^,[]
75,4,['북경스페셜（탕수육＋짜장1＋짬뽕1）'],제입에는 괜찮은데 남편은 또 별로라고 하더라구요. 먹을만하고 배송 빠른편이에요.,[]
76,5,['북경스페셜（탕수육＋짜장2）'],배달빠르고맛잇고좋네요^,[]
77,5,['북경스페셜（탕수육＋짜장1＋짬뽕1）'],맛도좋고 배달속도도 좋네요.,[]
78,5,['북경만원의 행복2（탕수육＋삼선짬뽕）'],짬뽕국물 진짜 최고네요,[]
