,별점,주문메뉴,리뷰,사진
0,5,['2마리 세트2（매콤구이뼈＋매콤구이뼈＋매콤볶음면）'],요즘 지x바 같은 구운양념 두마리 먹으려면 3만원 후반대 봐야하는데 여긴 두마리에 2.69만원이라 가성비가 훌륭합니다. 닭 크기며 양념맛도 밀리지 않구요 소스도 바닥에 살짝 고이게 넉넉한 편이라 바닥양념에 비벼먹는거 좋아하는 분에게도 추천합니다 다만 아쉬운점은 볶음면이라고 사진상 왼쪽처럼 라면사리 비벼진게 세트에 딸려있는데 이건 좀 별로네요 배달이다보니 불어서 퍼석해지구요 저같은 경우는 다 걷어내고 닭만 먹었습니다 차라리 면대신 떡사리 몇개를 주는게 훨씬 좋아보이네요그것말곤 굉장히 만족스럽게 먹었습니다 구운양념 두마리중 최강!,['https://rev-static.yogiyo.co.kr/3aee7406ec184aa9cd74394e1bb0dd1d_tn.jpg']
1,5,['매콤구이바베큐 뼈'],평이별로 없어서 고민했는데 배달 빠르고 따끈하고 맛있네요. 양이 생각보다 많은건아니지만 떡많이넣어주셔서 밥이랑같이먹기엔 괜찮을듯,[]
2,3,['순살 2마리 세트5（매콤구이순살＋후라이드순살＋매콤볶음면）'],배달 1시간 20분만에 왔구요 금액대비 양적어요 맛은 있네요,[]
3,5,['순살 2마리 세트2（매콤구이순살＋매콤구이순살＋매콤볶음면）'],요청사항 반영해주셔서 고맙습니다 맛있게 먹었습니다,[]
4,5,['2마리 세트3（매콤구이 뼈＋소금구이 뼈＋매콤볶음면）'],불로만 오랜만에 먹으니까 맛있네요 라면bb,[]
5,5,['2마리 세트3（매콤구이 뼈＋소금구이 뼈＋매콤볶음면）'],배달 시간 카톡으로 알려온 35분 정확히 일치했고양넉넉하고 맛도 좋고 숯불닭은 앞으로 여기서 시켜 먹어야 겠어요,['https://rev-static.yogiyo.co.kr/960e1c564915216407d748a19ddba24a_tn.jpg']
6,5,['소금구이바베큐'],배달은빨리왔어요근데 양이적고 ㅠ,[]
7,5,['2마리 세트3（매콤구이 뼈＋소금구이 뼈＋매콤볶음면）'],닭 냄새않나고 맛있게먹었습니다,[]
8,5,['2마리 세트3（매콤구이 뼈＋소금구이 뼈＋매콤볶음면）'],매운소스가 정말 매워요 그래도 진짜 맛있네요~ 또 주문 헸어요~,[]
9,4,['매콤구이바베큐'],맛있어요! 근데 고기씹을때 냄새가 쪼끔나네요.. 아쉬워요..이거만 고쳐지면 자주 시켜먹을거 같아요!,['https://rev-static.yogiyo.co.kr/29aa8652bf342d7b0ddde41e8fc69825_tn.jpg']
10,5,['2마리 세트3（매콤구이 뼈＋소금구이 뼈＋매콤볶음면）'],배달 빠르고 가격저렴 하고 맛 괜찮은집입니다,[]
11,4,['2마리 세트3（매콤구이 뼈＋소금구이 뼈＋매콤볶음면）'],아주 양호합니다 개인차겠지만 전반적으로 매운맛 기초입니다 개인적으로 조금 덜매웠으면~^^ 맛있습니다.,[]
