,별점,주문메뉴,리뷰,사진
0,4,"['직화매운막창도돼지', '계란찜＋주먹밥 세트']",매운맛 시켯는데 하나도안맵네여 불향나서 좋았어여,[]
1,5,['직화매운곱창도돼지'],맵고 맛있었습니다 추천합니다,['https://rev-static.yogiyo.co.kr/7f297fb65d822f85f094772b50819010_tn.jpg']
2,5,['직화매운막창도돼지'],배달도 빠르고 생각했던 것보다 훨씬 맛있었어요~!! 당면도 많고 막창도 많더라구요 ㅎㅎㅎ 다음에 또 시켜먹을게요%,[]
3,5,[],주먹밥 양도 많이주시고 정말 잘먹었어요. 맛있네요. 깔끔하고,['https://rev-static.yogiyo.co.kr/eb8a65f263d10c21a744e67794eadf7a_tn.jpg']
4,5,['숯불석쇠불고기도돼지'],양이 조금 아쉽지만 배달빠르고 맛있어요,['https://rev-static.yogiyo.co.kr/47508a5403c4db7639d9e2b860e0c986_tn.jpg']
5,4,"['직화매운막창도돼지', '납작당면사리)', '계란찜＋주먹밥 세트']",주먹밥 양이 어마어마해서 놀랐네요ㅎㅎ 곱창도 냄새 하나도 안나고 맛있어요!,[]
6,4,"['숯불삼겹살도돼지', '돈까스＋주먹밥 세트']",맛도괜찮고 양도 적당했는데돈까스소스도 안오고 고추많이 달라고한것도 안주셨네요ㅠ요청사항을 안보시나봐요~,['https://rev-static.yogiyo.co.kr/3b9a6dbe002cd640dc41b8286f41cf91_tn.jpg']
7,4,"['직화매운막창도돼지', '코카콜라 패트']",매우 맛나요 앞으로도 또 시킬예정 ㅎ,[]
8,3,['숯불양념갈비도돼지'],저렴한 가격인거 같아요고기만 올줄알았는데야채랑 계란찜도 오고ㅎ근데 맛은 그냥이었어요ㅜㅜ갈비는 부드러운 맛에 먹는건데ㅜㅜ너무 뻑뻑하고 촉촉한 느낌이 하나도 없었어요그리고 삼겹살이랑 갈비랑 똑같이 생겼나요?잘몰라서 ~;;;배달 보통이예용ㅎ,"['https://rev-static.yogiyo.co.kr/372e0f825c0d13a49982ffd89dcabcf3_tn.jpg', 'https://rev-static.yogiyo.co.kr/15abd789ba9b179389e7fadcc2cd27e1_tn.jpg']"
9,3,"['직화불고기막창도돼지', '계란찜']",불고기맛으로 시켰는데도 매워서 좀 그랬네요~맛은 그럭저럭 괜찮았는데 딸이 좋아해서 시켰는데 매워서 많이 못먹었어요ㅜㅜ,[]
10,4,"['매운막창도돼지', '코카콜라 패트']",맛있습니다!!! ㅎㅎㅎ,[]
11,3,['매운막창도돼지'],먹을만 합니당 ㅎㅎ,[]
12,5,"['매운막창도돼지', '추가 선택(곱창 350g 추가)']",처음 시켜보는데 깔끔하고 맛있습니다. 빼빼로데이라고 빼빼로도  주시는 쎈쓰!! 종종 시켜먹겠습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/aa32d1b9647a968ac1b102c4ef2e1994_tn.jpg']
13,3,"['숯불양념갈비도돼지', '돈까스']",양이 넘 적어요ㅜㅜ 맛은 있어요,['https://rev-static.yogiyo.co.kr/fdf0ef2c22b24621f00016abf25bdbe5_tn.jpg']
14,4,"['매운막창도돼지', '납작당면사리', '맛 선택(매운맛 1단계)']",처음  시켜먹어봤는데 생각보다맛있었어요,[]
15,3,['매운막창도돼지'],당면이 엄청 많아요~~,['https://rev-static.yogiyo.co.kr/e7b6b8ca10724f4ea3efc0e0a6d50423_tn.jpg']
16,5,"['매운막창도돼지', '맛 선택(매운맛 1단계)']",양념이 끝장나네요^^,['https://rev-static.yogiyo.co.kr/ab1a79589d95eb82a00931a843f20c24_tn.jpg']
17,5,['매운막창도돼지'],불막창 진짜 너무 맛있네요 ㅎㅎ,[]
18,5,['매운막창도돼지'],일단 맛으로 설명하자면 막창이 질긴게 아니라 쫄깃합니다. 다른 막창과는 차원이 다른 부드러움을 자랑합니다. 여기에 지금 2번째 시켜먹는데 역시나.... 너무 맛있고 부드럽네요! 양에 대해서 얘기를 해보자면.... 둘이서 먹는데 너무 많고 막창도 너무 많아서 다 못먹었습니다. 남은건 내일 먹으려고 합니다ㅎㅎ 배달도 대박이에요.... 26분남았다고 떠있는데 도착할 정도로 배달도 빨라요!! 진짜 모든 면에서 마음에 들어서 또 주문합니다ㅎㅎ 담번에도 막창이나 곱창 주문해서 먹겠습니다. 집에서 고퀄리티 막창을 먹게해주셔서 감사합니다.,['https://rev-static.yogiyo.co.kr/c6970a34c8f61666f1a1e6c5f982002d_tn.jpg']
19,5,"['매운막창도돼지', '토핑 추가 선택(납작당면사리)', '주먹밥']",너무 맛있었던 기억이 있어서 이번에 또 시켰습니당'-'!!! 이번에는 매운맛 2단계로 시켜봤는데 매콤하면서 너무너무 맛있더라구용~~! 납작당면도 많구요!! 배달도 생각보다 빨리왔습니당!! 아주 굿이예용👍,[]
20,5,"['반반도돼지', '메뉴 선택 2(훈제삼겹살도돼지', '사이즈 선택(2인)', '돈까스', '공기밥']",맛있게  잘먹었습니다,[]
21,5,"['숯불석쇠불고기도돼지', '불고기맛곱창만（단품）', '물냉막국수', '공기밥']",정말 맛잇게먹었어요~~,[]
22,4,['숯불양념갈비도돼지'],맛있습니다. ㅎㅎ다만 계란찜이 밍밍해요,['https://rev-static.yogiyo.co.kr/f3dec7f21f2a8c2b9660d02e642feb6b_tn.jpg']
23,5,['숯불석쇠불고기도돼지'],너무 맛있네요. 빠른배달도요. 다음에 또 먹어야겠다!,[]
24,4,['매운막창도돼지（세트）'],맛있게 매워요~ 계란찜이 특히 맛있어요~,['https://rev-static.yogiyo.co.kr/e9f4a4529c651bab2dbf155095aa5f47_tn.jpg']
25,5,['매운막창도돼지（세트）'],늦은 야식으로 시켰는데...맛도양도 배달도 너무 맛있었어요.,[]
26,5,"['숯불양념갈비도돼지', '숯불삼겹살도돼지']",오~ 생각이상으로 괜찮네요삼겹살 땡길때 먹으면 좋을거 같아요,[]
27,5,"['매운막창도돼지（세트）', '토핑 추가 선택(치즈)']",맛있넹요. 맛있습니다,[]
28,4,"['반반도돼지', '메뉴 선택 2(숯불양념갈비도돼지', '사이즈 선택(2인)']",배달도 빠르고 양도 적당하네요^^,[]
29,5,"['숯불삼겹살도돼지', '매운막창도돼지（세트）', '물냉막국수']",양 진짜 많네요~ 가족끼리 맛있게 잘먹었어요,[]
30,5,"['매운곱창도돼지（세트）', '공기밥']",조금 맵지만 양도 푸짐하고 맛있네요,[]
31,5,['매운막창도돼지（세트）'],오랜만에 잘먹었네요,[]
32,5,"['매운막창도돼지（세트）', '맛 선택(매운맛 1단계)']",맛있어요......,[]
33,5,"['매운막창도돼지（세트）', '맛 선택(매운맛 1단계)']",오!! 맛나요!! 양 적을줄 알았는데 배터져 죽겠어욬ㅋㅋㅋㅋ 다 먹지도 못했는데 꺄륵 둘이 먹으면 딱 좋은 양 bb,"['https://rev-static.yogiyo.co.kr/b544054ef4a5f668f464c31e8e9ad563_tn.jpg', 'https://rev-static.yogiyo.co.kr/8056a494a9f76887aab1aaaf06d34032_tn.jpg']"
34,5,"['불고기맛곱창도돼지（세트）', '맛 선택(매운맛 1단계', '토핑 추가 선택(막창 추가)', '돈까스＋주먹밥 세트', '물냉막국수']",단골인증입니다ㅋㅋㅋ너무맛나요,[]
35,5,"['매운곱창도돼지（세트）', '맛 선택(매운맛 1단계)']",배달도 친절하시고 맛있어요~,[]
36,5,"['매운막창도돼지（세트）', '메뉴 선택(주먹밥', '맛 선택(매운맛 1단계)']",맛있어요 양도 많아서 항상 시킬때마다 남기는거같아요 ㅠㅡㅠ,[]
37,5,"['매운곱창도돼지（세트）', '메뉴 선택(주먹밥', '맛 선택(매운맛 1단계)', '계란찜']",엄청 친절하시고 엄청 맛있었어요 0야채도 신선하고 계란찜이랑 주먹밥도 엄청 맛있네요 다음에 또 먹을게요 번창하세요! (곱창을 시켰는데 막창이 온거 같은데...다음에 곱창 먹어볼게요~!),['https://rev-static.yogiyo.co.kr/8c3fc0bff26c2392a7463e6922105676_tn.jpg']
38,3,"['매운곱창막창도 돼지 （단품） ', '맛 선택(매운맛 2단계)']",단품은 상추도 안오나보네요 ㅠㅠ2단계인데 너무 달고하나도 불맛이안나요... ㅠㅠ,[]
39,5,[],제가좀늦게후기를올리긴하는건데요 결론은 진짜 맛나게먹었어요 평점높은 다른 두군데서도 시켜먹었는데 저는 여기가 제일 맛있어서 여기로 정착할 예정입니다  특히나 곱창 양이 다른곳보다 월등히 많고 초등3학년 아들도 맛있다고 맵지만 몇점 집어먹었습다.저느 보통맛으로 시켰더니 딱좋았고 캡사이신이 안들어갔나봐요 다음날 배도 편했습니다.저는 전날 고기먹다 남은 파채가  있어서  곱창이랑 같이 먹었더니 더 맛났습니다.암튼  가게 더 잘 되셨으면좋겠네요^-^,['https://rev-static.yogiyo.co.kr/ae6d0d4020dc3519d8e2b732da4485b6_tn.jpg']
40,5,"['곱창야채볶음도 돼지', '메뉴 선택(주먹밥', '맛 선택(매운맛 2단계)']",요청사항을 깜박하신 것 같아요! 겉절이랑 그 외 몇기지 안주셔도 된다고 했는데 다 주셨어요..! 곱창은 맛있었고 주먹밥도 맛있었지만 마요네즈를 좀 더 뿌려주시면 더 맛있을 것 같아요!,[]
41,5,"['막창야채볶음도 돼지', '맛 선택(매운맛', '매운맛 단계 선택(1단계', '구성 선택(기본（계란찜＋쌈채소＋마요소스）', '사이드 추가 선택(캔콜라 245mL 추', '공기밥 1개 추가)']",막창시켯는데 곱창만왔네요 ;;,[]
42,5,"['곱창야채볶음도 돼지', '맛 선택(매운맛', '매운맛 단계 선택(2단계', '구성 선택(세트（기본구성＋주먹밥＋무쌈＋무절이＋고추마늘＋쌈장＋쿨피스）', '토핑 추가 선택(순대 추가)']",양도 많고 맛있네요,['https://rev-static.yogiyo.co.kr/80ecdc74b2f3d196c2d7242e85bd9d85_tn.jpg']
43,5,"['곱창야채볶음도 돼지', '맛 선택(매운맛', '매운맛 단계 선택(1단계', '구성 선택(기본（계란찜＋쌈채소＋마요소스）)']",정말..최고맛있어요....동생몰래먹으려고 1인분 시켰는데...너무 맛있어서 호들갑떨다가 동생이 눈치채고 결국 같이 먹었어요. 다행히 싸우지않고 먹을정도로 양이 충분했어요!! 매운거 잘 못먹어서 걱정했는데 매운맛1단계에 마요네즈찍어서 먹으니까 딱이에요. 같이 주신 깻잎은 왜이렇게 싱싱하고 향긋한가요??! 계란찜도 너무 부드러워서 같이 쌈싸먹으니까 사르르 녹더라구요...감사합니다ㅠㅡㅠ 덕분에 행복한 밤이에요...☆,['https://rev-static.yogiyo.co.kr/dac266bdb68e15d4a002ae27734043a2_tn.jpg']
44,4,"['반반한 곱창막창야채볶음도 돼지', '맛 선택(매운맛', '매운맛 단계 선택(2단계', '구성 선택(기본（계란찜＋쌈채소＋마요소스）)']",맛있게 잘목었습니다 ㅎㅎㅎㅎㅎ,[]
45,5,"['곱창야채볶음도 돼지', '맛 선택(매운맛', '매운맛 단계 선택(2단계', '구성 선택(세트（기본구성＋주먹밥＋무쌈＋무절이＋고추마늘＋쌈장＋쿨피스）)']","1인분 시켜도 둘이 먹을 수 있어용 (배부르게는 아니고) 불맛 나서 좋고, 쌈도 다른 데보다 많이 오는 것 같아서 조아요",[]
46,5,"['막창야채볶음도 돼지', '맛 선택(매운맛', '매운맛 단계 선택(1단계', '구성 선택(기본（계란찜＋쌈채소＋마요소스）)']",친구들이랑 야식으로먹었는데 매운맛1단계 매콤해서 즈너무좋아요 양도좋아요,[]
