,별점,주문메뉴,리뷰,사진
0,4,"['세트（피자L＋사이드）', '음료 선택(스프라이트 1.25L변경', '사이드선택(치즈 오븐 스파게티)', '갈릭디핑소스']",맛있게 잘먹었습니다,[]
1,5,"['페퍼로니 피자 L', '음료 추가 선택(코카콜라 1.25L 추가)']",배달 정말 빨리오고 페퍼로니양 실화인가여....?너무맛잇네여,['https://rev-static.yogiyo.co.kr/231b7e433a50d2d6f99f8bd4ffce6288_tn.jpg']
2,5,['페퍼로니 피자 L'],한조각 맛보고 사진찍을라그랬는데 생각없이 3개나 집어먹다가 생각나서 급하게 찍었어요.맛있었어요.근데박스에 저 쪽지 나중에 발견하니까 더 맛있는거 같아요.어떻게 보면 별거 아닌데 저는 한번 읽고 기분좋게 먹었습니다.감사하구요피자가 너무 먹고싶어서 고민하다 주문했는데 잘 한거같아요이집 피자 잘하네요,"['https://rev-static.yogiyo.co.kr/f256143afe894491aa3eaad3f0ea7585_tn.jpg', 'https://rev-static.yogiyo.co.kr/5e6ae3078a2f2439ff5a4584f74aa605_tn.jpg']"
3,5,"['세트（피자 L＋피자L）', '피자 선택 2(페퍼로니 피자)']",피자 넘 맛있어요~ 배달도 빠르고 잘먹겠습니당^^,['https://rev-static.yogiyo.co.kr/7c26d68a32365aae2bcabb3477c24fe5_tn.jpg']
4,5,"['세트（피자 M＋피자 M）', '추가 선택 1(고구마 크러스트 추가', '피자 선택 2(치즈 피자', '추가 선택 2(치즈 크러스트 추가)']",배달도 엄~~청 빠르고맛도 최고에요이벤트 감튀도 적혀있던데로 진짜 맛잇어요,['https://rev-static.yogiyo.co.kr/57d770bb99cd7e194294bb5f7ea97c55_tn.jpg']
5,5,"['세트（피자 M＋사이드）', '음료 선택(코카콜라 500mL', '사이드선택(치즈 오븐 스파게티)']",맛있네요 단골될거 같습니다!!,['https://rev-static.yogiyo.co.kr/4b58954968e6867af5ecb2228d1f6a74_tn.jpg']
6,5,"['페퍼로니 피자 M', '코카콜라 1.25L']",피자 오자마자 먹었는데 너무 맛잇어서 다 먹었어요 ㅋㅋㅋ 그래서 시진도 깜박했어요~ 핫봉도 너무 제 스타일이예요~~ 잘 먹었습니다!!^^^^,[]
7,3,['치즈 피자 M'],맛양배달 ㅍㅎㅌㅊㅇㅇㅇ,[]
8,5,['페퍼로니 피자 L'],잘 먹었습니다~!!,[]
9,5,['페퍼로니 피자 L'],잘 먹었습니다~!! jmt!,[]
10,4,['더블 불고기 피자 M'],비스트로 피자는 처음인데 너무 맛있게 잘먹어서 기분 좋았어욥٩(๑❛ᴗ❛๑)۶ 불고기랑 더블포테이토 중에 고민 많이하다가 시켰는데 가격도 저렴하고 불고기랑 소스도 적당하고 맛있어서 다음에는 다른 종류의 피자를 시켜봐야겠다 라는 생각을 했습니다 ㅎㅎㅎ 앗 그리고 리뷰 이벤트로 윙봉 택 했는데 정말 맛있ㅠㅠ 오늘 축구 결승인데 이 윙봉이랑 맥주랑 함께 먹으면서 보면 찰떡이겠구나 싶었습니다ʕ•ᴥ•ʔ 잘 먹었습니당 아 그리고 제 실수로 주소를 잘못 눌러서 배달기사님이 고생하셨어요ㅠㅠ 죄송합니다 ㅠ^ㅠ 비스트로 앞으로 단골하겠습니당๑･̑◡･̑๑,"['https://rev-static.yogiyo.co.kr/aa4a28c2fbe39d681e8cad3af6ee8106_tn.jpg', 'https://rev-static.yogiyo.co.kr/7d3f50e745a55a7245bfa5fe5f30ff52_tn.jpg', 'https://rev-static.yogiyo.co.kr/b65fe82e8c4cf6408c8e90bec0cc15ab_tn.jpg']"
11,5,"['세트（피자L＋사이드）', '추가 선택 1(핫도그크러스트 추가', '음료 선택(스프라이트 1.25L변경', '사이드선택(쉬림프 크림스파게티)']",맛있습니다.다시 시킬수도 있겟네요,[]
12,5,"['페퍼로니 피자 L', '갈릭디핑소스']",때깔좋은 페퍼로니 피자 맛있어요,[]
13,5,"['세트（피자L＋사이드）', '추가 선택 1(치즈 크러스트 추가', '음료 선택(코카콜라 500mL', '사이드선택(치즈 오븐 스파게티)']",맛있게 잘먹었어요~피자도 맛있었고 감자튀김도 맛있네요다음에 또 시켜먹을께요~,['https://rev-static.yogiyo.co.kr/de5c7496acb906f223e92c3a4c8291fd_tn.jpg']
14,5,"['세트（피자L＋사이드）', '추가 선택 1(치즈 크러스트 추가', '음료 선택(스프라이트 500mL', '사이드선택(치즈 오븐 스파게티)', '카스 생맥주 ', '000cc']",맛잇어여. 마니 파세여,[]
15,5,"['세트（피자L＋사이드）', '음료 선택(코카콜라 500mL', '사이드선택(치즈 오븐 스파게티)']",맛있게 잘먹었어요~ 도우도 너무 두껍지 않고 토핑도 적당했어여 서비스로 주신 봉도 맛있네여,"['https://rev-static.yogiyo.co.kr/b93bc8a760fad36279457e962a59b833_tn.jpg', 'https://rev-static.yogiyo.co.kr/721a760b2f5999d5af844aec544b28a2_tn.jpg', 'https://rev-static.yogiyo.co.kr/48ad094f34dd995b12a39910ea6897ff_tn.jpg']"
16,5,"['세트（피자L＋사이드）', '음료 선택(코카콜라 1.25L 변경', '사이드선택(윙봉 6개)']",처음 시켜봤는데 뭘 먹어야할지 몰라 추천메뉴 시켜먹어봤어요 정말 맛있습니다치즈도 아주 잘늘어나구 따듯하게 먹었습니다단골 될듯 ㅎ,"['https://rev-static.yogiyo.co.kr/c8bfc7dd058cb51f36c9b186238d870f_tn.jpg', 'https://rev-static.yogiyo.co.kr/efbeb9630a1d117e3a1147dd8622775c_tn.jpg', 'https://rev-static.yogiyo.co.kr/3b0d92c4d7b2c150f6d0d681be7445cb_tn.jpg']"
17,5,['골드 고구마피자 L'],맛있어요. 피가 얇은거 좋아한다면. 더욱. .식으면 꼭 데워드세요,[]
