,별점,주문메뉴,리뷰,사진
0,5,"['에그샌드위치 （1／2개）', '감자브로콜리샌드위치 （1／2개）', 'BLT샌드위치（1／2개）', '핫치킨샌드위치 （1／2개）']",재료가 신선하고 자극적이지 않고 담백하면서도 심심하지 않은 맛이라 맛있게 잘 먹었어요~ 빵 테두리 부분은 조금 질기긴한데 구수한 맛이 좋았어요ㅎ 딱 기대했던 맛이라 자주 이용할듯해요서비스로 주신 수박도 잘  먹을게요^^,['https://rev-static.yogiyo.co.kr/4840cca530441641a294265b4293562d_tn.jpg']
1,5,"['BLT샌드위치（1／2개）', '훈제연어샐러드（홀스래디쉬드레싱）', '生（생）레몬에이드']","오늘 처음 먹어보았습니다. 가볍게 점심식사하고 외출하려고 배달해서 먹었는데, 샌드위치가 속을 든든하게 채워주고 재료들끼리 조화를 이뤄 맛을 돋구었습니다. 그리고 신선하고 질좋은 재료를 사용한 것 같아 마음이 놓입니다. 무엇보다도 샐러드에 들어간 연어나 야채의 신선도가 높고 맛있었습니다. 샐러드는 여느 프랜차이즈 매장의 그것보다 더 나은 것 같습니다.  감사합니다.",[]
2,5,"['크랜베리치킨샌드위치（1／2개）', '가든샐러드（발사믹드레싱）', 'GREEN 스무디']",행복하고 건강한 식사 해결입니닷!!!감사합니당 다들드세여 다 맛있어요!!,['https://rev-static.yogiyo.co.kr/da1814a76d7f1a245d60bb6d64b7db14_tn.jpg']
3,5,"['감자브로콜리샌드위치 （1／2개）', 'BLT샌드위치（1／2개）', '훈제연어샐러드（홀스래디쉬드레싱）', 'WHITE 스무디']",다이어트 하시는분들가벼운한끼 건강한 식사 원하시는분들여기서 드세요!!!!!!!강추강추,[]
4,4,"['할라피뇨참치크래미샌드위치 （1／2개）', '핫치킨샌드위치 （1／2개）', '훈제연어샐러드（홀스래디쉬드레싱）']",배달빠르고.. 연어샐러드 정말맛있네요. 야채도 싱싱하고.. 근데 연어가 너무적었어요. 연어만좀더 넣어주면 자주시켜먹을듯..  치킨샌드위치는 맛이 그닥..,[]
5,5,"['감자브로콜리샌드위치 （1／2개）', '핫치킨샌드위치 （1／2개）', '리코타샐러드（발사믹드레싱）', '닭가슴살오렌지샐러드（발사믹드레싱）', '훈제연어샐러드（홀스래디쉬드레싱）', '컵수박 500mL']",잘먹었습니다. 맛있네요,[]
6,5,"['할라피뇨참치크래미샌드위치 （1／2개）', 'GREEN 스무디', '귀리우유', '단호박우유']",건강한맛일꺼같앗는데 간은 딱 맞네여 ㅎㅎ자주이용하고싶네여 ㅎ,['https://rev-static.yogiyo.co.kr/e28dd5bd97852dd7c7373226647f1a5e_tn.jpg']
7,5,"['훈제연어샐러드（홀스래디쉬드레싱）', 'GREEN 스무디']",그린스무디 맛 완전 깔끔하고 맛있네요!!!! 다이어트 시작으로 계속 이용할듯 합니당 !!!,[]
8,5,"['할라피뇨참치크래미샌드위치', 'RED 스무디', 'GREEN 스무디', '단호박우유']",샌드위치는 진짜 엄청크고 안에 야채들도 싱싱하고맛있었어요ㅋㅋㅋ 한조각만 먹어도 배부름ㅋㅋ단호박우유은 바나나도 조금 섞여잇는건지 바나나맛도 조금나구요.  부드럽고 아침에 먹으니 든든하더라구요.전체적으로 만족스럽습니다!,"['https://rev-static.yogiyo.co.kr/f878c84deaed14bd2fa43237d9e93c5b_tn.jpg', 'https://rev-static.yogiyo.co.kr/f28bbc64c7260565548180c1f6250942_tn.jpg']"
9,5,"['할라피뇨참치크래미샌드위치', '크랜베리치킨샌드위치（1개）', '콥샐러드（프렌치드레싱）']",~~맛있어요 :),['https://rev-static.yogiyo.co.kr/6b3a5c4dd645e90ddbcfba017a984db5_tn.jpg']
10,5,"['닭가슴살오렌지샐러드（발사믹드레싱）', 'GREEN 스무디', 'PURPLE 스무디', '귀리우유']",배달실수가 있어서 거의 2시간? 걸렷던거같구요.다른건 다 입에는 맛잇는데 클랜즈 스무디는 되게 건강해지는 맛이네요ㅋㅋㅋ맛으로 먹긴 힘들고 걍 관리차원으로 먹어야될듯요ㅋㅋ스무디중에는 그린스무디가 그나마 제일 맛잇어요.,['https://rev-static.yogiyo.co.kr/ca85445b25b6ad03b1462b2a6639d941_tn.jpg']
11,5,"['할라피뇨참치크래미샌드위치', '낫토샐러드', '닭가슴살오렌지샐러드（발사믹드레싱）', '콥샐러드（프렌치드레싱）', 'RED 주스', '단호박우유']",신선한샐러드 잘먹었습니다닭가슴살이 짜지않아서 너무좋아요!,[]
12,5,"['BLT샌드위치', '닭가슴살오렌지샐러드（발사믹드레싱）', 'GREEN 스무디']",다이어트 중인데 신선하고 깔끔해요 참 괜찮아요 !,['https://rev-static.yogiyo.co.kr/18caebc16f38ae860b008d2c98ef1d46_tn.jpg']
13,5,"['리코타샐러드（발사믹드레싱）', '닭가슴살오렌지샐러드（발사믹드레싱）', 'GREEN 스무디']",ㅎㅎ 잘먹었습니다!!,['https://rev-static.yogiyo.co.kr/5efedb2f7bdd0cb3c9161afe17ecc0f9_tn.jpg']
14,5,"['할라피뇨참치크래미샌드위치', '리코타샐러드（발사믹드레싱）', 'GREEN 스무디']",너무 맛있고 신선해요. 스무디도 아이가 너무 잘먹네요. 자주 시켜먹을거같아요. ^^,"['https://rev-static.yogiyo.co.kr/cdda52a324f86765d20645d7f6c1e63d_tn.jpg', 'https://rev-static.yogiyo.co.kr/d282845d6ba8f26acc268dec28488956_tn.jpg']"
15,5,"['콥샐러드（프렌치드레싱）', 'GREEN 스무디', '레드베리']",너무 싱싱하고 맛있어요,[]
