,별점,주문메뉴,리뷰,사진
0,5,"['밀크크레이프 케익', '리얼초콜릿 케익', '카페모카']",크레이프케익 존맛....배달도 빠르고 케이크도 맛있어욤,"['https://rev-static.yogiyo.co.kr/175699a8c2073762ce275be93b7e6e26_tn.jpg', 'https://rev-static.yogiyo.co.kr/f146c27465fed23fc7a228c2e2fa80f5_tn.jpg']"
1,5,"['밀크크레이프 케익', '쇼콜라봉봉 케익', '초콜릿 마카롱', '쿠앤크 마카롱 ', '녹차 마카롱 ']",시켜놓고 보니 너무 가까운데 있어서. .. ㅎㅎㅎ 맛있고 배달도되서 너무 좋네요~,[]
2,4,"['당근 케익', '레드벨벳 케익', '아메리카노']",ㄱㅏ격이비싸긴하지만존맛탱이에영ㅎㅎ,[]
3,4,"['카페라떼', '카라멜마끼아또', '그린티라떼']",배달이 조금 늦었지만 커피는 아주 굿이요,[]
4,4,"['당근 케익', '블루베리치즈 케익', '아메리카노', '바닐라라떼']",빌리엔젤 믿고먹습니당 너무맛있오요~~~~,[]
5,5,"['밀크크레이프 케익', '레인보우크레이프 케익', '레드벨벳 케익', '아메리카노']",가끔 먹고 싶었는데 배달이 되니 너무 좋습니다. 맜있어요^^,[]
6,5,"['당근 케익', '홍차쉬폰 케익', '카페라떼']",배달이 생각보다 빨리와서 좋았어요 맛은 말할것도 없이 맛있구요~,['https://rev-static.yogiyo.co.kr/c2f69913a02e5334470e6bf9a0119e32_tn.jpg']
7,4,"['밀크크레이프 케익', '티라미수크레이프 케익', '유자스무디', '바닐라스무디']",맛있었습니다~^^ 약간 비싼게 함정ㅠ,[]
8,4,"['쇼콜라봉봉 케익', '그린티 크레이프', '체리 우유']","비싸고 맛있어요,,",[]
9,5,"['맥시멈 초콜릿케이크', '그린티라떼', '쟈스민밀크티']",맛이 약간 싱거운 것 같아요. 근데 평균적으로 괜찮아요.,[]
10,4,"['티라미수크레이프 케익', '당근 케익', '쇼콜라봉봉 케익', '아메리카노', '체리 우유', '얼그레이 홍차']",초코봉봉 윗부분 다크초코가 가미되었는지 느끼하지않고 케익임에도 산뜻함 아래로 내려갈수록 진~~~한 무거운바디감의 밀크초코티라미슈크레이프 평소 티라미슈에 없는 씹히는 맛이 있어서 왠지 자꾸 손이감 맛보단 입이 즐겁당근케익 우유맛이 강함 밀크당근; 흰우유 못먹는데ㅠㅠ코코넛바나나 코코넛 특유의 비린내가 바나나시폰하고 같이 먹으니 전혀 안비림 케익에 무거운 바디감이 전혀없음 느끼함도 적음 커피는 탄맛이 강해 홍차가 더 좋았음 체리우유는 아직 목먹어봐서 패스요;;,['https://rev-static.yogiyo.co.kr/76e7c575cafb6367a9a737f0c09ea1cf_tn.jpg']
11,5,"['밀크크레이프 케익', '아메리카노', '카페라떼']",잘먹었습니다~~맛잇어요^^,[]
12,4,"['밀크크레이프 케익', '아메리카노', '피치우롱']",크레이프케익이 약간 마른것 같은 느낌이 들었음그리고 피치우롱티는 최소금액 맞추려고 샀지만 그냥 티백우려주는거라서 조금 아쉬움,[]
13,4,"['밀크크레이프 케익', '티라미수크레이프 케익', '아메리카노', '바닐라라떼']",배달이 빨라서 좋았어요! 커피가 조금 식고 휘핑이 섞이긴 했지만요ㅎㅎ 케잌은 정말 맛있게 잘 먹었습니다~,[]
14,5,['레드벨벳 케익'],👍👍👍👍👍,[]
15,5,['티라미수크레이프 케익'],빌리엔젤 케이크 맛있죠 당연히~ 다만 홀케이크를 시켰더니 너무 꽝꽝 얼어 있어서 다음날에나 먹을 수 있었네요^^;,[]
16,3,"['밀크크레이프 케익', '쇼콜라봉봉 케익', '밀크티 우유', '딸기요거트 스무디']",맛은 그럭저럭 괜찮아영배달도 빠르구요^^,[]
17,5,['밀크크레이프 케익'],역시맛있어요~~♡♡,[]
18,3,"['밀크크레이프 케익', '당근 케익', '레드벨벳 케익']",치즈케이크 상태 별로 였어요ㅠㅠ 노무 말라있음,['https://rev-static.yogiyo.co.kr/5abf0ebb8403cad736611e21a0a0a608_tn.jpg']
19,5,"['아메리카노', '레드벨벳 케익']",👍👍👍👍👍,[]
20,5,['당근 케익'],배달도 빠르고 맛있게 잘 먹었습니다 *^^*,['https://rev-static.yogiyo.co.kr/0b349f80ac1b365bf7cf856742881196_tn.jpg']
