,별점,주문메뉴,리뷰,사진
0,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],아니 리뷰를 썻는데 안올라가요... 진짜 별15개맞아요,[]
1,4,"['set A-1（닭발선택＋계란찜＋주먹밥＋쿨피스450mL）', '맛 선택(매운맛)']",맛있네요 계란찜양이 장난 아니네요,[]
2,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],닭발에 홀려서 밥부터비비다가 ㅋㅋ 리뷰써야지 하고 찍은사진인데 사진고자입니닼ㅋ 양엄청많고 진짜 맛있어요 계란찜 진짜 계란많이넣으신거같아요!!,"['https://rev-static.yogiyo.co.kr/f060ec12ca482de38258eba70c9f06b5_tn.jpg', 'https://rev-static.yogiyo.co.kr/91643aed94591fe0f34f52ae0d37b541_tn.jpg']"
3,4,"['set B（닭발선택＋오돌뼈or닭똥집 中 택1＋계란찜＋주먹밥＋쿨피스450mL）', '메뉴 선택(오돌뼈', '맛 선택(보통매운맛)']",맛있게 잘먹었습니다. 모두 맛있게 잘먹었고 단지 국물닭발에서 한약냄새가 조금 나던데 그게 좀 신경쓰였네요. 배달 양 모두 만족합니다 :),['https://rev-static.yogiyo.co.kr/ca9b55f476feb7ecf9c2c139ca1b0e32_tn.jpg']
4,5,"['set A-1（닭발선택＋계란찜＋주먹밥＋쿨피스450mL）', '맛 선택(매운맛)']",이사 오기전 다른 곳서 시켜 먹었던 그 맛 그대로 맛있네요^^닭발 계란찜 주먹밥 다 맛있고 깔끔하개 포장 되어 왔습니다...닭발 양이 좀 적어 아쉬웠어요...,[]
5,5,['set A-3（오돌뼈＋계란찜＋주먹밥＋쿨피스450mL）'],죽여줘용 너무 맛있네요,[]
6,4,['set A-3（오돌뼈＋계란찜＋주먹밥＋쿨피스450mL）'],배달시간 약속을 지키지 못한 것 빼고다 괜찮네요.,[]
7,5,"['set A-1（닭발선택＋계란찜＋주먹밥＋쿨피스450mL）', '맛 선택(매운맛)', '무뼈닭발']",진짜 맛있어요~~ 재주문할겁니다,[]
8,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],닭발먹고싶을때 항상시켜먹는집 맛있습니다.,[]
9,5,"['set A-1（닭발선택＋계란찜＋주먹밥＋쿨피스450mL）', '맛 선택(매운맛)']",무뼈닭발 맛나네요 배달도 엄청 빠르고 친절하심^^,['https://rev-static.yogiyo.co.kr/a88ede351f8131697797eaf85aea041c_tn.jpg']
10,5,"['set B（닭발선택＋오돌뼈or닭똥집 中 택1＋계란찜＋주먹밥＋쿨피스450mL）', '메뉴 선택(닭똥집', '맛 선택(보통매운맛)']",마나서 요즘 세번째 주문햇어요~닭발싫어하는 남편도맛나다고ㅋ계란찜은 진짜대박요 완전 진하고~똥집 오늘 첨주문해봣는데 일단먹고 다시 주문할께요~,['https://rev-static.yogiyo.co.kr/17565a2c0e438e272b019d53f7e8a2d3_tn.jpg']
11,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],국물닭발은 여기가 제일 맛있어요!!진짜 맛있어요 양도 많구요,['https://rev-static.yogiyo.co.kr/4fc65bd7a2fcdc1c1acdb52ab0201fba_tn.jpg']
12,5,"['국물닭발', '치즈볼 6개']",치즈볼 새로보이길래 한번 시켜봤는데 너무 맛있어요^^역시~~ 이렇게 스트레스풀리고싶은날추천합니다!!!!^^,['https://rev-static.yogiyo.co.kr/9efc378aaf041879481f67ca90e61cda_tn.jpg']
13,5,"['무뼈닭발', '날치알주먹밥', '쿨피스930mL']",처음 먹어본 곳이라 걱정을 많이 했는데 둘이서 먹었는데 양도 많고 너무 맛있었어요 ㅠ 다음엔 국물닭발도 먹어보고 싶어요 주막밥이 양이 엄청 많고 김도 따로 가득 챙겨주시는 센스 👍🏻,['https://rev-static.yogiyo.co.kr/5486c9a00c3f4e8c2db00c9b57b547eb_tn.jpg']
14,5,"['set A-1（닭발선택＋계란찜＋주먹밥＋쿨피스450mL）', '맛 선택(매운맛)']",양도 적당하고 맵기도 적당하고 주먹밥도 퀄리티 좋네요 ^^ 맛있어요,['https://rev-static.yogiyo.co.kr/23bca006a63817a40e4ed42c7a80ae5d_tn.jpg']
15,5,"['무뼈닭발', '똥집야채볶음']",닭발 정착했어요~ 여기 계란찜 양 많아서 신랑이 너무 좋아하는데 오늘은 혼자먹는다구 세트로 안시켰네요 잘먹구있어요!!! :D,['https://rev-static.yogiyo.co.kr/aad794917dad7b9d9811344458a099bd_tn.jpg']
16,5,"['set B（닭발선택＋오돌뼈or닭똥집 中 택1＋계란찜＋주먹밥＋쿨피스450mL）', '메뉴 선택(닭똥집', '맛 선택(보통매운맛)']",진짜 닭발 맛있어요,[]
17,3,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],닭발이 생각했던 맛이아니더라구오..하지만 계란찜이  양이좋아요,[]
18,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],매운게 엄청 그리고 많이 먹고파서 국물닭발 시켰습니다. 맛있네요. 속이 괜찮아야할텐데~인생 첫 국물닭발이었는데 흡족했습니다.,[]
19,3,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],맵기는 매워서좋았는데 싱거웠어요ㅠㅠ주먹밥과 계란찜은 짭쪼롬해서 닭발이 더싱겁게느껴졌어요,['https://rev-static.yogiyo.co.kr/f242b3bf05066b5e08cb9a6e0a4993b2_tn.jpg']
20,4,"['set B（닭발선택＋오돌뼈or닭똥집 中 택1＋계란찜＋주먹밥＋쿨피스450mL）', '메뉴 선택(닭똥집', '맛 선택(보통매운맛)']",배달이종  오래 걸렸지만 양이 어마무시 하네요~둘이 먹고도 남을 양 입니다계란찜은 진짜 다 못 먹겠네요 세트 강추~,['https://rev-static.yogiyo.co.kr/dcac5fba4d0a7ef4425a800bde0aa84d_tn.jpg']
21,4,"['set A-1（닭발선택＋계란찜＋주먹밥＋쿨피스450mL）', '맛 선택(매운맛)']",계란찜 양~~쵝오!!! 주먹밥 쵝오!! 닭발은 맛있게 맵고 불맛 나요! 담엔 꼭 국물닭발 먹어야 겠어용,[]
22,5,"['set B（닭발선택＋오돌뼈or닭똥집 中 택1＋계란찜＋주먹밥＋쿨피스450mL）', '메뉴 선택(닭똥집', '맛 선택(매운맛)']",진짜맛나서 일줄만에 또주문햇네요~똥집도맛나고 닭발도 맛나고 밥과 계란찜 진짜 맛나요~조만간 또주문할듯요~ㅋㅋ,['https://rev-static.yogiyo.co.kr/3436856f34e5752937a978e86c8897fa_tn.jpg']
23,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],처음 주문해서 걱정했는데 음식점에서 직접 가서 먹는것처럼 맛과 양 모두 만족스러웠어요~ 구성도 좋고 이가격대에 푸짐하게 먹을수 있는 가게는 많지않다고 생각합니다 재주문의사 있고 잘먹었습니다 다음에 또 시킬게요!,[]
24,5,"['무뼈닭발', '오돌뼈볶음']",배달은 55분이 걸려서 기다리는데 지쳤지만...처음 시켜봤는데 일단 불맛에 맛있는 매운맛~~ ㅋ생각도 못했던 사장님의 주먹밥 서비스까지ㅎㅎ 단무지가 완전 넉넉히 있어서 까먹고 또 넣으셨나 했지만 먹다보니 넉넉히 있어야하는 걸 느끼게됨ㅎ기다린 시간이 아깝지않음ㅎ 재주문 의사 1000%,['https://rev-static.yogiyo.co.kr/be480c5308a3f42b9cef39ef5e01d392_tn.jpg']
25,5,"['국물닭발', '뚝배기계란찜']",오랜만에 빵구네에서 국물닭발 먹었어요 아주매운맛으로 시켰는데 살짝 씁쓸하더라구요그 점이 조금 아쉬웠지만그래도 맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/2471187eaed3740034f9250918ddfd39_tn.jpg']
26,4,"['set B（닭발선택＋오돌뼈or닭똥집 中 택1＋계란찜＋주먹밥＋쿨피스450mL）', '메뉴 선택(오돌뼈', '맛 선택(보통매운맛)']",4시간의 장거리 운전중 닭발과 오돌뼈가 먹고싶다고 노래를 부르는 오빠와 먹었는데 진짜 너무 맛있었어요 양도 많아서 다 먹지 못 해서 다음날 아침에 또 먹었어요ㅋㅋㅋㅋㅋ 근데 배달원이 좀.. 예의없어서...ㅎ,[]
27,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],정말  푸짐하고 맛있네요 주먹밥은3분의  1은먹은상태인데  양 이  정말많아요강추입니다,['https://rev-static.yogiyo.co.kr/038dbf354a40d9b197d5b1205c5d22d6_tn.jpg']
28,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],이사오고 닭발 생각나면 여기만 시켜요~매운 단계를 고를수 있어서 매운거 잘 못먹는 편인데도 맛있게 먹었어요계란찜이랑 주먹밥 세트는 필수입니당♡,['https://rev-static.yogiyo.co.kr/568a2a846bcd58d7593c003d17315ee7_tn.jpg']
29,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],처음시켜먹어봤는데 맛있고 배달도 친절하세요 ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/24db6df71cb08c3da342d3a20955bbd8_tn.jpg']
30,5,"['set A-1（닭발선택＋계란찜＋주먹밥＋쿨피스450mL）', '맛 선택(매운맛)']",맛있습니다! 자주 시켜먹을 것 같아요!,[]
31,3,"['오돌뼈볶음', '날치알주먹밥', '뚝배기계란찜']",배달이 너무 늦어요! 좀만 빨리 와 주세용,[]
32,5,['set A-3（오돌뼈＋계란찜＋주먹밥＋쿨피스450mL）'],집앞에서 배달해주시는분하구 맞낫네요~~시간이 딱맞아서 조앗어요~~ 덕분에 따뜻하게 머글수  잇엇구요 첨시켜먹는건데 맛나네요~~아쉬운점은  양념이 점 적은거 같아요 아주매운맛 시켯는데 별루 안매운거 같구요 ㅜ,"['https://rev-static.yogiyo.co.kr/30c8ae53a47dcd71530399140db2aae0_tn.jpg', 'https://rev-static.yogiyo.co.kr/e5b90e09007695c9bff8c2b516ebb9b4_tn.jpg', 'https://rev-static.yogiyo.co.kr/59021f8d2ebcb2cb6a54ee0c6e1d2d3f_tn.jpg']"
33,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],양도 많고 맛있었습니다,[]
34,5,['set A-2（국물닭발＋계란찜＋주먹밥＋쿨피스450mL）'],닭발 엄청 통통하고 주먹밥이랑 계란찜 양이 진짜 많네요..근데 당면이 바닥에 너무 많이 깔려잇어서 좀 그랬어요..한번에 다 못먹어서 냉장고 넣어놨는데 당면이 국물 다 흡수해서 국물 닭발인데 엄청 뻑뻑해짐... 한번에 다 드실거면 괜찮은거 같아요,[]
35,5,['set A-3（오돌뼈＋계란찜＋주먹밥＋쿨피스450mL）'],양 엄청 많고 맛있어요 정신없이먹어서 먹다찍은 사진뿐이네여ㅋㅋ,['https://rev-static.yogiyo.co.kr/e198f780b5cca4a93bf71aa84eab7f7d_tn.jpg']
36,5,['set A-3（오돌뼈＋계란찜＋주먹밥＋쿨피스450mL）'],계란찜도 양이많고 오돌뼈도 맛있어요,[]
37,5,"['set A-1（닭발선택＋계란찜＋주먹밥＋쿨피스450mL）', '맛 선택(매운맛)']",빵구네는 국물닭발인데 너무 급한 나머지 통닭발을 시켰네요.다음엔 국물닭발을 시킬께요,['https://rev-static.yogiyo.co.kr/ae611df57ee55411b9aeeea4ef1d9b89_tn.jpg']
38,5,['직화통닭발 세트'],너무 맛있어요ㅠ 불향이 엄청 나서 좋았고 맵기도 적당해요 주먹밥 많이 요청드렸더니 대접으로 주셨네요ㅠㅠ 감사합니다 번창하세요,['https://rev-static.yogiyo.co.kr/2cecf4a95b361be839bc8d8fab9d2bd5_tn.jpg']
39,5,['직화무뼈닭발 세트'],역시 적당히 매워서 맛있게 잘 먹었습니당!엄지척!옛날엔 신랑이 닭발을 못 먹어서 제가 많이 먹을 수 있었는데 이젠 신랑도 빵구네닭발을 넘 좋아해서 양이 살~짝 부족한 느낌이었어요 ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/f2516f4ceb778eee0a0980d68f92fbd0_tn.jpg']
40,5,['불향오돌뼈 세트'],맛있어서 재주문했어요 오돌뼈존맛,['https://rev-static.yogiyo.co.kr/d756410ec0bcce59855de24bdcacf380_tn.jpg']
41,3,['불향오돌뼈 세트'],잘먹었습니다만살코기보다 뼈가 많았고 신선도가 떨어지는듯 합니다.개선해주세요,[]
42,5,['불향오돌뼈 세트'],양 푸짐하네요 잘먹었습니다,['https://rev-static.yogiyo.co.kr/b50e2fcd57493acdf9685e416267392c_tn.jpg']
