,별점,주문메뉴,리뷰,사진
0,5,"['양파곱창 2人', '주먹밥', '음료 500mL']",맛있어요~ 곱창양도 많이들어있고 냄새도 안나고 맛있습니다. 주먹밥고 맛있네요 ㅎㅎ 주먹밥은 아이가 잘먹습니다,[]
1,5,"['양념구이막창 2人', '주먹밥', '계란찜']",첫주문인데 너무 친절하게 응대해주셔서 고마웠어요.맛도 있고 배달도 빠르고 재주문의사 있습니다^^,[]
2,5,"['뿅세트（야채곱창＋주먹밥＋모둠쌈＋콜라500mL）', '메뉴 변경(변경 안함)']",배송빠르구맛있어요.,[]
3,5,"['순대곱창 2人', '주먹밥', '계란찜', '음료 1.25L', '치즈추가']",치즈추가가 없어서 전화드렸는데 바로 추가해주시고 ㅎㅎ 정말 친절해서 좋았어요진짜 맛있네요 ㅎㅎㅎ 주먹밥도 맛있고 양도 많고 조금 매울줄 알았는데 안매워서 더좋네요 ㅎㅎ 잘먹겠습니다,['https://rev-static.yogiyo.co.kr/fce71909cf08f811917a0ed0baccd565_tn.jpg']
4,5,"['가세트（야채곱창＋계란찜＋주먹밥＋모둠쌈＋콜라500mL）', '메뉴 변경(변경 안함)']",둘이 먹고나서 좀 남길래 담날 밥 볶아 먹었네요. 괜찮았습니다,[]
5,5,"['치즈곱창 2人', '막창 추가 ']",오랜맘에시켜먹엇는대그맛그대로 ㅋㅋㅋㅋ,[]
6,4,"['뿅세트（야채곱창＋주먹밥＋모둠쌈＋콜라500mL）', '메뉴 변경(막창으로 변경)']",당면 많아서 좋아요 맛잇어요,[]
7,5,"['뿅세트（야채곱창＋주먹밥＋모둠쌈＋콜라500mL）', '메뉴 변경(변경 안함)']",개꿀맛♡,[]
8,5,"['뿅세트（야채곱창＋주먹밥＋모둠쌈＋콜라500mL）', '메뉴 변경(변경 안함)']",뿅가곱창은 항상 맛나요 자주는 아니지만 그래도 곱창 시킬때는 항상 뿅가에서 주문하는데 오늘도 역시 기대를 저버리지 않은 맛입니다😀,['https://rev-static.yogiyo.co.kr/b4103f5416aa1fae6994954c48d2875f_tn.jpg']
9,5,['야채곱창 2人'],맛있었어요~ 양도 적당해서 둘이먹기딱이었네요,['https://rev-static.yogiyo.co.kr/d4f0dbee975d9fde30909d26925ff969_tn.jpg']
