,별점,주문메뉴,리뷰,사진
0,3,"['삼돌이네 산더미불고기 세트（산더미불고기＋얼큰된장찌개＋모듬쌈＋공기밥）', '기사식당 돼지불백']","고기는 간도 적당하고 맛이 깔끔했고 채소는 신선했는데, 밥이나 반찬들 양이 가격에 비해 너무 적었어요. 세 명이서 삼인분 시켰다가 다시 떡볶이 시켜먹음.",['https://rev-static.yogiyo.co.kr/f927de9751ecc67cbcdd1898bd5a8f6e_tn.jpg']
1,5,['김치찌개 전골'],처음먹엇는데 괞찬습니다,[]
2,4,['산더미 불고기'],양이 조금 적지만 그래두 맛있게 잘 먹었습니다,[]
3,5,[],맛있어요 쌈도 듬뿍 와요,['https://rev-static.yogiyo.co.kr/758431874effcb8dc6864cb8eeae3118_tn.jpg']
4,4,"['김가루 게장양념 주먹밥', '차돌된장찌개（大）', '공기밥']",된장찌개도 진하구 되게 맛있어요 근데 게장 밥?? 그건..어..맛이음..잘모르겠데용,[]
5,3,"['삼돌이네 산더미불고기 세트（산더미불고기＋얼큰된장찌개＋모듬쌈＋공기밥）', '사이드 추가선택(공기밥 추가)']",그냥 머 먹을만 했습니다,[]
6,5,"['삼돌이네 오이＋배 물냉면', '육회비빔밥']",기사님께서 번호를 안받으셔서 그래도 잘받았습니다 육회비빔밥이랑 오이 배 물냉시켯는데 오이 빼주셔서 진짜 감사합니다 잘먹었어요,['https://rev-static.yogiyo.co.kr/a094745b8cdcbc6b3824ef470746f456_tn.jpg']
7,4,"['삼돌이네 소 육회', '참이슬']",처음 받았을 때 예상보다 육회 양이 적어서 잘못 주문했나 싶었는데 막상 비비고나니 적당한 양이었습니다! 술안주용으로 혼자먹기 좋은 양인데 배불리 먹고 싶으면 비빔밥을 드시는게 나을것같습니다. 여럿이서 먹기는 조금 부족할거 같네요. 배는 추가할까 말까 고민하다가 추가 안했는데 추가하면 더 좋을 것 같구요!다음번엔 다른 메뉴도 먹어보고 싶네요.리뷰이벤트로 요청한 사이다는 시킨 소주와 잘 섞어먹었습니다 ㅎㅎ,"['https://rev-static.yogiyo.co.kr/d3ccad34d33fc8a26474d5175f488feb_tn.jpg', 'https://rev-static.yogiyo.co.kr/9e6a72fb3e94c784c467b71a67a3ff44_tn.jpg']"
8,3,['육회비빔밥'],맛은 괜찮은데 양이조금 부족하네요 나머지는 만족합니다,['https://rev-static.yogiyo.co.kr/da734313d2a60a6044d774b1e4e4e6d9_tn.jpg']
9,5,['육회비빔밥'],된장찌개는 좀 짜요 그치만 육회비빔밥은 맛있어요 고추장은 따로 주시면 좋을거 같네여,[]
10,5,['육회비빔밥'],맛있는데 고추장이 좀 부족했어요ㅠㅜ,['https://rev-static.yogiyo.co.kr/be7c4bc26a5da3b4e9a72975c35648b3_tn.jpg']
