,별점,주문메뉴,리뷰,사진
0,5,"['마라탕', '카스 맥주 500mL']",맛잇게잘먹엇습니다ㅎ,[]
1,5,['마라탕'],맛있어요 ......,[]
2,5,"['마라탕', '토핑 선택 3(옥수수국', '라면사리', '토핑 선택 5(팽이버', '백목이버', '숙주)']",맛있어요 양도 많아서 배부르게 잘 먹었어요.,[]
3,5,"['마라탕', '토핑 선택 3(옥수수국수)', '마라탕', '토핑 선택 2(훠궈당면（샤브당면）)']",마라탕을 처음 배달해서 먹어봤어요마라텅,[]
4,5,"['마라탕', '토핑 선택 2(훠궈당면（샤브당면）)']",예상 배달시간 육십분이었는데 삼십분만에 왔어용 👍👍👍 사이다랑 사탕도 서비스로 주시고 맛두 괜찮네요!!,[]
5,4,"['마라탕', '토핑 선택 1(오징어 100g', '토핑 선택 2(훠궈면', '토핑 선택 3(옥수수국', '감자수제비', '토핑 선택 4(새', '샌드위치피쉬볼', '토핑 선택 5(흑목이버', '건두부)']",정말 맛있습니다 뇌물 감사하구요하지만 옥수수면은...너무 뿔어서 젖가락으로 잡을 수 없는 정도로 녹아버렸네요...추가 했던건데...면양도 별로 없었구요다음에는 면 따로 담아 주시면 좋을꺼 같아 후기 남겨요.보통맛 먹었는데 마라 초보인 와이프가 먹기에도 좋았고 저도 맛있게 땀 흘리며 먹었습니다자주 시킬께요~~ 번창 하세요~,"['https://rev-static.yogiyo.co.kr/0803ff4f94c0a8cd8480a4d6ec07213d_tn.jpg', 'https://rev-static.yogiyo.co.kr/493b685e119a7fdf012e5c1f09a52a9f_tn.jpg']"
6,2,"['마라탕', '토핑 선택 2(분모', '납작녹두당면', '토핑 선택 4(메추리', '햄', '토핑 선택 5(청경', '팽이버', '숙주)']",음식양 맛은다좋았어요 다른데보다 더맜있고 좋았는데 현금 결제로해서  현금50000원권밖에없어서 드렸는데 잔돈 바꿔서오신다고 하셨던부분이조금 기분이나빴습니다. 제가 50000원권이라고 말씀안드린건 죄송합니다. 하지만 저처럼 50000원권을 드리는경우가 있을꺼같아 잔돈을 넉넉하게 들고다녔으면좋겠습니다. 항상 수고하시고 고생하시는건알겠지만 전모르는상황에 이런 대우를받은건 기분이 조금 안좋아지네요.그래도 다른곳보다는 맛과양은 좋았습니다. 앞으로 수고하세요,[]
7,5,"['마라탕', '토핑 선택 2(분모자', '토핑 선택 5(건두부)']",배달도 빨랐고 맛도 괜찮았습니다기본 재료에 면이 많이 들어서 좋았고 1인분 배달이 된다는게 큰장점인것같아요잘먹었습니다!,['https://rev-static.yogiyo.co.kr/d38a9b04d23a5403c47c31c1e315ebfe_tn.jpg']
8,5,['마라탕'],여기 마라탕 진짜 너무 맛있어요 제가 마라탕을 거의 매일 먹는데  배달도 있는지 알게되어서 오늘 처음으로시켜봤어요  제가 분모자추가를 뒤늦게해서 죄송했는데 친절하게 된다고하셔서 감사했어요ㅠ글고 그 마라탕 특유의 기름때문에 국물은 잘 안마시는편인데 여기는 국물도 먹었어요 저희 엄마는 이게 첫 마라탕인데 맛있다고할만큼 다시 시키면 여기로 시킬라고해여! 양도 제기준많았어요!! 그리고 사이다랑 사탕까지 서비스로 주셔서 그것도 맛있게 잘 먹었어요 배달도 예상보다 빨리왔어요!  이렇게 길게적은것도 처음인데 진심 여기 레전드입니다 행님들.,['https://rev-static.yogiyo.co.kr/9ab545c2af15e3ad9c9ce3677cb57ce9_tn.jpg']
9,4,"['마라탕', '토핑 선택 3(고구마떡', '토핑 선택 5(청경채)']",1인분 배달돼서 넘 좋아요 잘 먹었습니다~!,['https://rev-static.yogiyo.co.kr/3892343cd18c8bb40f9c1394f3d8f94e_tn.jpg']
10,5,"['마라탕', '토핑 선택 2(분모', '부죽', '토핑 선택 4(햄)']",양도 많고 맛잇게 잘먹었습니다,[]
11,5,"['마라탕', '토핑 선택 5(건두부)']",너무너무 맛있어요♥♥♥  요구사항 에서도 전화로 완전 친절하시구 여지껏 시켜먹었던 마라탕집중에 최고입니다 ^--^앞으로도 계속 시켜먹을 예정이오니 앞으로도 이맛 그대로 변하지만 말아주세요♥♥♥,[]
12,5,"['마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 4(새', '햄', '토핑 선택 6(쯔마장)']",1인분 배달이 가능해서 너무 좋아요 맛도 너무 좋구요 앞으로도 자주 시켜먹을듯해요 (๑>◡<๑),['https://rev-static.yogiyo.co.kr/66be3a9f24b4921e71c53ef31086805f_tn.jpg']
13,5,"['마라탕', '토핑 선택 1(양고기 100g', '토핑 선택 4(샌드위치피쉬볼', '토핑 선택 5(콩나물)']",사장님도 너무 친절하시고 맛도 양도 배달도 다 좋았습니다! 자주자주 시켜먹을께요 잘먹었습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/10e57e88a50dca680380f34eac2ae6ca_tn.jpg']
14,4,"['세트（마라탕＋꿔바로우＋음료）', '마라탕 토핑 선택 1(소고기 100g', '마라탕 토핑 선택 3(치즈떡', '마라탕 토핑 선택 4(새', '해물피쉬볼', '마라탕 토핑 선택 6(쯔마장', '음료 선택(코카콜라)']",맛은 괜찮은데 향신료 많이 들어가고 자극적인거 좋아하시는분들은 탕보다는 샹궈를 맵게 시켜서 드시길 추천합니다. 리뷰이벤트 요청사항 달았는데 춘권은 안왔네요. 그리고 새우나 피시볼에있던거 같은데 탕에서 나무 꼬챙이가 2개나 나왔습니다.  이부분은 사과하셔야될것같아요.,"['https://rev-static.yogiyo.co.kr/1a81bdb0066a34d201dc3db3da7cc51a_tn.jpg', 'https://rev-static.yogiyo.co.kr/4f32b706ea8d03543fba8a5aedcb10ce_tn.jpg']"
15,5,"['세트（마라탕＋꿔바로우＋음료）', '마라탕 토핑 선택 1(양고기 100g', '마라탕 토핑 선택 5(청경', '팽이버섯', '마라탕 토핑 선택 6(쯔마', '고수', '음료 선택(칠성사이다)']",보통맛을 시켰는데 크게 맵지 않게 잘 먹었어요.쯔마장에 고수 넣고 비벼서 찍어 먹으면 더 맛있어요 ㅎㅎ맛있는 음식 잘 먹었습니다.^^♡,['https://rev-static.yogiyo.co.kr/1d6ae89ee090c3e2777764009e50d632_tn.jpg']
16,5,"['마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 4(새우', '토핑 선택 5(청경', '새송이버', '숙주', '토핑 선택 6(공기밥)']",마라탕을 집에서도 먹을 수 있다니 진짜 좋은데 심지어 맛있고 양도 많습니다! 많이 파세요!!ㅎㅎ,"['https://rev-static.yogiyo.co.kr/f82bf472fdf2ae7766a6bd1f1ba1a4ab_tn.jpg', 'https://rev-static.yogiyo.co.kr/87814aea9addfe71bcd73cf25b784c2c_tn.jpg']"
17,5,"['마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 2(훠궈당면（샤브당면）', '토핑 선택 3(치즈떡)', '차파이 복숭아맛 500mL']","매운 걸 잘 못 먹는 편인데, 약간 매운맛도 생각보다 안 맵더라구요! 다음엔 매운맛으로 시키려구요😁 맛있게 잘 먹었습니다!",['https://rev-static.yogiyo.co.kr/eab3c31816fea0011e404b16a3bc2937_tn.jpg']
18,5,"['마라탕', '토핑 선택 5(청경', '팽이버섯)']",처음 먹어봐ㅛ는데 괜찮았어요!!!,[]
19,5,"['마라탕', '토핑 선택 2(훠궈당면（샤브당면）', '토핑 선택 3(옥수수국수', '토핑 선택 6(공기밥)']",너무 맛잇게 잘 먹엇습니다! 오랜만에 먹는 중국 사탕 !,"['https://rev-static.yogiyo.co.kr/c61281523798a69c3cb8dcfee7c23fd1_tn.jpg', 'https://rev-static.yogiyo.co.kr/3c84dc5b78feceda3532f9f938480010_tn.jpg']"
20,5,"['마라탕', '토핑 선택 2(훠궈당면（샤브당면）', '토핑 선택 3(옥수수국수', '토핑 선택 5(청경', '팽이버', '숙', '건두부', '토핑 선택 6(공기밥)']",너무맛있게 잘먹엇습니다~다음번에는 고기를 꼭추가해서먹으면 더맛있을것같아요번창하세요~~~~,['https://rev-static.yogiyo.co.kr/1b3d63def55af19de74f878526cc1605_tn.jpg']
21,5,"['마라탕', '토핑 선택 3(고구마당면', '토핑 선택 5(건두부)']",맛있습니다.좀 싱겁다? 느낌 들어서 식초에 먹고 있습니다.많이 파세요.,['https://rev-static.yogiyo.co.kr/b4384e88104dd627456776c5794402af_tn.jpg']
22,5,"['마라탕', '토핑 선택 2(납작녹두당', '부죽', '토핑 선택 4(문어피쉬볼', '토핑 선택 5(청경', '팽이버', '숙', '감', '건두부)']",너무 맛있었어요 많이 먹고 싶은거 요청 사항에 써달라고 하셔서 더 주셔도 얼마나 주시겠어 하면서 적었는데 진짜 많이 주셨어요.. 행복... 오늘도 오픈하자마자 시켜먹을거에요😢😢 번창하세요,['https://rev-static.yogiyo.co.kr/72f6e81bb7054be9ad60ac0a8dbd5c08_tn.jpg']
23,4,"['마라탕', '토핑 선택 2(수정당면', '토핑 선택 5(청경', '팽이버', '백목이버', '콩나', '건두부)']",양 많고 맛도 무난해요 당면 추가해서 그런가 한대빡 와서 깜놀 ㅋㅎㅋㅎ 근데 아래 건두부가 덜 분리된 뭉탱이 채로 있었네여 ㅜ 배달도 한 시간 걸렸지만 그러려니 잘 먹었습니다~~ ㅎ ㅎ 하하,['https://rev-static.yogiyo.co.kr/2fc87a542d24836884bf7246b7762d48_tn.jpg']
24,3,['마라탕'],면끼리 다 붙어있고 목이버섯은 잘려지지도 않은채 거대하고 나오고 고기는 아예 없군요,['https://rev-static.yogiyo.co.kr/677e5396e25bc7d65f8bda4461606a98_tn.jpg']
25,5,"['마라탕', '토핑 선택 5(건두부)']",오늘도 역시 기대를 저버리지않는군요! 건두부추가시켰는데 오늘은 양 평소보다 더마니주신거같아서 살짝기분 좋았습니다ㅋ그리고 쟈차이?  몬지 잘몰라서 걍 안뜯었는데 무짱아치같은거 곁들이라고 주신건가여? 무튼 저 다이어트하는데 결국 시켰네요..  무튼 너무 맛있어서 오늘도 역시 감동합니다ㅜㅜ♥,[]
26,5,"['마라탕', '토핑 선택 2(수정당', '분모자', '토핑 선택 3(우동사리', '토핑 선택 5(청경', '건두', '알배추)']",지난번에는 허겁지겁 먹느라 사진을 못 찍었은데 이번에는 정신차리고 찍어서 드디어 리뷰 올려요~ 일주일도 안 됐는데 또 생각나서 시키게 될 줄 몰랐어요. 베이스 국물이 안 느끼해서 계속 들어가요~ 지난번엔 고기 안 넣고 이번엔 넣었은데 개인적으로 넣은 편이 더 맛있네요. 그냥 고기가 있어서 그런가? ㅎㅎ 추가한 것들은 진짜 양껏 넣어 주셔서 배부르고 맛있게 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/392d04d16f06b50d2cef87d4bf3b7914_tn.jpg']
