,별점,주문메뉴,리뷰,사진
0,5,"['얼큰순두부', '두부해물뚝배기']",배달되니 좋아용!! ㅎ,[]
1,5,['두부해물뚝배기'],"너무 맛있어요집밥 그리운분들,해장이 필요하신분,강추합니다.",[]
2,4,"['얼큰순두부', '고기돈까스']",배달도 빠르고 맛있어요.콩물도 서비스로 주셨어요.,[]
3,5,"['두부해물뚝배기', '진갈비김치찌개']","맛있게 잘먹었습니다단, 찌개국물이  다 흘러서 엉망이네요신경좀써주시길..",[]
4,5,"['보쌈정식 2人（뚝배기선택2＋보쌈）', '메뉴 선택2(얼큰순두부)']",조금 느끼하긴 했지만양도많고 맛있어요!,[]
5,5,"['얼큰순두부', '들깨순두부', '두부까스']",단골인데 배달도 돼서 너무 좋아요.,[]
6,5,"['얼큰순두부', '두부해물뚝배기']",배고팠는데 빨리 가져다 주시고 음식도 정갈하고요 무엇보다 두부가 넘 맛나요.글고 주신 두부물 무지 고소하고 건강한 맛 따로 살수있음 좋겠네요,['https://rev-static.yogiyo.co.kr/5e062a1459496aaa3d641bff543bae6a_tn.jpg']
7,5,"['얼큰순두부', '고기돈까스']",배달도 빠르고 양도 엄청 많았어요맛있게 잘 먹었는데돈까스소스가 너무 찍득했어요조금만 묽었음 좋았을것 같아요,['https://rev-static.yogiyo.co.kr/cefc5c9b748300ca3745d5fb6d4713f5_tn.jpg']
8,5,"['진갈비김치찌개', '콩비지찌개', '공기밥']",맛좋고 배달빠릅니다양은좀적어요ㅜㅜ,[]
9,5,"['얼큰순두부', '두부해물뚝배기']",처음 시켰는데 맛나네요. 다음에 또.,['https://rev-static.yogiyo.co.kr/c4e9f27cc3cb773edaae2da7c6720028_tn.jpg']
10,5,['진갈비김치전골'],맛있어요ㅎㅎㅎ푸짐하고 맛도 좋고,[]
11,5,"['두부해물뚝배기', '진갈비김치찌개']",최고예요(재주문)우선 삼대째손두부진갈비 요기요에서 보게되어서 무척 반가웠고 이미 타사이트에서는 배달맛집으로 상위권에 랭크되어있더라구요저희 동네에서 워낙 유명한 곳이라 맛은 믿고 시켰어요여기 반찬 하나하나 맛있는데 배달에선 어떻게 오는지 정말 궁금했거든요 밑에 사진처럼 와요 대박!!! 두부김치 양 보세요 ㅠㅠ그리구 콩물도 깔끔히 넣어주셔서 저 아침에 우유대신 그거 마셔요김치찌개 먹을때 고기덩어리가 숭덩숭덩 많이 들어있어서 고기먹는 재미가 있었구 해물뚝배기는 국물이 진짜 시원했어요여기 정말 강추예요,"['https://rev-static.yogiyo.co.kr/695d95c5393a328db6db3e3044e4b0a3_tn.jpg', 'https://rev-static.yogiyo.co.kr/465f936267d53afcdda4f896bdbf1d48_tn.jpg']"
12,5,"['진갈비김치찌개', '콩비지찌개', '청국장']","최고예요(첫주문)만족해서 재주문하는 곳!!! 김치찌개 양 많아서 다음날 또 먹었어요콩비지찌개, 청국장은 얼려뒀다 먹었어요진짜 최고예요",['https://rev-static.yogiyo.co.kr/533e11da54508c5998db083ab3445227_tn.jpg']
13,5,['청국장'],헉!완전 써비스도 짱 맛도 짱입니다.써비스로 콩국물이랑 두부까지 완전 좋아요~,['https://rev-static.yogiyo.co.kr/a2d32cb61557634758dc3c230d5811c9_tn.jpg']
14,5,['얼큰순두부'],자주 시켜먹을께요~,[]
