,별점,주문메뉴,리뷰,사진
0,4,"['묵은지 닭도리탕 한마리', '공기밥']",닭이랑 양념이랑 따로에요 백숙먹는기분... 김치는 정말 맛잇습니다!!!,[]
1,5,['닭볶음탕 中（한마리）'],자주 시켜먹었는데 이제 처음써보네요 국물도진하고 양념도 잘베어져있고 닭도 야들야들하니 맛있었네요,['https://rev-static.yogiyo.co.kr/ba848176a2033efa3ea62c32b05b7f77_tn.jpg']
2,5,['돼지고기김치찜'],맛잇다 ㅠㅠ다른김치찜은 김치짤라오는데 통으로오는게너무좋아요,['https://rev-static.yogiyo.co.kr/1fd04a5a90cdc3deb335e79a1e1ee1cf_tn.jpg']
3,5,['돼지고기김치찜'],맛있었어요. 양도적당했어요,[]
4,4,['고등어김치찜'],양은 두번덜어먹을정도로 많았어요! 근데ㅠ 고등어 비린내가 김치찜전체에 나서 거의 못먹었어요ㅠ 아쉽네요,['https://rev-static.yogiyo.co.kr/6a84c2a4f3925d28f270677b46409fd4_tn.jpg']
5,5,"['고등어김치찜', '꼬막비빔밥']",꼬막비빔밥 맛있어요 고등어김치찜도 비린내난다해 걱정했는데 안나고 맛있고요^^,[]
6,5,['돼지고기김치찜'],밥은 먹어야되고 해먹기는 귀찮고..  갑자기 김치찌개가 땡겨서 여기저기 찾다가 발견했어요ㅎ 솔직히 김치찌개는 조리방법이 간단하고 제일 기본적인 음식이지만 어떻게 하느냐에따라 맛이 천차만별이잖아요 여기는 이집만의 노하우가 있네요 국물 한입 떠먹었는데 다른 김치찌개집에선 맛볼수 없는맛이 나더라구요 너무 맛있게 잘 먹었어요 든든하게 배를 채워주셔서 감사합니다,"['https://rev-static.yogiyo.co.kr/00bce163d3ebd2e7fce8eb16433ff31f_tn.jpg', 'https://rev-static.yogiyo.co.kr/501a29aaea8971e03277b997b3e49ef3_tn.jpg', 'https://rev-static.yogiyo.co.kr/6645c9194d4aa022ee4e7d9f9df99999_tn.jpg']"
7,5,"['돼지고기김치찜', '추가 선택(중화면사리 추가)']",배달빠르고 진짜 맛있구요.다만 고기양이 아쉬워요.근데..맛만잇다면야뭐.자동 단골등록이죠~~,['https://rev-static.yogiyo.co.kr/7e084d6058919542476dfc0de0117753_tn.jpg']
8,3,['고등어김치찜'],고등어찜 시켰는데 꽁치찜이 왔어요.. 귀찮아서 컴플레인은 안했지만 다음에는 좀더 신경 써주시길. 맛은 우리가 생각하는 김치찜맛,[]
9,5,['돼지고기김치찜'],국물이 많아서 찜같기두 하고 찌개같기두 하고 아무튼 맛있었어요~~ 배달도 빨라서 좋았습니당,"['https://rev-static.yogiyo.co.kr/5d4f69be4acb2a4d86972bece669c173_tn.jpg', 'https://rev-static.yogiyo.co.kr/85cd9da76b972d6d40f62d08f8829826_tn.jpg']"
10,4,['돼지고기김치찜'],두번째 주문인데 배달이 진짜 빨랏어요~~ 이번에 고기 넉넉하게 주셔서 너무 잘 먹었어요~~,['https://rev-static.yogiyo.co.kr/7b162a4c28db98b3f59e8628f918d3b8_tn.jpg']
11,5,"['고등어김치찜', '추가 선택(공기밥 1개 추가)']",정말 맛있어요 가격도 괜찮은데 맛까지 끝내줍니다 또 시켜먹을래요,[]
12,5,['돼지고기김치찜'],양도 많고 맛있어요 사진 찍으려고 했는데 보니까 벌써 다 먹었네요 그만큼 맛있어요,[]
13,5,"['돼지고기김치찜', '추가 선택(중화면사리 추가)']",플라스틱 용기에 랩핑을 해주셔서뚜꺼에 묻지두 않구 새지두 않구 좋아요.고기두 자르지않고 와서 놀랐는데푸욱 익어서 가위없이 잘라져요.자극적인 맛에 길들여진 제게는 약간 밍밍하지만밑반찬도 함께 오고 괜찮은거 같아요!,"['https://rev-static.yogiyo.co.kr/12a1d53fc88f8c9b4dd61a314a303be4_tn.jpg', 'https://rev-static.yogiyo.co.kr/26d6a92e4716e15be15530a9c5d60834_tn.jpg', 'https://rev-static.yogiyo.co.kr/21b9bf6206bae92fa2b4196c1b81b874_tn.jpg']"
14,4,"['고등어김치찜', '추가 선택(공기밥 1개 추가)', '꼬막비빔밥']","맛있게 잘먹었어요. 밑반찬도 주고 흑미밥이고 김치도 통으로 썰어주니 더 좋네요. 다 잘먹고 마지막에 고기 한점이 나와서 기분이 뭔가 찝찝하긴했지만 그냥 맛있게 먹었으니깐,..ㅜ","['https://rev-static.yogiyo.co.kr/ce10ba16c80011c106be4ddaae2a3217_tn.jpg', 'https://rev-static.yogiyo.co.kr/54342f02294ec275dd420224abd98c8c_tn.jpg']"
15,4,"['돼지고기김치찜', '추가 선택(공기밥 1개 추가)']",배달도 빠르고 맛도 맛있었어요 늦은시간에 먹어서 졸면서 먹었는데 다먹었어요,[]
16,5,"['돼지고기김치찜', '꼬막비빔밥']",배달도빠르고 고기도많고 김치도 맛있었어요!! 담에 김치찜 생각나면 또 시킬꺼같아요,"['https://rev-static.yogiyo.co.kr/fdcb9b8a4aaee3b07b9049c55a102713_tn.jpg', 'https://rev-static.yogiyo.co.kr/5eb3a21c4bb05e26409a3babeed10bef_tn.jpg']"
17,5,['돼지고기김치찜'],너무 맛나게 먹었습니다^^,[]
18,5,"['돼지고기김치찜', '추가 선택(고기 추가)']",다음에 또 시켜먹을 의향이 생기는 곳이네요,[]
19,5,"['돼지고기김치찜', '추가 선택(당면사리 추가)']",맛있게 잘 먹었습니다.,[]
