,별점,주문메뉴,리뷰,사진
0,5,['백반 2人'],거짓 없이 최고입니다.,[]
1,5,['갈치조림 2人'],갈치조림 2인분 14000원 맛과양을 보면 너무 싸다는 생각밖에.. 반찬 퀄리티까지 최고.이렇게 팔아서 남는게 있으신가 생각이 들 정도. 1회용 용기로 바꾸시길. 반찬통과 찌게 용기까지 너무 좋아서 황송할따름.,[]
2,2,['동태탕 2人'],쓴맛이 너무 강하고 냄새났어요. ㅡㅡ;;못먹겠어요...,[]
3,3,"['동태탕 2人', '백반 2人']",가격대비 양도 많고 좋았는데 동태탕 쓰고 짠맛이 좀 강했어요... 그것만 좀 신경써주시면 좋을거같아요,[]
4,5,['갈치조림 2人'],배달도 빠르고 재료도 신선하고 푸짐해서 이렇게 해서 남는게 있을까 하는 걱정이 될 정도로 맛있게 잘 먹었습니다 배달료도 없고 1회용도 아니고 음료수도 주시고 ~ 사장님 . 가격 2배로 해도 사먹을 의향이 있을정도 음식 퀄리티 훌륭합니다 정성어린 맛있는 음식 정말 감사합니다,['https://rev-static.yogiyo.co.kr/f7386a5845641e61171c618966270dec_tn.jpg']
5,5,['갈치조림 2人'],첫주문인데온식구너무맛있게잘먹었어요~~,"['https://rev-static.yogiyo.co.kr/8c37dc112202f1d6075be00d93da4a0c_tn.jpg', 'https://rev-static.yogiyo.co.kr/0b58724045754de4a7a1abd08ff50e82_tn.jpg', 'https://rev-static.yogiyo.co.kr/4c076c7f5418e1d751f29cf6659c6014_tn.jpg']"
6,5,['청국장 2人'],아니 이렇게 푸짐하면 남는게 있으셔요? 배달도 좀 먼거 같았는데... 와 대박.. 잘먹겠습니다. .,['https://rev-static.yogiyo.co.kr/c76b64c695c53faadad600ea6468bc65_tn.jpg']
7,5,['청국장 2人'],너무 맛있어요! 먹느라 사진 못찍었는데 남자친구가 도대체 몇인분을 시킨거냐 할 정도로 양이 많아욬ㅋㅋㅋ,[]
8,5,['청국장 2人'],저녁시간이라배달이좀늦긴했지만친절했고오늘두맛있게잘먹었어요~~  감사합니다,"['https://rev-static.yogiyo.co.kr/62786469c899ed72c494f4b6c95afd7d_tn.jpg', 'https://rev-static.yogiyo.co.kr/a2563871a8f154e47dfacc95ae62d4cd_tn.jpg']"
9,5,['동태탕 2人'],지난번 갈치조림도 맛있게 먹었는데 동태탕도 맛있어요 양도 많고 무엇보다도 밑반찬이 다양하고 퀄리티가 좋아요 가성비짱입니다 정성어린 음식 감사합니다 번창하세요~,['https://rev-static.yogiyo.co.kr/09a981ad9efec5c7c30aa6a5e34a3d54_tn.jpg']
