,별점,주문메뉴,리뷰,사진
0,5,"['아싸 세트1（간장한우육회＋고추장한우육회 반반400g）', '육회비빔밥']",배도 고프고 술도 한잔 생각이 나서 시켰는데 정말 푸짐하네요 둘이 먹는데 술이 모자랐어요 양도 많고 맛도 정말 맛있어요 기본찬도 깔끔하고 맛있게 먹었습니다 자주 이용할게요,['https://rev-static.yogiyo.co.kr/dfffb17b46ecbdead89bc421ea57f0a3_tn.jpg']
1,5,"['간장한우육회 200g', '육회비빔밥']",와우!!!끝장나네요..~~너무맛있고 술안주로도 그만이네요ㅎㅎ감사합니다. 강추합니다  여러분 !!!,"['https://rev-static.yogiyo.co.kr/02ead5a4f7a7660a22adf0a2921b4f6e_tn.jpg', 'https://rev-static.yogiyo.co.kr/fefb6d0711b0d5db422538069e338f1b_tn.jpg']"
2,5,"['고추장한우육회 200g', '육회비빔밥', '갈비탕（안끓여서）＋공기밥', '처음처럼']",세상에나 마상에나 너무 맛있어서 1차 감동갈비탕에 고기가 왕 커서 2차 감동육회비빔밥 나물까지 싹 다 맛있어서 3차 감동고추장육회 입에서 사르르 녹아서 4차 감동 진짜 너무 몇번 감동을 주실꺼에요 사장님..ㅠㅠ반주로 직원들이랑 먹을라거 했는데 너무 다 맛있다고 찬양중이에요ㅎㅎ 너무 잘 먹었습니다!!! 번창하세요❤💙🧡💚🖤,['https://rev-static.yogiyo.co.kr/f7725eafc4a30ab5f78aef740db86a0c_tn.jpg']
3,5,['고추장한우육회 200g'],리부 이벤트로 낙지 주는곳이 있군요.. ㄷㄷㄷ50분 걸린데서 잠시 편의점 다녀왓는데 20분만에 도착하네여.. ㅋㅋㅋㅋ 담에는 김이랑 배 추가해서 먹겟습니당 ㅎ 김이랑 배가 좀 적음 ㅠㅠ,['https://rev-static.yogiyo.co.kr/476025d9bfafd54274f45af285b4ca6b_tn.jpg']
4,1,['아싸 세트1（간장한우육회＋고추장한우육회 반반400g）'],보통 사람들이 생각하는 육회맛이 아니네요 씹을수록 쓴맛이나고 ** 개인적으로는 별로였습니다 번창하세요,[]
5,5,"['육회비빔밥', '갈비탕（안끓여서）＋공기밥']",우선 방금 다 먹고 리뷰쓰네요육회비빔밥  갈비탕  기대를 안하고먹었는데 무엇보다 깔끔하고 포장도 잘 되어왔고 배달도 빠르구요 맛도 좋구 육회나 갈비탕 주문은여기만 하도록 할게요낙지도 싱싱한 서비스 잘 먹었어요~~^^ 돈이 아깝지 않고 엄청 맛나게 술안주 했습니다!!,[]
6,5,"['고추장한우육회 200g', '배 50g 추가)']",고추장육회와 간장육회 작은거 주문했는데초딩딸이랑 넘 맛있게 먹었네요깔끔하고 이벤트로 받은 낙지도 잘 먹었습니다또 주문할께요,['https://rev-static.yogiyo.co.kr/eec773ee0c3ff57a2505d285973636d7_tn.jpg']
7,5,"['아싸 세트1（간장한우육회＋고추장한우육회 반반400g）', '참이슬 후레쉬', '카스']","요식업 종사자로써 놀랬습니다. 정말로..1.깔끔한 포장 (소스는 랩을 씌어쥬시면 좋겠어요!)2.서비스로 왔던 낙지가 꿈틀대며 움직이길래 2차 놀람...(신선도가 좋다는거죠)3.메인의 육회.. 정말 맛있어요.(리뷰에 누가 땅콩을 넣었다던데 그게 땅콩이 아니고 ""잣""이더라구요)4.기본 찬으로왔던 마카로니샐러드도 정말 맛잇엇어요5.다 좋은데 젓가락이 안왔어요....ㅠㅠㅠㅠㅠ사실 별로 기대안하고 주문했다가 정말 놀랍니다.배달이 50분이상이라더니 20분만에 와서 30분동안 기다렸다가 리뷰씁니다! 번창하세요!",['https://rev-static.yogiyo.co.kr/e6be215fd52ffb7fa46ea76e4c19f79b_tn.jpg']
8,5,"['육회비빔밥', '스파클링 파인355mL']",넘 맛나게 먹었어요~ 소고기도 넘 싱싱하네요존맛탕구리ㅋㅋ 서비스로 주신 낙지도 감사합니다.,"['https://rev-static.yogiyo.co.kr/e441c02d580e21b0f4aac4f4064f6fa6_tn.jpg', 'https://rev-static.yogiyo.co.kr/666b0f1c1f538e936ead14fb02b3ce4b_tn.jpg', 'https://rev-static.yogiyo.co.kr/71c066ad953f8c1cd855f7999440f057_tn.jpg']"
9,5,"['육회비빔밥', '갈비탕（안끓여서）＋공기밥']",제가 먹은 한식 배달 중에 최고인 것 같습니다,['https://rev-static.yogiyo.co.kr/7163131ca5c640bc614b0c5a45df7f06_tn.jpg']
