,별점,주문메뉴,리뷰,사진
0,5,"['생생세트3（광어＋우럭＋참돔）', '콜라']",배달도 빠르고 양도 많고 맛도 좋네요중요한건 아닌데 마늘은 좀 더 작게 썰어주시면 좋을거 같아요,['https://rev-static.yogiyo.co.kr/fe1e95705d7f212fd6cfac6f106c6b2f_tn.jpg']
1,5,['광어＋연어'],양도 많고 찬 구성이 알차서 다음에도 계속 시켜먹을것같아요 연어가 신선해서 좋았습니다,['https://rev-static.yogiyo.co.kr/ed9debd3d66f2f9150096ad1cbc11f22_tn.jpg']
2,5,['광어'],(‘ ‘)(  :)(_ _)(:  )딩굴거리며고민 끝에 시킨 광어회중자같은 소자에 한번...싱싱한 밑반찬에 또 한번 놀랍니당맛있게 잘 먹었어요사장님 감사합니다(_ _),['https://rev-static.yogiyo.co.kr/1d0afbf25893f3f65192585880240e29_tn.jpg']
3,5,['광어'],맛잇고 배달도 빨라요~^^,"['https://rev-static.yogiyo.co.kr/02d99403e87a98542484388fbc770472_tn.jpg', 'https://rev-static.yogiyo.co.kr/7b11679cf6cd0a28282e36bd40b09363_tn.jpg']"
4,5,['광어'],맛잇고 배달도 빨라요~^^,"['https://rev-static.yogiyo.co.kr/8624acbcd43745d3178ab8ecb74f7108_tn.jpg', 'https://rev-static.yogiyo.co.kr/ce841d26c7cfae59695fdd64e64ab377_tn.jpg']"
5,5,"['광어＋연어', '매운탕（뼈＋야채）']",양도 많고 맛있어요!,['https://rev-static.yogiyo.co.kr/6374638ae24bcae4f0e855a74650f4b8_tn.jpg']
6,5,"['광어＋연어', '처음처럼']",어우 이번에 처음 시켰는데 배달도 금방오고 양도 많네요!! 거기다가 이번에 5월 이벤트로 보리숭어도 받았어요!! 너무 맛있었습니다 잘먹었어요!!!!,"['https://rev-static.yogiyo.co.kr/9d29040e665a5fd7e87a4901799d786e_tn.jpg', 'https://rev-static.yogiyo.co.kr/cc7106c0dec938747ad5fbeaa1c3ebfa_tn.jpg']"
7,5,"['연어덮밥', '물회']","ㅠㅠㅠㅠㅠㅠㅠㅠ 너무너무 맛있읍니다,,, 포장도 깔끔하고 배부르게 먹을 양이어서 맛있게 먹었습니당. 앞으로 해산물 땡길 때마다 여기서 시켜 먹을 것 같아용!",['https://rev-static.yogiyo.co.kr/b4063046cca46379b132d8db731beae4_tn.jpg']
8,5,['광어＋우럭'],맛잇게 잘먹엇습니다~^^,['https://rev-static.yogiyo.co.kr/c453f78b81a2981d7a8276dd7eb62a0a_tn.jpg']
9,5,[],밖에 비도좀 오는데 20분만에 배달되었네요배달해주신분도 친철하셨고 빨리오니까 더 싱싱한것같네요원래 광어+연어 소자로 자주먹는곳이있었는데영업시간이아니길래 처음시켜봤어요회는차갑고 밥은 따뜻하게와서좋네요한가지아쉬운건 리뷰이벤트 참여한다고적는걸깜빡해서 전화번호를 찾아봤는데 없다는것과ㅠ 젓가락이...없지만 잘먹을게요ㅋㅋ맛있어요,['https://rev-static.yogiyo.co.kr/2135afd07661c1b9c5dfdbf51ec0d249_tn.jpg']
