,별점,주문메뉴,리뷰,사진
0,5,['1인세트（회냉면1＋갈비만두）'],"진짜 맛있어요!! 소문난 냉면 덕후인데 냉면 솔직히 배달 시켜 먹으면 별로여서 배달 잘 안 시켜먹는데 얘는 진짜 맛있어요! 면이 조금 떡져있긴 했는데 육수 넣고 푸니까 잘 풀렸구, 갈비만두도 진짜 맛있었어요! 담엔 물냉으로 먹어보려구요~",['https://rev-static.yogiyo.co.kr/0d6f179d13eceb0728840fbe1ff03945_tn.jpg']
1,5,['1인세트（물냉면1＋갈비만두）'],물냉면인데 적당히 매콤하니 맛있었습니다.전에 시켜먹던 다른곳은 삶은계란도 안넣어주던데 이곳은 넣어주시네요.앞으로 냉면은 여기서만 시켜먹을거같네요,['https://rev-static.yogiyo.co.kr/6d1f190e79aec5243d70a252ab64eca4_tn.jpg']
2,4,[],배달두 빨리오시구 냉면두 맛있어요! 국물 깔끔하고 동네에 맛난 냉면집 없어서 슬펐는데 이젠 베달시켜먹으면 되겠어요:) 만두는 내용물이 너무 잘게 갈아진 느낌이긴 하지만 따뜻해서 추울때 하나씩 집어먹으니까 좋네요.,[]
3,5,"['물냉면', '김치만두（8개）']",영통 냉면은 이제 이곳에서 주문하겠습니다. 냉면도 맛있고 만두도 맛있네요,['https://rev-static.yogiyo.co.kr/a34a8c05dd8d5c2e0194f2fa07b2142d_tn.jpg']
4,5,"['물냉면', '고기만두（8개）', '2인세트（비빔냉면2＋고기만두）']",처음ㅅㅣ켜서 먹는데 정말 맛있네요..잘 먹겠습니다.,[]
5,5,['1인세트（물냉면1＋김치만두）'],1인세트가 가능해서 좋고 맛있습니다 ㅋㅋ,['https://rev-static.yogiyo.co.kr/1ebe1088ffd0432160890b6216cb435b_tn.jpg']
6,5,['1인세트（비빔냉면1＋갈비만두）'],맛있었습니다. 냉면과 만두 한번에 합입했네요.ㅎㅎㅎ,[]
7,4,"['김치만두（8개）', '2인세트（물냉면1＋비빔냉면＋고기만두）']",맛있게 잘 먹었어요,[]
8,5,['1인세트（물냉면1＋김치만두）'],배달 빠르고 맛도 좋고 양도 많아요.,[]
9,5,"['물냉면', '갈비만두（10개）']",사장님~솔직히 배달지역이 아님에도 너무 빠르게 맛있는 음식을 가져다주셔서 먹는 내내 감동했습니다~♡먼거리임에도 냉면이 하나도 불지 않았다는게 너무 신기하고 양도 적당하고 쎄지않아서 즐겨 먹기 딱 좋습니다.다음에는 매장으로 먹으러 가겠습니다^^사업번창 하세요~,['https://rev-static.yogiyo.co.kr/cc013b9c35d49642de5849fe35bb065a_tn.jpg']
10,4,"['물냉면', '비빔냉면']",주문한지 40분만에 왔어요. 맛은 평이합니다. 곱배기 안해도 양은 충분한거 같아요,[]
11,5,"['1인세트（물냉면1＋고기만두）', '1인세트（비빔냉면1＋김치만두）']",빠른 배달!!! 맛있어요!!! 다음에 또 배달할 것 같아요!! 비가 오는 날임에도 한 20분만에 온듯(문자는 55분으로 왔지만 실제는 20분 이내로 배달) 음식도 맛있었음! 불지 않고 좋았습니다!,[]
12,5,"['물냉면', '고기만두（8개）']",혼자 시켜먹기 가격 부담없고 맛도 좋아요ㅋㅋ,[]
