,별점,주문메뉴,리뷰,사진
0,5,['요거통통메론설빙'],메론빙수 맛있었어요잘먹었습니다 감사합니다.~,['https://rev-static.yogiyo.co.kr/4f00d6ac53b5ba380f533613d23ceb6f_tn.jpg']
1,5,['애플망고치즈설빙'],너무 오랜만에 주문했는데너무 맛나게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/4116849b5f8196ccae9d27daa5a2a89a_tn.jpg']
2,5,['인절미마카롱설빙'],인절미랑 마카롱조합이 좋네요맛있게 잘 먹었습니다!,['https://rev-static.yogiyo.co.kr/19f9365c879c520e146a1be0b080b9bc_tn.jpg']
3,5,"['애플망고치즈설빙', '딥초코츄러스']",배달도 빠르고 양도 많이 주셔요 연유도 넉넉하게 주세요bbbb,[]
4,5,"['오레오초코몬스터설빙', '한입쏙붕어빵（팥）']",배달도 빠르고 맛있었어요~,['https://rev-static.yogiyo.co.kr/5c500a576d59573dbb19fddfc647037b_tn.jpg']
5,5,"['치즈설빙', '한입쏙붕어빵（초코）']",배달도 빠르고 맛있어요~,['https://rev-static.yogiyo.co.kr/c53c9c3ffe65418c4726af68a918396e_tn.jpg']
6,5,"['치즈설빙', '팥인절미설빙']",빙수 양도 많고 배달도 빨라요~ 연유가 쏟아져서 와서 쪼끔 아쉬웠지만 맛있게 먹었습니다ㅎㅎ,[]
7,5,"['인절미설빙', '인절미토스트', '인절미떡']",맛있네욯ㅎㅎㅎㅎㅎㅎ,[]
8,5,"['애플망고치즈설빙', '팥인절미설빙']",최고의 디저트! 자주 시켜 먹게 되네요.,[]
9,5,['찹쌀떡'],떡볶이 오픈하는게 따로있음 좋을것 같아요..ㅠ 배달이랑 맛이랑 다 좋아요~!!!,['https://rev-static.yogiyo.co.kr/3577d1cb49bf8191f33dcda55d6b26c6_tn.jpg']
10,5,['애플망고치즈설빙'],맛나게 먹었어요~ 배달가격은 좀 있지만 담에 또 시켜먹을게요~,[]
11,5,"['인절미마카롱설빙', '오레오초코몬스터설빙']",가서 먹는것과 똑같았어요^^,[]
12,5,"['오레오초코몬스터설빙', '팥인절미설빙']",배달중에 녹지않는 설빙! 매장에서 먹는것처럼 먹을 수 있어서 너무 좋아요,[]
13,4,"['팥인절미설빙', '팥앙금', '요거트아이스크림', '찹쌀떡']",잘먹었습니다. 오랜만억 먹으니 맛있었어요,[]
