,별점,주문메뉴,리뷰,사진
0,5,"['오키나와 흑설탕라떼（오리지널）', '바닐라 라떼', '카라멜 마끼아또']",음료도 새지않게 포장잘되서 오고 맛있네요,[]
1,5,"['오키나와 흑설탕라떼（다크）', '크런치넛츠 페스츄리', '아이스크림 선택(아이스크림으로 변', '아이스크림 추가)', '카라멜 시나몬 브레드']",커피도 맛있고 패스츄리도 맛있었어요~~,[]
2,4,"['오키나와 흑설탕라떼（오리지널）', '브레드 싱글세트', '원두 선택(수프리모', '휘핑 추가(휘핑추가)']",감사합니다 많이 파세요 ~~,[]
3,5,"['에스프레소（블렌드）', '원두 선택(어썸다크)', '스윗 돌체라떼', '바닐라라떼 프라페']",가끔 시켜먹는데 양도많고 커피도 맛있어요배송도 빨라서 좋네요,['https://rev-static.yogiyo.co.kr/eb40f77c9d016cb9ffacc373d280ab85_tn.jpg']
4,4,"['곡물 라떼', '브레드 싱글세트', '원두 선택(퓨어마일드', '샷 추가(샷 추가', '휘핑 추가(휘핑추가)']",정성과 맛 있습니다배달은... 감안하고 시켜야하고요ㅎ,[]
5,5,"['오키흑당 카페라떼', '오키흑당 카페라떼', '추가선택(타피오카펄 추가)']",배송도 빠르고 친절해요,[]
6,5,"['에티오피아 예가체프', '오키흑당 밀크티', '추가선택(타피오카펄 추가)', '고구마 라떼', '레몬차']",아주 빠른 배송감사합니다 잘먹었어요,[]
7,5,"['크림치즈 프레즐', '햄치즈 그릴드 샌드위치', '불고기치즈 그릴드 샌드위치']",너무 빨리 먹어서 사진을 깜빡했네요 ㅎㅎ 프레즐만 겨우 있던거 찍었네요...잘먹었어용,['https://rev-static.yogiyo.co.kr/b39cbf4640482550e949f4e9c4b0b41e_tn.jpg']
8,5,"['오키나와 흑설탕라떼（오리지널）', '망고 스무디', '크로크무슈']",늘 맛있게 잘 먹고있습니다,[]
9,4,"['오키나와 흑설탕라떼（오리지널）', '오키나와 흑설탕라떼（다크）', '레몬차', '크림치즈 프레즐']",크림치즈 프레즐 처음 시켜보았는데 먹을만 해요언제나 오키나와 흑설탕라떼 맛있어요,[]
10,5,"['오키흑당 밀크티', '브레드 싱글세트', '원두 선택(수프리모)']",맛 양 배달시간 다 좋아요~^^,[]
11,5,"['오키흑당 녹차라떼', '오키나와 흑설탕라떼（오리지널）', '크림치즈 프레즐']",오키나와 흑설탕라떼 좋아해서 이번에도 시켰는데 사이즈업👍 흑당녹차라떼 나와서 주문했어요완전 달달해요~크림치즈프레즐도 두번째 주문~맛있게 잘먹었어요~,['https://rev-static.yogiyo.co.kr/b697773098b68f0018c444e180e8a8b2_tn.jpg']
12,5,"['오키흑당 카페라떼', '어니언베이글', '크림치즈 프레즐']",치즈프레즐 어니언베이글 맛있어요~아이도 좋아하고요^^,[]
13,5,"['오키흑당 카페라떼', '오키나와 흑설탕라떼（오리지널）', '크림치즈 프레즐']",흑당라떼 너무 맛있어요ㅋㅋ미세먼지도 안좋고 후루룩 흡입했어요♥,['https://rev-static.yogiyo.co.kr/eb3d030efc4a5953abcb0ea5ba1e5d5e_tn.jpg']
14,5,"['민트 카페모카', '그린티 라떼', '크로크무슈']",빠르고 맛도 좋아요😀😀,[]
15,5,"['하와이안 셀렉토코나', '하와이안 셀렉토코나']",진짜 진짜 너무너무 맛있어요,[]
16,5,"['에티오피아 예가체프', '카페라떼', '플레인베이글', '쟌슨빌 소시지롤']",커피 양도 만족스럽고 맛도 좋아요!! 항상 정성스런 포장과 빠르고 정확한 배송 감사합니다.,[]
17,5,"['오키나와 흑설탕라떼（오리지널）', '쟌슨빌 소시지롤', '크로크무슈']",오흑라는 항상먹는 맛잇는음료♡♡♡번창하세요 ㅎ,[]
18,5,"['오키흑당 밀크티', '사이즈변경(사이즈업)', '크림치즈 프레즐', '불고기치즈 그릴드 샌드위치']",늘 빠른 배송감사합니다,[]
19,5,"['오키흑당 밀크티', '사이즈변경(사이즈업)', '불고기치즈 그릴드 샌드위치']",배달 엄청 빠르고 포장도 꼼꼼했어요맛두 굳~~~요청사항 들어주셔서 감사했습니다~^^,[]
20,5,"['블렌드 퓨어마일드', '오키나와 흑설탕라떼（다크）', '바닐라 라떼']",쉬는날 자주 시키는데 항상 맛있게 잘마시고있어요😁,[]
