,별점,주문메뉴,리뷰,사진
0,4,"['수제왕돈까스', '쫄면']","맛은있는데 배달이라 그런지 바삭함없이 눅눅해요,,쫄면 맛있어요 소스도 맛있고",['https://rev-static.yogiyo.co.kr/46b6805a8cbcaf4fa24b0f596c245c96_tn.jpg']
1,5,"['수제왕돈까스', '쫄면']",다욧중인데 오늘 무너졌네요~ 돈가스 알차게 맛나게  먹었어요~소스는 연하지만 맛있구요~소스양이 항상모자라네요~쫄면은 맛은 괜챤은데 너무 삶으셨는지 탱글하지가 않네요  그래도 맛있게 먹었습니다~추천 꾹!,[]
2,5,['훼미리세트（생선까스2＋함박까스2＋돈까스3＋밥＋국＋야채）'],기대 안하고 먹었는데 너무 맛있고 양도많고 진짜 좋음 자주 애용할듯,[]
3,4,"['수제돈까스', '쫄면', '공기밥 1그릇']",좀 늦었습니다만 친철하게 양해 전화주신점은 감사합니다,[]
4,5,"['수제왕돈까스', '냉모밀']",돈까스도 바삭하고 맛있지만 소스가 끝내주네요.너무 맛있어요.,['https://rev-static.yogiyo.co.kr/e0049d640e2df5a6ee764902f17bc1e2_tn.jpg']
5,4,"['수제왕돈까스', '쫄면']",대체적으로 맛이 괜찮습니다,[]
6,5,['수제왕돈까스'],맛있게 잘 먹었습니다!,['https://rev-static.yogiyo.co.kr/28b58b64a887037a95e04629acd18c24_tn.jpg']
7,5,"['수제돈까스', '냉모밀', '콜라 1.25L']",다먹고찍엇네요ㅜㅜ 메밀소바랑 돈까스 맛있어요오,['https://rev-static.yogiyo.co.kr/535048ea25cc8ebcc7597425bbceb02e_tn.jpg']
8,4,"['모듬정식', '쫄면']",배달도 빠르고 양도 많았는데 쫄면이 너무 삶아져서 국수같았어요..,['https://rev-static.yogiyo.co.kr/bf7efc855b2bc19e350c3ad036c336a1_tn.jpg']
9,4,"['모듬정식', '오므라이스', '불고기덮밥']",무난하게 즐기기 좋습니다. 돈까스 전문점이라고 하기에 돈까스가 좀 그렇고 괜찮은 동네 분식점 정도에요. 반전은 불고기 덮밥이 의외로 맛있네요. 불고기 덮밥은 뚝불 전문점 수준으로 맛있습니다.,[]
10,5,"['수제왕돈까스', '쫄면']",여기 돈까스 소스 최고,[]
11,4,"['치즈돈까스', '모듬정식']",맛있습니다. 치돈이 제일 맛있었습니다. 물론 돈가스도요.,[]
12,1,"['수제왕돈까스', '불고기덮밥']",여기서 절대로 불고기 덮밥 시키지 마세요! 완전 쉣입니다 ㅠㅠ 평생 이따위로 이상한 냄새나고 맛없는 불고기 덮밥은 처음입니다. 어떻게 이따위 음식을 돈받고 팔 수 있죠? 너무 화가 나네요! 고기는 다 익히지도 않았는지 붉은색이 돌고 양념에서 이상한 냄새와 맛이나고 ㅠㅠ,[]
13,5,"['수제돈까스', '생선까스', '고구마돈까스']",밥 맛있게 잘먹었습니다^^,[]
14,5,"['수제왕돈까스', '쫄면']",배달빠르고 양도 많고 맛있어요 ㅎㅎ,[]
15,5,"['불고기덮밥', '냉모밀']",맛있습니다그 중에 냉모밀이 진짜 맛잇어요!,[]
16,5,"['매운돈까스', '고구마돈까스']",너무맛있었어요! 양도 많아서 남겼... 잘먹었숩니당,['https://rev-static.yogiyo.co.kr/5852ff3576b8b9e989c7826685d1b3c4_tn.jpg']
17,5,['수제왕돈까스'],왕돈까스 배터질정도로 많습니다.굿,[]
18,3,"['모듬정식', '쫄면']",돈까스소스도 안주시고....,[]
19,5,"['치즈돈까스', '유부우동', '치즈스틱 5개']",양도 많고 맛있어요..^^,[]
20,5,"['치즈돈까스', '냉모밀']",배달이 좀 늦었다는거 빼곤 훌륭합니다~,[]
21,5,"['수제왕돈까스', '매운왕돈까스', '공기밥 1그릇']",맛있게 잘 먹엏네요.,['https://rev-static.yogiyo.co.kr/474ff983d6639b8a45a78813ca2d097f_tn.jpg']
22,5,"['치즈돈까스', '꼬치우동']",맛있게 잘 먹었어요..^^,[]
