,별점,주문메뉴,리뷰,사진
0,5,['우럭'],훌륭해요~~~!!!! 많이들 드셔보기요~~~,['https://rev-static.yogiyo.co.kr/4312b354f8a5caa974135406da22af9f_tn.jpg']
1,5,['모듬회'],너무맛있어요@!!!!!!!!!!!,[]
2,5,"['사이다355mL', '속초해물물회1人', '처음처럼']",물회가 의외로 양도 많고 배달도 빠르고 맛있었어요~~,['https://rev-static.yogiyo.co.kr/441fd1eb557a2683d673c0e8062ef4a4_tn.jpg']
3,5,"['도다리세꼬시', '속초해물물회1人']",월급날 시켰는데 맛있게 잘 먹었어요찾아보니 저희 집과 거리가 먼 곳인데도배달해 주신 거였네요덕분에 맛있게 먹었습니다앞으로도 번창하세요,[]
4,5,"['활어물회1人', '사이즈 선택(2人)']",너무 맛있어요 배달도 빠르궁 국물 누락되었다고 바로 연락주시고 또 바로 가져다 주셨어요 여러분 다들 두번 드세요!!,['https://rev-static.yogiyo.co.kr/ee3e3f3e2475d7b0aa1c475d37e01869_tn.jpg']
5,5,"['광어', '멍게', '속초해물물회1人']",회도 너무 두툼해서 식감이 좋고!밑반찬들도 맛있어서 재주문했어요!!푸짐해용~서비스 감사합니당,['https://rev-static.yogiyo.co.kr/5ba7072c976f4baa4ec83b4a6646f780_tn.jpg']
6,1,['속초해물물회1人'],가성비.............맛은... 물회치고 저는 좀..... 같이 먹은 사람들모두...싱겁다네요..싱거워요 양땜에 2인분했는데.. 그냥그래요,[]
7,5,"['광어', '회덮밥']",또 주문했어용ㅋㅋ회가 너무 두툼하고 식감이 좋아서 자꾸 시켜먹게되네용 원래 회를 좋아하지만ㅋㅋ서비스 항상 감사합니다!!,['https://rev-static.yogiyo.co.kr/65c2618173d174a4799e7d64cfcbfcc7_tn.jpg']
8,5,"['광어', '초밥용초대리공기밥', '카스']","두툼하면서 신선하고  쌈장,채소도 모두 굿굿입니다.양도 많아서 사이즈 작은건 3명이서 먹어도 될 양입니다.사이드 메뉴도 풍부하고 초밥 만들어  먹는 밥과 식초도 아주 맛있어요~자주  주문할듯 해요~",[]
9,5,['광어'],회가 두툼하고 신선했고.곁반찬들도 풍성하고 맛났습니다~,[]
10,5,"['회덮밥', '활쭈꾸미숙회']",가격대비 좋은거 같습니다,['https://rev-static.yogiyo.co.kr/106a76bdfa1d1786c32e30042e1c044f_tn.jpg']
11,5,['속초스페샬'],두번째 주문이었습니다. 덕분에 손님 대접 잘 했습니다. 무엇보다 회 종류 포스트잇에 써주시는 사장님의 센스가 진짜 좋았습니다. 푸짐한 양에 낙지가 빠진것도 몰랐는데..낙지 배달이 다시 오는바람에 알았네요..믿음이 갑니다.앞으로도자주 이용할 듯 합니다,"['https://rev-static.yogiyo.co.kr/e7ebec60a812f656e54b23d901f5e34b_tn.jpg', 'https://rev-static.yogiyo.co.kr/1dc21a1948503791182ff28e685868fd_tn.jpg']"
12,5,"['모듬회', '추가 선택(옥수수콘치즈구이 추', '고구마튀김 추가)', '속초해물물회1人']",ㅎㅎ오랜만에 맛있는 회 먹었어요,[]
13,5,"['홍어회', '회덮밥']",맛 좋아요. 좋아요,[]
