,별점,주문메뉴,리뷰,사진
0,5,"['불오징어 불고기（2人）', '얼큰만두탕', '콜라1.25L']",맛있는데 매워서 다음날 뒷구녕에서 불꽃놀이했네요먹을땐 술먹어서 매운줄도 몰랐는데암튼 짱맛있어요,[]
1,2,"['오징어 제육 불고기 （2人）', '사이다1.25L']",전에 오징어만 들은게 더낫네요ㅜㅜ,[]
2,5,[],밤늦게 맛은 상관없이 시켰다가 넘 맛나게 먹어 야밤에 밥 한그릇 뚝딱~~~했네요~^^뫈전 맛나요~♡♡♡,[]
3,5,"['속초 불오징어 （2人）', '공기밥']",첨에 양이 적은지 알앗는데 적당하네요맛잇게맵고 입맛도네요 ~맛잇게먹엇습니다,[]
4,1,"['불 오징어제육불고기（2人）', '공기밥']",불오징어제육불고기 시켰는데 그냥 불오징어가 와서 전화하니까 오징어 많이들어갔다 하시네요...ㅎ바꿔달라하면 어쩔수없이 바꿔주는데 그냥 먹으면 안되냐는식이고 무쌈까지 맛없는건 처음에요,[]
5,3,"['속초 불오징어 ', '공기밥']","배달 빠르고 친절하셨어요~국물이 자작한 오징어 볶음이네요오징어 싱싱하고 야채랑 떡도 많이 들어있어요깻잎,김치, 무쌈, 마늘짱아찌 같이 나와요자극적이지 않은 보통맛이었습니다~",['https://rev-static.yogiyo.co.kr/8d78c080d8432e72e290de4ba049fbb6_tn.jpg']
6,3,"['불 오징어제육불고기', '유부어묵탕']",매운맛이 캡사이신 아니고 고추매운맛이면 좋겠네요태국고추랑 청양고추 섞어서 써보세요,"['https://rev-static.yogiyo.co.kr/ddf78cf2749325aad8633a3be95ec45d_tn.jpg', 'https://rev-static.yogiyo.co.kr/932dc843172cc545a591c83bec43bfed_tn.jpg', 'https://rev-static.yogiyo.co.kr/2fb053f6c4dc42ac9cdf5ecee8113e6f_tn.jpg']"
7,5,[],오징어불고기 먹었어요~불향나서 진짜 맛남!!!! 한방울도 안남기고 국물까지 밥말아서 다먹었네용!!👍배달음식중에 유일하게 실패안한곳!!  강추예요,[]
8,4,"['속초 불오징어 ', '유부어묵탕', '날치알계란찜']",괜찮네요. 다음에도 주문할만한 곳이네요.,[]
9,5,['속초 불오징어  불고기'],왠만하면 리뷰 안다는데 여기 진짜 최고맛있네요양도 많아요 3명에서도 먹을듯 담엔 계란찜이랑 같이 먹어볼게요이집을 왜 지금 알았는지 모르겟어요 포장도 깔끔하고 볶음밥 상태도 좋고요 매운것도 자극적이지않고 너무너무 맛있습니다!!!,[]
10,3,"['속초 불오징어  불고기', '추가 선택4(치즈볶음밥)']",그닥별로네요누구나다아는그맛,[]
11,1,"['속초 불오징어  불고기', '불타는 오징어 불고기', '공기밥']",최악입니다.주문 11시 반쯤 했었구요배달 1시 10분에 받았습니다.12시 50분까지 배달 부탁드린다고 메모도 했었구요 배달 시간 맞추기 힘들다는거 알기때문에 한시간 이상 시간두고 미리 주문하는거구요50분 넘어도 안와서 식당에 3번 전화했었는데요 마지막 3번째 취소한다고 전화하니 그제서야 배달 직원분에게 연락한거 같더군요이따위로 장사하지 마세요12시 20분에 매탄동에서 출발했다면서 서울 다녀오셨나봐요?,[]
12,5,['속초 불오징어  불고기'],맛 괜찮네요..깔끔포장,[]
13,5,['불타는 오징어 불고기'],마시가 있어요ㅋㅋㅋ,[]
14,5,['불 오징어 제육불고기'],"괜찮을까? 의문이 들면서 주문을 했는데 맵기도 적당히, 파절이와 내가 좋아하는 깻잎들도 예쁘게 포장 되어있으며 요즘 푹빠져있는 마늘까지 정말로 나이스하게 잘 먹었습니다. 배송도 빨라서 좋았던 것 같습니다. 좀 시간이 지났지만 새해 복  많이 받으세요~~♡♡",[]
15,5,['불타는 오징어 불고기'],맛있게 잘먹었습니다~~~,[]
16,5,['불 오징어 제육불고기'],맛있어요 너무너무 맛있어여,[]
17,5,['불 오징어 제육불고기'],먹고 난 후라 사진이 없네요 ㅠㅠ 째뜬 맛나요,['https://rev-static.yogiyo.co.kr/e672ca65d0eec7022a45293c7b253c8f_tn.jpg']
