,별점,주문메뉴,리뷰,사진
0,4,[],연휴에도 배달주문 가능해서 좋아요,[]
1,5,[],추억에맛을느낄수잇어좋앗다..중딩때먹던그닭맛이라너무고소햇다...리뷰첨달아보는데정말좋앗다..,[]
2,5,[],시장에서 튀겨준 닭 같아요~너무 맛있어요 ㅜㅜ♡,[]
3,1,[],냄세나요... 닭이 써요...,[]
4,5,[],맛있어요 양념이 괜찮네요,[]
5,5,[],맛있어서 다맛나여~,[]
6,5,[],맛잇어요^^,[]
7,4,[],따뜻하네요~양념이좀적어요~,[]
8,5,[],개맛,[]
9,4,[],괜찬아요~~,[]
10,5,[],맛은있으나 양은 적음 작은닭말고 큰닭으로 주문들하세요,[]
11,5,[],담백하고 바삭해서 더 맛있어요!,[]
12,1,[],한시간이 되도 안 오는데 뭘 시켜 먹으라는 겁니까?,[]
13,1,[],왠만하면 글 안남기는데...이런 쓰레기를 팝니까? 기름냄새쩔고 닭비린내 쩔고..썩은기름에 튀겼는지..정말 봉지열자마자 기분드러워지네..진짜 못먹겠어서 진짜 한입먹고 버림.. 진짜 열받네..,[]
14,4,[],리뷰보고 고민고민 끝에 옛통닭이 먹고싶어서 주문했는데사람 입맛이 다 다르긴한가봐요~전 바삭하니 고소한맛에 잘먹었어요~소스도 여러가지 잘오구 콜라도 주시고 비린냄새 기름냄ㅅㅐ 이런거 못느끼고 맛나게 먹어치웠어요ㅎ불금이라 바쁜가 배달이 쪼꼼 늦은게 아쉬웠어요ㅠ,[]
15,3,[],"옛날통닭 작은것은 혼자 먹어야할듯,배달시간 문자와 상관없이 한시간소요,근데 맛있음",[]
16,5,[],맜있어요,[]
17,4,[],처음 먹어봤는데 부모님이 좋아하셔서 좋아요맛도 괜찮고 감사합니다,[]
18,1,[],복불복치킨! 어느날은 먹을만하다가 어느날은 쓰레기 갖다줌. 이번같은 경우는 재탕한 닭인지 닭이 기름을 엄청 머금고 있는데다가 따뜻한대도 딱딱했음.. 식은후엔 이빨이 안들어갈 정도로 돌이 되있음 OO 돈버렸네ㅡㅡ,[]
19,5,[],저렴해서 양이 적을줄 알았는데 양도많고 맛있어요~~,[]
20,5,[],옛날 후라이드 맛있어요,[]
21,2,[],영계통닭주문해서 받아보았더니 일반영계닭크기가 아니고 완전새끼닭임ᆞ,[]
22,5,[],몇일만에 또 시킴,[]
23,4,[],또 야식으로당첨,[]
24,1,[],14000원짜리가 2마리에 16000원짜리랑 똑같네요옛날통닭은 시키지 마세요. 사기당한기분이네새벽이라 참는다!!!!,[]
25,3,[],맛있네요,[]
26,5,[],양도많고 싸고진짜맛잇음 ㄹㅇㅍㅌ,[]
27,5,[],센스값 인듯 비린장갑 오~,[]
28,5,[],옛날에 아버지가 사오시던 시장통닭 바로이맛!!너무맛있네요~~~ 소스도 종류별로 굿!,[]
29,5,[],새벽 네시에 시켰는데도 불구하고 배달하신분도 매우 친절하시고 음식도 정말 맛있네요!! 강추합니다!!,[]
30,4,[],굿,[]
31,5,['반반 치킨 '],맛있음 옛통닭도 맛있고 후라이드도 맛있고,[]
32,4,[],맛있어요~~,[]
33,5,['옛날 후라이드'],바삭~ 맛있어요~,[]
34,5,['옛날통닭（큰거）1마리'],맛짱,[]
35,5,[],순두부찌게 완전맛나요^^감사합니다~,[]
36,5,[],맛있어요!,[]
37,1,[],양도적고 너무 퍽퍽해서 별로였네요,[]
38,5,['옛날통닭（큰거）1마리'],일단맛은기본이고 사진을 못올려서 유감이지만 배달직원칭찬해드릴려구 글남김니다..정신이없어서 결제금액이24000원이었는데 제가34000원을 드렸나봐요..돈받고 가셨는데 가시다가 금액확인하고 다시오셔서 10000원을 돌려주시고 가셨어요..정말 정직하고 친절한 배달직원을 두셨네요..앞으로 자주 이용할께요..번창하세요^^,[]
39,4,[],지난주서울옛날통닭시켜먹고또먹네요~~ㅋ,[]
40,4,['옛날통닭（큰거）1마리'],"그냥 통닭예요~속꺼내서 바삭하게 구운 거!!ㅋㅋ아이랑 정말 맛나게 잘 먹었습니다별 하나 뺀 건 조리방식때매어쩔 수 없겠지만,기름이 넘 풍부해서 살짝 느끼해징^^~",[]
41,5,['옛날통닭（큰거）1마리'],두번째! 역시맛있네요ㅎㅎ시간은 초끔 걸렸지만 맛있으니 팻th,[]
42,1,['반반 치킨 '],어제 주문한 치킨  오늘 먹을려니 읶지도 않았네요ㅠ이집은 뭔가요?,"['https://rev-static.yogiyo.co.kr/352760fd23fa3be40a5013173c7382fc_tn.jpg', 'https://rev-static.yogiyo.co.kr/9aacb71a08d0e0033aed9780341ed028_tn.jpg']"
43,5,['옛날통닭（큰거）1마리'],소스랑 장갑까지 서비스가 좋네여~,[]
