,별점,주문메뉴,리뷰,사진
0,4,"['세트1-1（참닭발 or 무뼈닭발 or 국물닭발＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(누룽지탕大)']",받자마자 먹느라 사진을 깜빡했네요ㅜㅜ닭발에 누릉지 조합은 첨이었는데 닭발이 먹을 수록 매워서 누릉지에 자꾸 손이 가네요ㅋㅋ그리고 무엇보다 배달을 너무 친절하게 해주셨는데 전화를 하는 중에 음식을 받아서 제대로 인사를 못드렸네요ㅠ친절하게 가져다 주셔서 감사합니다!,[]
1,3,"['참닭발', '똥집튀김', '옛날치킨']",똥집 별로닭발 상치킨 평타이상,['https://rev-static.yogiyo.co.kr/91cc1f660fb1421364ba9060258fa628_tn.jpg']
2,4,"['무뼈닭발', '계란찜']",맛이 일반 닭발 보다 숯불 향이 덜해서 쫌 아쉽지만 정말 맛있었어요!!,[]
3,4,"['무뼈닭발', '주먹밥', '처음처럼', '카스']",완전 맛있게 먹었어요 ㅎㅎ덜 맵게 해달라고 했더니딱 맛있게 매운맛으로 해주셨음!! 너무 잘먹었어요,['https://rev-static.yogiyo.co.kr/e5393a91dc21bd21cf2d837528c196f1_tn.jpg']
4,5,"['세트2（참닭발 or 무뼈닭발 or 국물닭발＋옛날치킨＋계란찜大 or 누룽지탕大）', '사이드 선택(계란찜大)']",맛있습니다 좋아요 ㅋㅋ,[]
5,4,[],쇠주 안주로 괜찮은 양이겠내용잘먹었슴니돠~,[]
6,5,[],맛있어요 닭발 좀 매워요,[]
7,5,"['무뼈닭발', '후라이드치킨', '계란찜']",맛있어요 닭발 진짜 매워요,[]
8,4,[],맛있어요! 서비스로 당면사리와 콜라도 넣어주셔서 감사합니다,[]
9,5,[],지금까지 시켜먹어본 닭발중 제일맛있네용 번창하십쇼,[]
10,5,"['세트1-1（참닭발 or 무뼈닭발 or 국물닭발＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(계란찜大)', '주먹밥']",배달도 빠르고 닭발 먹고싶었는데 잘 먹었습니다~,[]
11,5,['무뼈닭발'],닭발 처음 먹어보는 건데 너무 맛있어서 다음에 또 시켜 먹을게욧!!,['https://rev-static.yogiyo.co.kr/f024fe6d1af16477ffc7aa4b20632afa_tn.jpg']
12,5,"['세트1-1（참닭발 or 무뼈닭발 or 국물닭발＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(계란찜大)', '잔치국수']",매운걸 잘못먹어서 쫌 남겼지만 맛있었어요! 매운거 좋아하시는분들은 좋을것같아요매울까봐 잔치국수를 시켯는데 잔치국수도 맵네요ㅠㅠ,[]
13,3,"['세트2（참닭발 or 무뼈닭발 or 국물닭발＋옛날치킨＋계란찜大 or 누룽지탕大）', '사이드 선택(계란찜大)']",닭발이 약간 비린내가 나요. 너무 삶아서 흐믈거려요 쫀뜻쫀듯해야 맛나는뎅.. 옛날 치킨은 딱딱해요ㅜㅜ,['https://rev-static.yogiyo.co.kr/ab649f077748a7988f1131affbc4f08f_tn.jpg']
14,5,"['세트1-1（참닭발 or 무뼈닭발 or 국물닭발＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(계란찜大)', '쫄면']",친절하게응대해주셔서감사합니다^^양이나맛이넘만족스러워요!담에두잘부탁드려요ㅎㅎ,[]
15,5,"['세트1-1（참닭발 or 무뼈닭발 or 국물닭발＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(계란찜大)', '쫄면']",양도푸짐하도괜찮앗어욯,[]
16,5,"['세트1-1（참닭발 or 무뼈닭발 or 국물닭발＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(계란찜大)']",양도 맛도 모두만족이용,[]
17,5,['무뼈닭발'],닭발이 정말 맛있어요. 사람마다 다르겠지만 너무 과하게 맵지도 않고 적절히 매워요. 맛도 있고요.,[]
18,5,"['세트4（참닭발 or 무뼈닭발 or 국물닭발＋오돌뼈＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(계란찜大)']",두번째 주문이에요!넘 맛있어용:),[]
19,4,"['세트1-1（참닭발 or 무뼈닭발 or 국물닭발＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(계란찜大)']",배달도 빠르고 맛있어요~~,[]
20,4,['참닭발'],맛은 좋은데 맙고 양이 적네요,[]
21,5,['무뼈닭발'],맛있어요~~~~~~~,[]
22,5,"['세트4（참닭발 or 무뼈닭발 or 국물닭발＋오돌뼈＋계란찜大 or 누룽지탕大＋주먹밥）', '사이드 선택(누룽지탕大)', '똥집튀김']",아이들과 맛있게 먹었네요~~^^,[]
23,5,"['똥집야채볶음（똥집철판볶음）', '비빔냉면', '주먹밥']",배달이 예상시간보다 빨리오고 맛있어요,['https://rev-static.yogiyo.co.kr/181da19fadc7d6db2ed1e21ba7e8ef01_tn.jpg']
24,3,"['똥집튀김', '오돌뼈＋주먹밥']",맛 있게 잘 먹었어요~~~다음에 또 시킬께요~^^,[]
25,5,"['세트2（참닭발 or 무뼈닭발 or 국물닭발＋옛날치킨＋계란찜大 or 누룽지탕大）', '사이드 선택(계란찜大)']",치킨이랑 닭발 구성은 닭발좋아하시는 가정이 아이랑 먹기 좋은 구성같아요~ 잘먹었습니다,[]
