,별점,주문메뉴,리뷰,사진
0,5,['마늘보쌈'],맛도 괸찮고 양도 푸짐하고 좋네용~~,[]
1,5,['마늘보쌈'],고기가 부드럽고 마늘이 있어 너무 좋았어요,['https://rev-static.yogiyo.co.kr/907ecf63b5183d17502cc6af679fa28c_tn.jpg']
2,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",고기가 정말 맛있어요!!! 살짝 아쉬운건 막국수가 아니라 쫄면이라는거뿐,[]
3,5,"['통 스페셜', '카스 ']",정말 모든것이 완벽했습니다 잘먹었습니다 사진이 없는게 아쉬운데 너무 맛있게 잘먹었습니다,[]
4,5,['통 스페셜'],배달도 빨리 왔고 기사님도 너무 친절하셨어요ㅎ 처음 딱 받고 엄청 많아서 깜짝 놀랐어요ㅎㅎ 쫄면이 살짝 불어있었던 것 같아 아쉬웠지만 다 맛있게 잘 먹었습니다!!ㅎㅎ 애용할게요 번창하세요~~!!👍👍,['https://rev-static.yogiyo.co.kr/a2c96a0224a4e50453d86757cd8788b7_tn.jpg']
5,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)', '펩시 1.25L']",굿굿오랜만에 맛집발견,[]
6,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)', '펩시 1.25L']",신나서 사진찍는걸 깜빡했다가 먹다가 찍었네욤 맛있어요 양도 많이 주시고 주먹밥도 감사해요 빨리 배달해주셔서 배고팟는데 더 감사합니당 ㅋㅋ,['https://rev-static.yogiyo.co.kr/b111b9cb7dd63dd9577f754492fed6a3_tn.jpg']
7,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']","배달이 엄청 빠르시네요! ㅎㅎ 고기먹을때 면이 엄청 땡기는데, 쫄면 사이즈업이 무료라니 감사합니당 ㅎㅎㅎ 여러가지 소스도 같이 주셔서 물리지도 않구 끝까지 맛있게 잘 먹었습니당^^♡",['https://rev-static.yogiyo.co.kr/c2ec0dae3f71a02d2d7aad1ecc4ff351_tn.jpg']
8,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",맛있어요. 공기밥 따로 팔으셨으면..,['https://rev-static.yogiyo.co.kr/5d986d0f3c37a3dbec57b816789bf430_tn.jpg']
9,5,['마늘보쌈'],생각보다 배달도 빨랐고 쫄면도 맛있었습니다. 보쌈김치가 있었으면 더 좋았을 듯,[]
10,5,['통 스페셜'],생각보다 괜찮아서놀랐습니다. 아직 리뷰도 별로 안달리고하신 것 보니 오픈한지 얼마 안된 것 같은데하시다 보면 말도안되는걸로 별점 깍는 사람들많이 봤습니다.거기에 넘 상처 받으시지 말고 힘내세요~ ㅎㅎ,"['https://rev-static.yogiyo.co.kr/1945777aaefcd9cf8f1e7917d3f6f466_tn.jpg', 'https://rev-static.yogiyo.co.kr/089840779c3218bd75071025f92f7dd3_tn.jpg']"
11,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",양이 상당히 많네요. 쫄면도 추가금 없이 사이즈 업 해주시고 고기도 담백해서 좋았습니다.,['https://rev-static.yogiyo.co.kr/819f710646b25ff2db38be67600ff7c1_tn.jpg']
12,5,['마늘보쌈'],처음엔 잘못온줄 알았어요 뭐가 엄청 많아서 보니까 반찬도 다양하고 고기는 알루백에 넣어주셨더라고요~맛있고 깔끔하고 좋습니다~,['https://rev-static.yogiyo.co.kr/ccf3cd03adee04d2394d43aef2b628bb_tn.jpg']
13,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",양 많고 맛잇게 잘먹엇어요,[]
14,4,['통 스페셜'],너무 맛있네요서비스도 좋구여더달라고요청한건도잘 해주시고 굿♡♡,[]
15,4,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",맛있고양도많아요고기얇게썰려있어서먹기편하고소스도종류많아좋네요^^,[]
16,4,['통 스페셜'],풍성하게 잘 먹었어요^^,[]
17,5,['마늘보쌈'],양엄청많고 안찔기고맛있어요,['https://rev-static.yogiyo.co.kr/3c843fd6d320dd3ae92dc9bbfd742fd5_tn.jpg']
18,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",너무 맛있게 먹고 정신차리고보니 사진을 못찍었네요ㅠ요청사항도 들어주시고 감사히 잘 먹었습니다^^,[]
19,5,['통 스페셜'],"27000원인데 양 진짜 많아서 둘이서 먹고 남겼어요. 배달이 정말 빨라서 다 먹고 나서 리뷰 쓰려고 요기요 켰는데 ""8분뒤 배달예정입니다"" 떠있어서 리뷰 못 씀.. 사진 중앙 쫄면이 야채 밑에 전부 면이에요. 분식집에서 쫄면 단품 시킨 양만큼 와요. 보쌈은 조금 얇게 썰린 감이 있지만 비계와 살코기 비율이 적당해서 정말 맛있었어요. 부추절임도 새콤달콤해서 부추절임만 먹어도 맛있었고요. 심지어 포장도 깔끔하고, 고기는 식지 말라고 보온팩에 들어서 왔어요. 완전 만족스러워서 자주 시켜먹고 싶어요.",['https://rev-static.yogiyo.co.kr/28b059de810593d237b563fb726d9612_tn.jpg']
20,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",양 푸짐하고 가성비 좋음,['https://rev-static.yogiyo.co.kr/816f7280ade9bd12fccf792ef7ded441_tn.jpg']
21,5,['마늘보쌈'],양도 적당하고 맛있네요,['https://rev-static.yogiyo.co.kr/37f2a2d943f8f362b2a1454a3744d10f_tn.jpg']
22,4,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",생각보다 나쁘지안ㄹ았으나배달이 좀 걸렸는지 고기가 살짝식어 냄새가 좀 났음,['https://rev-static.yogiyo.co.kr/e738c657bea55a3dfe15e7a02ce3bfa6_tn.jpg']
23,5,['통 스페셜'],배달도 빠르고 양도 엄~~ 청 많았어요다음에 또 주문할게요^^,['https://rev-static.yogiyo.co.kr/a13c57b95d8f5ffa77de40f87fde851f_tn.jpg']
24,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']",또 너무나 배불리 맛있게 먹었어요..매운걸 못먹는데요..매운소스 주신거 먹어보고는 그맛에 반해버렸네요..보쌈고기를 숯불에구워서 매운양념을 발라놓은것같은 맛 ㅎㅎ번창하세요~~~~^ ^,[]
25,5,"['통 스페셜', '쫄면선택(쫄면 사이즈업)']","첫주문인데... 너무 만족스럽습니다.배달고 친절하시고, 포장도 잘되어 있고, 맛도 좋습니다.흠잡을 데가 없습니다. 보쌈이 먹고 싶을땐 수원통보쌈에 재주문하겠습니다.","['https://rev-static.yogiyo.co.kr/b1bdaa0444128d2c3a555ef96d22b7d2_tn.jpg', 'https://rev-static.yogiyo.co.kr/4c6d86e5ae30f1de589ed5bfe442e15a_tn.jpg', 'https://rev-static.yogiyo.co.kr/13bb7d7bf358f4408cdbb089f0854799_tn.jpg']"
