,별점,주문메뉴,리뷰,사진
0,5,['마늘 치킨'],리뷰가아직없어서 어제첫리뷰써보려고 주문해봤어욛원래 마늘 알싸한맛이좋아서 마늘로시켰는데알싸한맛은없이 그냥 달짝지근한소스에 마늘향들어간느낌. 소스가소스다보니 좀 눅눅한느낌의치킨싫어하시는분은 다른맛드시는게날듯. 맛은 알싸한느낌없는건아쉬웠지만 좋았습니다양은 요새 이가격대한마리시키면 주는거보다 조금 더많은느낌이었어요.,['https://rev-static.yogiyo.co.kr/0304c66c4ef039bf08054a5776a4b3d2_tn.jpg']
1,5,['반반 순살 （후라이드＋ 양념）'],맛있어요^^애기들도 좋아하네요,[]
2,4,['반반 치킨 （후라이드＋ 양념）'],포장에 적혀 있는 것처럼 너무 깔끔하고 깨끗한 음식이라는 느낌을 받았습니다 치킨 자체가 매우 깔끔하고 깨끗하게 만드시는 것 같습니다 맛은 전체적으로 간이 약한 느낌이였습니다 마늘향은 풍부한데 간이 조금 더 있으면 좋을 것 같구요 기본 후라이드도 간이 조금 약해서 조금 더 짭쪼름하면 좋을 것 같네요 그래도 깔끔하고 건강한 느낌의 치킨 입니다,['https://rev-static.yogiyo.co.kr/096969a4c1efa388f68dc77021247541_tn.jpg']
3,5,"['반반 치킨 （양념＋양념）', '고마)']",정말 맛있게 잘먹었습니다 추천해요!!,[]
4,5,['반반 치킨 （후라이드＋ 양념）'],맛있었어요! 전반적으로 간이 심심해서 좋았습니다 굿굿! 사과양념은 은은한 단맛이라 꿀맛입니당 ㅋㅋ,['https://rev-static.yogiyo.co.kr/1bf37b13fced7a0d3fcbaa8670752cdc_tn.jpg']
5,5,"['반반 순살 （후라이드＋ 양념）', '추가메뉴(호로록 떡뽁이（매콤한맛）)', '생맥주 1000cc']",웬만하면 리뷰안하는데 정말 맛있아요... 고마 최고,[]
6,5,['순살 고마치킨'],예상보다 15분정도 일찍 왔네요맛도 깔끔하고 포장도 깔끔하네요고마치킨으로 시켰는데 매운걸 잘 못먹는 저에게는 좀 매웠어요 그래도 맛있네요,[]
7,5,"['반반 치킨 （후라이드＋ 양념）', '추가메뉴(콜라 사이즈업)']",오랫만에 치킨 맛있게 잘 먹었어요.치킨도 수제 피클도 맛있네요.~~^^,[]
8,4,"['반반 치킨 （후라이드＋ 양념）', '콜라 1.25L']",맛잇는데 좀 짜네요 ㅠ,[]
9,3,"['반반 순살 （양념＋양념）', '고추)', '생맥주 1000cc']",마늘이랑 고추치킨 시켜봤는데 평소먹는 치킨이랑은 비교불가로 평범한 맛이라 조금 실망했어요~~ 양념도 그냥 그렇고 치킨 기본적으로 튀김옷이좀 두껍습니다~~,[]
10,5,['순살 마늘 치킨'],맛있게 잚먹었습니다.  늦은시간 배달  해주셔서 감사드립니다,[]
11,5,['반반 치킨 （후라이드＋ 양념）'],입맛도 없고 요리할 의지도 없고 때마침 요기요에서 쿠폰을 주길래 그냥 한조각 먹고 대충 저녁 떼워야지 하고 별 생각없이 주문했는데. 정신차리고 보니 혼자 반마리를 순삭했네요.닭 비린내에 초민감 해서 최대한 바삭바삭하게 튀겨달라고 요청드렸더니 물컹한 곳 하나없이 고소하게 잘 튀겨주셨구요닭살도 누런지방 덩어리 같은 건 거의 없고 뽀얗고 촉촉하고 부드러워서 간이 세지 않은데도 맛있게 먹었어요사과 양념은 매운맛이 거의 없고 달달해서 부담이 없었어요앞으로 자주 이용할게요 번창하세요~,['https://rev-static.yogiyo.co.kr/06773f59e5f8326202afc92431e594ec_tn.jpg']
12,5,"['반반 순살 （양념＋양념）', '고마)']",양념도 맛있고 고마도 맛있네요,[]
13,3,['반반 순살 （후라이드＋ 양념）'],간장치킨 조금 짰어요 양도 좀 적게 왔드라고요ㅠ 담엔 좀 덜짜게 매장서 먹듯 좀 넉넉히 주세용~~^^순수치킨 울 아이들이 엄청 조아라해서요 ㅎ,['https://rev-static.yogiyo.co.kr/34f531999f86b2353ecb4fe33a6f49d4_tn.jpg']
14,5,['반반 순살 （후라이드＋ 양념）'],진짜진짜진짜 맛있어요.... 순살반반에 고마로 선택해서 시켰는데 순살인데도 양이 가득해서 둘이 먹고도 남았어요! ㅠㅠ 그리고 고마.... 고마 너무 맛있어요 ㅠㅠ 앞으로 치킨은 여기로 정착할게요ㅠㅠ,[]
15,5,['허니 봉봉'],맛있어요!!!달달하고 특히 꿀떡이랑 감자칩 같이 오는데 조합이 좋네요,[]
16,4,"['반반 치킨 （양념＋양념）', '간장)']",양념이 특이하고 괜찮아요,[]
17,1,['반반 치킨 （후라이드＋ 양념）'],순수치킨생각보다별로,[]
18,5,['반반 치킨 （후라이드＋ 양념）'],오늘 처음으로 남편이랑 같이 먹었는데오늘부로 이전에 이용하던 치킨집에서완전히 갈아타기로 최종 합의 보았어요ㅎㅎ남편이 이렇게 폭풍흡입하는 거  오랜만에 봐서 뿌듯했어요 감사합니다~ 번창하세요^^,[]
19,4,['고추 치킨'],매콤하면서 너무맛있습니다무도 아주 굿,['https://rev-static.yogiyo.co.kr/056ec671822cd4995f61c610e37de872_tn.jpg']
20,5,['순살 고마치킨'],??? 진심 존맛인데;;; 소스개발 독보적이다 이건..,[]
21,5,['순살 고추 치킨'],고추 소스도 존맛탱!,[]
22,1,['허니 봉봉'],친구가 맛있다고 적극 추천해줘서 시켯는데 사진처럼 모든 윙봉이 살은 거의 없고 말라비틀어진것처럼 너무 딱딱해서 못먹었어요원래 리뷰 안남기는데 돈도 돈이고 너무 화가나서 리뷰 남깁니다,"['https://rev-static.yogiyo.co.kr/489d8fb511a95fc7992f6fb615971017_tn.jpg', 'https://rev-static.yogiyo.co.kr/6dc1674d7b1c8fe69ce01489f0edc45f_tn.jpg', 'https://rev-static.yogiyo.co.kr/ca388a5c48c07873dc8ae125a5b9464e_tn.jpg']"
23,5,['순살 고마치킨'],오늘도 맛있는 고마치킨사진 깜빡했네요,[]
24,5,"['반반 치킨 （후라이드＋ 양념）', '추가메뉴(사과소스)']",치킨 유목민이였는데 정착했습니다 진짜 맛있는 치킨은 닭가슴살이 제일 맛있는데 여기가 그래요 완전 부들부들 촉촉 닭도 냄새안나고 신선하고 바삭하고 후라이드 자체도 치킨옷에 양념되어서 짱맛입니다 일단 시키세요 이런 낮은 평점 받을곳이아니에요,"['https://rev-static.yogiyo.co.kr/e7ca672647bce2be2c299b2104b5ed3e_tn.jpg', 'https://rev-static.yogiyo.co.kr/708014345976941cf00c64cec6c60c99_tn.jpg']"
25,4,"['반반 순살 （양념＋양념）', '모듬 감자', '메뉴선택(마', '고마)']",자꾸자꾸 당기는 배콤한 맛    굿~~,['https://rev-static.yogiyo.co.kr/f18a528935f38c0d430f581859a9715b_tn.jpg']
26,3,"['반반 순살 （후라이드＋ 양념）', '추가메뉴(바삭이 쥐포)']",지인추천으로 처음 배달해서 잘 먹었습니다.쥐포튀김 넘 맛있네요~^^,[]
27,5,['순살 마늘 치킨'],마늘소스도 맛있네요 ㅎㅎ,[]
28,5,"['반반 치킨 （양념＋양념）', '고마)', '꿀떡 토핑 추가（10개）']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/551226142b891bffd4b49d7c55025aae_tn.jpg']
29,5,"['순수치킨', '고마소스)']",다양하게 맛보려고 소스 시키는데 다 너무 맛있네요 주변에도 홍보 널리하고있습니다👍🏻👍🏻,['https://rev-static.yogiyo.co.kr/2d1453b88d682e9fda8f5bcad7a73ad3_tn.jpg']
30,5,"['반반 순살 （후라이드＋ 양념）', '추가메뉴(사과소스)']",서비스떡볶이 맛있어요!! 사진엔 안보이는데 홍합도 들어있구 밀떡이라 맛있어요고마치킨 매울 줄 알았는데 많이 안맵구 달달해요!사과양념도 맛있구 무엇보다 후라이드가 맛있어요ㅠ담엔 후라이드에 양념 여러가지 시켜서 먹어야겠어용ㅎㅎㅎ,"['https://rev-static.yogiyo.co.kr/acc1035a66d47505fe96bae179d2151a_tn.jpg', 'https://rev-static.yogiyo.co.kr/a322f8245b71da2bc79b71fa5747df18_tn.jpg']"
31,5,['반반 순살 （후라이드＋ 양념）'],어제 먹어도 고마반 후라이드반은 짱입니다..,[]
32,5,"['고마치킨', '순수치킨', '콜라 1.25L']",뜨끈뜨끈하구 넘 맛있었어요ㅋㅋㅋ너무 뜨끈해서 손 데일뻔 했습니다ㅜㅜ고마치킨 먹어보고 싶었는데..다음엔 일찍 주문해야겠어요 ^^ㅎㅎ,['https://rev-static.yogiyo.co.kr/780f8aca9e50812e0068e7167b8022c5_tn.jpg']
33,4,['반반 순살 （후라이드＋ 양념）'],순살반반 아이도 잘먹고 배달도 빨리해주시고 잘먹었습니다,[]
