,별점,주문메뉴,리뷰,사진
0,5,['비빔냉면'],잘 먹었습니다...!!!,"['https://rev-static.yogiyo.co.kr/759a48c03d56be118e23edc49cfb3134_tn.jpg', 'https://rev-static.yogiyo.co.kr/9f6ac8a8c3ed8eff9b382128c611c380_tn.jpg']"
1,5,"['2인 대박세트（냉면 택2＋숯불불고기300g）', '냉면2 선택(물냉면)', '왕고기만두 5개']",맛있어요. 친구랑 2인세트 시켜먹었습니다. 고기양이 많네요,[]
2,5,"['물냉면', '비빔냉면']",배달도 친절  음식도 맛 있어요잘 먹겠습니다,['https://rev-static.yogiyo.co.kr/9bd5019bab894822aed2c721dbceaf9a_tn.jpg']
3,5,"['2인 대박세트（냉면 택2＋숯불불고기300g）', '냉면2 선택(물냉면)']",냉면이랑 고기 둘다 너무 맛있게 잘 먹었습니다.고기 서비스도 감사해요,['https://rev-static.yogiyo.co.kr/db76aafc91552eb2c1e558c75d7ab0ec_tn.jpg']
4,4,"['물냉면', '비빔냉면']",비빔냉면 너무 매워요ㅠ육수를 따로주셨으면..,[]
5,2,"['비빔냉면', '2인 대박세트（냉면 택2＋숯불불고기300g）', '냉면2 선택(비빔냉면)']",분명 냉면 3개 시켰는데 2개만 가져다 주시네요.배달나가기전 영수증과 내용 더블체크는 필수 아닌가요? 가족이 같이 먹을려고 시켰는데 따로따로 먹을거면 왜시켜먹나요?다른 앱에서 시켜먹었을때 맛있어서 또 시켰는데 완전 기분 상하네요.,[]
6,5,"['물냉면', '비빔냉면']",양도 많고 배달도 시간 맞춰 왔고 무엇보다 너무 맛있었어요! 다음에 떠 시켜 먹을께요~~,[]
7,5,['물냉면'],냉면 국물까지 션하게 완샷했어요맛도 양도 굿~굿~ 재주문의사 100프로입니다~^^,['https://rev-static.yogiyo.co.kr/56ea1468c7a193f667e28b14f44b81ce_tn.jpg']
8,5,"['물냉면', '셀프주먹밥)']","혼자먹기많은양인데도 배가넘고파서 완냉했어요ㅎㅎ 주인장님께서배달문제로전화주셨는데 그닥큰문제없었지만 다데기랑육수많이요구사항은 잘안들어진거같네요 냉면,고기 맛있었고요 담에또주문할께요~주먹밥은기본보통..날치알주먹밥이아니에요 2000원짜리주먹밥같았어여 암튼 냉면이랑고기맛있게잘먹었읍니다","['https://rev-static.yogiyo.co.kr/f0a822838f7bb776e3b11050a00095b1_tn.jpg', 'https://rev-static.yogiyo.co.kr/e8045ec2243a481ba111f2967d7c61c4_tn.jpg']"
9,5,"['물냉면', '비빔냉면']",숯불고기 서비스가 넘나 좋네요불향도 좋고,[]
10,5,['물냉면'],여윽시 냉면엔 고기,[]
11,5,"['2인 만두세트（냉면 택2＋왕고기만두 5개）', '냉면2 선택(비빔냉면)']",배달이 60분걸리길래 좀 그랫는데 기다린보람이잇네요 여기 숯불 불고기 진짜맛잇습니다 냉면은 말할것도없구여 먹고나서쓸랫는데 도중에 다먹을거같아서 사진먼저찍고 리뷰올리네요 진짜맛잇어요!,['https://rev-static.yogiyo.co.kr/fdd90c35db10db49b78ac303a486373d_tn.jpg']
12,4,"['물냉면', '비빔냉면']",고기 서비스 감사합니다 풍족하게 먹었어요!!,['https://rev-static.yogiyo.co.kr/329a7f687f19e66e94b87b9e98f17978_tn.jpg']
13,5,"['2인 대박세트（냉면 택2＋숯불불고기300g）', '냉면2 선택(물냉면)']",맛있엇어여 냉면도 고기고 자주 시켜 먹을게영,[]
14,5,"['물냉면', '비빔냉면']",너무 급하게먹어서 사진을 못찍었네요 살얼음이 맛있고 고기도 불맛나서 맛있네요 번창사세요,[]
15,5,['물냉면'],맛있네요 시원하게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/c9f868922cf4a14107fc3a9e7d0dfee9_tn.jpg']
