,별점,주문메뉴,리뷰,사진
0,5,"['슈퍼떡볶킹세트C（떡볶이＋오징어튀김＋김말이튀김＋고구마튀김＋단무지）', '추가선택(치즈조금 추가)']",배달도 빠르고 떡보끼도 맛있어요~신전떡볶이랑 맛이 비슷한데 더 맛있어요ㅎㅎ그런데 오징어튀김은 쏘쏘해여ㅎㅎ,"['https://rev-static.yogiyo.co.kr/1612ff25739b50c31995289d4ddc5714_tn.jpg', 'https://rev-static.yogiyo.co.kr/cb4aae55ecda8265f052cf4beb7fab58_tn.jpg']"
1,5,['슈퍼떡볶킹세트 A（떡볶이＋순살치킨＋오징어튀김＋김말이튀김＋단무지）'],오징어튀김에오징어가잘않잘리긴한대맛있음니다,[]
2,5,"['슈퍼 빨간오뎅', '추가선택(김말이튀김4개 추', '고추튀김3개 추가', '음료 추가선택(쿨피스 1000mL 추가)']",맛있게 잘 먹었습니다~,[]
3,5,['슈퍼떡볶킹세트D（떡볶이＋순살치킨＋고구마튀김＋김말이튀김＋단무지）'],동네에 떡볶이집이 새로생겼다고해서  시켜봤는데 엄청맛있었어요ㅎㅎ거기에 친절까지 겸비하신 사장님 슈퍼그뢔잇!!!!제가매운걸 잘못먹어서 그런지 순한맛도 매콤했어요 그래서 딱좋았던것같아요ㅎㅎ이 가격에 튀김들이랑 엄청나게 많은 떡볶이!!!거기다가 음료수서비스까지 주시는 사장님센스♡♡♡♡♡♡♡맛있게잘먹었습니다!!!!!,"['https://rev-static.yogiyo.co.kr/e23e07b1d0fd5b0291eaae6a95eacd87_tn.jpg', 'https://rev-static.yogiyo.co.kr/70bb7d38464e23e3e4e4260fa2a143a3_tn.jpg']"
4,5,['슈퍼떡볶킹세트D（떡볶이＋순살치킨＋고구마튀김＋김말이튀김＋단무지）'],동네에 떡볶이집이 새로생겼다고해서  시켜봤는데 엄청맛있었어요ㅎㅎ거기에 친절까지 겸비하신 사장님 슈퍼그뢔잇!!!!제가매운걸 잘못먹어서 그런지 순한맛도 매콤했어요 그래서 딱좋았던것같아요ㅎㅎ이 가격에 튀김들이랑 엄청나게 많은 떡볶이!!!거기다가 음료수서비스까지 주시는 사장님센스♡♡♡♡♡♡♡맛있게잘먹었습니다!!!!!,"['https://rev-static.yogiyo.co.kr/d1edaf8d51cff2f22628b74653b35720_tn.jpg', 'https://rev-static.yogiyo.co.kr/c9c37bcf0ab155df777de0995998720a_tn.jpg']"
5,2,"['슈퍼떡볶킹세트 A（떡볶이＋순살치킨＋오징어튀김＋김말이튀김＋단무지）', '떡볶이 추가선택(빨간오뎅으로 변경', '추가선택(메추리알 추가', '음료 추가선택(콜라 1.25L 추가)']",배달하시는분 진짜 밤에 문 크게 두들기면자고잇는애들 깰수도잇는데 신경 안쓰시는거 같아요 배달원 때문에 못시켜먹겟어요,[]
6,5,"['슈퍼떡볶킹세트 A（떡볶이＋순살치킨＋오징어튀김＋김말이튀김＋단무지）', '쿨피스 1000mL']",배달도 30분정도 걸려서 오고 괜찮았어요. 맛은 신전떡볶이 안매운맛 같아요. 좋았습니다!!!,[]
7,5,['슈퍼떡볶이（단품）'],배달도 빨리 오고 맛도 좋네요!! 엽떡자주 시켜먹었었는데 갈아탈듯요!! 보통맛인데 매콤맵맵 하고 좋네요,"['https://rev-static.yogiyo.co.kr/89cdf05c01381ebc9e51bf1da5a90140_tn.jpg', 'https://rev-static.yogiyo.co.kr/1e0efab2e0b4ae894630008ef219b414_tn.jpg']"
8,4,"['슈퍼 빨간오뎅', '추가선택(오징어튀김 추가)']",배달도 빠르고 떡볶이도 맛있는데 오징어튀김은 너무 질겨서 가위로 잘라 먹었습니다. 튀김옷도 얇고 맛있는데 질겨서 아쉽네요..,[]
9,5,"['슈퍼떡볶킹세트D（떡볶이＋순살치킨＋고구마튀김＋김말이튀김＋단무지）', '추가선택(오뎅사리 추가', '음료 추가선택(쿨피스 1000mL 추가)']",맛있네요^^ 보통맛 시켰는데 딱 먹기좋게 맵네요~ 서비스로 음료수도 주시고~~다음에 또 주문할께요~,[]
10,5,"['슈퍼떡볶킹세트B（떡볶이＋순살치킨＋오징어튀김＋고구마튀김＋단무지）', '음료 추가선택(쿨피스 1000mL 추가)']",떡이 너무 쫄깃하고 맛있어요ㅠㅠㅠㅠㅠ 담에 또 먹어야겠어요 ❤️❤️,['https://rev-static.yogiyo.co.kr/ed555e4b2f101c013544edec2f956f1b_tn.jpg']
