,별점,주문메뉴,리뷰,사진
0,4,"['스페셜마리 Ⅰ', '떡순이모듬']",배달이 넘 오래걸렸어요ㅠㅠㅠ,[]
1,3,"['스페셜마리 Ⅰ', '길거리표떡볶이', '단무지', '마리드레싱']",가격이 조금  비싸요ㅜ,[]
2,5,"['스페셜마리 Ⅱ', '신사동 신비국시', '단무지', '웰치스 포도 （캔）']",양이 좀 아쉽고 가격도...^^; 스쿨푸드 역시 가격이 있네요 그래도 맛있어서 자주 시켜먹을게요~~,[]
3,5,"['스페셜마리 Ⅰ', '떡순이모듬', '신사동 신비국시', '콜라（캔）']",떡튀순 맛있어요!!!! 그런데 국수는 양념이 너무 많아서 조금 짰어요!!! 배달은 딱 40분 걸렸어요,[]
4,4,"['모짜렐라 스팸계란마리', '매운 까르보나라 파스타 떡볶이']",근처에 스쿨푸드가 생겨서 처음 먹어봤습니다! 평소에 먹어보고싶었던 메뉴 주문한건데 맛있네요^^ 혼자 먹는거라 양은 좀 남았는데 어쨌든 맛은 만족입니다! 스팸마리에 들어가는 장아찌? 그게 조금만 더 많았으면 하는 바램입니다~,['https://rev-static.yogiyo.co.kr/1c3d6a9628c81867465483773362bbdc_tn.jpg']
5,5,"['스페셜마리 Ⅰ', '스페셜마리 Ⅱ', '쟁반국떡']",배달도 빨랐고 맛있었습니다.,[]
6,5,['베스트 SET 2'],맛있어요. 배달도빨랐어요,['https://rev-static.yogiyo.co.kr/89dc32aba65026e630345d43c92736c4_tn.jpg']
7,5,"['스페셜마리 Ⅰ', '쟁반국떡']",마리도 맛있고 떡볶이랑 야끼만두 넘 맛있어요,[]
8,5,"['오리지널 스팸마리', '듬뿍야채 쫄쫄면']",저번 쫄면이 조금싱거워서소스추가했는데 여기는 얼큰하면서도맛있어요김밥도 맛있었어요  담에 또 시키고싶은 분식집입니다,[]
9,3,"['모짜렐라 스팸계란마리', '길거리표떡볶이']",생각보다 양이 적네요,[]
10,5,['베스트 SET 2'],맛있어요!다만 까르보떡볶이는 양이 좀 적은거같아요!!! 맛은 투움바파스타같이 매콤고소한 맛이에여,[]
11,3,['베스트 SET 2'],배달도 예상시간보다 늦고 세트라서 떡볶이양이 적은건지 단품은 많나요? 아니라면12000원주고는 안먹을듯....마리는 매장가서 먹는거보단 모짜렐라맛이 덜 느껴졌지만 괜찮았어요,[]
12,2,"['길거리표떡볶이', '까르보나라 파스타 떡볶이', '소고기쌀국수']",가격대비 맛과 양 이 너무 부족하네요.떡볶이는 너무 매워서 씻어서 다시 조리해먹었구요.ㅠ,[]
13,5,"['오리지널 스팸마리', '쟁반국떡', '해물야채튀김우동', '듬뿍야채 쫄쫄면', '군만두 12pcs']",깔끔하고 맛있네요~,[]
14,5,"['모짜렐라 스팸계란마리', '장조림 버터비빔밥（간장맛）']",빨리오고 맛있었어요 또 이용할게요,[]
15,4,"['이태원부대국밥', '돼지 왕구이 어부밥', '콜라（캔）']",콜라...가.....안왔어요....,[]
16,3,"['오리지널 스팸마리', '쟁반국떡', '돼지 왕구이 어부밥', '金[금]말이스틱']",스팸마리 : 맛있음국떡 : 맛없음어부밥 : 돈아까움,[]
17,4,"['스페셜마리 Ⅰ', '까르보나라 파스타 떡볶이']",참치랑멸치김밥에매운장아찌들어있네요.애기들주려고시켰다가 제가다먹었네요ㅋ짭쪼롬해요.잘먹었습니다.,['https://rev-static.yogiyo.co.kr/aecf11a67f6fed8b5d730fa5240c0eba_tn.jpg']
18,4,"['스페셜마리 Ⅰ', '길거리표떡볶이']",떡볶이가 저한테 좀 매웠는데 맛있었어요,[]
19,4,"['모짜렐라 스팸계란마리', '떡순이모듬']",간이 조금 쎈듯했는데 먹을만했어요,[]
20,4,['베스트 SET 2'],맛있게 먹었습니다양이 좀 적지만 혼자서 먹기엔 충분하지만가격이 높아서 좀 아쉽네요 ㅎㅎ,[]
21,5,"['스페셜마리 Ⅱ', '모짜렐라 스팸계란마리', '마리드레싱']",스쿨푸드 생겨서 너무 좋아요,[]
22,5,"['멸치마리', '스패니쉬 오징어 먹물마리']",스쿨 푸드 생겨서 너무 좋아요.  그리웠는데 이제 배달하면 되겠어요.  늘 먹는 오징어 먹물 마리는 여전히 맛있었네요.  배달도 빨랐어요👍🏻,[]
23,5,"['모짜렐라 스팸계란마리', '길거리표떡볶이', '환타 파인 （캔）']",와.. 그동안먹은 분식이 아까울정도로 맛잇어요배달빠르고 배달료적고!앞으로 여기 외 다른곳시키면 전 사람이아닙니다여기만시킬거에요 너무맛잇어요!,[]
24,5,"['멸치마리', 'Old & Wise 돈까스', '환타 파인 （캔）']",늦게 시켜도 배달되서 너무 좋아요  김밥도 맛있고 아들은 돈까스를 좋아해요!!김밥 종류별로 맛보기 도전할거에요!!,[]
25,4,"['오리지널 스팸마리', '길거리표떡볶이']",스팸마리 맛있긴한데 너무 짜요 ㅠㅠㅠ,['https://rev-static.yogiyo.co.kr/7dfbec441715abba2e82aa4406899744_tn.jpg']
26,5,['베스트 SET 2'],맛있어용👍👍👍👍👍 영통에 생겨서 좋아요,[]
27,5,"['매니아고추멸치마리', '길거리표떡볶이', '매니아 냉면']",배달도 빠르고 양도 많고 맛도 좋아요,['https://rev-static.yogiyo.co.kr/a43d67de435dce2e5f26bd1c6f6daae3_tn.jpg']
28,2,"['쟁반국떡', '유자 쏘이 치킨']",가격이 너무 비싸네요국물떡볶이도 매운맛만 나고 다른맛이 안나네요예전 생각에 시켰다가 실망입니다.,['https://rev-static.yogiyo.co.kr/6e0addcfe3435b325c9dfa3a6c04c234_tn.jpg']
29,5,"['모짜렐라 스팸계란마리', '길거리표떡볶이']",스쿨푸드야 뭐 워낙 유명한 체인이니~ 진짜 후기대로 떡볶이는 매운편이요.그렇다구 엽떡정도는 아니지만 일반 떡볶이보다는 매워요마리는 양이 적은대신 진짜 비싸다는 생각이 드네요~ 근데 뭐 그건 체인 정가이니 어쩔수없구 영통쪽에 생겨서 좋네요!!^^,[]
30,5,"['길거리표떡볶이', '소고기쌀국수']",전체적으로 맛이 다 괜찮네요. 재주문3번째,[]
31,2,"['스페셜마리 Ⅰ', '떡순이모듬', '어간장 육감쫄면']",사진은 못찍었는데 맛도없고 양도 적고 가격은 비싸고.. 소스도 안보내주고 최악이였음. 재주문 의사없음,[]
32,5,"['스페셜마리 Ⅰ', '길거리표떡볶이', '듬뿍야채 쫄쫄면']",추천해주신 마리스페셜!!맛있어요~  떡볶이도 맵고 쫄면도 맵고 불금이라 매운거 먹고 싶었는데 제대로에요!!!,[]
33,4,"['스페셜마리 Ⅰ', '매운 까르보나라 파스타 떡볶이']",맛있습니다 배달도 빠르고 좋네요.,[]
34,4,"['스페셜마리 Ⅱ', '길거리표떡볶이']",좋아하던곳인데 배달되서 넘 좋아용..잘먹었네용..또 주문할께용~,['https://rev-static.yogiyo.co.kr/2e6c215ab11dc8a4d60df50735f5a4b3_tn.jpg']
35,1,"['스페셜마리 Ⅱ', '떡순이모듬']",12000원 떡순이 좀 심하다..타매장에서 먹을때보다 심하게 양이적고떡은 딱딱해져있고사진에 보이는 양에 반밖에 안된다..여기 다신주문안한다,['https://rev-static.yogiyo.co.kr/6c416cae811f1a15857a3b7796e750f8_tn.jpg']
36,5,['베스트 SET 2'],까르보나라떡볶이 존맛탱,[]
37,5,"['오리지널 스팸마리', '쟁반국떡', '칭따오（캔）']",사진은 없지만 매우 맛있어요^^,[]
38,5,"['스페셜마리 Ⅰ', '스페셜마리 Ⅱ', '마리드레싱']",깔끔하고 맛있어요!배달도 빠르구요 매장이랑 맛도 같아요! 짱짱!,['https://rev-static.yogiyo.co.kr/d0b70ae6fa70029039bd5beb2807f3e7_tn.jpg']
39,4,"['스페셜마리 Ⅰ', '길거리표떡볶이', '착한 새우튀김 냉소바']",맛있긴한데 양이 너무적어요. 배달료까지 3천원이니~ 먹을게 없네요;;,['https://rev-static.yogiyo.co.kr/cfb45927659baef01ac4746d112d3b75_tn.jpg']
40,5,"['베스트 SET 2', 'Old & Wise 돈까스']",주1회는 항상 주문하는거같아요. 음식 따뜻하고 약속한 시간내에 와서 믿고 주문합니다.,['https://rev-static.yogiyo.co.kr/23fe6373bb0eec164d3e27c330ea2c04_tn.jpg']
41,4,"['스페셜마리 Ⅱ', '착한 새우튀김 냉소바']",김밥치고 싼건 아니지만 저는 스쿨푸드 마리가 맛있고 좋아요. 크기도 작아서 한입에 들어가고. 시원한거 땡겨서 모밀도 시켰는데 무난하니 괜찮네요. 요청대로 튀김 따로주셔서 좋았어요~,['https://rev-static.yogiyo.co.kr/d5e3ce03b9d912d46f8aaee1d49079b6_tn.jpg']
42,5,"['스페셜마리 Ⅱ', '이태원부대국밥']",김밥이 좀 비싸지만 맛있어요,[]
43,5,['베스트 SET 2'],역시 ㅁㅐ운까르보나라떡볶이파스타~ 완전 맛있어요ㅎ,['https://rev-static.yogiyo.co.kr/845fed466ed60a9d5d330d7f0ace2184_tn.jpg']
44,5,['베스트 SET 2'],맛있어요ㅋㅋㅋㅋㅋㅋㅋ,[]
45,5,"['모짜렐라 스팸계란마리', '매운 까르보나라 파스타 떡볶이', '어간장꼬막비빔밥', '듬뿍야채 쫄쫄면', '金[금]말이스틱', '콜라（캔）']",너무너무 맛있어요! 특히 매운까르보나라떡볶이 강추에요!!!!! 하지만 양이 조금 부족한게 함정이에요ㅜㅜ,[]
46,5,"['스패니쉬 오징어 먹물마리', '길거리표떡볶이']",맛있게 잘 먹었어요!,[]
47,5,"['멸치마리', '모짜렐라 스팸계란마리']",5살 아이와 함께 잘 먹었어요. 엄마가 갑자기 부재중이어서 무엇을 먹을까 고민했는데..멸치김밥 아이가 정말 좋아하네요. 약간 커서 반으로 잘라주었어요.  다음에 시킬때 좀더 작게 썰어달라고 부탁드리면 잘라 주실라나요? ^^ 안잘라주셔도 다음에 또 시켜먹겠습니다.,[]
48,3,"['스페셜마리 Ⅱ', '길거리표떡볶이', '듬뿍야채 쫄쫄면']",옛날부터 한번 먹어보고 싶어 시켰는데 가격대비 ...,[]
49,5,"['베스트 SET 1', '스페셜마리 Ⅱ', 'Old & Wise 돈까스', '콜라（캔）']",음식 맛있고 배달 빠릅니다.같은 메뉴 벌써 3번 주문해요,[]
50,5,"['스페셜마리 Ⅱ', '떡순이모듬', '콜라（캔）']",김밥 맛있어요!!거리가 멀어서 떡볶이가 좀 불었지만 잘먹었습니다~,[]
51,3,"['스페셜마리 Ⅰ', '오도독 짱아치 물냉면', '착한 새우튀김 냉소바']",멀리있어서 그런지 냉면육수가 다 녹아서 미지근하게 먹었네요...,[]
52,5,"['모짜렐라 스팸계란마리', '쟁반국떡', '야끼만두)', '장조림 버터비빔밥（간장맛）']",👍👍👍👍👍,[]
53,5,"['스페셜마리 Ⅰ', '까르보나라 파스타 떡볶이']",맛있어요! 그리고 혹시 김치마리를 참치로 바꿔주실수 있냐고 요청드렸는데 참치로 두줄 주셔서 감사했어요! 입덧중이라 김치를 못먹거든요ㅠ 잘먹었습니당~!,['https://rev-static.yogiyo.co.kr/d9e58d43d536b33e8b83c83a762ef2ae_tn.jpg']
54,5,"['매운 까르보나라 파스타 떡볶이', '돼지 왕구이 어부밥', '콜라（캔）']",잘먹었습니당,[]
