,별점,주문메뉴,리뷰,사진
0,4,[],맛있는데 너무 매워요,[]
1,5,[],여기맛있어요~~~정든닭발하고 비슷한데 개인적으로 정든닭발보다 낫습니다,[]
2,3,"['참숯무뼈닭발', '쿨피스 大']",자주시켜먹어요,[]
3,4,[],맵고 맛있는데 주문할때 매운맛 조절이 필요한것 같은?!야채가 조금 더 들어 갔다면 정든닭발이 생각나는 맛,[]
4,4,"['참숯무뼈닭발', '김따로주먹밥（2인）']",맛있어용!,[]
5,4,[],닭발에서 불맛나고 마싯어요!!,[]
6,5,"['세트메뉴（메뉴 택1＋계란찜大＋김따로주먹밥＋콩나물국＋콜라or사이다 1.25L）', '음료 선택(사이다 1.25L)']",배달아저씨도 친절하시고^^깔끔하게 세트메뉴로 맛있네욯ㅎ,[]
7,4,"['세트메뉴（메뉴 택1＋계란찜大＋김따로주먹밥＋콩나물국＋콜라or사이다 1.25L）', '음료 선택(콜라 1.25L)']",너무맛있어요!,[]
8,4,[],맵고맛있습니다.,[]
9,5,[],짱맛나요! 후기가 좋아서 시켰는데 존맛요~~~♡,[]
10,1,[],숯불맛이 너무 강해서 닭발본연에맛이 없어요닭발인지 숯불고기인지 분간이 안되네요맛은 맛없는건 아니지만 매운맛을 좋아하시는분들은 싱거울것 같네요,[]
11,3,"['세트메뉴（메뉴 택1＋계란찜＋김따로주먹밥＋콩나물국＋콜라or사이다 1.25L）', '음료 선택(콜라 1.25L)']",흠...냄새와 ...음 맛두별루네요,[]
12,3,[],계란찜이 도저히 먹을수가 없었어요 ㅠ너무 비려서 바로 버리고 그거 뜯어논거 정리하고 음식물쓰레기수습하느라 시간만 버렸네요ㅠ서비스로 오는거라 할말은 없는데 차라리 안주시는게..그래도 닭발은 맵구 맛있어요~,[]
13,3,['참숯무뼈닭발'],양념맛과 구성은 괜찮은데 너무 퍼지고 젤리처럼돼서 꼬들한맛이부족했어요 ㅜ,[]
14,5,[],매콤하니 술안주로 딱이예요~~^^,[]
15,5,[],우선 첨 시켰는뎅..맛나고용 배달하시는분두 친절해서 좋았어요 그리고 좀더 매웠으면.. 제 소망 ㅎ  맛나게 잘 먹었습니다~~♡,[]
16,4,['참숯무뼈닭발'],닭발.무.콩나물국.계란찜.콜라. 구성이 많구요.맛있어요. 늦은 시간 맛있는 음식을 먹을수 있어서참 좋았어여. 콩나물국이 좀 시큼해서 별하나 빼요~,['https://rev-static.yogiyo.co.kr/4b49a838fc5db37ad63781a46da1e971_tn.jpg']
17,4,"['세트메뉴（메뉴 택1＋계란찜＋김따로주먹밥＋콩나물국＋콜라or사이다 1.25L）', '음료 선택(콜라 1.25L)']",good ~~^^!!!,[]
18,5,"['세트메뉴（메뉴 택1＋계란찜＋김따로주먹밥＋콩나물국＋콜라or사이다 1.25L）', '음료 선택(사이다 1.25L)']",good..~~^^,[]
19,4,['참숯무뼈닭발'],중독됐어요계속먹게돼네요,[]
20,5,"['세트메뉴（메뉴 택1＋계란찜＋김따로주먹밥＋콩나물국＋콜라or사이다 1.25L）', '음료 선택(사이다 1.25L)']",배달도빠르고맛도좋앗어용~^^,[]
21,4,"['세트메뉴（메뉴 택1＋계란찜＋김따로주먹밥＋콩나물국＋콜라or사이다 1.25L）', '음료 선택(사이다 1.25L)']",맛있어여~~~~~~!!!,[]
22,5,"['세트메뉴（메뉴 택1＋계란찜＋김따로주먹밥＋콩나물국＋콜라or사이다 1.25L）', '음료 선택(사이다 1.25L)']",ㄷㄴㅅㅂㄱㄴᆞㅏㄷㅅㅇ,[]
