,별점,주문메뉴,리뷰,사진
0,4,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스350mL）', '튀오뎅（4개）', '계란 추가', '국물 추가']",계란2개 시켰는데 1개온거빼곤 만족,[]
1,5,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스', '신떡（가장 매운맛）']",여기 배달 되서 너무 좋다,[]
2,3,"['카떡（카레맛）', '김말이（4개）', '눈물라면', '비밥（셀프주먹밥）']","신떡 비밥은 어디서 먹든 왜 항상 김에서 냄새가 나는지ㅠㅠ그리고 튀순대도 먹고 싶어요,,",[]
3,5,"['세트2（떡볶이 택2＋튀김만두5＋오뎅3＋김말이2＋치즈봉2＋튀순대2＋순대＋쿨피스大）', '메뉴 선택(중떡（ 중간 매운맛）)']",첫주문~~생각보다 맛도조쿠 음식도 깔끔하니 조앗어용~~^^,[]
4,5,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스', '얼큰오뎅', '튀오뎅（4개）', '튀말이（4개）']",배달 빠르고 맵고 맛있어요.ㅎㅎㅎ,[]
5,4,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스', '순대（300g）']",괜찮고 맛있네요 ㅎㅎ,[]
6,5,"['세트2（떡볶이 택2＋튀김만두5＋오뎅3＋김말이2＋치즈봉2＋튀순대2＋순대＋쿨피스大）', '중떡（ 중간 매운맛）', '메뉴 선택(중떡（ 중간 매운맛）)', '계란 추가（1개）']",종종 방문해서 포장해오는데 이번엔 배달시켜봣네요맛있어요!!^^,['https://rev-static.yogiyo.co.kr/4449ada160080377ea85b92d866eb495_tn.jpg']
7,2,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스', '튀만두（5개）']",만두가 왜 붙어서 오죠. 붙은 사이 면적은 튀겨지지도 않앗는데 많이 바쁘셨나보네요?,['https://rev-static.yogiyo.co.kr/03c5f6858c0c4166aaa4893edc5c8593_tn.jpg']
8,4,['라볶이'],배불리 잘먹었습니다 양많아요,[]
9,5,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스', '치즈봉（3개）', '계란 추가（1개）']",맛있고 배달도 빨랐어요^^역시 평이 좋은데는 이유가 있네요!!서비스로 주신 콜라도 잘마셨어요~~~또 시켜먹을께요!,"['https://rev-static.yogiyo.co.kr/3cd1a622d3d0f90459b99d18687a19c4_tn.jpg', 'https://rev-static.yogiyo.co.kr/3fa7a73976430ccdf9ee80ac3cb10cd5_tn.jpg']"
10,5,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스', '오징어바튀김（3개）', '고추김밥']",맛있어요 자주 시켜먹겠습니다,[]
11,5,"['세트2（떡볶이 택2＋튀김만두5＋오뎅3＋김말이2＋치즈봉2＋튀순대2＋순대＋쿨피스大）', '메뉴 선택(매떡（순한맛）)']",맛잇네여 =) 담에또 머거야지,[]
12,5,"['세트2（떡볶이 택2＋튀김만두5＋오뎅3＋김말이2＋치즈봉2＋튀순대2＋순대＋쿨피스大）', '메뉴 선택(짜떡（짜장맛）)']",맛있게 잘 먹었습니당 치즈스틱이랑 떡볶이 쫀맛,[]
13,3,"['매떡（순한맛）', '튀오뎅（4개）', '오징어바튀김（3개）', '치즈봉（3개）', '야채튀김（3개）']",튀김이 기름에 쩔어왔어요. 노르스름한게 아니라 시커맸어요,[]
14,5,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스', '순대（300g）', '새우튀김（3개）']",만족해요 맛도 좋았습니다.,[]
15,5,"['신떡（가장 매운맛）', '고추김밥', '계란 추가（1개）']",떡볶이 완전 매워요~근데 완전 맛있어요~~,[]
16,5,"['세트2（떡볶이 택2＋튀김만두5＋오뎅3＋김말이2＋치즈봉2＋튀순대2＋순대＋쿨피스大）', '메뉴 선택(매떡（순한맛）)']",재배달 넘 맛나용~~^^,[]
17,5,"['세트1 （떡볶이 택1＋튀김오뎅＋튀만두＋비밥＋웰치스', '치즈 추가']",맛있고 다좋은데 치즈가너무딱딱해져서온거빼고는 다좋아용,[]
18,5,"['신떡（가장 매운맛）', '참치주먹밥', '웰치스 포도 350mL']",맛있습니다~~~~~~~~~,[]
19,5,"['라볶이', '돈까스']",요즘 중독되서 자주시켜 먹어요맛있어요~,[]
20,5,"['신떡（가장 매운맛）', '순대（300g）', '모둠튀김A（튀김만두5＋오뎅3＋김말이2＋치즈봉2＋튀순대2）']",양은 그닥 매워서 남겼지만 괜찮아요,[]
