,별점,주문메뉴,리뷰,사진
0,5,['쌀닭 순살 양념 반반'],맛있어요 동생이 좋아해요,[]
1,5,['쌀닭 눈꽃 치킨'],시간 잘 맞춰주셔서 감사합니다^^ 너무 맛있어요^^,['https://rev-static.yogiyo.co.kr/0f9504125de710f0667224af1bc4bc33_tn.jpg']
2,5,"['쌀닭 양념 반반', '콜라 1.25L']",맛있습니다당분간 자주 이용하겠습니다,[]
3,5,"['쌀닭', '쌀닭 허니 반반']",1234567890,[]
4,1,['쌀닭 양념 반반'],제 입에는 안맞네요,[]
5,5,['쌀닭 눈꽃 치킨'],맛있었어요.,[]
6,5,['쌀닭 양념 반반'],맛있었어요,[]
7,5,['쌀닭 양념 반반'],맛있습니다,[]
8,4,"['쌀닭', '콜라 1.25L', '생맥주 1000cc']",예전 바삭한 느낌이 덜해졌네요 ㅠ,[]
9,5,['쌀닭 허니 반반'],맛있었어요,[]
10,5,['쌀닭 양념 반반'],잘먹었습니다,[]
11,5,['쌀닭 양념 반반'],양도 적당하고 맛있어요!,[]
12,5,['쌀닭 양념 반반'],맛있습니다,[]
13,5,['쌀닭 양념 반반'],맛있습니다,[]
14,3,['쌀닭 양념 반반'],맛있어요..앞으로 또 시켜먹을거 같아요,[]
15,3,['쌀닭 순살 양념 반반'],분명 순살 반반을 시킨것 같은데 양념순살만 왔네요이번이 처음이라 그냥 먹습니다...ㅠ,['https://rev-static.yogiyo.co.kr/41b38faff4cf12180832889ea7342855_tn.jpg']
16,5,['쌀닭 순살 양념 반반'],쌀이라 그런가 더 바삭바삭한듯,[]
17,5,"['쌀닭 순살', '애간장 소스']",배달도빠르고 맛잇습니다,[]
18,5,['쌀닭 순살 양념 반반'],배달도 빠르고 맛있게 잘먹었습니다~,[]
19,4,['쌀닭 양념 반반'],바삭바삭 맛있어요양념은 달콤해서 맛있어요후라이드에서 매콤한 맛나네요,['https://rev-static.yogiyo.co.kr/0018cbf0f4619b76c8f4ea6773345f54_tn.jpg']
20,5,"['쌀닭 허니 갈릭', '생맥주 1000cc']",배달도 빠르고 너무 맛있습니가~~,['https://rev-static.yogiyo.co.kr/66b82c548430911a707f56f76ab604d6_tn.jpg']
21,5,"['쌀닭 양념 반반', '생맥주 1000cc']",맛있게 먹었습니다,[]
22,4,['쌀닭 양념 반반'],매콤해서 아이들과 먹을수있는 안매운 튀김옷이였으면 좋을거같아요제입에 맛있었지만 아이들ㅇㅣ 맵다네요,[]
23,5,['쌀닭 양념 반반'],처음 시켜봤는데 맛있네요 자주 사먹을게여 :),[]
24,5,['쌀닭 양념 반반'],근처에 여기 제일 맛있어요!,['https://rev-static.yogiyo.co.kr/b8818edd38e3392d7ee5f5cdfeac497b_tn.jpg']
25,5,['쌀닭'],맛있어요 ㅎㅎ 배달 아저씨도 친절하시고 좋아요 !!,['https://rev-static.yogiyo.co.kr/e2f72271f82b8a1880542e5c6b6ead60_tn.jpg']
26,5,['쌀닭 허니 반반'],😍😍😍😍😍😍😍😍😍😍😍,[]
27,2,['쌀닭 양념 반반'],닭이 덜익어서 피가 뚝뚝 떨어지네요..못먹겠어요,"['https://rev-static.yogiyo.co.kr/30480199159d954ea432ed51c004b68a_tn.jpg', 'https://rev-static.yogiyo.co.kr/8dc2fb955cc5531514cb89551b7b3c5d_tn.jpg']"
28,4,['쌀닭 순살'],치킨 너무 맛있어서 이미 다 먹어버렸어요...대신 강아지사진올립니다 타브랜드 치킨은 비싸기만하고 양도 적은데 여기는 양도많고 치킨도 맛있어요! 같이 주신 흰색 소스 정말 맛있게 잘먹었습니다ㅎ,['https://rev-static.yogiyo.co.kr/7f309de83ce101e9e7d30230d83b97c8_tn.jpg']
