,별점,주문메뉴,리뷰,사진
0,3,"['숯불무뼈튤립닭발 2人', '처음처럼']",늦은시간이라 전화주시면 내려간다고 말씀 드렷는대. ㅠㅠ,[]
1,5,['숯불무뼈닭발셋트 2人（숯불무뼈닭발2人＋계란찜＋주먹밥＋쿨피스 180mL）'],맛있게 잘먹을게용!ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/959a6da2e84dbf0829e5ca64684b5fb2_tn.jpg']
2,4,['숯불오돌뼈셋트 2人（숯불오돌뼈2人＋계란찜＋주먹밥＋쿨피스 180mL）'],배달은 1시간 걸린댓는데 정말 1시간 걸렸구요 맛있었어요!,['https://rev-static.yogiyo.co.kr/6e4b4c2ff4b2ec152b714cf69d8892c1_tn.jpg']
3,5,['숯불무뼈닭발셋트 2人（숯불무뼈닭발2人＋계란찜＋주먹밥＋쿨피스 180mL）'],늦은 시간에 이런야식을 먹을수 있어서 너무 감사합니다.  밥은 너무 맛이게 잘되서 그냥 먹어도 최고인듯 센스있게 김가루따로 주셨고 계란찜은 양도많고 맛도좋고 메인요리무뼈닭발은 매운맛 강도 조절할수 있고 식감이 말랑말랑한 완젼 무뼈는 아니네요. 그렇다해서 뼈가 씹히는건 아니고 물렁뼈?연골같이 씹히기는 합니다. 개인적으로 전 식감있는 이런무뼈가 좋습니다ㅎㅎ 양도 푸짐하고 맛도 최고 입니다. 술안주로 강추 드립니다!,"['https://rev-static.yogiyo.co.kr/a750feea90639a7b51d284a55d13255e_tn.jpg', 'https://rev-static.yogiyo.co.kr/1338290365515dc55c186cb0c84f979c_tn.jpg']"
4,5,['숯불무뼈닭발셋트 2人（숯불무뼈닭발2人＋계란찜＋주먹밥＋쿨피스 180mL）'],친절해서 좋아요 그래서 지금 또 시켜먹으랴구여,[]
5,5,['숯불무뼈닭발셋트 2人（숯불무뼈닭발2人＋계란찜＋주먹밥＋쿨피스 180mL）'],혼자먹었는데 양도적당하고 맛있었어요 자주이용할게요~,[]
6,5,"['숯불무뼈닭발 2人', '맛 선택(보통맛)']",맛있어요 쿨피스 감사합니다,"['https://rev-static.yogiyo.co.kr/b1d160c7f1be760acc9383e4f957a338_tn.jpg', 'https://rev-static.yogiyo.co.kr/c8aa0da67d8b724592e9f9f3e2e64fff_tn.jpg']"
7,5,['숯불무뼈닭발셋트 2人（숯불무뼈닭발2人＋계란찜＋주먹밥＋쿨피스 180mL）'],배달 60분정도 걸린다그랬는데 30분정도 걸려서 와서 너무 만족했어요~ㅎㅎ맛은 있는데 2명이서 먹기에는 닭발양이 쪼금 적은느낌?ㅠㅠ 다음에는 조금 더 양많게 시키든지 해야겠어요~ㅎㅎ그래도 맛있게 잘먹고있습니다ㅎㅎ,['https://rev-static.yogiyo.co.kr/e58b3560a68e9d549f23fcfcb4502a82_tn.jpg']
8,5,['숯불무뼈닭발셋트 2人（숯불무뼈닭발2人＋계란찜＋주먹밥＋쿨피스 180mL）'],"두명이서 먹기 아주 약간 부족하지만, 맛은 너무 맜있어엽 !!!!!!!!",[]
9,5,['숯불오돌뼈셋트 2人（숯불오돌뼈2人＋계란찜＋주먹밥＋쿨피스 180mL）'],배달 예정 시간보다 빨리 와서 좋았어요!양파가 너무 많기는 하지만 맛있습니당,['https://rev-static.yogiyo.co.kr/2f308f585de5cfefea4b83785af64621_tn.jpg']
10,4,['숯불무뼈닭발셋트 2人（숯불무뼈닭발2人＋계란찜＋주먹밥＋쿨피스 180mL）'],배달도 엄청빠르고 맛잇는데 양이 너무 적네요..ㅜ,['https://rev-static.yogiyo.co.kr/400243e1e25c0cbf7a744039cdf899f5_tn.jpg']
11,5,"['국물닭발셋트 4人（국물닭발大 4人＋계란찜＋주먹밥＋쿨피스 930mL）', '맛 선택(보통맛)']",맛도 맛있고 양도 좋은데 배달이 조금 늦어서 아쉬워요,[]
12,1,"['국물닭발셋트 2人（국물닭발大 2人＋계란찜＋주먹밥＋쿨피스 180mL）', '맛 선택(보통맛)']","약간 기름지고 매우 얼큰한 짬뽕국물에 닭발과 수제비,햄 같은 것들이 들었어요. 닭발 양은 적고 부수적인 재로 양이 많에요.",[]
13,5,"['B세트 4人（숯불무뼈닭발2人＋국물닭발大 2人＋계란찜＋주먹밥＋쿨피스 930mL）', '음료 선택(사이다 500mL', '맛 선택(보통맛)']",많이 매콤하지만 남길정도로 양도 많고 스트레스도 확 풀렸습니다~,[]
14,4,"['숯불무뼈닭발 2人', '맛 선택(보통맛)']",생각보다 매웠지만 맛은 있었습니다리뷰이벤트 쿨피스 930ml가 아니고 180ml 2개가 왔네요공지수정해 주세요,[]
15,3,['숯불무뼈닭발셋트 2人（숯불무뼈닭발2人＋계란찜＋주먹밥＋쿨피스 180mL）'],그냥 그저 그랫던 듯 배달업체때매 살짝스트레스엿음흠,[]
