,별점,주문메뉴,리뷰,사진
0,5,"['대가해물전골 小（2인）', '공기밥']",해물탕 진짜 너무 너무 맛 있어요  양도  너무 많이 주셔서 첫째랑 배속에 있는 둘 째랑 맛 있게 잘 먹었습니다 👍👍감사합니다,['https://rev-static.yogiyo.co.kr/b5c29473ee29f6e877dfa0e632ef7393_tn.jpg']
1,4,"['대가아구찜 小', '추가 메뉴 선택(알 추', '전복 추', '미더덕（만디기） 추가)']",맛있이요~~해물도 싱싱하고 냄새도 안나고~잘먹었습니다 근데 양은 많지않은것같아요~,[]
2,4,['대가아구찜 小'],.맛있게 잘먹었습니다~~,[]
3,5,"['대가아구찜 大', '추가 메뉴 선택(곤이 추가)']",잘 먹었습니다~^^,[]
4,5,"['대가알곤이찜 小', '추가 메뉴 선택(곤이 추가)']",알찜이 너무 먹고 싶어 주문했는데소자라도 엄청난 양에 비주얼 갑입니다맛있게 잘 먹었어요,['https://rev-static.yogiyo.co.kr/0f85ab90592567dccb04cc9f95742bbb_tn.jpg']
5,5,"['대가아구찜 大', '추가 메뉴 선택(곤이 추가)']",양념맛이 좋아요...맛있게 잘먹었습니다,[]
6,5,['대가알곤이찜 小'],양도 맛도 모든것이 여태 시켜먹던것을 능가합니다 번창하세요~,[]
7,5,"['대가아구찜 小', '추가 메뉴 선택(곤이 추가)', '공기밥']",와... 소짠데..한 먹부림 하는 저희 부부가 먹고 남아서 그 다음날 또 밥비벼먹었네요곤이 추가했더니 곤이 양도 어마어마하고 ㅎㅎ곤이를 제가 워낙에 좋아해서 👉🏻👈🏻진짜 양껏 먹었어요앞으로 아구찜은 무조건 여기에서 먹을예정 입니다,[]
8,5,"['대가아구찜 中', '추가 메뉴 선택(곤이 추가)']",맛잇어요 맛있어요 맛있어요,[]
9,5,"['대가아구찜 小', '사이드 메뉴 추가 선택(같이먹자 달걀찜)']",아구찜에 알 추가 안했는데도 기본적으로 섞여있네요 ~소스가 진짜 맛있구 계란찜 체고에요,"['https://rev-static.yogiyo.co.kr/6c07e7e25c7b6abfc048d913f27e0af6_tn.jpg', 'https://rev-static.yogiyo.co.kr/e83bdc28568ef54fa534b8a2f721c0d5_tn.jpg']"
