,별점,주문메뉴,리뷰,사진
0,5,"['마라탕', '토핑 선택 2(훠궈당면（샤브당면）)']",싸고 양많고 맛있고 사이다 서비스까지..,[]
1,5,"['마라탕', '마라탕']",아주 맛있었습니다!대만족 ㅋ오늘 또 먹을래용 ㅎㅎㅎ,[]
2,4,"['마라탕', '토핑 선택 1(소고기 100g)']",존맛탱. 양도 엄청많음. 배달은 원래 이런거죠? 속상스...주신 사이다도 흥건 ㅜ옮겨담느라 여기저기 다 튀고...ㅎ하지만 또 시켜먹고싶네요,"['https://rev-static.yogiyo.co.kr/11409fcc69c66d9092834a1c399a0ace_tn.jpg', 'https://rev-static.yogiyo.co.kr/5ff2402a548811c060d4a6fdf81277e3_tn.jpg', 'https://rev-static.yogiyo.co.kr/a898f74add8372a84fa2f534cbcead10_tn.jpg']"
3,5,"['마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 3(옥수수국수)']",보통맛은 마라향?맛이 잘 안 느껴져서 아쉬웠지만 맛있었고 다음에 먹을 때는 매운 맛으로 먹어봐야겠습니다 서비스로 준 사이다랑 사탕들도 잘 먹었어요,['https://rev-static.yogiyo.co.kr/863d1390e6a41622b0ea0a99b7eb3083_tn.jpg']
4,4,"['마라탕', '토핑 선택 5(숙', '건두부)']",간이 안된건지 매운맛만 나고 매우 싱거워서 치킨스톡 두스푼으로 간했더니 제가 알던 마라탕맛이 됐어요 맛있습니다~,['https://rev-static.yogiyo.co.kr/70afff67a0d2c6661ddb9881a3c787ee_tn.jpg']
5,5,"['마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 2(분모자)']",너무 맛있어요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ앞으로 자주 시켜먹으려고요 분모자 당몀보다 중국당면이 더 맛있는거같아요 어떻게 이렇게 맛있는것만 재료로 넣어주셨는지...매운거 잘못먹는편인데 딱 적당하게 매워서 좋았어요,['https://rev-static.yogiyo.co.kr/19d2933d6cb0f2c0574164b4374ce8c2_tn.jpg']
6,4,"['마라탕', '마라탕']",기본적으로 여러가지 다 들어있어서 맛있어요 !,[]
7,4,"['마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 3(옥수수국', '치즈떡', '토핑 선택 4(메추리알', '토핑 선택 5(건두부)']",너무 맛있네요 ㅎㅎㅎ 와서 바로 먹느라 사진을 못찍었은데 기본적으로 왠만한건 거의 들어있는것 같더라구요 좀 여러가지 추가해서 먹었더니 배불ㄹ러요 담에 또 시켜먹고싶으면 여기서 시켜먹어야겟어요,[]
8,5,"['마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 2(훠궈당면（샤브당면）', '토핑 선택 3(고구마떡', '토핑 선택 4(햄', '토핑 선택 5(청경', '새송이버', '흑목이버섯', '토핑 선택 6(쯔마', '공기', '짜짜이)', '마라탕', '토핑 선택 1(오징어 100g', '토핑 선택 3(고구마당면', '토핑 선택 4(새', '문어피쉬볼', '토핑 선택 5(알배추', '토핑 선택 6(쯔마장)', '마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 2(훠궈당면（샤브당면）', '토핑 선택 4(새우피쉬볼', '토핑 선택 6(쯔마장)', '마라탕', '토핑 선택 1(양고기 100g', '토핑 선택 2(훠궈당면（샤브당면）', '토핑 선택 4(메추리', '갑오징어피쉬볼', '토핑 선택 5(청경', '숙주', '토핑 선택 6(쯔마장)', '마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 2(훠궈당면（샤브당면）', '토핑 선택 3(고구마떡', '토핑 선택 5(청경', '새송이버', '감', '냉동두부', '토핑 선택 6(쯔마장)', '마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 3(우동사', '감자수제비', '토핑 선택 4(새우피쉬볼', '토핑 선택 5(숙주', '토핑 선택 6(쯔마장)', '세트（마라탕＋꿔바로우＋음료）', '마라탕 토핑 선택 1(소고기 100g', '마라탕 토핑 선택 2(훠궈당면（샤브당면）', '마라탕 토핑 선택 4(새우피쉬볼', '마라탕 토핑 선택 5(청경', '새송이버', '숙', '알배추', '마라탕 토핑 선택 6(쯔마장', '음료 선택(코카콜라)', '세트（마라탕＋꿔바로우＋음료）', '마라탕 토핑 선택 1(양고기 100g', '마라탕 토핑 선택 2(훠궈면', '마라탕 토핑 선택 3(감자수제비', '마라탕 토핑 선택 4(새우피쉬볼', '마라탕 토핑 선택 5(청경', '새송이버섯', '마라탕 토핑 선택 6(쯔마', '고수', '음료 선택(코카콜라)', '세트（마라탕＋꿔바로우＋음료）', '마라탕 토핑 선택 1(소고기 100g', '마라탕 토핑 선택 2(훠궈당면（샤브당면）', '마라탕 토핑 선택 4(새우피쉬볼', '마라탕 토핑 선택 5(새송이버', '알배추', '마라탕 토핑 선택 6(쯔마장', '음료 선택(코카콜라)']",대량으로 시간 촉박하게 주문했는데도 빨리 배달해주셔서 맛있게 먹었습니다.,[]
9,5,"['마라탕', '토핑 선택 1(소고기 100g', '토핑 선택 2(훠궈당면（샤브당면）', '토핑 선택 3(옥수수국수', '토핑 선택 4(소세지', '토핑 선택 5(팽이버', '숙주)']",배달 빠르고 맛도 있어여 추가 몇개 안했는데 2명이서 진짜 배부르게 먹었네요 마라탕 가게 정착 못하고 있었는데 여깁니다 담에늣 매운맛으로 주문해볼게요,['https://rev-static.yogiyo.co.kr/7db66a7b2757e64e66ddff326edbb808_tn.jpg']
