,별점,주문메뉴,리뷰,사진
0,5,"['크리스피 치킨', '양념 추가']",크리스치치킨 너무 맛있어요 속은 촉촉하고 튀김은 바삭하고ㅎㅎ양도 많네요 같이보내주신 감자튀김도 너무맛있습니다. 반찬은 내일 잘먹겠습니다ㅎㅎ,['https://rev-static.yogiyo.co.kr/5cc70e97ee8510d818299647f2da4b48_tn.jpg']
1,5,['크리스피 치킨'],늘먹던 프랜차이즈 치킨이 물려서 치킨도장깨기중입니다ㅋㅋㅋ 가격도 저렴하고 손편지까지 주시고.. 밑반찬까지 덤으로 주셔서 너무 맛나게먹었어욬ㅋㅋ 이근방 치킨은 다.거기서거기인데 요기는 맛도있고 다른 서비스가 너무 좋네요 한동안은 여기로 정착해야겠어요 ㅎ,['https://rev-static.yogiyo.co.kr/fdd8c63657594eecce6b043116899a67_tn.jpg']
2,5,['크리스피 치킨'],노브랜드 치킨이여서 조금 망설였는데 막상 먹어보니 시키길 잘 했다는 생각이 드어요. 순살 치킨을 시켰는데 속은 부드럽고 튀김옷은 바싹거여서 한마리를 앉은 자리에서 순삭했네요 .담에도 믿고 시켜 먹을께요 번창하세요,[]
3,5,['크리스피 치킨'],배달도 빠르고 양도 많고~원래 순살 잘 안먹는데 여기껀 바삭거리고 넘 맛있어요!!조금 남아서 식은다음에 먹었는데도 맛있네요!서비스로 보내주신 반찬도 너무 맛있게 먹었습니다~손편지에 반찬까지...생각지도 못한 서비스에 감동 받았습니다!앞으로도 여기서만 시켜먹어야겠어요~번창하세요!!^^,['https://rev-static.yogiyo.co.kr/2b1ae132a17a2b86159119b55349a60d_tn.jpg']
4,5,['크리스피 치킨'],브랜드치킨만 먹다가 처음으로 아지트치킨 배달해서 먹어봤는데 이제는 아지트치킨만 먹을꺼 같네요ㅎㅎ치킨도 바삭바삭하니 맛있고 사장님 손편지와 같이주신 밑반찬에 감동했습니다.정선어린 음식 감사합니다.앞으로도 쭈욱 번창하세요~~~,['https://rev-static.yogiyo.co.kr/3eef3d4f4aff3856a7651688e2d12af2_tn.jpg']
5,5,"['크리스피 치킨', '클라우드 생맥주 1000cc']",배달도빠르고 바삭바삭 너무맛있어요!,['https://rev-static.yogiyo.co.kr/90098e59626dfd7e39e56813be3961d8_tn.jpg']
6,4,"['반반치킨', '양념)']",양이 많네용ㅎㅎ 잘먹었습니다,[]
7,5,"['크리스피 치킨', '양념치킨']",양도 많고 맛도 좋고 서비스로 김치랑 무생채무침도 주시고 잘먹었습니다번창하세요,[]
8,5,"['순살반반치킨', '양념)', '클라우드 생맥주 1000cc', '처음처럼']",치킨에 맥주 생각이나 시킨 치킨이 옛날에 자주 먹던 양념 치킨 맛이나서 기분게 먹고있습니다. 덤으로 손 편지도 감사합니다. 번창하세요~,"['https://rev-static.yogiyo.co.kr/a3f1269ad5a545ac21dd7571182f5efc_tn.jpg', 'https://rev-static.yogiyo.co.kr/7c30cdba1d5699187dce46ab86f9650e_tn.jpg', 'https://rev-static.yogiyo.co.kr/a135eeaea334ce49b3ad67baa47b70e2_tn.jpg']"
9,4,"['반반치킨', '양념)']",서비스 감사합니다~ 양 생각보다 많아서 남았네요.. 양념치킨은 솔직히 비슷한거 같고 다른곳이랑 후라이드도 무난하게 맛있게 먹었네요 제가 원래 양념치킨 너무달아서 항상 안시켜 먹었는데그래도 이집은 괜찮았습니다,['https://rev-static.yogiyo.co.kr/cd5565940c2dc4ac19a94219e573f59b_tn.jpg']
10,5,"['순살반반치킨', '양념)']",별 5개도 부족하네요 너무 맛있고 서비스 대박입니다 배달도 30분만에 왔어요 꼭 시켜드세요!!!!사장님 대박나세요 무조건 번창할겁니다!!!♡!♡!♡!항상 여기서 시키겟습니다,['https://rev-static.yogiyo.co.kr/bc0144ba2d016a844eadd430f5b1eead_tn.jpg']
11,5,"['반반치킨', '양념', '음료 추가 선택(콜라 1.25L로 변경)']","아이 때문에 항상 노크해주시거나 문 앞에 놔달라고 부탁을 해도 다른 곳에서는 노크를 해주시거나, 기사님이 차마 못 보시고 벨을 누르시는 경우가 있는데 아지트는 항상 문 앞에 놔주시고 간단히 문자를 남겨 주셔서 아이 잠 깨우지 않고 어른들끼리 행복한 야식 보낼 수 있어 좋아요 ㅎㅎ같이 주신 덤 같은 경우엔 고추장 반큰술에 참기름 쪼록 해서 밥 비며 먹으면 세상 꿀맛입니다. 다음 날 반찬웅앵 귀찮을 때 좋아요. 맛도 있고 무도 팩에 담겨 있지 않아 젓가락으로 쏙 먹고 처리 하기 쉽구요 기름도 새 거 쓰시는 듯 깔끔 하니 좋아요 번창!",[]
12,5,"['반반치킨', '양념', '음료 추가 선택(콜라 1.25L로 변경)']",굿굿베리굿 굿굿베리굿,[]
13,5,"['반반치킨', '양념)', '클라우드 생맥주 1000cc']",사진은 없지만 저입맛에는 맛있었습니다. 혼자먹기에는 양이 많네요 다음에또 주문할께요,[]
14,5,"['반반치킨', '양념)']",받자마자 허겁지겁 머느라 사진을 못찍었네요양념치킨이 정말 맛있어요다음에도 주문할께요,[]
15,4,"['반반치킨', '양념)']",배달빠르고 맛도좋고 서비스도좋습니다~,[]
16,5,"['반반치킨', '양념)']","처음 시켜봤는데 넘 맛있네요서비스로 반찬도 주시고사장님의 세심한 배려가 감사하네요양도 많고,배달도 빨라요","['https://rev-static.yogiyo.co.kr/58b677b2868d2984b27cad7432ad2122_tn.jpg', 'https://rev-static.yogiyo.co.kr/5b205280b2e2bc2bc85d2d47582e748f_tn.jpg']"
17,5,"['크리스피 치킨', '스팸튀김']",사진을 찍는다는걸 먹느라 잊었네요ㅡㅜ바삭바삭 치킨도 맛있었고 특히 스팸튀김!!진짜 밥도둑이에요~밥 안먹고 가볍게(?) 치킨먹으려고 시켰다가 같이 시킨 스팸튀김때문에  밥을 꺼내고야 말았습니다...서비스로 주신 반찬과 손편지도 감동이에요♡ 번창하세요^^,[]
18,5,['크리스피 치킨'],정말 맛있었어요 가슴살을 타 업체보다 토막내서 튀겨주는게 먹기편했습니다,['https://rev-static.yogiyo.co.kr/6814b2c29074d06c42d1114939b1f813_tn.jpg']
