,별점,주문메뉴,리뷰,사진
0,5,"['등심돈까스', '치즈돈까스']","점심시간이라 오래걸렸지만, 맛은 좋았습니다!!번영하세요^^",[]
1,1,"['미트스파게티', '치즈오븐스파게티']",스파게티 2개 시켜먹었는데 18000원..편의점 스파게티먹는거나 맛은 비슷한데 가격이 너무비싸네요,[]
2,5,"['카레돈까스', '우동', '카레덮밥', '사이다 1.25L']",맛있고 다좋고 청결해보입니다,[]
3,4,"['생선까스', '콜라 500mL']",......  .  ....,[]
4,1,"['등심돈까스', '카레볶음우동', '물냉면', '핫윙', '사이다 1.25L']",솔직히 별한개도 아깝습니다,[]
5,4,['생선까스'],여기 리뷰가 왜 안좋은건지 모르겠다..ㅇ.ㅇ배달 3분초과한거빼곤 맛있고 좋은데?,[]
6,5,"['등심돈까스', '우동']",여기 왜 평이안좋지?돈까스 왠만한다른데보다 맛있음 고기도 두껍고 소스도맛있고우동도맛있음 이제돈까스는 여기임,[]
7,2,['등심돈까스'],"일단 가격에 비해 양이 매우적음 배달비포함 11,000원인데 편의점 도시락과 양이 흡사한수준이며고기두께도 많이 얇음 진짜중요 한 맛...... 레시피는 모르겠으나 시중 돈가스소스에 케찹을 비율적으로 섞은 굉장히 시큼한 맛없는맛임. 사장님께서는 별미1친놈 다보겠네...맛없음 먹지마!라는 생각보다 조금 변화를줘야됨배달은 빨랐음",['https://rev-static.yogiyo.co.kr/826364ec7cf889e639e6703403d408f4_tn.jpg']
8,3,"['생선까스', '콜라 500mL']",.......... .,[]
9,5,"['핫윙', '치킨텐더']",♡,[]
10,5,"['등심돈까스', '매운소스돈까스']",맛있게 잘 먹었습니다 :9,['https://rev-static.yogiyo.co.kr/3c2bc441c49a50211ce73f804e938a55_tn.jpg']
11,5,"['치킨까스', '사이다 1.25L']",소스가 연하고 사과맛이 난것같아요 맛있게 먹었음,[]
12,4,"['등심돈까스', '물냉면']",음식 하나하나 정성이 가득하네요.번창하세요~ 배달이 오래걸려 아쉬웠어요~ㅜ,[]
13,1,['등심돈까스'],"등돈 8천원 배달비3천원 11,000원 짜리 돈까스인데.. 달랑 6덩이 들어있어서 황당했내요..배달은 1시간 가까이 걸렸고..맛은 그냥 평범해요..평범한 돈까스.. 근데 튀김옷이 따로 놉니다. 고기에서 분리됩니다... 소스는 지극히 평범한 맛.다시한번 말하지만 양이 너무적어요.. 제가양이많은 편도아닌데.. 포만감이 50프로도 안느껴지네요.. 반찬도 없고...김치는 짭니다. 다신 이돈내고 안시켜먹을려고요.. 제가 일부러 악플쓰는게 아니라 솔직히 쓴겁니다. 좀화날정도로 돈 아까운 느낌이 들었어요. 참고하세요.",['https://rev-static.yogiyo.co.kr/c277529b3c2e40af5f739622f4655541_tn.jpg']
14,5,"['등심돈까스', '마늘빵 5조각']",맛있네요ㅎㅎ또시켜먹을생각 입니다,[]
15,3,[],괜찮습니다 번창하세요,[]
16,3,"['등심돈까스', '치즈오븐스파게티', '물냉면']",나쁘지않고괜찮은맛이구좋아요,[]
17,5,['등심돈까스'],와..여기 맛잇네요..도톰하고 튀김도 과하지않아요.식고나서 먹어도 맛잇어요.비가와도 성실히 배달해주시고 정말 감사합니다.또 주문할게요.♡,[]
18,4,['치즈돈까스'],치즈돈까스 맛있었어요! 다음에 또 먹으려고요,['https://rev-static.yogiyo.co.kr/b9b84a5cb32e0e3bfbc071828b5af55a_tn.jpg']
19,3,['등심돈까스'],그냥저냥 소스가 기냥 짜기만한거 같아요ㅠㅠ,[]
20,4,['등심돈까스'],배달도 빠르고 맛나게먹었어요 담에 또 시킬께요,[]
21,5,['등심돈까스'],너무너무 마싯어요~~^~#,[]
22,3,"['등심돈까스', '카레돈까스']",배달만 오래걸리는거 아니면 괜찮습니다.,[]
23,3,['김치볶음밥'],전체적으로 맛은 굿.먹다가 달걀껍질 세번 씹음.ㅠㅠ국물의 양을 늘리고 김치볶음밥의 시큼함을 가실수 있었으면 함.,['https://rev-static.yogiyo.co.kr/99ffb85f796faa86c01a575378538791_tn.jpg']
24,5,"['베이컨치즈오븐스파게티', '제육덮밥', '핫윙']",괜찮았어요배달도 빨라요,[]
25,2,"['비빔냉면', '핫윙']",배달속도는 나쁘지않은데 비냉은 정말 맛없었어요 육수없고 퍽퍽하고 소스도 부족하고 면에비해 소스가 너무적어서 다비벼도 생면인 부분이 남아서 반먹고 버림,[]
26,1,['물냉면'],그닥..  별로임...,[]
27,5,['등심돈까스'],여긴 정말 괜찮은 집인거 같음,['https://rev-static.yogiyo.co.kr/03e1af787ede5a3de46fd1224b6e10d4_tn.jpg']
28,3,[],치즈돈까스는 고기가 좀 두꺼운편이었어요~먹기가조금 어려웠구요~,[]
29,4,['매운소스돈까스'],1인분 주문되는거 너무 좋구요 돈까스도 바삭하니 너무 맛있었어요다만 소스가 돈까스 윗층에만 뿌려져있어서 아랫층은 소스없이 먹었습니당 ㅜㅜ 소스를 따로 챙겨주신다던지 아랫층에도 뿌려주시면 좋을거같습니다 ^^,['https://rev-static.yogiyo.co.kr/79dec9f22f717804b49ae39765ab1757_tn.jpg']
30,1,"['등심돈까스', '김치볶음밥', '콜라 1.25L']",돈가스 소스가 정말 너무하네여넉넉히좀 주시지,[]
31,5,['생선까스'],장말 너무너무 마싯어요~~^~^~,[]
32,1,['치킨까스'],"배달 오자마자 바로 먹었는데 튀김이 눅눅하고 시중에 파는 냉동 돈가스가 훨씬 나을 정도로 별로, 단무지는 5개 들어있고 김치는 국물밖에 없고 샐러드는 양이 적다 그나마 밥만 꾹꾹 많이 눌러담아줬다 같이 온 국물은 싱거웠다",['https://rev-static.yogiyo.co.kr/8629bc6ad8d438fae0d22dd06c9e9b94_tn.jpg']
33,3,['치즈돈까스'],자알 먹었습니다.,['https://rev-static.yogiyo.co.kr/c86a6d9afc1ef56edbe7a1e137b7915b_tn.jpg']
34,5,"['치즈돈까스', '우동']",배달하시는분이 아주 친절하시고 좋습니다 ~ 단골 되겠네요,[]
35,5,['등심돈까스'],"깜빡하고 반쯤 먹고 찍었네요;;우선 돈까스 깔끔하게 맛있네요. 눅눅하다는 리뷰가 있는데, 뜨거운걸 포장해서 보내니까 눅눅해지는 딱 그정도에요. 너무 눅눅하다 그런 정도가 아니고.. 김치도 맛있고 자질구레한거없이 딱 먹을만한 것만 오는거 좋네요. 딱 단점 굳이 하나 뽑자면  제가 오이를 싫어해서 샐러드에 오이가 있는게 개인적으로 아쉬웠습니당. 나머지는 다 좋았어요^-^",['https://rev-static.yogiyo.co.kr/4d96b22b06723c5413be8f84983712a3_tn.jpg']
36,1,"['등심돈까스', '치즈돈까스', '비빔냉면']",돈가스를 시켯는데 소스도 안가져다주는건 뭔가요 다먹고나니 가져다주네요  확인좀 잘하고 배달해주셧으면,[]
37,5,['불고기덮밥'],너무좋아용😀😁😂🤣😃😄😅,[]
38,4,[],잘먹었어욮 맛낫어욮 또 먹을게욮,[]
39,4,['치즈돈까스'],소스가맛있네요 상큼해요,['https://rev-static.yogiyo.co.kr/40415d80786b872d2bc4652a6b35d8a3_tn.jpg']
40,2,"['치즈돈까스', '김치볶음밥']","치즈돈까스 소스가 리뷰로는 노란색 소스였는데 저는 일반 우스터였습니다 치즈가 늘어나는게 안보여서 전화로 물어봤더니 치즈가루가 뿌려온거라고 하시네요 (참고 사항필수!)고기는 질기고 수분이 빠져 쪼그라 들었어요 그래서 그런지 고기 잡내도 나구요한번 튀기고 다시 데필려고 튀기신거 같아요배달은 빨랐는데 남이 먹다 남긴거 다시 튀겨서 제가 먹는느낌이에요아무리 봐도 치즈돈까스 느낌도 아니구요김치볶음밥은 덜익은 김치, 김밥용 야채를 볶음밥에 넣은거 같은 길고 큰 느낌 그리고 피망? 이것저것 다 판매용 치고는 퀄리티가 떨어져요 아쉽네요","['https://rev-static.yogiyo.co.kr/4f95e170049efa325cb3aac993381a21_tn.jpg', 'https://rev-static.yogiyo.co.kr/60b21732c36c05de78f407ab7801d5b2_tn.jpg', 'https://rev-static.yogiyo.co.kr/75996a8c52cb590e6ce424566689dd95_tn.jpg']"
41,2,"['생선까스', '콜라 500mL']",배달이 아주 많이 느리고 느리네요..,[]
42,5,['등심돈까스'],깔끔하고 맛있어요,[]
43,5,"['매운소스돈까스', '오므라이스', '삼다수 2L']",양 맛 다 좋아요~~근데 돈가스 소스는 따로주셨으면 좋겠습니다~부어서 오니까 약간 바삭한감이 덜해요~,[]
44,3,"['등심돈까스', '카레볶음우동', '하이라이스']",맛과 양은 괜찮은데 배달이 너무 늦어요 배달시간을 오버해서 와요,[]
45,1,['김치볶음밥'],배달이 엄청느려서 음식이 다 식었네요,[]
46,5,['김치볶음밥'],잘먹을게여수고하세여,[]
47,1,"['등심돈까스', '김치우동', '오므라이스']",제 입맛에는 맞지가 않네요...,[]
48,5,"['등심돈까스', '매운소스돈까스', '카레돈까스', '치즈돈까스']",카레돈까스는 조금 싱거운감이있지만 등심은 고기도 두껍고 맛있었어요,[]
49,1,"['등심돈까스', '우동', '콜라 500mL', '콜라 1.25L']",맛맛있있었었습습니니다다,[]
50,4,"['등심돈까스', '오므라이스', '사이다 1.25L']",그럭저럭 양도 괜찮고  맛있는것 같네요.,[]
51,3,['제육덮밥'],음 제육덮밥시켰는데 배달이 늦어서 그런건지 밥이 떡이드라구요 비빌수가 없어요...그래두 맛은 잇어서 맛잇게 먹었구 양도 많아서 괜찬았어요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/7a87ff0a0b443b28c7ef84251b9c0438_tn.jpg']
52,1,"['제육덮밥', '마늘빵 5조각', '콜라 500mL']",제육은 고기가없어서 그냥 야채를 양념이 비벼서먹는맛이구요 마늘빵은 눅눅해서 맛없어요,[]
53,4,"['등심돈까스', '미트소스스파게티', '우동']",맛있게먹었어요~~~~,[]
54,5,"['등심돈까스', '카레볶음우동']",맛잇게 잘먹엇어요~~~^^,[]
55,1,['오므라이스'],40분이내로 도착한다던 배달이 한시간이 넘어서야왔고 맛은 진짜 못먹겠어서 두숟갈먹고 버렸어요. 진짜 개별로;,[]
56,4,"['치즈오븐스파게티', '우동', '핫윙']",맛있어요~~~~~~~~~~~,[]
57,4,"['치즈돈까스', '치즈오븐스파게티']",처음시켜봣는데  배달도예정ㅅㅣ간보다늦구 치즈는 겨울이라그런지 다굳었어요ㅜㅜ,"['https://rev-static.yogiyo.co.kr/0c2738ad156cd09c9e5ed3ed28ef7486_tn.jpg', 'https://rev-static.yogiyo.co.kr/6e7e56eaf36ec9a93715d2b6c7f65964_tn.jpg']"
58,1,['고구마무스돈까스'],ㅋ 편의점 도시락이 더 좋넹ㅎ,[]
59,3,"['치즈돈까스', '물냉면', '비빔냉면']",물냉은 시원하게 먹었는데 비냉은 고추장의 향이 기존 먹어 본 다른 전문집과는 차이가 좀 있었습니다.,[]
60,5,"['매운소스돈까스', '사이다 1.25L']",걍 돈까스맛이에요 맛있는,[]
61,1,"['치즈돈까스', '콜라 1.25L']",쓸데없이 비싸요 딱히 치즈돈까스가 맛있는 것도 아니고...(치즈도 굳어서 먹기 힘듬)배달도 3000원이나 해서 다시는 안 시킬것 같네요.,[]
62,2,"['수제 등심돈까스', '치즈오븐스파게티']",배고프데  저녁 7시11분에  주문  40분  온다는데기다리는 시간  8시 25분  되는데    안왓서 옆에서  짜쯩 냈요기분 참  더럽게  안좋음  20분 더기다리는데  그시간이 지났도  안온네요,[]
63,5,"['수제 등심돈까스', '치즈오븐스파게티', '새우볶음밥']",따뜻한때  먹어서  그런지 너무 맛있어요,[]
64,5,"['수제 등심돈까스', '낙지덮밥']",맛있어요~~~~~~~~!,[]
65,4,"['생선까스', '치즈돈까스', '김치볶음밥']",맛있어요. 배달은 시간보다 늦었어요.,[]
66,4,"['새우볶음밥', '콜라 500mL']",평범하지만 양은많았습니다,[]
67,5,['고구마무스치즈돈까스'],늘 맛잇게먹습니다ㅏ,[]
68,5,"['카레볶음우동', '김치우동', '김치볶음밥', '베이컨볶음밥']",만족 합니다  사업 번창 하세요.,"['https://rev-static.yogiyo.co.kr/12ddbde582dd4473e5d5fedb91494f55_tn.jpg', 'https://rev-static.yogiyo.co.kr/7cc47a5d5b4b68913a587f1a2371ef4d_tn.jpg']"
69,5,['카레덮밥'],배 달  맛  양 굿,[]
70,4,"['치즈돈까스', '불고기치즈오븐스파게티', '불고기덮밥']",맛있게 잘먹었습니다 ㅎㅎㅎㅎㅎ,[]
71,2,"['매운소스돈까스', '치즈돈까스']",25분 걸린다고 했는데 1시간이나 걸려서 배달오고 치즈는 다 굳어서 늘어나지도 않고 다 식어빠져가지고 맛이라도 있으면 모르겠는데 맛도 없고 버리는게 많네요,"['https://rev-static.yogiyo.co.kr/aef9c71c3c88d8a92e1c943bf3cbbbbe_tn.jpg', 'https://rev-static.yogiyo.co.kr/5ec0170366291ae53931f5d835a0a7b6_tn.jpg']"
72,4,"['수제 등심돈까스', '치즈오븐스파게티', '콜라 1.25L']",배달은 예상보다 조금 늦었습니다만 배달해주시는 아저씨도 친절하시고 무엇보다 양이 많은 편인데도 다 먹지 못했네요 다 먹고 찍은 사진이지만 시키실분들은 참고해주세요^^,"['https://rev-static.yogiyo.co.kr/ca59b5ae75bef85ffb9b4674eeed304a_tn.jpg', 'https://rev-static.yogiyo.co.kr/8fb438fdaab8b1063245e311784e9052_tn.jpg']"
73,5,"['카레돈까스', '김치볶음밥']",허겁지겁 먹느라 사진을 못찍었네요ㅋㅋ김치볶음밥 양진짜 많고 맛있었어요 2번 나눠먹었네요 돈까스도 군만두랑 김말이도 들어있구 카레 따로와서 맛있게 잘먹었습니다,[]
74,1,"['고구마무스돈까스', '핫윙']",냉동돈가스맛이 너무 심하게나고 돈가스소스가 맛이없음,[]
75,5,['치즈오븐스파게티'],맛있네요맛나요맛나나,['https://rev-static.yogiyo.co.kr/f385f271f0ba5e77b8fca76e1b7c02c3_tn.jpg']
76,5,['수제 등심돈까스'],돈까스도 도톰하고 맛있어요.,['https://rev-static.yogiyo.co.kr/b2ddcd0abd37528dc23df0abb938275c_tn.jpg']
77,5,['수제 등심돈까스'],돈까스  양도 많고 맛있어요.,['https://rev-static.yogiyo.co.kr/3083e684094b6419e0512d9aa41fca2e_tn.jpg']
78,5,['수제 등심돈까스'],배달도 빠르고 돈까스도 맛있었어요^^잘 먹었습니다 ~~,[]
79,5,['수제 등심돈까스'],돈까스도 두툼하고 좋은데 찍어먹는 돈까스소스가 좀더 맛있었음 좋겠어요.,['https://rev-static.yogiyo.co.kr/ed659ee1a7f68926a1c695682c6ffb23_tn.jpg']
80,5,['치킨까스'],치킨까스도 돈까스처럼 양도 많고 맛있어요. 아이들이 좋아해요.,['https://rev-static.yogiyo.co.kr/4cba50d7b5775c3ef985a7f10968eb1b_tn.jpg']
81,5,['치킨까스'],돈까스만 먹다가 치킨까스 먹어보더니 새로운지 맛있다고 이것만 시켜달래요.,['https://rev-static.yogiyo.co.kr/768f734f88e557560adebd883a78bc41_tn.jpg']
82,4,['생선까스'],기존 치킨까스나 돈까스보단 양은 적어요. 맛있어요~,['https://rev-static.yogiyo.co.kr/3bf5915690117faa716bcf4c590f5325_tn.jpg']
83,5,['치킨까스'],양도 많고 맛있어요. 아이들이 좋아해요~,['https://rev-static.yogiyo.co.kr/76a715523fd9d37ac36fdd669b141142_tn.jpg']
84,5,['수제 등심돈까스'],돈까스 두툼하니 맛있네요~,['https://rev-static.yogiyo.co.kr/d283c388e0d3dad99c3bfe1a2230e9c2_tn.jpg']
85,3,"['수제 등심돈까스', '치킨텐더']",기본을 지켜서 좋아요,[]
86,5,['매운소스돈까스'],맛있습니다,['https://rev-static.yogiyo.co.kr/a8405b0855493354c05995269b4abfa1_tn.jpg']
87,5,['매운소스돈까스'],맛있습니다,['https://rev-static.yogiyo.co.kr/d28666749032e6b4435b271c03c0fbe7_tn.jpg']
88,5,['매운소스돈까스'],맛있습니다,['https://rev-static.yogiyo.co.kr/cf77d4268acca188ffe0aaf0643b6212_tn.jpg']
89,4,"['수제 등심돈까스', '카레덮밥']",카레에 고기가 아예없네여,['https://rev-static.yogiyo.co.kr/ec29a4bdbf6e1bd1bd1942d0583b3543_tn.jpg']
90,4,['치즈오븐스파게티'],양도많고 맛있었어요,[]
91,3,"['생선까스', '미트소스스파게티', '마늘빵 5조각', '콜라 500mL']",제 입맛에는 생선까스가 별루여서 다음에는 안시켜먹요...,[]
92,4,['치즈돈까스'],"양 많고, 최소 주문금액 낮아서 혼자먹기좋아요",[]
93,5,['치즈돈까스'],요기오에서 처음 주문했는데 편하고 음식도 푸짐해서 좋았요~^^,['https://rev-static.yogiyo.co.kr/e1310491fd8b035a27cc4aff0a4d0496_tn.jpg']
94,4,['수제 등심돈까스'],요청사항 좀 봐주면 좋겠습니다,['https://rev-static.yogiyo.co.kr/36317b22ab888d2870d6263117a37cbb_tn.jpg']
95,5,"['수제 등심돈까스', '김치볶음밥']",정말 맛있고 좋았어요가격은 조금 나가도 최고였습니다,[]
96,5,['치킨까스'],맛나고배달도빠르고친절하시네요,[]
