,별점,주문메뉴,리뷰,사진
0,5,['와인숙성 보약족발'],보약족발 영통점 생겨서 너무 좋아요ㅠㅠ 진짜 족발 못먹었는데 보약족발 덕분에 족발 맛있게 먹어요.. ㅋㅋㅋㅋㅋ 진심 강추입니다 여러분 꼭 시켜드세요 진짜 맛이나 양이나 진짜 짱이에요.. 사장님 진짜 감사합니다ㅠㅠㅠㅠㅠㅠㅠㅠ 사랑해요ㅠㅠ 보약족발 번창하세요,[]
1,5,[],크 배달도 빠르고 맛도 일품입니다~ 최근에 이사오고나서 첫 족발이라 큰 기대 안하고 시켰지만 정말 만족스럽게 잘 먹었습니다 자주 시켜먹을게요!!,[]
2,5,['팔색 왕 막국수'],아놔~이렇게  맛있어도 되는건가요?뭐하나 흠잡을데가 없네요,[]
3,5,['팔색 왕 막국수'],먹어도 먹어도 질리지않는  그맛!!!,[]
4,5,['팔색 왕 막국수'],맛은 물론이고 양도 많은데다가 배달까지 빨라서 너무 좋았어요! 앞으로 족발은 이곳에서 시켜 먹어야겠습니다! 1111111111,[]
5,5,['팔색 왕 막국수'],맛있게 잘먹었습니다,[]
6,5,['팔색 왕 막국수'],항상  만족하며 먹는 집입니다~♡♡,[]
7,5,['팔색 왕 막국수'],맛있게 잘 먹었습니다.,[]
8,5,['팔색 왕 막국수'],너무자주시켜먹네요.하지만  1도 물리지않습니다^^,[]
9,5,[],주문한 가격에비해 양도 생각보다 푸짐하고 너무 맛있어서 만족했습니다 다음에도 부탁드립니다~~,[]
10,4,"['마성의 반반 족발（보약족발or직화불족발or허니마늘족발 中 택2）', '메뉴 선택(직화 불 족', '허니 마늘 족발)']",불족발 마늘족발 반반인데 불향이 나서 넘나 맛있어요 그런데 전 매운걸 잘 못 먹고 좋아만해서 속 아프더라구요.. 고기 양이 둘이 먹기는 충분하고 셋은 부족할거같아요 왜냐면 막국수가 별로 맛이없었어요..양념을 더 충분히 적셔야할거같아요,['https://rev-static.yogiyo.co.kr/c64e75503241600305bb0fe422f167f1_tn.jpg']
11,5,['팔색 왕 막국수'],처음 시켜봤는데 너무 만족했습니다~! 다음에 또 시켜 먹을게요 사장님 ^^,[]
12,5,['팔색 왕 막국수'],친구들이랑 처음 시켜먹었는데 야들야들한 족발 맛있게 잘 먹었습니다,[]
13,5,[],처음 시켜봤는데 와.. 배달도 진짜 빠르고 양과 맛이 너무 풍부했어요 ! 기본 서비스 반찬들도 짱이였어요 !! 정말 맛있게 잘 먹었습니다 ㅎㅎ 다음에 또 이용할게요 ><,[]
14,5,['와인숙성 보약족발'],족발이 입에서 살살녹습니다ㅎ 마치 소고기처럼 부드럽네요,[]
15,5,['팔색 왕 막국수'],너무 맛있어서 또 시켜먹 습니다 앞으로도 꾸준히 맛있어 주십쇼!,[]
16,5,['허니 마늘 족발'],와 포장 성의있는거 보소..여러분 추천.!맛도 있네요.,"['https://rev-static.yogiyo.co.kr/5bfc57fd8fd7ab85953e3065354f70fd_tn.jpg', 'https://rev-static.yogiyo.co.kr/3f0a6801886497bc1bafae3534073243_tn.jpg']"
17,5,['와인숙성 보약족발'],긴가민가했는데 엄청 맛있어요ㅠㅠ 세상에,"['https://rev-static.yogiyo.co.kr/fe0c4c282a41397931866d09638c7813_tn.jpg', 'https://rev-static.yogiyo.co.kr/292463de887e960cf50a230e03cbbf50_tn.jpg']"
18,5,['와인숙성 보약족발'],와 대박  푸짐해요 ㅋㅋ 배달도 빠르게 왔구족발 따땃하라고 그 아니스크림 비닐에 담아주심 ㅠㅠㅋ 덕분에 맛잇게 먹엇어용 감쟈,['https://rev-static.yogiyo.co.kr/3dfcbd90dae29c6a8a35859f28d67668_tn.jpg']
19,5,['와인숙성 보약족발'],족발이라기엔 너무 부드럽네요... 정말 맛있게먹었습니다 ㅎㅎ. 단골될거같습니다,[]
20,5,"['마성의 반반 족발（보약족발or직화불족발or허니마늘족발 中 택2）', '메뉴 선택(보약 족', '직화 불 족발)']",양도많고 냄새도안나고 깨끗해요! 잘먹었습니다!,"['https://rev-static.yogiyo.co.kr/de082be89efcc7b1804fc46d3f6df8cd_tn.jpg', 'https://rev-static.yogiyo.co.kr/61bc098e0bf408a8a4ef7bcfea8bbe55_tn.jpg']"
21,4,['허니 마늘 족발'],맛도 양도 좋았습니다^^,[]
22,5,"['마성의 반반 족발（보약족발or직화불족발or허니마늘족발 中 택2）', '메뉴 선택(직화 불 족', '허니 마늘 족발)']",너무 맛있어요 같이 주신 주먹밥과 국수까지 환상의 조합이예요~^^ 잘먹었습니다,"['https://rev-static.yogiyo.co.kr/4509e70f166c64f58be318454bf6acf6_tn.jpg', 'https://rev-static.yogiyo.co.kr/75fe86ba9addeef71a9e24ee12746918_tn.jpg']"
23,4,"['마성의 반반 족발（보약족발or직화불족발or허니마늘족발 中 택2）', '메뉴 선택(보약 족', '직화 불 족발)']",야들야들하니 맛있어요. 다음에 또 시켜먹어야겠어요~,['https://rev-static.yogiyo.co.kr/2d5e7da5d38c13a8dca2b5a5dddff5c7_tn.jpg']
24,5,"['마성의 반반 족발（보약족발or직화불족발or허니마늘족발 中 택2）', '메뉴 선택(보약 족', '직화 불 족발)']",맛있게 잘먹었습니다,[]
25,5,['와인숙성 보약족발'],이사와서 족발집은 첫집인데~~맛집찾아서 다행이에요ㅋㅋㅋ맛있고 양도 적당해요~~단골로 찜 입니다~~,['https://rev-static.yogiyo.co.kr/ddd032eadf51b6452f4e1de7774f1c53_tn.jpg']
26,5,['와인숙성 보약족발'],고기가 정말 부드럽고 양도 많습니다.,['https://rev-static.yogiyo.co.kr/3154b2f7d0764ba2089817fc253d66de_tn.jpg']
27,5,"['와인숙성 보약족발', '날치알 주먹밥 1人', '사이다 펫트1.25L']",고기가 야들야들 진짜 맛있어요 배달도 생각보다 더 빨리 왔구요콩나물국도 굿~,[]
28,5,"['마성의 반반 족발（보약족발or직화불족발or허니마늘족발 中 택2）', '메뉴 선택(직화 불 족', '허니 마늘 족발)']",정말 맛있었어요~~ 강추강추~~,[]
29,5,[],족발 엄청 맛있네요~ 다음에 또 시켜 먹을게요~~,[]
30,5,['족보 세트'],같이주신 막국수도 맛있고 고추랑 마늘 싱싱해요 쌈도 ㅎㅎ 근데 무김치가 냉채?랑 섞여서 못먹었어용   ㅜㅜ,['https://rev-static.yogiyo.co.kr/dcddd7d9d16017827c40eb3bb859845f_tn.jpg']
31,3,"['와인숙성 보약족발', '날치알 주먹밥 1人']",그냥더냥 보통이네요,[]
32,5,"['마성의 반반 족발（보약족발or직화불족발or허니마늘족발 中 택2）', '메뉴 선택(보약 족', '직화 불 족발)']",양도푸짐 맛도깔금 괜찮네요최근에먹어본곳중 젤괜찮은듯 0266,['https://rev-static.yogiyo.co.kr/ca39af3bdf54f7cecbe4146f0a97cf21_tn.jpg']
33,5,['보약 보쌈'],배달도 엄청빠르고 고기도 부드럽고 반찬도 맛있고 정말 맛있게 잘 먹었어요. 평점이 좋은이유가 있었네요! 다음에도 보쌈먹게되면 여기서 시켜먹을게요.,['https://rev-static.yogiyo.co.kr/ca0532bf7bbea4e2d548764457a12e6d_tn.jpg']
34,5,[],배달도 빠르고 맛있네용,[]
35,5,[],야들야들하니 맛있네요!!!!,[]
36,5,[],식구들이  맛있다고 하네요 다음에 또^^,[]
