,별점,주문메뉴,리뷰,사진
0,1,"['왕돈가스', '새우튀김 3P 추가)']","돈가스에 소스없이 배달이 되고,첫 주문이었는데, 매우 실망스럽네요.주문내역도 제대로 확인 못 하시고...",[]
1,5,"['참치회 덮밥', '도미회 덮밥（역돔）', '소우동', '돈가스 1P']",30분 만에 왔어요. 저번에 시켰을때 소우동 국물이안와서 요청란에 배달 전에 한 번 더 확인해주세요라고 부탁드렸는데 이번엔 다 왔어요~^^ 주문한 사람이 많아 바쁘실텐데 주문할때 요청란에 다시 한 번 부탁드리면 주문자도 음식점도 서로 좋을것 같아요^^ 위생도 깨끗하고 맛도 있어서 항상 감사하게 잘 먹구 있습니다^^ 앞으로도 애용할게요.,['https://rev-static.yogiyo.co.kr/18e5f6f899d79f6fb1ed7fcb394ffab0_tn.jpg']
2,5,"['모듬가스정식', '쫄면']",따끈한 돈까스랑 쫄면이 간이 딱 맞아요,[]
3,2,"['고구마치즈가스', '특초밥세트']",옛날 그맛을 상상하고 시켰는데 아니더라구요... 특히 맛이 ... 초밥에는 밥이 중요한데... 그냥 밥이 푸석푸석했어요... 그리고 돈까스를 그냥 4등분 해서 보내주시더라구요 그래서 가위로 다시 잘랐어요... 가격대비 양은 그럭저럭인데 맛이 별로네요,[]
4,5,"['히레（안심）가스', '국물떡볶이']",마싯고 배달도빠르고 헤헤떡볶이왕마싯어여,[]
5,3,"['왕돈가스', '고구마치즈가스', '매운돈가스']",맛은있는대 따른대서먹엇은때는미니우동도주셧는데여긴국물만주시내요ㅎㅎ지점마다다른가봐요,[]
6,5,"['고구마치즈가스', '함박스테이크 정식']",맛있어요~~~~~~,[]
7,3,"['소불고기덮밥', '베이컨야채볶음밥']",양이 많지 않습니다!,[]
8,5,"['왕돈가스', '카레덮밥', '돈가스 1P 추가)']",맛있네요ㅎㅎ ㅎㅎㅎㅎ,[]
9,4,"['매운돈가스', '김치우동', '쫄면&돈가스']",맛있게 잘먹었습니다,[]
10,1,"['베이컨 김치 치즈 볶음밥', '새우튀김 3P 추', '고구마고로케 6P 추가)', '콜라 500mL']",무슨...김치볶음밥에 계란도 없고 간도 별로고 숟가락도 안주네요 다신안시킴,[]
11,5,"['왕돈가스', '모듬초밥']",초밥양 아쉬워요ㅜ 물론딴데도 다그렇겟지만... 맛잇게 먹엇어요,[]
12,5,"['왕돈가스', '히레（안심）가스', '참치 김치 볶음밥']",맛잇게잘먹었습니당~~,[]
13,5,"['모듬가스정식', '오므라이스돈가스덮밥']",배달도 빨리왔고 맛있었어요!!,[]
14,4,"['로스（등심）가스', '히레（안심）가스']",맛있었어용!!소우동도 맛있고좋았습니다,[]
