,별점,주문메뉴,리뷰,사진
0,5,"['2人세트（숯불야채＋순대＋곱창볶음1人＋막창볶음1人＋계란찜＋주먹밥＋쿨피스 180mL＋단무지）', '병맥주（카스）']",맛있게 잘 먹었어요~^^ 불향이 가득한 매콤한 곱창막창볶음에 반했어요. 조리 과정에서 실수가 있어서 순대가 없이 조리가 됐다며 미리 전화 주시고 설명해주시더라구요~ 서비스 쿨피스도 주셨구요~^^ 너무너무 맛있어서 다음에 순대 곱창막창볶음 다시 시켜 먹으려구요~ 순대 없이도 이렇게 맛있는데 순대까지 있으면 얼마나 맛있을지 기대돼요~^^,['https://rev-static.yogiyo.co.kr/91202ec0b1a4cd2155d78d512752d7e1_tn.jpg']
1,5,['2人세트（숯불야채＋순대＋막창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL＋단무지）'],맛있게 잘 먹었어요~^^,[]
2,5,['2人세트（숯불야채＋곱창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL＋단무지）'],양도 많고 볶음밥도 맛잇고 계란찜도 맛잇고 다 좋아요ㅎㅎㅎ배달해주신 분도 친절하셔서 너무 좋았어요 술안주로 딱이고 끼니로 먹어도 좋을거 같아요,['https://rev-static.yogiyo.co.kr/ae927870422310b137083bbc40a70b9d_tn.jpg']
3,5,['2人세트（숯불야채＋막창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL＋단무지）'],막창가격은 조금 부담되지만 너무너무 맛있었습니다,[]
4,3,['2人세트（숯불야채＋막창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL＋단무지）'],막창보다 떡이랑 수제비가 많네요...,[]
5,2,['2人세트（숯불야채＋곱창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL）'],배달이 90분이 걸리내요,[]
6,5,"['2人세트（숯불야채＋곱창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL）', '처음처럼']",맛잇었습니다 둘이 먹기에 양도 딱 좋았어요,[]
7,3,['2人세트（숯불야채＋곱창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL）'],그런대로 불맛도 나고 매콤하고 먹을만 했네요,[]
8,5,"['2人세트（숯불야채＋순대＋막창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL）', '병맥주（카스）']",여전히 맛있습니다 ^^,[]
9,4,['2人세트（숯불야채＋순대＋곱창볶음1人＋막창볶음1人＋계란찜＋주먹밥＋쿨피스 180mL）'],맛은 너무 매웠고..양은 2인분 치고 작았고배달은 늦지 않았어요먹자마자 신랑이랑 둘다 화장실 간거보면저희랑은 맞지 않았던것 같아서두번은 안먹을듯 해요,[]
10,5,['4人세트（숯불야채＋순대＋곱창볶음4人＋계란찜大＋주먹밥＋쿨피스 180mL 2개）'],여기너무 친절해요~~ 주문오류났는데 전화해서 여쭤보니까 죄송하다고 몇번이나사과해주시고 2천원차액나는데 3천원입금해주시고 다음에주문할때 순대공짜로 넣어주신다고 정말죄송하다는말씀 끝까지 잊지않고 해주신 사장님 너무너무 감동감동이예요~ 단골할게요~~~><그리고 말씀해주신거처럼 배민이용할게요~다시한번 감사드려요 사장님☺️맛도맛있고 양도 많고 배달도 너무너무 친절해요그리고 마지막까지 친절잊지않는 야한곱창&막창 이곳은 사랑입니다~~ 강추강추예요👍🏻👍🏻👍🏻 사장님 다시한번감사드리고 번창하세요,"['https://rev-static.yogiyo.co.kr/0ca1a2ac6b1fa1d82c15a4651cf976e4_tn.jpg', 'https://rev-static.yogiyo.co.kr/52816752caf581beafc01b55ebaa238a_tn.jpg']"
11,5,"['2人세트（숯불야채＋순대＋막창볶음2人＋계란찜＋주먹밥＋쿨피스 180mL）', '처음처럼', '병맥주（카스）']",항상 맛있습니다~^^,[]
