,별점,주문메뉴,리뷰,사진
0,5,"['보쌈정식 2人', '모두부＋숙성김치', '김치찌개']",김치가 정말 맛있네요^^,"['https://rev-static.yogiyo.co.kr/ce20972715339f517661b693f506ddde_tn.jpg', 'https://rev-static.yogiyo.co.kr/5610e528b1fc97de51efbaae81479094_tn.jpg', 'https://rev-static.yogiyo.co.kr/685c3769c934d94fbf35833dcb3c19db_tn.jpg']"
1,4,"['보쌈정식 2人', '해물순두부찌개']","고기 질이 너무 좋아요. 냄새안나고 촉촉하고 맛있어요. 배가 찢어질정도로 제 양 넘치게 먹었어요. 별 하나 뺀건, 해물순두부 시켰는데 배달하면서 흔들려서인지 두부죽이 되서 왔어요ㅜㅜ",[]
2,1,['두부보쌈 小'],"안먹어요[약수터두부아저씨]한돈 앞다리살로 신경써서 해드리고 두부도 우리콩으로 만들어서 제공해드리는데, 실망하셨다니, 정말 속상하네요. 다음에는 좀 더 만족할수있도록 제공해드리겠습니다.",[]
3,5,['두부보쌈 小'],믿고 시켜도 되요,[]
4,3,[],보쌈 정식3인에 잔치국수하나 주문했는데  공기밥하나가 덜 왔네여...고기는 냄새안나 괜찮았는데 김치는 약간 쓴맛이 나서 제입엔 별루였구여...잔치국수는 국물을 따로포장해서 갖다주셔서 불지않은면을 먹을수 있어 나쁘지 않았네여..,[]
5,4,['두부보쌈 小'],너무 맛있어서 다시시켰어요~인터넷에서 찾아보다가 시켰었는데 두부랑 고기랑 맛있어서 다시시켰네요~,['https://rev-static.yogiyo.co.kr/5cf4196284448a00b14897a54a4f7f27_tn.jpg']
6,1,['실속김치보쌈'],괜히 시켯네요배추만있는거 저게 채소세트인가요?그리고 김치가 하나도 안썰려잇어요먹기 무지하게 불편하구요맛도 보통이하에요주문시 참고하세요,['https://rev-static.yogiyo.co.kr/0a8194cd2d7f0e4161159a917add28ec_tn.jpg']
7,5,['두부보쌈 中'],제가 원래 리뷰작성 하는 타입  아닌데요 솔까 저 여기 단골임ㅋㅋ7월에 이사와서 여태 여기서 주문해서 집들이 했네요ㅋㅋ 고기 부드럽고 된장 맛나요두부 저 진지하게   안먹어요 근데 여기껀 고소하네요사장님 유원보성이에요 저 서비쓰 좀 주세요ㅎㅎ 한달에 몇번을 시키는겨ㅎㅎㅎ근데 아가들 셋 걸고 맛남,"['https://rev-static.yogiyo.co.kr/c836c7cea1bddc5e0084a8f8d46cb5ca_tn.jpg', 'https://rev-static.yogiyo.co.kr/ae04623a991be22bf8fae498a6a54bc1_tn.jpg', 'https://rev-static.yogiyo.co.kr/f89b071974e2ff159838567edf415239_tn.jpg']"
8,1,[],몇점 아이들먹이다가 화가나서 찍었네요ᆢ국내산 좋은 고기로 하신거 맞나요?수입 뒷다리로 해도 이거보단 맛나겠어요냄새도 나고 부드럽지도 않고 진짜 실망했어요.차라리 리뷰 더좋은곳에 시킬껄 후회스럽더라구요.전 이제 안시켜먹을 듯합니다.,['https://rev-static.yogiyo.co.kr/68f05429fe10bf7595d22773df130492_tn.jpg']
9,5,['실속김치보쌈'],"보쌈 고기, 김치 모두 맛있네요 두부도 괜찮고  재료를좋은걸로 쓰는듯하네요 두번째시킨건데 먹고후회는없네요",[]
10,5,[],보쌈은 여기가 최고인듯  너무 맛있네요 가격 대비 양도 많고 푸짐합니다 다른곳보다 여기가 확실히 좋습니다 두부도 맛있구요 잘먹을게요,[]
11,5,[],맛있어요.단골등록!,[]
12,5,"['실속왕족발 大（앞다리）', '비빔국수']",처음시켜봤는데 배달도 빠르면서 친절하셨어요~족발시키면 뼈만많은곳도 있는데 여기는 고기 많고 상추도 듬뿍주셔서 넉넉하고 맛있게 먹었습니다 다음에 또 주문할게요^^,[]
13,1,[],"보쌈김치는  적고  신김치만 ㅜ.ㅠ고기도  정체모를 부위....[약수터두부아저씨왕족발보쌈]김치는 겉절이, 신김치, 무채 3가지 보쌈정식에 맞는 양만큼 드렸습니다. 고기는 전지사태라는 국내산 족발 앞다리에 부위로써 많은 사람한테 인기가 좋은부위입니다. 고객님께서 마음이 드시지 않았던 모양입니다. 차후에 주문시 원하시는 부위말씀해주시면 조금더 만족스러운 보쌈을 드실수 있을것 같습니다. 미안하게 됐습니다. 감사합니다 고객님.",[]
14,5,[],항상 주문하지만 정말 맛과서비스가 틀리네요 ..  정말 맛나요 ..,[]
15,5,[],너무맛나요ㅎ ㅎ 김치도맛나고 비지찌개도맛있어요 비빔국수도 최고 잘먹었습니다^ ^,['https://rev-static.yogiyo.co.kr/3e67b1e5e332710d11de4dbf3e4cb8d2_tn.jpg']
16,3,['두부보쌈 小（고기 350g）'],두부보쌈과굴추가해서 주문..보쌈은 비게가반이상이고.. 굴은 워낙조아해서 따로추가한건데 세네점먹고포기.. 너무 구린내?가나여.. 상한건가... 굴밥을해서익혀먹어야되나 냄새땜에도저히 이대론못먹겟네요평이조아서 주문햇는데 ... 재주문의사는 없네요..,['https://rev-static.yogiyo.co.kr/a6b469f5db75307ae976037a04ac4e25_tn.jpg']
17,5,[],리뷰처음남긴다 이가격에 이정도 고기면 진짜 어디가도 이가격없는데 왜 맛없다고 써놓은건지모르겠다 난 배고프면 보쌈 여기만먹는다 이상한 맛없다는글에 평점진짜 오바다 없어지지 않았으면하는마음으로글남깁니다 완전강추 사장님 초심있게 고기양도같길^^,[]
18,2,[],고기 다 비계입니다 살코기 별로 없어여,[]
19,5,"['두부보쌈 小（고기 350g）', '비빔국수']",추천합니다~ 고기도 맛있고 콩비지! 두부 뭐 하나 빠지는게 없네요ㅋㅋ 잘먹었습니다,['https://rev-static.yogiyo.co.kr/9d1d9c446b371466c8e1dbd3f382e1aa_tn.jpg']
20,1,['1인 족발'],"보쌈은 비계함량이  많아서 별로군요~ㅜ1인족발 15,000원이 좀 저렴해서  시키려고하니 최저주문요금17,000원이라 안되서 다른걸로추가해서는  17,000원  못맞추도록 해놨군요가능하게 할수있는게 고기200g추가하면 가격이 2만원 넘도록 상술머리를 썼군요~~  어쩐지 ~~~ 참 나~~ 좀 짜증나네요~ 생생정보통이나 서민갑부등 티비에 나오는 업소처럼 대가리 좀 안굴리고 소박하게장사합시다~~~어짜피 2만원 나올꺼면 딴데서 주문해야겠어요",[]
21,4,['실속김치보쌈 中（고기 500g）'],김치 추가했는데 남았어요 그냥기본먹어도덜껄그랬나봐요맛있게 잘먹었습니다,[]
22,5,"['1인보쌈（고기 200g）', '콩비지']",평타 입니다....!,[]
23,5,['1인 족발'],배달은 조금 오래걸렸지만 맛있네요 서비스주신 굴도 싱싱하고요 잘먹었습니다,[]
24,5,"['두부보쌈 小（고기 350g）', '김치찌개']",맛있어요 양도 많아요,[]
