,별점,주문메뉴,리뷰,사진
0,5,['알뜰보쌈'],배달 빠르고 양많고 김치맛있음,[]
1,5,['1人보쌈（고기200g）'],"맛있게 잘 먹었습니다! 공기밥은 따로 추가했구요,제가 적게 먹는 편인데 제게 딱 알맞은 양이였어요!또한 배달 하시는분께서 헷갈리기 쉬운 위치라서 살짝 배달이 늦어질 수도 있었는데 바로 연락 주셔서 좋았습니다.리뷰 남기기 이벤트로 주시는 서비스가 선택 가능한건지 모르겠어서 요청사항에 가능하면 왕만두로 부탁드린다고 적었는데 제가 원했던 왕만두로 보내주셨네요 ㅎㅎㅎ 헷갈리는 분들 참고하세요!!다음번에도 주문할게요~~",['https://rev-static.yogiyo.co.kr/82e977b6210f3075c0a876919e8af49e_tn.jpg']
2,5,"['1人보쌈（고기200g）', '쟁반막국수 小']",고기 부드럽네요서비스로 주신 김치만두 맛있어요 번창하에요,['https://rev-static.yogiyo.co.kr/d36ef3aafb1a308b64be02c84699c1ac_tn.jpg']
3,5,"['알뜰보쌈', '추가 메뉴(공기밥 추가)']",보쌈은 맛있었어요. 양도 많았구요. 근데 곁들여먹을수 있는 반찬이 거의 없다 보니 혼자 다 먹기엔 물리는감이 있긴 합니다. 알뜰세트라 어쩔수 없긴 하지만요. 그래도 맛은 있으니 추천,['https://rev-static.yogiyo.co.kr/6d608eab8ba946cc29e3ead02fae25ec_tn.jpg']
4,5,"['1人보쌈（고기200g）', '쟁반막국수 小']",맛있게 잘먹었습니다! 1인세트가 있어서 좋네요.,[]
5,5,"['알뜰보쌈', '쟁반막국수 小']",요청사항 안보시고ㅠㅠ..암튼 그래도 맛잇게 잘먹엇어요~~또 주문할게용 헤헤,[]
6,5,['홍어 삼합（고기350g）'],양과 맛 배달까지 아주 좋소!단점이라면 술을 따로 안팜세부적인 추가메뉴가 좋음서비스인 만두도 맛있음삼합 하쉴?,['https://rev-static.yogiyo.co.kr/661399befabd10371c19b6c17dc08529_tn.jpg']
7,5,"['알뜰보쌈', '생두부1모＋숙성김치']",알뜰 중짜리랑두부시켰어요 양도많고 쌈대신 왕만두2개가온것같아요. 존맛ㅋㅋ맛있고 양도많아요ㅠㅠ너무맛있어요...두명이서 안주겸식사로 먹었는데 좀남겼어요 밥이랑먹으면 더맛있을거같아요♥ 담에또주문할게요,['https://rev-static.yogiyo.co.kr/73f24733244f71e3f1e5b5afb7f949e8_tn.jpg']
8,5,"['1人보쌈（고기200g）', '공기밥 추가)', '사이다 500mL']",보쌈이 맛있네요. 저번에 먹었을때보다 따뜻해서 그런가 더 맛있었어요. 서비스로 주신 김치도 양이 많아서 놀랐습니다.,['https://rev-static.yogiyo.co.kr/a3bcd4a23dcf4af0f20391365ad581fd_tn.jpg']
9,3,['알뜰보족세트 小（보쌈小＋1人족발）'],"퍽퍽하고, 원래그런지 음식이 차갑습니다.",[]
10,5,"['홍어 삼합（고기350g）', '쟁반막국수 小', '콜라 1.25L']",양도 적당 맛도 있어요 !!막국수 면이 조금 뿔어있네여ㅜㅜㅜ서비스 만두도 잘받았습니다 ~!,"['https://rev-static.yogiyo.co.kr/8c3aefd50fd556548ab70f561317385f_tn.jpg', 'https://rev-static.yogiyo.co.kr/8334346cb6ab1be721fc52ddfac9316b_tn.jpg']"
11,5,"['1人보쌈（고기200g）', '쟁반막국수 小']",보쌈은 맛있었는데 막국수가 조금 맵더라구요.. 그래도 맛있게 먹었습니다!,[]
12,5,['1人보쌈（고기200g）'],생각보다 양도 괜찮았습니다 같이온 고추는 좀 매웠고 장이 하나 같이 왔는데 제 취향은 아니네요,[]
13,5,"['1人보쌈（고기200g）', '공기밥 추가)']",고기도 부드럽고맛김치도 맛있고기대이상으로 맛있습니다,[]
14,4,['홍어 삼합（고기350g）'],괜찮네요. 2번째 시켜먹습니다. 어느정도 비계와 같이 있으면 더 좋을것 같습니다. 이번은 살코기가 많았네요.,[]
15,5,['알뜰왕족발'],맛나게 잘 먹었네요,[]
16,5,"['알뜰왕족발', '추가 메뉴(공기밥 추가)']",어제 너무 잘먹었습니다 ㅎㅎ 넘 배고파서 사진도 안찍고 먹어버렸네용,[]
17,5,"['1人보쌈（고기200g）', '알뜰왕족발', '쟁반막국수 小']",막국수하나가 안왔는데 양이 많더라구요.만족했어요냄새안나고 맛있네요.,[]
18,5,"['알뜰왕족발', '추가 메뉴(숙성김치 추가)']",양은 딱적당하고요 맛도 괜찮아요 배달이 살짝늦긴했지만 그정도야혼자먹기 딱좋은거 같아요,['https://rev-static.yogiyo.co.kr/d09628e8028b05e4686e2398ae5661cb_tn.jpg']
19,5,['알뜰보쌈'],정말 맛있었어요! 양도 많고요!,[]
20,5,['알뜰보쌈'],중짜리 시켜서 점심 저녁 맛있게 먹었어요.서비스도 주시고 친절합니다다만 약간 비계가 많았어요ㅠ비계 좋아하는분 추천!,[]
21,4,"['알뜰보족세트 小（보쌈小＋1人족발）', '쟁반막국수 小', '사이다 500mL']",음..수육같아요.. 이빨에끼는 보쌈..?맛은 잇긴한데 양도 많고 그냥 일반적인 보쌈은 아닌.. 족발은 맛잇어요,[]
22,5,"['1人보쌈（고기200g）', '왕만두（고기3＋김치3）']",맛있게 잘먹었습니다.,[]
23,5,['알뜰왕족발'],안냥여~~~가성비가 아주 훌륭해여~~~양도많고 맛도아주 좋아여~~~김치찌개 맛있어여 국물시원하고좋아여~~~안녕히~~,['https://rev-static.yogiyo.co.kr/db29bd37f4f7f20986d0b136bced2e86_tn.jpg']
24,5,"['1人보쌈（고기200g）', '콜라 500mL']",배달은 빠르고 좋았습니다. 서비스로 주신 만두도 맛있게 잘 먹었구요. 근데 이번에는 보쌈에 비계가 좀 많아서 아쉽습니다.,['https://rev-static.yogiyo.co.kr/52b26548fc85b26d113ba988389dab6a_tn.jpg']
25,5,['알뜰왕족발'],족발 맛있게먹었어여어,[]
26,2,"['알뜰보쌈', '추가 메뉴(숙성김치 추가)', '열무비빔국수']",3월2일 만두 드셔보신분?! 오후 2시. 저번에 서비스 만두가 맛있어서 이번에 돈 주고 구매했는데 신맛이 나요.. 상한걸까요..,['https://rev-static.yogiyo.co.kr/246aa287c0c525e7a3b8c116a5b30ce4_tn.jpg']
27,5,['알뜰보쌈'],서비스 감사합니다 맛있었어요,[]
28,4,['알뜰왕족발'],양이 아주 굿! 잘 먹었습니다!,['https://rev-static.yogiyo.co.kr/65caffbb72d3e561e61a232f67375e69_tn.jpg']
29,4,"['1人보쌈（고기200g）', '쟁반막국수 小', '사이다 500mL']",고기  부드럽고 막국수도 맛있네요..단지 국수가 불어서와서 아쉬었지만..ㅎ 잘먹었습니다~,[]
30,5,"['1人보쌈（고기200g）', '무생채 추가)']",처음배달때보다 양이줄고 비계부분이 많더라구요ㅠㅠ..그나저나 김치맛 안변하길바래요 정말 김치최고엿어요👍👍,[]
31,1,"['1人보쌈（고기200g）', '공기밥 추가)']",보쌈 좋아하는데 여기는 정말 호불호가 갈릴듯... 너무 두껍고 비게도 커서 전 잘 안먹히네요... 이렇게 두껍게 썰어나온 보쌈은 점심 식사로는 안맞는듯...ㅜㅜ,['https://rev-static.yogiyo.co.kr/47792da08eb502229a52474364d07a55_tn.jpg']
32,5,['1人보쌈（고기200g）'],처음먹어봤는데 맛있어요~~,[]
33,5,"['알뜰보쌈', '추가 메뉴(공기밥 추가)', '쟁반막국수 小']",진짜 맛있고 빨리 와서 좋아요,[]
34,5,['1人보쌈（고기200g）'],잘먹었습니다ㅏ 맛있어요오!!!!,[]
