,별점,주문메뉴,리뷰,사진
0,5,"['물냉면', '물만두', '쿨피스']",냉면맛있고 물만두도 맛있어요굿굿,[]
1,4,"['물냉면', '왕돈까스']",먹을만 합니다. 배달도 좋았구요.,[]
2,1,"['물냉면', '왕만두', '막국수 小']",음식점 추천절대못함 배달시킨지 1시가넘도록안오고있음,[]
3,5,"['비빔냉면', '왕돈까스']",정말 맛있습니다 맨날시켜먹고있어요,[]
4,4,"['물냉면', '왕돈까스']",먹을만 하네요 맛 괜찮습니다,[]
5,3,"['비빔냉면', '2세트（물냉＋비냉＋만두선택）']",만두는 맛있었어요 근데 냉면이 아쉽네요,['https://rev-static.yogiyo.co.kr/6ea60d61d70ddd8374c56189ca45360a_tn.jpg']
6,1,['2세트（물냉＋비냉＋만두선택）'],이거를 사람이 먹으라고 만든건지 모르겠네요. 배달은 1시간 20분이 걸려서 오고 가게에서 보낸 예상 시간은 다 생각하고 보내신거 아닌가요? 면은 다 퍼져서 떡져있고 먹을 수가 없네요 비벼지지가 않습니다. 시간하고 돈 둘다 손해본 느낌입니다,[]
7,5,"['물냉면', '왕돈까스']",돈까스소스가 좀모자르긴했지만좋았어여,[]
8,5,"['왕돈까스', '소떡소떡 2개']",돈까스 소스는 시판소스가 아니라 직접 만드신것 같은데 조금단것 같지만 전체적으로 맛있습니다! 치즈스틱 같이 온것도 너무 맛있고 쎈스 넘치셔서 감동했어요. 소떡소떡도 떡이 많아서 하나 먹으니까 엄청 배불러요. 아 그리구 배달비 없는곳 요즘 없는데 배달비도 없네요~ 깔끔하고 맛있습니다^^ 배달이 좀 늦었지만 맛있게 먹고 기분좋아 리뷰 씁니당 ~담엔 냉면도 먹어볼게요! 많이파세요🤗,['https://rev-static.yogiyo.co.kr/36a6036a57d65c8d99600a5545e5d87c_tn.jpg']
9,4,"['물냉면', '비빔냉면', '음료 小']",비냉물냉시켯어요비냉이 더 마싯어요,[]
10,4,"['5세트（돈가스선택＋냉면선택＋만두선택）', '냉면 선택(물냉면', '돈가스 선택(왕돈까스)', '모둠튀김']",다  괜찮고  좋았고  맛있게 잘 먹었습니다,[]
11,5,"['비빔냉면', '왕돈까스']",돈까스는... 그냥 보통. 비빔냉면은 살짝 매콤하면서 단맛이 안나서 좋았음. 돈까스 소스가 차가워서 좀 아쉬움,['https://rev-static.yogiyo.co.kr/e8fdd23e243cc23139bb1469150f6b22_tn.jpg']
12,5,"['물냉면', '왕만두']",맛있었어요~배달도 잘왔어요.만족해요~!,[]
13,3,['2세트（물냉＋비냉＋만두선택）'],맛은있는데 배송이 넘 늦네요  넘늦어서 배송ㅋ,[]
14,5,['물냉면'],배달은좀 오래걸렸으나 맛은 굿!!!!면도안불었고 시원하고좋아요,['https://rev-static.yogiyo.co.kr/279a568a4eaa25797cbd456d91664e6c_tn.jpg']
