,별점,주문메뉴,리뷰,사진
0,5,['엄니 닭볶음탕 '],배달두 빠르고 맛있어영 ㅎㅎ 근데 공기밥이 안왔어요ㅜㅜ 11-4시에 주문하면 밥 온다했는딩,[]
1,5,['엄니 순살닭볶음탕'],먹느라 정신없어서 지금올리네요 ㅋ..계란찜하고 양도풍부하고 매콤하니 맛있읍니다자주시켜먹겠읍니다..,['https://rev-static.yogiyo.co.kr/cc016b7f1f1576eb98a22b26fc65e099_tn.jpg']
2,4,"['엄니 얼큰닭볶음탕', '고구마', '아궁이 누릉지탕']",닭볶음탕 맛있게 잘먹었습니다배달이 늦게와서 누룽지가 다 불어서 오고수제비 사리도 불어있어서 그게 좀 아쉽네요ㅠㅠ그래도 덤으로 주신것까지 잘 먹었습니당ㅎㅎ배달만 신경써주세요~,[]
3,5,"['엄니 묵은지닭볶음탕', '선비밥（일반공기밥）']",맛있읍니다 맛있읍니다 맛있읍니다,[]
4,5,"['엄니 순살닭볶음탕', '사리 선택(밀떡 추가', '사이드 선택(선비밥（일반공기밥） 추가)']",맛나요.밑반찬이 없는게 좀아쉽네요,['https://rev-static.yogiyo.co.kr/8709fa3d90f664076da2c1d1880ab29e_tn.jpg']
5,4,"['엄니 얼큰닭볶음탕', '양반밥（흑미밥＋김）', '부들부들 계란찜', '김말이']",닭볶음탕 굳굳굳 입니당~,[]
6,4,['엄니 얼큰닭볶음탕'],얼큰시켰는데 적당히 맵고 맛있네요,[]
7,5,"['엄니 닭볶음탕 ', '당면']",패키지가 귀엽네여ㅎㅎ무엇보다 맛잇고 양도 많아서 배부르게 잘머것어요!!담에도 또 시킬게여,['https://rev-static.yogiyo.co.kr/8fe359184e45770cbfa5874f6750b854_tn.jpg']
8,4,['엄니 닭볶음탕 '],맛 괜찮아요양 작지않고적당히 매콤하고잡내 없어요,[]
9,5,"['엄니 순살간장찜닭', '당면']",양도많고 엄청 맛잇어요!둘이서 먹는데두 남앗네여ㅎㅎ담에는 닭볶음탕시켜먹어봐야겟네여,['https://rev-static.yogiyo.co.kr/f8cb1ed98adfb03c4407f421546914c8_tn.jpg']
10,4,['엄니 순살닭볶음탕'],맛있었어요! 양도 괜찮아요! 다음에도 시켜먹을거같아요!!,['https://rev-static.yogiyo.co.kr/2e7270fc51dbf6f9d0f698d57f650435_tn.jpg']
11,5,"['엄니 얼큰순살닭볶음탕', '선비밥（일반공기밥）', '콜라 1.25L']",배달도 빠르고 맛도 있고 뜨끈뜨끈하고 양도 많고최고입니다 ㅠㅠㅠ매콤한거 먹고싶어서 매운걸 시켰는데 생각보다많이 맵지는않네요 ㅠ 아쉽지만아쉬움보다 더 맛있으니깐 만족 입니다 ㅠㅠ 번창하세요❤️❤️,['https://rev-static.yogiyo.co.kr/10ecf06a955daef29ae57aa15740d671_tn.jpg']
12,5,"['엄니 닭볶음탕 ', '선비밥（일반공기밥）', '카스']",닭 볶음탕 엄청 맛있어요. 단골 되겠습니다.,[]
