,별점,주문메뉴,리뷰,사진
0,5,['오리지널 타코야끼'],선발대입니다. 타코야끼 존맛탱이네요.,[]
1,5,"['핵불불이 타코야끼', '계란 덕후를 위한 계란말이']",진짜로 매콤매콤맛있어요.계란말이도 알차게 말아주네요.,"['https://rev-static.yogiyo.co.kr/e2c7d62835f6e16c83e68c47c3072e9d_tn.jpg', 'https://rev-static.yogiyo.co.kr/9e78b7b2147c596be9a0eb225585e488_tn.jpg']"
2,5,['오리지널 타코야끼'],어썸 배달업체 쉬어서 조금 늦게오긴했는데 맛있어요,[]
3,5,['오리지널 타코야끼'],작은 상자 두개에 14개씩 담겨왔어요. 찍어먹을 나무꼬치도 두개씩 주셨는데 길이가 적당해서 젓가락처럼 잡고 사용했네요. 배달이 빨라서 음식도 따뜻하고 가츠오부시도 덜 눅눅했었는지 열자마자 춤을 추더라고요 ㅋㅋ 타코야끼 자체도 바삭함이 조금씩 살아있고 소스도 풍부하게 뿌려주셔서 맛나게 먹었습니다. 단짠단짠 느끼한게 맥주가 팍 당기는데 주문 전에는 생각하지도 않은지라 탄산음료나 꺼내먹었습니다. 추천합니다.,"['https://rev-static.yogiyo.co.kr/f872105ee8b43d8f4e33b922b6e65df1_tn.jpg', 'https://rev-static.yogiyo.co.kr/92847866c83d882193ca066b79fdcbdd_tn.jpg']"
4,5,"['오리지널 타코야끼', '생모짜렐라치즈 타코야끼']",타코야끼 겉바속촉 맛있어요 모짜렐라도 쭉쭉늘어나서 좋았습니다,['https://rev-static.yogiyo.co.kr/f5c6c0b3136c164f5589914f61fbbbc5_tn.jpg']
5,5,"['오리지널 타코야끼', '파 타코야끼']",오리지날도 맛있는데 파 타코야끼 진심 미쳤다 뭔데 파하나 들어갔다고 이렇게 맛있지; ㄹㅇ 개꿀맛,['https://rev-static.yogiyo.co.kr/bc81b60e57cbdb91c62557aabc669dc5_tn.jpg']
6,5,['오리지널 타코야끼'],이지역 타꼬야끼 여기집에 못비빔 존맛탱,[]
7,5,"['오리지널 타코야끼', '생모짜렐라치즈 타코야끼']",ㅎㅎ맛있어요~~ 매장에서 먹다가 배달까지되어 집에서 먹을수있으니 좋네요,[]
8,5,"['오리지널 타코야끼', '파 타코야끼']",파 타코야끼 꾸르맛 ㅎㅎ,['https://rev-static.yogiyo.co.kr/bc108617cee242ede644abc03ce3947c_tn.jpg']
9,5,"['오리지널 타코야끼', '철판 모듬 소세지 구이']",너어무 정말 너어무 맛잇게잘먹엇어요👍👍👍👍👍평점조은이유가 잇군요 ㅋㅋㅋ또주문할게용,['https://rev-static.yogiyo.co.kr/a0a2f498296ca20d9fd6596ec9821b12_tn.jpg']
