,별점,주문메뉴,리뷰,사진
0,5,[],"요기요 나오기전부터자주시켜먹었는데언제먹어도맛있어요ㅋㅋㅋ보쌈도맛있고,김치도넉넉한게정말맛있어용",[]
1,5,[],배달도빠르고 맛잇어요,[]
2,5,[],맨날 전화로만 주문하다가 너무편하네용,[]
3,1,[],족발이 너무 식어서 딱딱함쟁반국수는 너무 불고콩나물국은 엄청 짜요,[]
4,1,[],좀 너무합니다. 보쌈 처음먹는 사람이라면 속았겠어요. 삶아놨던 보쌈을 전자렌지에 돌렸나봐요. 비린내도 심하고 엉겨붙어서 떨어지지도 않고 리뷰에는 좋게 써있어서 주문한건데 우리집만 그렇게 온건지 모르겠지만 다시는 여기에 시키지 말아야겠다고 생각했습니다. 돈 아까워서.....,[]
5,5,[],열라짜증나고맛도드럽게업구~배추2장상추5장주고이만원아라니ㅜㅜ,[]
6,5,[],저번에 보쌈 너무 깔끔하게 나와서 오늘은 요기요에서족발시켜봅니다. 배달의 민족은 리뷰가 좋던데 요기요는 리뷰가 별로인것은 왜그런지?맛있게 잘 머껫습니당~^^,[]
7,5,[],굳굳,[]
8,5,[],정맣 맛있습니다!,[]
9,5,[],처음 여기서 먹어봤는데 맛있네요...고기도 신선한지 냄새도 안나더군요....잘먹었습니다 면도 정말 맛있었는데 제 입엔 조금 짜더군요 하지만 전 싱겁게 먹는 퍈이라....,[]
10,2,[],보쌈이 점 벅벅하고 별로였어요  김치맛도 별로구 연저보쌈이라 먹어봤는데 맛은 그닥이네요,[]
11,4,[],연저보쌈은 다른 동에서도 많이 시켜먹어봤는데 맛있어요 근데 여기는 김치람 무김치가 같이와서 좀... 맛이 섞여서 안좋네요,[]
12,5,[],깔끔하고 김치도 너무 맛있어요!배달 보쌈중 상위요!,[]
13,4,[],맛있어요. 다만 양이 넘 적어요,[]
14,5,[],맛있어요~♡♡,[]
15,1,[],최악이요 고기가 버석거려요,[]
16,3,[],고기가 넘 퍽퍽해요ㅠ,[]
17,5,[],단골집에요~^^ 한방으로 삶으시는지 비린내가 전혀 안나고 맛나요 남편이 더 좋아해서 어른 둘에 어린이 하나 같이 먹는데 대비(대)로 시켜 먹었어요ㅋㅋ잘 먹는 어른 셋이서 먹을경우 대비 시키면 배불리 먹을양이에요ㅎㅎ,[]
18,5,[],솔로시켯어요!  맛잇네영,['https://rev-static.yogiyo.co.kr/4e260db2bc9e10f58458d4a5cef436bd_tn.jpg']
19,4,[],고기 기름이 너무 많네요..,[]
20,5,"['연저보쌈 대비（中）', '공기밥', '김치세트추가', '쟁반국수추가']",보쌈 생각 날 때 또 전화 드릴께요!!맛있게 잘 먹었습니다.!! 아쉬운건.. 콩나물국 한개 더 왔으면 더 좋았을듯요ㅎㅎ,[]
21,4,[],양과 맛 모두 만족합니다다만 야채가 너무적더군요,[]
22,2,[],살좀적당히 주시징 순 콜라겐 덩어리 껍질뿐이더이다다음번은 다시 찾지않을듯 하네여,[]
23,5,[],보쌈은  정말 맛있게 잘 먹었는데요~^^같이 주문한  공기밥이 안왔네요 ㅜㅜ결재는 다했는데요 ...담번 주문에 꼭 챙겨주세요,[]
24,3,['연저족발 상궁（솔로）'],족발 솔로세트 혼자먹기에 딱 좋은거 같네요 맛도 좋구요아쉬운게 가격을 좀더 받고 솔로 세트에도 쟁반국수 나왔으면 좋겠내요 ㅠㅠ,[]
25,5,[],항상시켜먹는곳.맛있어요,[]
26,2,['알뜰세트 （보쌈（상궁）＋족발（상궁））'],가격에비해 실망...동치미도 추가됏으면...맛두 그냥저냥입니다..,['https://rev-static.yogiyo.co.kr/05c6e28bf71d4e2774b1c79355bcf58e_tn.jpg']
