,별점,주문메뉴,리뷰,사진
0,4,"['떡볶이', '오징헐~튀김 1개', '바삭어묵채튀김', '꼬꼬마주먹밥']",..........,[]
1,5,"['오뎅볶이', '찰순대', '한입김말이 3개', '오징헐~튀김 1개', '크구마튀김 3개', '꼬꼬마주먹밥']",배달이 약간느리지만 최고에어 튀김더 진짜 굳굳 자주먹을거같아여,[]
2,5,"['오뎅볶이', '소세지 7개 추가)', '찰순대', '어묵탕']",대박! 저는 원래 떡볶이에 오뎅만 먹는사람인데 이런메뉴 완전 좋아요!! 매콤함도 마음에 들구요~~ㅎㅎ 순대도 쫄깃하니 맛있어요 서비스 감사합니다~~^^ㅎㅎ,[]
3,3,"['찰순대', '크구마튀김 3개', '어묵탕']",오뎅탕은 너무짜고..배달도 1시간 걸리고..순대도별루였어요..고구마튀김은 바삭하면서 괜찮긴했어요~,[]
4,5,['매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）'],배달겁나빠르고 맛있음,['https://rev-static.yogiyo.co.kr/fd3955c5e5d7de647af9f5d3ebc2c071_tn.jpg']
5,5,['매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）'],서비스도주시고~~~너무감사해요~♡♡짱짱짱맛있어용~♡♡,['https://rev-static.yogiyo.co.kr/08989e434433ecfddc46bb5785c96649_tn.jpg']
6,5,"['떡볶이', '찰순대', '한입김말이 3개', '오징헐~튀김 1개']",첫주문 오징어튀김 대박 떡볶이 양이 적은게 아쉽네요,[]
7,4,['매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）'],늦은시간주문하긴했지만배달50분걸림 ㄷㄷ튀김기름은 깨끗해보였어요,[]
8,4,['매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）'],튀김어묵채는 오래튀겨서인지 쓴맛이 나네요~~,[]
9,4,"['열정순대', '치즈순대', '오징헐~튀김 1개', '매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）']",맛있게  잘먹었습니다,[]
10,5,"['떡볶이', '찰순대', '한입김말이 3개', '단호박꼬치 3개', '크구마튀김 3개']",맛있어요 단골될듯요,[]
11,5,"['떡볶이', '찰순대', '한입김말이 3개', '오징헐~튀김 1개', '참치마요비빔컵밥', '칠성사이다 500mL']",맛있습니다 배달중 오류인지는 모르겠으나 음료수가 문제가있어서 전화드렸더니 친절하게 교환해주셨습니다감사합니다,[]
12,5,"['떡볶이', '찰순대', '모듬튀김（김말이3＋큰새우1＋튀김어묵채＋큰오징어1＋단호박꼬치2＋만두튀김1＋고구마1）', '꼬꼬마주먹밥', '어묵탕']",맛있네요 튀김도요ᆢ,[]
13,3,['매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）'],오뎅튀김이 조금 탄거 빼곤 괜찮았어요,[]
14,5,"['떡볶이', '찰순대', '오징헐~튀김 1개']",배달은 늦었지만 오징어튀김 진짜...... 스릉흔드,[]
15,5,"['치즈떡볶이', '맥주도둑 흔들 오징어튀김', '어묵탕', '하이트 1000cc']","네,수고하세요분식이 땡겨서 시켜봤어요",[]
16,3,"['오뎅볶이', '찰순대', '한입김말이 3개', '오징헐~튀김 1개', '크구마튀김 3개', '꼬꼬마주먹밥']",오픈시간이 열한시면 그전에 이미 준비를 끝내놓지 않나여? 맛은있는데 배달시간이 70분걸렷네여 전에도 오래걸리더니 배달시간때문에 시켜먹기가 꺼려지네여,[]
17,5,"['오뎅볶이', '한입김말이 3개', '꼬꼬마주먹밥', '어묵탕']",맛있어요 ㅎㅎㅎㅎㅎ,[]
18,5,"['치즈떡볶이', '찰순대', '한입김말이 3개', '단호박꼬치 3개']",배달도 잘 왔고 맛있습니다,[]
19,5,"['떡볶이', '당면사리 추가)', '한입김말이 3개', '오징헐~튀김 1개', '참치마요비빔컵밥']",처음 시켜먹었는데 넘 맛있게 잘 먹었어요!! 두명이서 배부르게 먹었습니다 오징어 튀김은 진짜 커서 놀랐네요ㅋㅋㅋ,[]
20,3,['매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）'],떡볶이가 너무 매웟어요. 어묵 튀김은 맛있어요. 순대는 보통. 튀김류가 맛있네요.,[]
21,5,"['떡볶이', '오뎅볶이', '찰순대', '오징헐~튀김 1개']",오뎅이랑 오징어튀김이 엄청 맛있습니다.,[]
22,5,['매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）'],너무맛나요 추천합니다,[]
23,4,"['떡볶이', '오뎅볶이', '찰순대', '오징헐~튀김 1개', '어묵탕']",개인적으로 얌념이 걸쭉한 떡볶이를 좋아하는데 여긴 묽어요. 그래도 국물이 많아서 그건 좋았어요. 순대도 맛있었고 좋았는데 오징어 튀김이 질기고 안끊어져서 먹기 힘들었어요.,[]
24,5,"['오뎅볶이', '한입김말이 3개', '바삭어묵채튀김', '맥주도둑 흔들 오징어튀김']",아가들이 맛있게 잘먹어요^^,[]
25,4,"['떡볶이', '모듬튀김（김말이3＋큰새우1＋튀김어묵채＋큰오징어1＋단호박꼬치2＋만두튀김1＋고구마1）']",먹을만해요ㅡㅡㅡㅡㅡ,[]
26,5,"['떡볶이', '찰순대', '단호박꼬치 3개', '크구마튀김 3개', '어묵탕']",배달 65분만에 왔구요 맛은 역시 촤고예요,[]
27,5,"['오뎅볶이', '찰순대', '한입김말이 3개', '단호박꼬치 3개', '어묵탕']",맛있어요 ㅎㅎㅎㅎㅎ,[]
28,2,[],ㄱㄴㄷㄹㅁㅂㅅㅇㅈㅊㅋㅌㅍㅎ,[]
29,5,['매니아세트（떡볶이1＋순대1＋참치마요비빔컵밥1＋한입김말이3＋큰새우1＋큰오징어1＋단호박꼬치2＋고구마1＋만두튀김1＋튀김어묵채1＋음료 랜덤 제공）'],튀김 진짜 맛있어요 양도 많고 배달도 빠르고 좋아요,[]
30,5,"['오징어빠져떡（떡볶이2人＋오징어튀김1개＋새알만두4개＋소세지4개＋메추리알4개＋치즈토핑）', '맛 선택(매운맛（열정）)']",정말맛있습니다가격도 맛도 최고!! 막먹는다고 사진도 못찍었네요ㅜㅜ,[]
31,5,"['떡볶이', '한입김말이（1개）', '배부를만두（1개）', '찰순대', '어묵탕']",맜있네요~~~~~ㅋㅋ,[]
32,5,"['떡볶이', '한입김말이 3개', '단호박꼬치 3개', '크구마튀김 3개', '참치마요비빔컵밥', '펩시콜라 500mL']",튀김진짜 짱 말이 필요없어여 너무 커서 다 못먹을 정도,[]
33,1,"['오징헐~튀김（1개）', '매니아SET（치즈떡볶이1＋순대1＋참치마요비빔컵밥1＋모듬튀김＋음료 1）', '추가 선택(떡볶이->오뎅볶이로 변경)', '콜라（펩시）1.25L']",매니아 셋에 사이다 1.25변경 했는데500ml로 왔네요.배달도 1시간 걸린다고 했는데1시간 20분정도 걸리고요.더워서 또 전화하고 하기 싫어서 그냥 먹을래요,[]
34,5,"['오뎅볶이', '한입김말이4＋오징헐~튀김1＋단호박꼬치1＋배부를만두1＋크구마튀김1', '찰순대']",맛있어요 ㅎㅎㅎㅎㅎ,[]
35,4,"['오뎅볶이', '크구마튀김（1개）', '껍질벗겼새우（1개）']",잘먹었어요ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ,[]
36,1,"['떡볶이', '한입김말이（1개）', '찰순대']",일단 배달시간 2시간 45분 걸림...순대랑 오뎅에서 냄새남...떡볶이 맛없음...배고픈데도 남겼네요...,[]
37,4,"['떡볶이', '오징헐~튀김（1개）', '참치마요 비빔컵밥', '콜라（펩시）1.25L']",오징어튀김 시켯는대 짱 길고 두꺼워서 넘ㅁ마시께머금,[]
38,5,"['오뎅볶이', '한입김말이（1개）', '배부를만두（1개）', '단호박꼬치（1개）', '찰순대', '얼큰어묵탕']",맛있네요ㅎㅎ,[]
39,1,"['치즈떡볶이', '한입김말이（1개）', '크구마튀김（1개）', '매니아SET（치즈떡볶이1＋순대1＋참치마요비빔컵밥1＋모듬튀김＋음료 1）']",떡볶이에서 철수세미 나왔어요ㅡㅡ 위생 관리가 미흡한가봐요. 맛도 그냥 그래요. 떡볶이는 맵지도 않고 달지도 않아요. 국대 떡볶이 같은 느낌으로 오는데 맛은 전혀... 튀김은 튀김옷이 너무 두껍고 내용물들이 너무 커요. 그나마 김말이가 제일 맛있어요. 순대는 양 진짜 적어요. 다른데서 시키는거의 반정도? 참치마요는 거의 주먹밥수준 ㅋㅋㅋ 원래 참치마요에 소스 따로 주는데 여기는 따로 주는 소스는 없는거같고 밥이랑 김이랑 단무지 조금 참치 조금 그리고 마요네즈 섞은 전형적인 주먹밥인데 왜 참치마요비빔'컵밥'이죠?,[]
