,별점,주문메뉴,리뷰,사진
0,5,['세트1（통돼지김치찌개＋왕계란말이）'],맛있어여 배달도빠르고,[]
1,3,"['세트1（통돼지김치찌개＋왕계란말이）', '공기밥']",맛있게 잘먹었어요 ~~,[]
2,3,[],양도많아용 맛나요 잘먹엇어요~,[]
3,3,['세트1（통돼지김치찌개＋왕계란말이）'],고기양도적었고.. 오래되보였고김치찌개 양이 많지 않았어요 ㅠ,[]
4,2,['통돼지 김치찌개 2人'],김치찌개에서 신맛이 강하게 남. 밥은 약간의 군내가 있음,[]
5,4,"['통돼지 김치찌개 2人', '콜라 500mL']",좀 짜긴햇지만 잘먹엇습니다,[]
6,1,['통돼지 김치찌개 2人'],김치찌개는 맛있는데 고기에서 잡내가 너무심해서 못먹겠네요,[]
7,5,['세트1（통돼지김치찌개＋왕계란말이）'],진짜 너무 맛있게 먹었어요 ㅎㅎ,[]
8,4,['통돼지 김치찌개 2人'],2인 으로 시켰어용먹을만합니당~!!,"['https://rev-static.yogiyo.co.kr/85252ddafd312ed9b5ee992846c5b129_tn.jpg', 'https://rev-static.yogiyo.co.kr/608e28ea0e8e7c5ca72c160e790e00da_tn.jpg']"
9,5,['제육볶음2人'],배송도 빠르고 음식도 정갈하니 왔어요~ 맛있고 깔끔하니 만족입니다,['https://rev-static.yogiyo.co.kr/d6d4e642298893633050bdb5a46c10b6_tn.jpg']
10,4,['세트1（통돼지김치찌개＋왕계란말이）'],맛이 없지는 않은데뭔가 약간 아쉬운 맛이네요.약간 심심한 맛이다랄까요?양은 적당했어요~배달도 빨랏구요~,['https://rev-static.yogiyo.co.kr/2f4ac4ca60eab3afa04067531905834f_tn.jpg']
11,4,['통돼지 김치찌개 2人'],집밥 느낌의 맛이라 좋았어요.양도 부족하지 않고 좋았습니다.다음에 또 주문할 집!,[]
12,5,['통돼지 김치찌개 2人'],맛은 역시나 최고였어요점심시간이라 그런지 배달시간이 늘 아쉽네요,[]
13,3,['통돼지 김치찌개 2人'],고기의 양이 너무 적은것 빼고는 맛있습니다 밥 서비스는 좋구요 굿입니다,[]
14,5,['통돼지 김치찌개 2人'],김치찌게 양도 푸짐하고 맛있네요~~또 주문할게요~,[]
15,4,"['간장불고기 2人', '계란찜', '공기밥']",맛있어요. 2인분 양은 부족하고 포장상태는 조금더 신경써야 할듯 하네요. 계란찜포장상태가 허술하여 국물이 비닐봉지에 한가득이네요. 맛은 좋아요.,[]
16,5,['통돼지 김치찌개 2人'],기대이상이에요 김찌는 여기서 먹을거에요,[]
17,5,"['제육볶음2人', '공기밥']",너무너무 친절하세요~ 맛도괜찮구 양도 충분한거같아요!,[]
18,5,"['통돼지 김치찌개 2人', '제육볶음2人']",비오는 날이라서 배달이 좀 늦었지만 맛있네요,[]
19,5,['두루치기 2人 '],두루치기 넘 맛있게먹엇어요~~~,[]
20,5,['통돼지 김치찌개 2人'],항상 건강하고 맛있는 음식을 만들어 주세요.,['https://rev-static.yogiyo.co.kr/925de59a5a9751c84c10f25f21a0cbdd_tn.jpg']
21,5,['통돼지 김치찌개 2人'],배달예정시간보다 늦긴했는데 서비스로 콜라주셔서 잘먹었어요,['https://rev-static.yogiyo.co.kr/d22a2750956859ac12415eea28148acd_tn.jpg']
