,별점,주문메뉴,리뷰,사진
0,5,[],굿ㅆㅆㅆㅆㅆㅅ,[]
1,4,"['묵은지닭도리탕 中', '계란찜']",닭도리탕 맛있어요 묵은지가 맛있더라구요 묵은지찜 이런거 요즘 땡겨서 이곳저곳시켰는데 젤나앗어요 근데 계란찜이5000원인데 일단 양이 5000원양이 일단아니고.. 너무짜요..짜게먹는편인데 소금맛날정도로 짜요..이대로 파시는건아닌것같구 실수로 많이 넣으신거라고 생각할게요 ....그정도로 많이짯어요..ㅠㅠ,[]
2,5,[],맛있네요~~~~~달지 않고 얼큰해서 좋았어요^^,[]
3,5,"['묵은지닭도리탕 小', '공기밥']",묵은지 닭도리탕은 사랑입니다,[]
4,5,[],숙취해소 제대로 한 얼큰맛있는 요리였습니다,[]
5,4,['묵은지닭도리탕 小'],너무맛있게 잘먹긴했는데 비닐이 나왔네요무슨비닐인지ㅜㅜ두꺼운데..위생신경써주세요맛이랑 양은 푸짐하고좋았어요,[]
6,5,['묵은지닭도리탕 小'],맛있네요 추천합니다,[]
7,5,['묵은지닭도리탕 中'],"처음이사와서ㅋ 마땅히 시킬때도 없고.. 그냥 닭도리탕먹기도 싫고.  딱히  주변에 배달음식 맛있는 곳이 없더라구요,  평가가 많지않아서 반신반의 했어요. 저번에 다른데 묵은지 부대찌개시켰다가 데인경험이 있어서리 ㅠ 근데 여기 진짜 묵은지 같아요.ㅋㅋㅋ 여동생이랑 같이 묵은지닭볶음탕 중짜시켜서 밥 3공기씩ㅋ  여자맞구요. 밑반찬두 아주만족해요ㅎㅎ 잘먹었구요ㅎ 다음에 또시킬께요!","['https://rev-static.yogiyo.co.kr/862f08a1f3edf26a1620a3ca824160a5_tn.jpg', 'https://rev-static.yogiyo.co.kr/005d692e2e55bbb0468afa9b97980643_tn.jpg', 'https://rev-static.yogiyo.co.kr/9cf6c208e0047fe607404dc86ad08387_tn.jpg']"
8,5,"['묵은지닭도리탕 小', '공기밥']",묵은지딖도리탕 너무맛있고 사장님도 너무 친절하세여 자주시켜먹어야징,[]
9,5,[],굿,[]
10,5,['묵은지닭도리탕 小'],맛있어요,[]
11,4,[],굿!맛있어요~^^,[]
12,2,['묵은지닭도리탕 小'],묵은지는 짜고 닭은 간이 덜배어있음.,[]
13,5,"['묵은지닭도리탕 小', '공기밥']",전 맛나게 먹었어요 ~ 닭은 맛이좀 안들긴했지만 몇번재탕해먹으면 맛나겠어요 ~,[]
14,5,[],맛있어요 ㅋㅋㅋ 짱. 배달아저씨가 친절하세요,[]
15,3,['매콤닭도리탕 中'],맛은 있었으나 양이 좀 적지만 그래도 맛있어서 잘 먹었슴나당,[]
16,5,['묵은지닭도리탕 小'],처음시켜먹어봤는데요..진짜 맛있습니다 여태 탕시킨것중에 제일 맛있습니다ㅠㅠㅠㅠㅠㅠㅠ다시시키고싶네요ㅠㅠㅠㅠㅠㅠ소 시켰는데 양도많고 묵은지도 너무맛있습니다.. ㅠㅠㅠㅠㅠㅠ배달원분도 너무친절하시고 진짜너무맛있습니다!!,['https://rev-static.yogiyo.co.kr/c3088eb211c9d6e47a4f948bff09b285_tn.jpg']
17,5,['묵은지닭도리탕 小'],재주문이요~  진짜 너무맛있습니다!!,[]
18,5,['묵은지닭도리탕 小'],평점 좋았지만 별기대안했는데 ... 냄비에 옮겨담아 보글보글 끓이며 맛을보니 완전대박...ㅋ 너무 맛있네요 배달하신분이 사장님인지는 알수없으나 완전 친절하셨구요 자주 이용할것같아요~~^^,[]
19,5,['묵은지매콤찜닭 小'],찜닭이랑 닭볶음탕이랑 맛이 비슷한가같아여.. 묵은지때문인가 그래두 역시나 맛있습니다 ㅎㅎ 많이파세요~!!~!~!,[]
20,5,[],맛있어용 사장님이 바쁘셧는지 두시간 넘게 걸렷는데 단골인데 이렇게 늦은적으뉴첨이라ㅋㅋ 대신 이슬이랑 메추리알 서비스까지ㅜ주셧다는ㅋㅋ,['https://rev-static.yogiyo.co.kr/5d8c86f1b2de20f352df3e5552c707d1_tn.jpg']
21,5,"['매콤닭도리탕 中', '계란찜', '콜라 1.25L']",언제 시켜먹어도 맛있네요~,[]
22,5,"['매콤닭도리탕 小', '공기밥']",맛있네요 최근 먹은 것주에 젤 좋아요 궁물도 많아서 남긴 국물은 낼 밥 볶아 먹을려구요ㅎ,[]
23,3,['매콤닭도리탕 小'],국물이 걸죽하지안아 닭에 양념이 덜베인 느낌이에요 좀 걸죽했음좋겠네요,[]
24,5,[],진짜 맛있어요.대박.자주 시켜 먹을게요! ^-^,[]
25,4,[],2주?에 한번씩은 시켜먹은데 너무 잘 먹고있습니다매번 소 사이즈만 시켯는데 너무 배고파 중 사이즈 처음 시켯더니.. 양이 똑같네요^^; 다음엔 양 좀 잘 부탁드릴게요~~,[]
26,1,"['묵은지닭도리탕 小', '주먹밥']",지난주에 맛잇게 먹어서 오늘 또 시켯는데 너무 실망이네요 머리 카락 들어 있고 짜고 주먹밥은 마포 떡볶이 거고  다신 시켜 먹지 말아겠어요,[]
27,1,['매콤닭도리탕 小'],"도착 예정시간보다 한 시간 지연,여기 배송 너무 늦습니다. 다시는 주문 안합니다.주문 전 배송지연 고려하세요.",[]
28,5,['매콤닭도리탕 小'],여기가 젤 맛나요,[]
