,별점,주문메뉴,리뷰,사진
0,5,"['치즈（떡볶이 or오뎅 中 택1）', '맛 선택(1단계)']",너무너무 맛있고 배달도 빨라서 너무 좋았어요!!,[]
1,4,"['치즈 떡볶이 2단계', '납작당면사리 추가']",맛있습니다. 배달도 빠르고요~,[]
2,5,"['A sat（치즈떡볶이 or 치즈오뎅 中 택1＋모듬튀김＋단무지＋쿨피스450mL）', '맛 선택(1단계)']",맛있네요~잘 먹었습니다.,[]
3,5,"['B sat（카레치즈 떡볶이 or 카레치즈 오뎅 中 택1＋모듬 튀김＋단무지＋쿨피스450mL）', '맛 선택(1단계', '추가 선택(반반 세트)']","카레 떡볶이는 처음인데 맛있네요, 추천~",['https://rev-static.yogiyo.co.kr/c3bb42a7bf52068590cb147825e832d1_tn.jpg']
4,5,"['카레 치즈（떡볶이 or오뎅 中 택1）', '맛 선택(2단계)']",카레맛은 처음 먹어봤는데 맛있더라구요:)튀김도 부드럽고 맛있었어요!다음에도 또 먹을 거에요:>,['https://rev-static.yogiyo.co.kr/8bee51e6dc587ab43ff34f2aee9e5e48_tn.jpg']
5,5,"['짜장 치즈（떡볶이 or오뎅 中 택1）', '맛 선택(1단계)', '갈비만두 3개 ""강력추천""']",국물이 묽고 배달시 현금을 준비해야된다는걸 빼면 맛도 좋고 튀김도 정말 바삭하고 양도 많네요. 다음에 주문하게 되면 오뎅으로 주문할것 같아요.,"['https://rev-static.yogiyo.co.kr/ca978b1f892e36480cd11e1b8343a823_tn.jpg', 'https://rev-static.yogiyo.co.kr/ca8a9afcdee10ca48a07eaefb856d122_tn.jpg']"
6,4,"['치즈（떡볶이 or오뎅 中 택1）', '맛 선택(1단계', '추가 선택(반반 세트)']",정말 깔끔했고 양도 어마어마한게 마음에 들었어요. 보통 물만 넣고 떡볶이를 만들면약간 심심함이 올라오는데 이 집은 덜자극적이고국물맛이 깔끔한게 좋았습니다.아쉬운건 깊은맛이 살짝 부족하다는생각이 드네요. 그리고 단무지 사이드 메뉴에추가 부탁드려용. 보통 2.3개는 먹기 때문에1개론 부족하네요.,[]
7,5,"['치즈（떡볶이 or오뎅 中 택1）', '맛 선택(1단계)']",아이들이랑 먹으려고 1단계시켰는데 순하고 맛있어요치즈도 고소하고 맛있구요~아이들이 너무 좋아하네요^^사장님 전화 응대도 너무 친절하시고 좋네요~단골해야겠어요^^,[]
8,5,"['짜장 치즈（떡볶이 or오뎅 中 택1）', '맛 선택(1단계', '추가 선택(반반 세트)']",맛있게 잘먹었어요. 서비스도 감사합니다~,['https://rev-static.yogiyo.co.kr/2d7d626444bf599512f14ff80f21da49_tn.jpg']
9,5,"['짜장 치즈（떡볶이 or오뎅 中 택1）', '맛 선택(1단계)']","짜장떡볶이 맛있어요. 쿨피스 큰거 서비스도 좋구요.다만, 1시간기다렸는데 안와서 전화하니 접수누락되었다고 해서 그점이 아쉬었어요",['https://rev-static.yogiyo.co.kr/74c82e2dcaa94e668eb49b078cf64db2_tn.jpg']
