,별점,주문메뉴,리뷰,사진
0,5,[],잘먹었습니다,[]
1,5,[],잘먹었습니다,[]
2,5,[],처음 시켜봤는데 가격도 저렴하고 맛있었어요.눈오는 날 밤 늦게 시켰는데 배달도 잘 해주시구 다음에 또 시켜먹어 보려구요.,[]
3,5,[],완전 맛있어요! 저렴하고 좋네요,[]
4,4,['크리스피치킨'],"가격이 싼 이유에 맞게 닭 사이즈가 작습니다. 1인 주문항목에 속해있기때문에 감안해야하는 사랑이라 생드각되네요치킨맛은 동네 골목의 통닭집 정도였습니다. 오! 하는건 없지만 이 가격에 이정도면 괜찮다, 담에 또 시켜먹어야지 하는 맘이 생기는 정도입니다",[]
5,5,[],맛있어요 ㅎㅎ,[]
6,5,[],살이 많이 있어요!2인도 먹어 돼요!🤦🏻‍♀️,[]
7,2,['파닭（텐더）'],치킨텐더가 너무 싱거워요. 간좀 하면 좀 괜찮을듯,[]
8,4,[],굿!,[]
9,5,"['안심텐더（순살）', '매운양념소스', '양념소스', '칠리소스', '간장소스']",싸고 맛있고 양도 많음간장소스는 입맛에는 안맞네요,[]
10,5,"['안심텐더（순살）', '사이다 1.25L']",잘먹었음,[]
11,5,['크리스피치킨'],처음 시켜먹어봤는데 크리스피 상당히 만족스럽네요자주먹게될거같은 느낌,[]
12,5,"['안심텐더（순살）', '양념소스']",양념 맛남,[]
13,5,"['파닭&텐더세트3（안심텐더＋안심텐더＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경)']",정확히 별 네개반정도인듯 맛있어염,[]
14,3,[],솔직히맛이별로네요~,[]
15,5,"['세트2（크리스피1＋양념치킨1＋머스타드소스＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경)']",맛은 괜찮으나 배달이 좀 느리고 양이 너무 적음 ㅠㅠ,[]
16,5,"['파닭（텐더）', '양념소스', '콜라 1.25L']",파 엄청 많이 줌,[]
17,5,"['안심텐더（순살）', '사이다 1.25L']",양 많고 맛남,[]
18,5,[],잘먹었습니다,[]
19,5,[],크리스피가 생각보다 맛나네요 양념도 많아서 맛있게 먹었네요 다음주말에도 시켜먹어야겠어요애들이 잘먹어서 좋았어요^^,[]
20,5,[],완전 맛있어요치킨은 이제 무조건 여기임,[]
21,3,[],배달은 빨랐는데 닭에서ㅜ조금 냄새가 나는거같아 아쉬워요ㅜㅜㅜ,[]
22,5,['반반（크리스피 반＋양념 반）'],처음시켜봤는데정말맛있어요다음에 또시켜먹을게요,[]
23,2,"['반반（크리스피 반＋양념 반）', '콜라 1.25L']",우와진짜 오자마자 개봉하고 찍은 사진인데 반반시켰는데 후라이드 4조각...양이창렬하네요,['https://rev-static.yogiyo.co.kr/1a65f9c13f17441bf632210218d6ed83_tn.jpg']
24,5,[],좀더 바삭하게 오래튀겨주셔야할고같아요닭에서 좀 냄새가나서 아쉬웠어요,[]
25,5,['안심텐더（순살）'],굿,[]
26,4,[],잘먹었습니다,[]
27,4,"['크리스피치킨', '양념소스']",가성비 역시 굿입니다!,[]
28,5,"['세트1（크리스피1＋크리스피1＋머스타드소스＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경)', '양념소스']",호식이보다는 양이 좀 적고 닭가슴살 튀김이 많이 딱딱하긴 하지만 맛있어요,[]
29,5,"['크리스피치킨', '양념소스']",빨라서 좋음,[]
30,3,[],후라이드 좋음,[]
31,3,[],크리스피치킨 좋아하는1인입니다오늘은 왜인지 다리살인데도 좀 퍽퍽하고 마른느낌이더라구요조금아쉬웠네요 수고하세요,[]
32,5,"['안심텐더（순살）', '칠리소스', '사이다 1.25L']",굿,[]
33,4,[],항상 맛잇게 잘먹엇습니다,[]
34,5,"['안심텐더（순살）', '양념소스', '생맥주 500cc']",굿,[]
35,5,[],♥️,[]
36,5,"['크리스피치킨', '양념소스']",1인치킨 양이 완전 감동적이다 !!!짱 !!,['https://rev-static.yogiyo.co.kr/b97ec4df6c6d78856bdcff95f3923735_tn.jpg']
37,5,"['세트1（크리스피1＋크리스피1＋머스타드소스＋콜라 500mL）', '파 추가（소스포함）', '양념소스']",양응 적당한것 같은데 크리스피 시키는 곳중엔 제일 바삭하게 오는거 같아서 좋아요,[]
38,5,['양념치킨'],바삭바삭하고 달콤 굿굿,[]
39,5,"['크리스피치킨', '양념소스']",맛있습니다 다음에 또 주문할게요,[]
40,5,"['세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경', '양념치킨 맛 선택(매운양념치킨)', '양념소스']",맛 ㄱㅊ 양 ㄱㅊ 배달 ㄴㄴ,[]
41,4,['반반（크리스피 반＋양념 반）'],먹을만 합니다 ㅎㅎㅎ,[]
42,4,"['크리스피치킨', '핫소스']",기름기없고 고소합니다핫소스도 궁합좋네요또 주문할듯 가성비 굿,['https://rev-static.yogiyo.co.kr/55e16bf0339911332830b04db7fbb202_tn.jpg']
43,5,"['반반（크리스피 반＋양념 반）', '생맥주 1000cc']",맛있어요~~ 처음 리뷰 남깁니다 ㅎㅎ,[]
44,5,['크리스피치킨'],저렴하고 맛있어요.,[]
45,5,"['안심텐더（순살）', '양념소스', '사이다 1.25L']",가격 싸고 양 많고 맛있음,[]
46,5,"['안심텐더（순살）', '칠리소스']",엄청 잘튀겨서 맛있음,[]
47,4,"['크리스피치킨', '파 추가（소스포함）']",파추가해서 먹어봤는데 양도많고 소스도 맛있네요반반에 후+간 도 있으면 좋겠네요,['https://rev-static.yogiyo.co.kr/03e726246b32a40edee3c325f05a9581_tn.jpg']
48,5,"['크리스피치킨', '양념소스', '간장소스']",두번째에용 늘 만족스러워서 안남기던 리뷰 남깁니다!,[]
49,5,"['세트1（크리스피1＋크리스피1＋머스타드소스＋콜라 500mL）', '파 추가（소스포함）']",리뷰보고 시켜봤어요^^ 배달이 어찌나 빨리 왔는지 치킨이 넘 뜨거워서 하후하후하면서 먹었는데 넘 맛있더라구요양도 많고 바삭바삭해요 반했어요♡,[]
50,5,"['크리스피치킨', '파 추가（소스포함）']",나쁘지 않어요~~ 가격대비 좋아용,['https://rev-static.yogiyo.co.kr/77f15c6fe92f7f6122356b112e433440_tn.jpg']
51,5,['반반（크리스피 반＋양념 반）'],맛있네요! 크리스피가 좋아요,[]
52,5,"['세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '양념치킨 맛 선택(양념치킨)']",완젼 대박 진짜 맛있고 배달도 빠르고 친절하셨어요.엄마가 치킨안조아하시는데 맛나게 드셔서 더 기뻤어요.감사합니당,[]
53,4,"['크리스피치킨', '파 추가（소스포함）']",이번주 3번 시켜먹은듯파랑 소스 좋네요,['https://rev-static.yogiyo.co.kr/32d1f06ad33e683003d4a701ac154dcc_tn.jpg']
54,4,['반반（크리스피 반＋양념 반）'],로컬 치킨집에서 만드는 로컬 치킨! 담에또 먹을래요!,[]
55,4,"['크리스피치킨', '칠리소스']",맛있어요 배달도 빠르고,['https://rev-static.yogiyo.co.kr/ae936e198237803d4793b8c9ef5a3b44_tn.jpg']
56,4,"['크리스피치킨', '파 추가（소스포함）', '양념소스']",옛날 통닭을 더 바삭하게 만든맛 맛있었음 혼자먹기 딱좋은듯,[]
57,5,['크리스피치킨'],저렴한 가격에 옴청 맛있어요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/ec475d09ce658720e77893a1aac9f3f4_tn.jpg']
58,5,"['크리스피치킨', '파 추가（소스포함）', '양념소스']",크리스피치킨 너무너무맛있어요!! 양도적당하고 가격도 착해서 벌써 4번이나 시켜먹었어요ㅎㅎㅎ 친구들한테도 오굿치킨 전파하고있어용,[]
59,4,"['닭다리（9조각）', '세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경', '양념치킨 맛 선택(양념치킨)']",닭다리는 맛있어요날개는 별루ㅠ,[]
60,5,['반반（간장 반＋양념 반）'],.... 단골 예약,[]
61,4,"['세트1（크리스피1＋크리스피1＋머스타드소스＋콜라 500mL）', '매운양념소스', '간장소스']",맛나요닭이 더 많았으면 합니다.,[]
62,5,"['크리스피치킨', '핫소스']",항상 맛 있어요 배달 빠르고,['https://rev-static.yogiyo.co.kr/0c91efdd860c81ddbcb3415203c2c97a_tn.jpg']
63,5,['크리스피치킨'],너무 맛있습니다~!,[]
64,5,"['크리스피치킨', '매운양념소스']",맛잇어요!!!!!!!,[]
65,5,"['세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경', '양념치킨 맛 선택(매운양념치킨)']",저렴하게 다양한 치킨 시킬수 있어서 좋아요,[]
66,5,"['크리스피치킨', '콜라 500mL']",양도많고 맛있습니다ㅎ,[]
67,5,['크리스피치킨'],배달도 빠르고 치킨도 너무 맛나게 먹음요~계속 이용할듯~,[]
68,5,"['반반（닭다리 반＋닭날개 반）', '파 추가（소스포함）', '무 추가 ', '생맥주 1000cc']",양은 좀 적었지만 빠르고  맛있네요~!,[]
69,5,"['크리스피치킨', '파 추가（소스포함）']",맛나요 육즙이 좀 없는거 빼곤 굿,['https://rev-static.yogiyo.co.kr/570a2b99b519b5707160863b5332c8f1_tn.jpg']
70,5,"['세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '양념치킨 맛 선택(매운양념치킨)']",양도 적당하고 맛도 괜찮았습니다,[]
71,5,"['크리스피치킨', '매운양념소스', '사이다 1.25L']",매번 먹어도 안질리고 맛있어요^^,[]
72,5,"['세트3（크리스피1＋간장치킨1＋머스타드소스＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경)', '파 추가（소스포함）']",맛있어요 근데 파는 맛없어요,[]
73,5,['양념치킨'],맛있고 혼자 먹기 적당해요,[]
74,5,['크리스피치킨'],싸고 맛있어요. 번창하세요,[]
75,5,"['세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '양념치킨 맛 선택(매운양념치킨)']",가격도 착하고 맛있어요!크리스피 치킨은 꼭 KFC 느낌으로 바삭하고 맛나네요.만칠천원에 한마리반이라 푸짐해요.유명 브랜드 치킨보다 가성비 최고입니당 또시켜먹을게요 ♡.♡,['https://rev-static.yogiyo.co.kr/3e667b5b4efd50ea74327211646c7f1d_tn.jpg']
76,5,[],혼자 먹기에 적당해요,[]
77,3,"['세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '양념치킨 맛 선택(양념치킨)']",잘먹엇습니다~번창하세요,[]
78,4,"['안심텐더（순살）', '양념소스', '사이다 500mL']",혼자 먹기  양도 맛도 좋아요,[]
79,5,['크리스피치킨'],"리뷰 평이 좋아서 한번시켜봤는데, 치킨괜찮네요~~엄청 뜨겁고 바삭하고 맛있게 잘먹었어요~  남편도맛있다고하네요",['https://rev-static.yogiyo.co.kr/5303a6ce59a58301c6b2cf5a2f04ccb4_tn.jpg']
80,5,['크리스피치킨'],진짜 맛은 이등병시절 부모님의 면회에서 먹던 그치킨맛입니다. 배터질때까지 먹던 그맛이에요 굿잡,[]
81,4,"['안심텐더（순살）', '양념소스']",깔끔하고 바삭하다 맛있음,[]
82,5,"['세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경', '양념치킨 맛 선택(매운양념치킨)']",배터지게 먹었어요ㅎㅎ,[]
83,5,['닭다리（9조각）'],다리 처음 먹었는데 너무 맛있네요 또 시켜먹어어야지,[]
84,5,['반반（간장 반＋양념 반）'],완전 맛있어요 양도 딱좋아요,[]
85,3,"['안심텐더（순살）', '핫소스', '간장소스']",한소스랑 간장소스 돈내서 추가했는데 안왔어요...,['https://rev-static.yogiyo.co.kr/c953a603c301fb9de2022e27f6216d19_tn.jpg']
86,3,['반반（크리스피 반＋양념 반）'],가격싼만큼양은적음 한박스에 네조각씩들어가있음 결론은 산마리반세트머거야두명이먹음 맛은있는편 양념은 물같은액체소스 옛날부어친킨느낌 혼자먹기에한마리세트드삼,[]
87,4,"['반반（크리스피 반＋양념 반）', '생맥주 1000cc']",혼자먹기 딱이에요~너무 짜지도 않고 옛날치킨맛?? 너무 좋아요~~,[]
88,3,"['크리스피치킨', '반반（간장 반＋양념 반）', '생맥주 2000cc']",맛있고 괜찮아요 또 시킬게요,[]
89,4,"['세트6（크리스피 반＋양념 반＋간장 반＋머스타드소스＋콜라 500mL）', '양념치킨 맛 선택(매운양념치킨)']",맛있음. 근데 치킨 조각이 너무 큼.,[]
90,5,"['크리스피치킨', '무 추가 ', '콜라 500mL']",혼자 먹기 양도 넉넉하고 가격대비 맛도 짱이네요! 자주 애용할게요~ㅎㅎ,['https://rev-static.yogiyo.co.kr/e6ed008aec0f0fee111a2bd2a8b408a3_tn.jpg']
