,별점,주문메뉴,리뷰,사진
0,2,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(반반（오떡반＋오뎅반）)', '모듬튀김', '순대']",떡볶이랑 순대는 괜찮아요. 맵지않고(1단계) 달달하니 맛납니다. 둘이 먹기에는 양이 너무 많네요.계란찜도 좋은데 튀김은 별롭니다. 군만두 빼고 나머지는 숱덩어린지 튀김인지 사진처럼 시커매요.,['https://rev-static.yogiyo.co.kr/4626514e656fd5f33057d947b35eadce_tn.jpg']
1,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）', '주먹밥 선택(참치마요 주먹밥)']",요즘 자주 시켜먹는데 배달이 살짝 늦긴하지만 그래도 오떡은 항상  맛있으니까 이해해드릴게요 ㅠㅠ오떡 짱 ㅠ,"['https://rev-static.yogiyo.co.kr/35887c7364dd594c69560d24ce7545ae_tn.jpg', 'https://rev-static.yogiyo.co.kr/5846b5d75b3d9fd954d341ae6cd421cc_tn.jpg']"
2,4,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(오떡（떡많이）)']",맛있어요,[]
3,4,"['오떡（떡많이）', '사리 추가(참치마요주먹밥', '음료 추가(쿨피스 930mL)']",떡볶이는 맛있는데 참치마요주먹밥이 좀 아쉬웠어요ㅜㅜ퍽퍽하다구 해야되나...다른 건 다 굳!,['https://rev-static.yogiyo.co.kr/6b0c6e13d8e19849cccab210a43229c6_tn.jpg']
4,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오떡（떡많이）', '주먹밥 선택(주먹밥', '사리 추가(치', '감자옹심이)']",떡볶이가 계속 땡겨서시켜먹었는데 너무 맛있어요 :),[]
5,5,"['반반（오떡반＋오뎅반）', '사리 추가(치즈', '음료 추가(쿨피스 930mL)']",오오 딱좋아요 안맵게해달라했는데 그래도 살짝맵긴하지만 맛있어용 배달도빠르궁 서비수로 만두까징~^^,"['https://rev-static.yogiyo.co.kr/266cb81ce7c1eaf83b81e9db10c8846e_tn.jpg', 'https://rev-static.yogiyo.co.kr/3ef7ef8fb169e71c93805310ea5bba80_tn.jpg']"
6,4,['오뎅（오뎅많이）'],"적당히 맵고 맛납니다, 만두를 한번튀겨서 보내주세요",[]
7,5,"['반반（오떡반＋오뎅반）', '사리 추가(치즈)', '주먹밥']",떡볶이는 언제나 오떡입니다. 너무 맛있고 양도 많아서 좋고 이번엔 치즈추가했는데 치즈 양 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 주먹밥은 아는 그 맛인데 오떡 떡볶이랑 같이먹으니 더더 맛있습니다 . 그리고 서비스로 만두랑 쿨피스 맛있게잘먹었습니다 ㅎㅎ,"['https://rev-static.yogiyo.co.kr/13397a73d6a0d0f75e59fa0c48d31774_tn.jpg', 'https://rev-static.yogiyo.co.kr/61d51b37177b1a7012dac4b7be9f3ff8_tn.jpg']"
8,5,['오떡（떡많이）'],다른 오떡이랑 다르게 떡이 얇았어요 맛있어요~,[]
9,3,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）', '주먹밥 선택(주먹밥', '사리 추가(우동)']",그냥.... 텁텁한...,[]
10,5,['오뎅（오뎅많이）'],맛있게 잘먹었습.니다,[]
11,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오떡（떡많이）', '주먹밥 선택(주먹밥)']",좀 매콤해서 쿨피스 필수에요! 배달도 빠른 편이었어요,['https://rev-static.yogiyo.co.kr/7ea36a814b09155d753cfed4a706abbc_tn.jpg']
12,5,['오뎅（오뎅많이）'],오뎅많이 주문했습니다 맛있어요,['https://rev-static.yogiyo.co.kr/87bb4743832e93e595da614eeabdcbd2_tn.jpg']
13,5,"['오뎅（오뎅많이）', '사리 추가(넙적당면)']",맛있게 잘 먹었습니다,[]
14,4,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오떡（떡많이）', '주먹밥 선택(주먹밥)']",맛있어요 베리굿~~~~,[]
15,4,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）', '주먹밥 선택(주먹밥', '사리 추가(치즈)', '모듬튀김']",아주맛있네요 다음에는 안매운맛으러 시켜야할거같아요 매운맛을 잘 못먹는저에게 중간도 매웠네요,[]
16,4,['C set（떡볶이 2인분＋무뼈닭발 2인분＋비엔나＋단무지＋쿨피스 450mL）'],순한맛을 시켰는데도 좀 매웠어요양은 처음 봤을땐 적다 싶었는데 먹다보니 그렇진않네요,[]
17,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(반반（오떡반＋오뎅반）', '주먹밥 선택(참치마요 주먹밥)', '모듬튀김']",맛있엏...ㅋㅋㅋ양도 많,[]
18,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(반반（오떡반＋오뎅반）', '주먹밥 선택(주먹밥)']",매운맛 정말 맵더라구요 다음번엔 한단계 낮춰서 먹어봐야겠네요~,[]
19,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）', '주먹밥 선택(주먹밥)']",처음시켜먹었는데~맛있어요!^^,[]
20,4,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(오떡（떡많이）', '음료 추가(쿨피스 930mL)']",양도 진짜 많고 맛있어요 ㅎㅎ순한맛하고 중간맛 사이가 딱 좋을것같은데순한맛은 너무 안맵고 중간맛은 좀 맵네오 ㅎㅎ,[]
21,5,"['오뎅（오뎅많이）', '사리 추가(넙적당면)']",맛있게 잘 먹었어요,[]
22,5,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(반반（오떡반＋오뎅반）', '사리 추가(비엔', '감자옹심이)', '새우튀김']",처음으로오떡시켜서먹엇는뎅 생각보다맛있따오빠땜에순한맛시켯는뎅  내입엔덜맵다ㅎ감자옹심이도맛있꼬새우튀김되최고👍👍글구 야끼만두는최고맛있땅ㅎ다른집하고다르다담에또시켜서먹어야겟당~~^^♡😙😙,['https://rev-static.yogiyo.co.kr/21cfc986adcaccfb5717607fb25397b8_tn.jpg']
23,5,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）)']",배달 엄청 빨랐어요!! 배달원도 친절하시구여! 맛도 엄청 좋았어요 💪🏻,['https://rev-static.yogiyo.co.kr/2aea379c05e6b03a21cc2db248484356_tn.jpg']
24,4,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）', '주먹밥 선택(주먹밥', '사리 추가(치', '넙적당면', '음료 추가(쿨피스 930mL)']",매워요~~~맛있네용,[]
25,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(반반（오떡반＋오뎅반）', '주먹밥 선택(주먹밥)']",양도많고 맛있었습니다.다만 튀김이 좀 오래된느낌이었습니다.중간맛했는데 매웠습니다.만족하는데 다음엔 순한맛해야겠습니다.,['https://rev-static.yogiyo.co.kr/3cab89c5d2ecda31ba249e2b44b3cbd2_tn.jpg']
26,5,['오떡（떡많이）'],만사천원인데 만두 4개랑 쿨피스도 와서 넘 좋아요! 맛있게 먹었습니다~,[]
27,4,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(오떡（떡많이）', '음료 추가(쿨피스 930mL)']",맛있고 양도 많은데 순한맛과 중간맛 사이인 맛이 있으면 좋겠어요,[]
28,5,"['반반（오떡반＋오뎅반）', '사리 추가(미니핫도', '참치마요주먹밥)']",배달도 빠르고 양도 많네요 근데 오뎅은 좀 비리네요 미니핫도그도 맛잇고 주먹밥도 맛잇어요,['https://rev-static.yogiyo.co.kr/5851dd838e365a1c5dfdc54faaa6a672_tn.jpg']
29,4,"['오뎅（오뎅많이）', '사리 추가(미니핫도', '참치마요주먹밥)']",진심 개맛이에요 정말 이제 엽떡의 시대는 갔다. 이제 오떡만이❤️👍🏻단무지 얼떨결에 하나더 서비스받아서 기분좋았어요근데 배달이 너무 느려서 사실 현기증나서 배가 땅으로 꺼질뻔했어요 그것빼고 앞으로 자주 시켜먹을듯,"['https://rev-static.yogiyo.co.kr/1404c7149cd8d711efe972a6504d698e_tn.jpg', 'https://rev-static.yogiyo.co.kr/394531a72995ee499df0ad8847797f2b_tn.jpg']"
30,4,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）', '주먹밥 선택(참치마요 주먹밥', '사리 추가(치즈)']",오뎅많이 중간맛으로 B셋트를 주문했는데 매운걸 좋아하는 제 입맛엔 좋았어요.치즈추가 했더니 오~~~ 정말 넉넉히 주셨더군요.만두 써비쓰까지 주셔서 잘 먹었습니다.근데 배달이 안내해주신 시간보다도 좀 많이 걸려서 주말 감안해도 기다리다 지쳤네요.맛있게 잘 먹었구요 재주문의사 있습니다.,[]
31,3,['오뎅（오뎅많이）'],머리카락 나왔어요 위생에 조금더 신경써주세요,[]
32,5,"['반반（오떡반＋오뎅반）', '사리 추가(치즈)']",갑자기 떡볶이 먹고 싶어서 별 기대 없이 주문했는데 생각보다 너무 맛있어서 재주문 의사 있네요^^,[]
33,4,['C set（떡볶이 2인분＋무뼈닭발 2인분＋비엔나＋단무지＋쿨피스 450mL）'],떡볶이가 생각보다 별로고 닭발이 맛있어요.양은 적절함.,[]
34,5,"['오뎅（오뎅많이）', '주먹밥', '계란찜']",배달도 예상시간보다 일찍오고떡볶이도 너무너무 맛있었어요!함께주신 서비스도 최곱니다!세트인듯 세트아닌 세트같은 단품♡♡많이많이파시구 좋은하루되세요^~^,[]
35,5,"['반반（오떡반＋오뎅반）', '사리 추가(우동)']",진심맛있어요~배달소요시간보다 빨리왓구요 세명은 거뜬히먹을만한 양이에요,[]
36,4,"['오뎅（오뎅많이）', '사리 추가(넙적당면)', '순대']",맛은있는데 배달45분걸린다고 떳는데 한시간넘게걸렷네여 순대는맛있는데 왤케기름이많이들어있는지 ㅜㅜ,[]
37,4,[],"잘받았습니,다....",[]
38,5,"['오뎅（오뎅많이）', '사리 추가(야끼만', '감자옹심이)']",맛있어요~~ 맵기도 적당,[]
39,5,['참숯뼈없는닭발'],맵고 맛있었어요 !,[]
40,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오떡（떡많이）', '주먹밥 선택(참치마요 주먹밥)', '김말이']","처음 주문해봤는데, 대만족입니다.참치마요 주먹밥은 정말 신의 한 수네요.5살 딸래미도 연신 맛있다고 먹었습니다.잘 먹었습니다.",['https://rev-static.yogiyo.co.kr/045ad72f9a0cd941c1aedc81e6882bd6_tn.jpg']
41,4,"['C set（떡볶이 2인분＋무뼈닭발 2인분＋비엔나＋단무지＋쿨피스 450mL）', '사리 추가(계란찜', '음료 추가(캔사이다 355mL)']",떡볶이랑 닭발 드실분들은 세트로 드세요훨씬 저렴하고 양도 많고 맛도 좋아요떡볶이에 치즈도 얹어주고 좋아요떡볶이 보단 닭발 맛이 더 좋았습니다,[]
42,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(반반（오떡반＋오뎅반）', '주먹밥 선택(매콤참치 주먹밥', '사리 추가(비엔나', '음료 추가(쿨피스 930m', '캔사이다 355mL)']",배달속도 서비스 진짜 좋아요!!!처음 배달시켜보는데 정말 만족스럽습니다 앞으로 여기서 시켜 먹어야겠어요중간맛으로 시켰는데 매콤한게 딱 좋아요(매운거 잘 못먹는 사람이 매운거 먹고싶을때 좋을듯),[]
43,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）', '주먹밥 선택(주먹밥', '음료 추가(쿨피스 930mL)']",너무맛잇엇어요~~~,[]
44,5,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(오떡（떡많이）', '사리 추가(넙적당면)']",맛잇엇어여.... 중간맛도 매워요.... 헥헥 거리면서 먹엇오용 셋이서 먹엇는데도 반이나 남앗오요히히,[]
45,5,"['B set（오떡＋계란찜＋주먹밥＋메추리알＋쿨피스 450mL）', '메인 선택(오뎅（오뎅많이）', '주먹밥 선택(참치마요 주먹밥', '사리 추가(비엔', '미니핫도그)']",오뎅 떡볶이  오뎅많이 했는데  진짜 양이 많고 맛있고ㅡ었어요  만족합니다,[]
46,5,['반반（오떡반＋오뎅반）'],사진찍늩걸 깜빡해서 먹다가 찍었네요..근데도 양많고 맛있습니다!!,['https://rev-static.yogiyo.co.kr/b1ce0dac704527d2eac0da247677f467_tn.jpg']
47,5,['오떡（떡많이）'],진짜 최고에요 짱 맛있고 그냥 좋아요 아니!짱 좋아요♡♡♡♡♡앞으로 단골예약입니다!! 잘 부탁드려요ㅎ,[]
48,5,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(반반（오떡반＋오뎅반）', '사리 추가(치즈)']",너무맛잇어요 ㅎㅎㅎ 양도엄청많구 배달도빠르구 서비스도 굿이네요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/2b3eeece5850d7a47e2ff2feefdfaf0c_tn.jpg']
49,5,"['A set（오떡＋계란찜＋메추리알＋쿨피스 450mL）', '메인 선택(반반（오떡반＋오뎅반）)', '오뎅튀김']",너무 양이 많음 배불러 뒤지는 줄,[]
50,5,"['오떡（떡많이）', '사리 추가(우', '참치마요주먹밥)']",맛있게잘먹었습니다~~^^다음에도잘부탁드려요,[]
51,3,"['C set（떡볶이 2인분＋무뼈닭발 2인분＋비엔나＋단무지＋쿨피스 450mL）', '사리 추가(치즈)', '모듬튀김']",맛잇어요. 재주문의사잇음,['https://rev-static.yogiyo.co.kr/a81fe9f288f0cce5e305c9c7db7b2dc9_tn.jpg']
