,별점,주문메뉴,리뷰,사진
0,1,[],하... 골드후라이드? 난 치킨 먹고 돈 아까운적 처음... 누린내나고 튀김 기름도 쩔고... 다신 안먹어..,[]
1,5,[],맛잇음!!!!다른 프랜차이즈보다 훨씬 맛잇음,[]
2,5,[],맛잇어요,[]
3,5,[],맛있어요~^^,[]
4,5,[],빠르고 맛있고 따뜻하고 친절함,[]
5,5,[],매운소스 맛잇음,[]
6,5,[],맛있고 깔끔함,[]
7,5,[],취소,[]
8,5,[],굿,[]
9,5,[],대박 맛있엉·최고예요,[]
10,3,[],음 별로ㅜ,[]
11,4,[],순살 맛있게 잘먹었습니다~,[]
12,1,[],배달이주소도몰라 몇분이나 물어보고     별하나도 아깝 ㅡㅡ주소부터외우시죠 이거에올릴 라믄,[]
13,4,[],괜찮았어요 식어도 먹을만,[]
14,5,[],괜찬아요. 근처 굽네보다 훨씬 낫네요,[]
15,5,[],진짜 맛나요,[]
16,5,[],새벽에 빠른 배송에 맛도 굿굿굿!!!,[]
17,5,[],좋아뜸 빠르고맛나고,[]
18,4,[],"오븐한마리는 정말 맛있는데, 간장치킨은 너무 느끼해요.리뷰보시는분들은 참고하시길..",[]
19,4,[],맛나게 잘 먹었어요,[]
20,5,[],배달 시간딱맞춰오고 걍 개맛잇,[]
21,1,[],양념치킨 주문햇는데 양념소스가 오네요? 배달시간도 좀 길고요 다음부터는 여기서 먹지말아야겟음,[]
22,5,[],"진짜 맛있어요, 주변치킨집중에 베스트입니다!!!!!!!",[]
23,4,[],좋아요~,[]
24,5,[],좋아요,[]
25,1,[],튀김옷이두꺼움..,[]
26,5,[],빠른배달 감사합니다,[]
27,3,[],생각한것과 많이 다릅니다,[]
28,3,[],너무너무맛있어요,[]
29,4,[],맛있어요,[]
30,5,[],오븐메뉴만 시켜드세요순살메뉴는 무슨 너겟 냉동식품같아요,[]
31,3,[],보통이상,[]
32,5,[],오븐치킨 맛있게 먹었어요.혼자 먹기엔 양이 조금 많았습니다그래서 좋았어요,[]
33,5,[],배달도 빠르고 맛도 좋네요,[]
34,5,[],짱!! 맛나용,[]
35,5,['오븐 바베큐양념'],사진찍고 후기남길랫는데. .맛있어서 흡입해버렸음. .오븐바베큐 맛있네요ㅎㅎ 매콤한게ㅎ,[]
36,5,['오븐 양념'],핵맛있네요.. 제가원래 꼭 양념맛으로 양념치킨만 먹어서 오븐구이는 다 별로 였었거든요 오빠닭이나 지코바 네네 이런데보다 훨씬 맛있고 부드럽고 짱이네요.. 한번도 안 시켜본 곳이라 믿져야본전이지 하는 마음에 주문했는데 대박..,[]
37,4,[],나쁘지않네요~! 역시 치느님,[]
38,5,[],맛잇어용,[]
39,5,"['후라이드 ＋ 후라이드  양념', '콜라1.25L']",처음 주문했는데 빠른배달 그리고 맛있고 양도많고 제입맛에 딱이예요 담에 또 시켜먹을께요^^,['https://rev-static.yogiyo.co.kr/fffa82a9cf85a1ca3ad539969f8734ff_tn.jpg']
40,5,['오븐 한마리'],와 처음시켜봤는데 너무부드러워요ㅠㅠ같이오는 소스도매콤하고 맛있네요 오븐치킨 진짜괜찮은듯,[]
41,5,[],완전촉촉,[]
42,4,[],맛있어용,[]
43,4,[],굳 근데 매운거 시켜도 안매우니까 괜히 돈추가하지는 마세요,[]
44,5,['오븐 한마리'],진짜맛있네요. 리뷰써야지하고 생각하고선 허겁지겁 먹다가 쓰네요! 굳,['https://rev-static.yogiyo.co.kr/173fedf214abefbedff70360504fb771_tn.jpg']
45,5,['오븐 한마리'],역시나 맛있어요 잡내도하나도안나고,[]
