,별점,주문메뉴,리뷰,사진
0,5,"['직화불백', '메뉴 선택(간장불백)']",맛나게 잘 먹었어요간장불백이 숯불에 구운 방식은 아니구 냄비에 조리는 방식이네요김치찌개 맛나게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/d0a05ee4294b9aa837d9f90f65283be2_tn.jpg']
1,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(옛날돈까스', '추가 선택(계란후라이 4개 추', '공기밥 2개 추', '찌개고기100g 추', '두부 추가)']",맛있었어요 ~ 집밥같았어요^^*,[]
2,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(계란찜)']",배달 늦었지만 맛있게 잘먹었습니다,[]
3,3,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(반찬1통 추가)']","찌개맛이 그다지... 양도 적었구요,,,",[]
4,4,"['숙성김치찌개', '찌개 메뉴 선택(참치김치찌개', '서비스 메뉴 선택(옛날돈까스)']",나쁘지않은데 비쌈 김천에서 7처넌짜리 딱그정도6처넌배달비임,[]
5,3,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(옛날돈까스', '추가 선택(공기밥 2개 추가)', '계란후라이 4개']",맛있게 잘먹었습니다..,[]
6,4,"['숙성김치찌개', '찌개 메뉴 선택(참치김치찌개', '서비스 메뉴 선택(계란찜)']",배달이 진짜 엄청느려요...  라면 사리 넣어서 먹었는데 맛은 괜찮았어요,['https://rev-static.yogiyo.co.kr/3eab4a52b63c5079874220e242a37227_tn.jpg']
7,4,"['직화불백', '메뉴 선택(간장불백)']",첫주문이예요 전 간장불백으로 주문했는데 고추장이 왔드라구요 그래도 맛있었어요 양도 푸짐하고 음료까지 있으니 둘이서 먹기 딱이네요 만족하고 단골하고 싶어요,[]
8,5,"['직화불백', '메뉴 선택(고추장불백)']",맛있어욤딱 제스타일!!김치찌개 고기 많이있어서 좋어욤,['https://rev-static.yogiyo.co.kr/a7514c0757a683a715de34b60fd46b3f_tn.jpg']
9,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(떡갈비', '추가 선택(옛날돈까스 2장 추가)']",여기에 별점 5점 안준사람 이해가 안되요.진짜 자주 시켜먹는데..양은3명이서 2인분 먹어도 안부족하구요(20대초반 남자3명인데도요)맛은너무 맛있어서 맨날 시켜먹고요배달은배달기사를 일회쓰시는게 아니고 배달직원이 있으신듯(?)해서 정말 친절하십니다.배달오실때 리뷰 써달라고 부탁하셔서 쓰는데 이제 시켜먹을때마다 써야겠어요,[]
10,5,"['세트（찌개＋고기）', '찌개 메뉴 선택(돼지김치찌개', '고기 메뉴 선택(직화불백', '추가 선택(구이고기100g 추', '스팸구이 4조각 추가)']",맛나요~~~~~~~~~~~~~^,[]
11,5,"['직화대패', '메뉴 선택(마늘대패)']",어제먹고 또 시켰습니다ㅡ진짜 개에에에맛있어요,[]
12,5,"['직화불백', '메뉴 선택(고추장불백)']",배달이 빨라서 놀랬어요. 맛도 좋고 양도 많아서 좋았어요~ 다음에도 또 시켜 먹을게요~,[]
13,5,"['찌개만', '찌개 메뉴 선택(돼지김치찌개', '추가 선택(공기밥 1개 추가)']",맛있어서 가끔 주문해서 먹는데수원점은 요구사항을 영수증에 체크안하는것같아요ㅠㅠ 문앞에 놓고 가라고 적어놨는데 계속 문두드리시고... 이게 두번째라서...ㅠㅠ김치찌개 맛은 다른 지역 옥이네보다 더 맛있어요~ 양도 진짜 많구요~,['https://rev-static.yogiyo.co.kr/660db2299ac94a250ba268097b6e783f_tn.jpg']
14,5,"['직화불백', '메뉴 선택(고추장불백)']",배달도 빠르고 구성도 괜찮고 잘 먹었어요,['https://rev-static.yogiyo.co.kr/4a00ca1d7a184f4b4594c89d5a817d16_tn.jpg']
15,3,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(계란찜)']",무난한 맛 고기는 많이들어가있어요,[]
16,5,"['직화대패', '메뉴 선택(마늘대패)', '콜라 500mL', '처음처럼']",대패도 맛있구요 찌개도 맛있어용!,['https://rev-static.yogiyo.co.kr/c07dae9c232b623986cdf01bbc26ea40_tn.jpg']
17,3,"['직화불백', '메뉴 선택(고추장불백)']",리뷰가 좋아서 기대했지만 고기에 기름이 너무 많고 전체적으로 맛이 아쉬웠습니다,[]
18,4,"['찌개만', '찌개 메뉴 선택(돼지김치찌개', '추가 선택(계란후라이 4개 추가)']",문두드리고 앞에두고 가라고 요청사항에 적는데왜 자꾸 문두드리는지... 왜 계속 두드리는지...세번째 주문인데도 똑같네요.영수증 보니 그런건 적혀있지 않네요.그러니 배달해주시는분이 계속 두드리는듯..이번엔 좀 화난듯 느껴졌어요.요기요에서 주문해서 그런가요?,"['https://rev-static.yogiyo.co.kr/f7cb900cdeb1d0ecd7672846c9f82014_tn.jpg', 'https://rev-static.yogiyo.co.kr/29cd4a52d764deb9b38d5c398f39be1e_tn.jpg']"
19,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(떡갈비)']","처음 시켰는데 대만족입니다! 김치찌개도 맛있고 서비스로 주신 떡갈비도 맛있네요~ 배민에서는 리뷰이벤트 하던데, 혹시나해서 남겼더니 요기요에서는 안해준게 좀 아쉽!",[]
20,5,"['직화대패', '메뉴 선택(삼겹대패)']",대패삼겹 김치찌개 다 너무 괜찮네요,[]
21,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(옛날돈까스)']",무난하게 잘먹었습니다 ㅎㅎ 담엔 돈까스말고 계란찜먹어바야겟네여,['https://rev-static.yogiyo.co.kr/db2a9a8ac7e8b315ba84506db488d368_tn.jpg']
22,4,"['찌개만', '찌개 메뉴 선택(돼지김치찌개', '추가 선택(공기밥 4개 추', '계란후라이 4개 추가)']",문두드리고 앞에 두고가라고 영수증엔 적혀 있는데 이번엔 배달기사님이 안보셨나봐요...ㅠㅠ담엔 그냥 문앞에 크게 적어놔야겠어요.............다른곳은 배달받을때 다들 노크후 두고가시는데옥이네만 자꾸 노크후 대답없음 밖에서 부르네요...,['https://rev-static.yogiyo.co.kr/84c4c4dfd9cfff6641656def74f78f2b_tn.jpg']
23,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(옛날돈까스', '추가 선택(공기밥 1개 추가)']",잘먹었습니다~~~맛있네요,[]
24,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(옛날돈까스)']",진짜 맛있고 양이 너무 많음,['https://rev-static.yogiyo.co.kr/1e5c4f625b32a5ac713759ecc46334bf_tn.jpg']
25,5,"['직화불백', '메뉴 선택(고추장불백', '추가 선택(공기밥 2개 추가)']",이사하기전에자주 시켜먹었엇는데  이사와서 생각 나길래  또 시켜먹었어요 땡기는거 없을때 강추요,[]
26,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(떡갈비', '추가 선택(계란후라이 4개 추', '스팸구이 4조각 추', '참치100g 추가)', '사이다 500mL']",원햇던맛에 김치찌개예여ㅎ,['https://rev-static.yogiyo.co.kr/b57ad3c7cff887b63cf841498b309320_tn.jpg']
27,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(계란찜)']",양도많고 맛도 좋습니다~~,"['https://rev-static.yogiyo.co.kr/0205757c93b12595fac7643fd4d75469_tn.jpg', 'https://rev-static.yogiyo.co.kr/fbcfccd68bf5fc19c852c11e5b1236fa_tn.jpg']"
28,5,"['숙성김치찌개', '찌개 메뉴 선택(참치김치찌개', '서비스 메뉴 선택(계란찜)']",예상시간보다 늦게 왔어요.음식은 따뜻하게 왔어요.맛은 일반적인 참치김치찌개 맛^^ 맛있게 먹었는데 무엇보다 놀라운건 양입니다.2인분인데 배불리 먹는데도 2/5밖에 못먹었어요. 넘 많아서...즉 거의 4인분양 정도...흑미밥도 엄청꾹꾹 눌러담아 주셨더라구요.맛있게 잘 먹었습니다,[]
29,5,"['세트（찌개＋고기）', '찌개 메뉴 선택(돼지김치찌개', '고기 메뉴 선택(직화불백', '추가 선택(계란찜 추가)']",포장해서 집가고있어요,['https://rev-static.yogiyo.co.kr/18400484eec170209615ad3273efabb5_tn.jpg']
30,5,"['숙성김치찌개', '찌개 메뉴 선택(돼지김치찌개', '서비스 메뉴 선택(계란찜', '추가 선택(찌개고기100g 추가)']",시간이 조금 걸리는거 제외하고는 넘나 만족스러워요 두번 시켜먹어봤는데 진짜 제취향!,[]
31,5,"['직화불백', '메뉴 선택(간장불백', '추가 선택(계란찜 추가)']",맛있게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/69eca630282b4f435aada6578cfd3dcc_tn.jpg']
