,별점,주문메뉴,리뷰,사진
0,5,['콩국수'],시원하면서 국물이 진해서 대게 맛있게 먹었습니다,[]
1,5,"['물냉면', '회냉면']",맛있습니다.회냉면 양념장이 살짝 부족한게 아쉬웠지만...물만두 서비스도 맛나요.ㅎㅎ,['https://rev-static.yogiyo.co.kr/0b9ac6f80ee7f29fcb9f5663a4512690_tn.jpg']
2,4,"['비빔냉면', '열무냉면']",맛있게 먹었습니다만 그냥딱 배달냉면맛이었습니다.,['https://rev-static.yogiyo.co.kr/3aadbccabe7b360ced957d3d3df3a834_tn.jpg']
3,4,"['열무냉면', '묵밥＋공기밥', '사골떡만두국']",맛있어요! 이것저것 시켜서 다같이 먹어봤는데 묵밥이 살짝 아쉽더군요. 전 열무냉면 맛있더라구여ㅋㅋ,['https://rev-static.yogiyo.co.kr/3a8a2933432f27f3f4752acb519379be_tn.jpg']
4,5,"['열무냉면', '왕만두']",맛나요 맛나요 맛나요,[]
5,5,"['비빔냉면', '열무냉면', '콩국수']",냉면육수맛과 양념 맛이 진하고 맛있습니다,[]
6,5,"['열무냉면', '왕만두', '물만두']",맛도 좋고 양도 괜찮아요.다음에 또 주문할꺼에요.,[]
7,5,"['비빔냉면', '열무냉면']",회사에서 시켜먹었어요~ 배달도 시간맞춰서오고 감사합니다 ㅎㅎㅎ리뷰서비스 물만두 맛있어요,['https://rev-static.yogiyo.co.kr/b8a193ab5f3a7087afffac4cdef569a1_tn.jpg']
8,5,['콩국수'],무더운 여름 ! 온수골이랑 함께 할수있어서 다행이에요~~~ ! 역시나 국물까지 완샷! 넘 맛있게 잘먹었습니다 감사해용,[]
9,5,"['매운 물냉면', '열무냉면']",너무 실망이 큽니다 면이 붙어있어서 빼고 먹을라고 했는데 2~3개 더 나오네요... 그리고 열무냉면에 간은 좋았으나 열무김치 자체가 너무 짜서 전부 빼서 먹었어요,"['https://rev-static.yogiyo.co.kr/7668287b2805c3a592c8292c5ac01186_tn.jpg', 'https://rev-static.yogiyo.co.kr/5a292b2a1436a1f6bce4e4ca5719d49f_tn.jpg', 'https://rev-static.yogiyo.co.kr/3a17d6119885675bd63d3d8e1f6200b3_tn.jpg']"
10,5,"['매운 물냉면', '물냉면', '물만두']",잘 먹엇습니다~! 만두가 두개여서 깜짝놀랏네욯ㅎ,[]
11,5,['물냉면'],맛나게 잘먹었습니다,[]
12,3,"['매운 물냉면', '왕만두', '공기밥']",배민으로 몇번 시켜먹다가 요기요에서 처음 시켜먹었는데 비빔냉면으로 잘못 조리하고 육수를 넣으신건지 참기름 둥둥 떠다니고 비빔냉면에 육수 부은맛나네요..참기름 맛 싫어서 물냉면 먹는 사람인데.. 다음엔 실수없으셨으면 좋겠네요 그래도 맛은 있어요,[]
13,5,"['비빔냉면', '콩국수', '콩국수']",배달은 빠르고 맛도 좋습니다,[]
14,4,"['물냉면', '콩국수', '왕만두', '사이다 1.25L']",맛나게 잘먹었습니다~,[]
15,5,['비빔냉면'],엄마랑 같이 먹었는데 맛있었어요~ 여자 혼자 먹기 양도 적당하구요. 비빔으로 시켰는데 양념 맛있다고 엄마께서 말씀하셨어요. 육수 주신것도 따로 먹어봤는데 시원하고 맛있어요 !!,[]
16,5,['물냉면'],어머니 할머니가 아주 맛잇다네요 자주 시켜먹을게요,['https://rev-static.yogiyo.co.kr/ccc0881f63609c477209578841c59700_tn.jpg']
17,4,"['물냉면', '비빔냉면']",비냉 존맛이네요 ㅠㅠㅠ,['https://rev-static.yogiyo.co.kr/3134c69707a49ec6e4e0f638355eba77_tn.jpg']
18,5,"['회냉면', '콩국수', '왕만두', '콜라 1.25L']",회냉면 맛있는 식당 찾아보기 힘들던데 여긴 맛있네요 만두도 집앞 국수 맛집에서 먹던맛!,[]
19,5,"['물냉면', '비빔냉면', '사골떡만두국']","냉면, 떡만둣국 주문했는데 양도 많고 맛있어요..물만두 서비스는 너무 좋아요..",[]
20,5,"['매운 비빔냉면', '비빔냉면']",냉면 맛있어요ㅎㅎ 물만두도 굿,['https://rev-static.yogiyo.co.kr/4ef3d8a12811af9c3224d9146aa98fd4_tn.jpg']
21,2,"['물냉면', '비빔냉면']",리뷰물만두도 안왔고 물냉면은 덜 풀고 삶으셨는지 붙어서 딱딱해서 다 잘라내고 먹었어요~,['https://rev-static.yogiyo.co.kr/c1506846cd9e371f4f8557ccca24f414_tn.jpg']
22,4,"['콩국수', '사골떡만두국']",콩국수가 좀더 진했으면 ㅜ떡만두국은 약간 짭짤해요김치는 너무 맛있ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/cd6ddbc8f250a5178f7e8a066f54abcf_tn.jpg']
23,4,"['물냉면', '비빔냉면', '왕만두']",물만두서비스 감동♡ 맛있게 잘먹었습니당,[]
24,5,"['물냉면', '비빔냉면']",물냉 비냉 고민하다 둘다 주문했는데 다 맛있었어요. 다이어트중인데 육수까지 원샷... 물만두도 맛있게 잘먹었습니다 :),['https://rev-static.yogiyo.co.kr/26d4bb249d64c4d0b1e78397e5e1a20a_tn.jpg']
25,4,"['물냉면', '비빔냉면']",맛도있고 양도 적당했어요평소 냉면 많이 시켜먹는데 괜찮네요~~,[]
26,5,"['물냉면', '비빔냉면', '열무냉면']",배달도 빠르고 맛있습니다! 열무냉면에 열무도 많이 들어가고 더운데 시원하게 잘 먹었습니다👍👍👍,"['https://rev-static.yogiyo.co.kr/98c94e3c08f61697c6941c8ce2c525b2_tn.jpg', 'https://rev-static.yogiyo.co.kr/5486f2ae539fce92c6d5be00554da3e7_tn.jpg', 'https://rev-static.yogiyo.co.kr/b7d0c4f9aed847db61f9421a854cb91f_tn.jpg']"
27,5,"['물냉면', '열무냉면', '콩국수', '왕만두']",처음에 시킬때는 양이적어보여서 곱배기 시켰는데정말 곱배기인듯 ㅎㅎ맛도 좋네요,[]
28,4,"['매운 비빔냉면', '물냉면']",괜찮아요.맛은 나쁘지않아요,[]
29,4,"['콩국수', '묵밥＋공기밥', '사이다 1.25L']",괜찮네요  맛있게  잘 먹었습니다,[]
30,5,"['물냉면', '열무냉면']",진짜 맛있게 먹었어요~ 물냉면에 면이 덜 익은 듯 뭉친 게 있어서 다음엔 그것만 좀 부탁드릴게요~^^ 열무도 엄청 맛있다고 해서 다음 냉면 먹을 때 무조건 온수골에서 시키려구요~ 잘 먹었습니다 사장님~,"['https://rev-static.yogiyo.co.kr/967dd86675646efd912e4f68ed290ac3_tn.jpg', 'https://rev-static.yogiyo.co.kr/8f69bcff36d49910f89693c4ad948936_tn.jpg']"
31,5,"['물냉면', '콩국수']",맛나게 잘먹었습니다,[]
32,5,"['매운 물냉면', '콩국수']",너무 맛있어서 다시 시켰네요 ㅎㅎ 콩국수도 맛있게 잘 먹었습니다 감사합니다~,['https://rev-static.yogiyo.co.kr/01285e5fee476c89d55288a6abb77c72_tn.jpg']
33,4,"['물냉면', '회냉면']",잘 먹었습니다. 양도 푸짐하고 물만두 서비스도 맛있게 잘 먹었습니다. 그런데 그냥 물냉면을 시켰는데 바닥에 빨간양념이 꽤 많이 있었어요. 원래 그런건가요? 할머니가 매운걸 드시질 못하셔서 조금 번거로웠습니다. 감사합니다.,[]
